id,created_at,closed_at,merged_at,state,merged
2,2015-10-27 13:33:00.000000000,2015-10-27 13:43:04.000000000,2015-10-27 13:43:04.000000000,closed,True
42,2015-10-28 12:07:02.000000000,2015-10-30 07:28:23.000000000,1970-01-01 00:00:00.000000001,closed,False
45,2015-10-28 16:07:26.000000000,2015-10-29 00:53:31.000000000,2015-10-29 00:53:31.000000000,closed,True
68,2015-10-29 20:01:50.000000000,2015-10-30 07:27:43.000000000,2015-10-30 07:27:43.000000000,closed,True
79,2015-10-30 22:16:31.000000000,2015-10-31 02:53:11.000000000,2015-10-31 02:53:11.000000000,closed,True
80,2015-10-31 11:26:04.000000000,2016-06-24 21:09:29.000000000,1970-01-01 00:00:00.000000001,closed,False
83,2015-11-01 00:30:08.000000000,2018-10-11 18:42:43.000000000,1970-01-01 00:00:00.000000001,closed,False
122,2015-11-02 16:08:33.000000000,2015-11-06 07:43:02.000000000,2015-11-06 07:43:02.000000000,closed,True
128,2015-11-03 04:05:56.000000000,2018-10-01 14:49:34.000000000,1970-01-01 00:00:00.000000001,closed,False
152,2015-11-08 18:15:26.000000000,2016-10-31 20:58:08.000000000,1970-01-01 00:00:00.000000001,closed,False
153,2015-11-08 19:13:46.000000000,2017-11-22 20:14:16.000000000,1970-01-01 00:00:00.000000001,closed,False
161,2015-11-16 01:42:45.000000000,2017-02-17 05:06:26.000000000,1970-01-01 00:00:00.000000001,closed,False
185,2015-12-17 22:36:00.000000000,2017-01-22 05:14:50.000000000,1970-01-01 00:00:00.000000001,closed,False
186,2015-12-18 03:19:09.000000000,2018-10-21 01:29:25.000000000,1970-01-01 00:00:00.000000001,closed,False
191,2015-12-25 17:00:50.000000000,2017-01-22 05:08:04.000000000,2017-01-22 05:08:04.000000000,closed,True
195,2016-01-05 16:25:33.000000000,2016-01-05 16:25:51.000000000,1970-01-01 00:00:00.000000001,closed,False
225,2016-04-13 22:47:29.000000000,2016-06-24 21:23:41.000000000,2016-06-24 21:23:41.000000000,closed,True
231,2016-05-26 06:02:41.000000000,2016-06-24 21:22:36.000000000,2016-06-24 21:22:36.000000000,closed,True
235,2016-06-15 12:58:13.000000000,2017-02-17 05:04:52.000000000,1970-01-01 00:00:00.000000001,closed,False
237,2016-06-19 18:00:41.000000000,2016-06-19 18:01:03.000000000,1970-01-01 00:00:00.000000001,closed,False
240,2016-06-24 20:47:09.000000000,2017-02-17 05:04:39.000000000,1970-01-01 00:00:00.000000001,closed,False
265,2016-10-23 15:37:13.000000000,2018-07-31 00:49:06.000000000,1970-01-01 00:00:00.000000001,closed,False
285,2016-12-22 01:47:37.000000000,2018-10-11 18:45:18.000000000,1970-01-01 00:00:00.000000001,closed,False
302,2017-01-04 03:01:13.000000000,2017-01-22 05:29:32.000000000,2017-01-22 05:29:32.000000000,closed,True
317,2017-02-05 18:52:43.000000000,2018-10-11 18:43:53.000000000,1970-01-01 00:00:00.000000001,closed,False
327,2017-02-27 12:10:56.000000000,2018-10-11 18:41:45.000000000,1970-01-01 00:00:00.000000001,closed,False
331,2017-03-13 19:37:06.000000000,2017-05-10 02:11:03.000000000,1970-01-01 00:00:00.000000001,closed,False
333,2017-03-18 21:49:30.000000000,2017-03-18 21:58:02.000000000,2017-03-18 21:58:02.000000000,closed,True
336,2017-03-29 22:12:16.000000000,2018-10-05 20:31:03.000000000,1970-01-01 00:00:00.000000001,closed,False
361,2017-06-10 16:11:26.000000000,2017-06-10 16:13:54.000000000,1970-01-01 00:00:00.000000001,closed,False
406,2017-10-24 20:12:52.000000000,2017-11-04 21:36:02.000000000,2017-11-04 21:36:02.000000000,closed,True
417,2017-11-12 02:37:22.000000000,2017-11-12 02:37:56.000000000,2017-11-12 02:37:56.000000000,closed,True
420,2017-11-17 15:05:00.000000000,2018-10-01 14:43:15.000000000,1970-01-01 00:00:00.000000001,closed,False
422,2017-11-23 03:48:27.000000000,2018-09-25 19:34:58.000000000,1970-01-01 00:00:00.000000001,closed,False
