id,created_at,closed_at,merged_at,state,merged
1,2015-02-18 18:42:23.000000000,2015-02-18 19:16:09.000000000,2015-02-18 19:16:09.000000000,closed,True
2,2015-02-18 19:02:17.000000000,2015-02-19 02:56:28.000000000,2015-02-19 02:56:28.000000000,closed,True
4,2015-02-19 15:44:02.000000000,2015-02-19 20:51:30.000000000,1970-01-01 00:00:00.000000001,closed,False
5,2015-02-19 15:44:52.000000000,2015-02-19 20:51:22.000000000,1970-01-01 00:00:00.000000001,closed,False
6,2015-02-19 15:46:25.000000000,2015-02-19 20:51:13.000000000,1970-01-01 00:00:00.000000001,closed,False
9,2015-02-19 21:05:41.000000000,2015-02-19 21:08:11.000000000,1970-01-01 00:00:00.000000001,closed,False
10,2015-02-19 21:08:27.000000000,2015-02-19 21:08:38.000000000,1970-01-01 00:00:00.000000001,closed,False
11,2015-02-19 21:11:57.000000000,2015-02-20 01:43:22.000000000,2015-02-20 01:43:22.000000000,closed,True
14,2015-02-20 16:23:27.000000000,2015-02-20 21:02:29.000000000,2015-02-20 21:02:29.000000000,closed,True
16,2015-02-20 19:49:38.000000000,2015-02-21 00:34:12.000000000,2015-02-21 00:34:12.000000000,closed,True
17,2015-02-20 20:19:31.000000000,2015-02-20 22:31:52.000000000,2015-02-20 22:31:52.000000000,closed,True
18,2015-02-20 21:11:04.000000000,2015-02-22 04:31:43.000000000,2015-02-22 04:31:43.000000000,closed,True
19,2015-02-20 21:16:47.000000000,2015-02-20 21:17:00.000000000,2015-02-20 21:17:00.000000000,closed,True
23,2015-02-21 01:41:47.000000000,2015-02-21 11:01:31.000000000,2015-02-21 11:01:31.000000000,closed,True
25,2015-02-21 11:30:54.000000000,2015-02-21 14:36:05.000000000,2015-02-21 14:36:05.000000000,closed,True
29,2015-02-21 21:34:13.000000000,2015-02-22 20:43:55.000000000,2015-02-22 20:43:55.000000000,closed,True
30,2015-02-21 21:44:55.000000000,2015-02-21 22:12:06.000000000,2015-02-21 22:12:06.000000000,closed,True
31,2015-02-22 02:36:56.000000000,2015-02-23 01:54:16.000000000,2015-02-23 01:54:16.000000000,closed,True
34,2015-02-22 20:52:51.000000000,2015-02-22 23:49:22.000000000,2015-02-22 23:49:22.000000000,closed,True
35,2015-02-22 22:00:11.000000000,2015-02-22 23:52:32.000000000,2015-02-22 23:52:32.000000000,closed,True
39,2015-02-23 21:48:30.000000000,2015-02-24 03:18:12.000000000,2015-02-24 03:18:12.000000000,closed,True
40,2015-02-24 04:05:16.000000000,2015-02-26 11:47:38.000000000,2015-02-26 11:47:38.000000000,closed,True
41,2015-02-24 07:33:15.000000000,2015-02-24 12:59:38.000000000,2015-02-24 12:59:38.000000000,closed,True
46,2015-02-24 17:13:29.000000000,2015-02-24 20:08:08.000000000,2015-02-24 20:08:08.000000000,closed,True
48,2015-02-24 22:10:28.000000000,2015-02-25 00:17:16.000000000,2015-02-25 00:17:16.000000000,closed,True
50,2015-02-25 18:48:53.000000000,2015-02-26 14:05:42.000000000,1970-01-01 00:00:00.000000001,closed,False
51,2015-02-26 00:09:44.000000000,2015-02-26 03:20:02.000000000,2015-02-26 03:20:02.000000000,closed,True
52,2015-02-26 09:19:31.000000000,2015-03-08 16:03:09.000000000,2015-03-08 16:03:09.000000000,closed,True
53,2015-02-26 14:41:13.000000000,2015-02-26 19:19:24.000000000,2015-02-26 19:19:24.000000000,closed,True
54,2015-02-26 18:10:05.000000000,2015-02-26 20:40:01.000000000,2015-02-26 20:40:01.000000000,closed,True
55,2015-02-26 18:29:51.000000000,2015-02-26 20:26:29.000000000,2015-02-26 20:26:29.000000000,closed,True
56,2015-02-26 18:48:53.000000000,2015-02-26 19:09:46.000000000,2015-02-26 19:09:46.000000000,closed,True
57,2015-02-26 20:55:58.000000000,2015-02-27 11:48:12.000000000,1970-01-01 00:00:00.000000001,closed,False
59,2015-02-26 22:58:12.000000000,2015-02-27 00:08:49.000000000,2015-02-27 00:08:49.000000000,closed,True
60,2015-02-27 15:44:01.000000000,2015-02-27 23:12:33.000000000,2015-02-27 23:12:33.000000000,closed,True
61,2015-02-27 16:10:27.000000000,2015-02-27 23:25:16.000000000,2015-02-27 23:25:16.000000000,closed,True
62,2015-02-27 21:27:45.000000000,2015-02-27 21:51:48.000000000,2015-02-27 21:51:48.000000000,closed,True
63,2015-02-27 22:18:11.000000000,2015-02-27 23:24:16.000000000,2015-02-27 23:24:16.000000000,closed,True
64,2015-02-27 23:18:03.000000000,2015-02-27 23:20:19.000000000,2015-02-27 23:20:19.000000000,closed,True
65,2015-02-27 23:31:03.000000000,2015-02-28 00:47:33.000000000,2015-02-28 00:47:33.000000000,closed,True
66,2015-02-27 23:31:50.000000000,2015-02-28 00:49:14.000000000,2015-02-28 00:49:14.000000000,closed,True
67,2015-02-28 01:08:11.000000000,2015-02-28 01:40:40.000000000,2015-02-28 01:40:40.000000000,closed,True
69,2015-02-28 01:53:17.000000000,2015-02-28 01:54:59.000000000,2015-02-28 01:54:59.000000000,closed,True
70,2015-02-28 03:07:22.000000000,2015-03-01 17:00:41.000000000,1970-01-01 00:00:00.000000001,closed,False
71,2015-02-28 20:14:29.000000000,2015-03-01 01:35:55.000000000,2015-03-01 01:35:55.000000000,closed,True
72,2015-03-01 17:02:53.000000000,2015-03-01 17:55:36.000000000,2015-03-01 17:55:36.000000000,closed,True
74,2015-03-02 16:08:38.000000000,2015-03-02 19:35:22.000000000,2015-03-02 19:35:22.000000000,closed,True
75,2015-03-02 19:53:12.000000000,2015-03-02 23:58:05.000000000,2015-03-02 23:58:05.000000000,closed,True
76,2015-03-02 20:29:17.000000000,2015-03-02 23:59:25.000000000,2015-03-02 23:59:25.000000000,closed,True
77,2015-03-03 01:09:13.000000000,2015-03-03 02:14:25.000000000,2015-03-03 02:14:25.000000000,closed,True
78,2015-03-03 14:50:19.000000000,2015-03-05 13:33:28.000000000,2015-03-05 13:33:28.000000000,closed,True
80,2015-03-03 18:55:44.000000000,2015-03-04 01:58:20.000000000,2015-03-04 01:58:20.000000000,closed,True
81,2015-03-04 00:51:34.000000000,2015-03-04 02:57:19.000000000,2015-03-04 02:57:19.000000000,closed,True
84,2015-03-04 18:10:51.000000000,2015-03-04 18:13:59.000000000,2015-03-04 18:13:58.000000000,closed,True
87,2015-03-05 18:35:51.000000000,2015-03-06 13:20:21.000000000,2015-03-06 13:20:21.000000000,closed,True
89,2015-03-06 20:51:02.000000000,2015-03-07 00:08:45.000000000,2015-03-07 00:08:45.000000000,closed,True
95,2015-03-07 19:22:48.000000000,2015-03-07 19:25:30.000000000,2015-03-07 19:25:30.000000000,closed,True
96,2015-03-07 20:19:44.000000000,2015-03-09 16:55:28.000000000,2015-03-09 16:55:28.000000000,closed,True
103,2015-03-08 18:59:00.000000000,2015-03-08 19:24:52.000000000,2015-03-08 19:24:52.000000000,closed,True
104,2015-03-09 16:47:18.000000000,2015-03-10 03:06:39.000000000,2015-03-10 03:06:39.000000000,closed,True
107,2015-03-10 14:19:10.000000000,2015-03-10 18:25:20.000000000,2015-03-10 18:25:20.000000000,closed,True
108,2015-03-10 16:09:23.000000000,2015-03-10 18:25:38.000000000,2015-03-10 18:25:38.000000000,closed,True
109,2015-03-10 17:20:45.000000000,2015-03-10 18:25:59.000000000,2015-03-10 18:25:59.000000000,closed,True
110,2015-03-11 00:36:16.000000000,2015-03-12 01:36:39.000000000,2015-03-12 01:36:39.000000000,closed,True
111,2015-03-11 20:53:30.000000000,2015-03-12 02:10:56.000000000,1970-01-01 00:00:00.000000001,closed,False
112,2015-03-11 22:12:19.000000000,2015-03-12 01:16:34.000000000,2015-03-12 01:16:34.000000000,closed,True
113,2015-03-13 13:21:40.000000000,2015-03-13 17:14:44.000000000,2015-03-13 17:14:44.000000000,closed,True
114,2015-03-16 17:56:37.000000000,2015-03-17 20:53:18.000000000,2015-03-17 20:53:18.000000000,closed,True
115,2015-03-18 03:13:38.000000000,2015-03-18 03:26:57.000000000,2015-03-18 03:26:57.000000000,closed,True
116,2015-03-19 16:06:10.000000000,2015-03-20 21:21:43.000000000,2015-03-20 21:21:43.000000000,closed,True
120,2015-03-24 23:31:21.000000000,2015-03-25 13:49:05.000000000,1970-01-01 00:00:00.000000001,closed,False
121,2015-03-25 01:45:17.000000000,2015-03-25 20:45:20.000000000,2015-03-25 20:45:20.000000000,closed,True
122,2015-03-25 14:14:05.000000000,2015-03-25 20:45:42.000000000,2015-03-25 20:45:42.000000000,closed,True
124,2015-03-25 21:07:21.000000000,2015-03-26 13:57:59.000000000,1970-01-01 00:00:00.000000001,closed,False
126,2015-03-25 22:22:20.000000000,2015-03-26 19:06:06.000000000,2015-03-26 19:06:06.000000000,closed,True
127,2015-03-26 14:04:31.000000000,2015-03-26 18:53:43.000000000,2015-03-26 18:53:43.000000000,closed,True
