id,created_at,closed_at,state,comments,title
607,2020-08-31 03:18:50.000000000,1970-01-01 00:00:00.000000001,open,1,Add option to show/hide contents of subfolders
606,2020-08-29 09:54:17.000000000,1970-01-01 00:00:00.000000001,open,0,Deploying to AWS S3 returns 404 - /app/bundle.js
605,2020-08-28 16:34:38.000000000,1970-01-01 00:00:00.000000001,open,0,Feat/abap language support
604,2020-08-28 14:53:09.000000000,1970-01-01 00:00:00.000000001,open,0,Searchbar in Note Editor not Appearing
603,2020-08-28 13:57:55.000000000,1970-01-01 00:00:00.000000001,open,0,Feature request : store as real markdown files
602,2020-08-28 01:37:01.000000000,1970-01-01 00:00:00.000000001,open,0,Display Number of notes in each folder
601,2020-08-28 00:17:58.000000000,1970-01-01 00:00:00.000000001,open,2,Implement custom codemirror modes
600,2020-08-27 22:29:07.000000000,1970-01-01 00:00:00.000000001,open,0,Can't delete tab character on Android
599,2020-08-27 17:14:45.000000000,1970-01-01 00:00:00.000000001,open,0,Add tooltips to the note detail toolbar
598,2020-08-25 19:05:42.000000000,1970-01-01 00:00:00.000000001,open,4,v0.9.0 Import from Legacy not Working
597,2020-08-24 19:28:04.000000000,2020-08-26 11:12:34.000000000,closed,0,LP: Updated Boost Hub Section & Polished Other Section
596,2020-08-24 17:13:36.000000000,1970-01-01 00:00:00.000000001,open,1,"Shortcut for ""code fence"" - or custom strings (request)"
595,2020-08-24 13:56:33.000000000,2020-08-24 14:01:02.000000000,closed,0,v0.9.0
594,2020-08-23 16:42:13.000000000,2020-08-28 12:02:03.000000000,closed,2,Can't change location of storage folder
593,2020-08-23 08:45:23.000000000,2020-08-28 11:57:10.000000000,closed,1,Unable to fetch cloud storage on browser app
592,2020-08-22 23:58:40.000000000,2020-08-25 18:27:03.000000000,closed,1,chore: Update Dutch homepage locale (#462)
591,2020-08-22 22:54:39.000000000,2020-08-25 18:27:37.000000000,closed,2,fix: Chinese translation for 'createkey' texts (fixes #588)
