id,created_at,closed_at,state,comments,title
1508,2020-08-30 14:27:10.000000000,1970-01-01 00:00:00.000000001,open,1,Copy spreadsheet with chart to Closed XML workbook
1507,2020-08-28 14:39:55.000000000,1970-01-01 00:00:00.000000001,open,0,Revert use of dynamic keyword to convert ColorType. 
1506,2020-08-28 13:10:59.000000000,1970-01-01 00:00:00.000000001,open,0,Handle invalid PageSetup.FirstPageNumber gracefully
1505,2020-08-26 11:50:25.000000000,2020-08-26 12:00:25.000000000,closed,1,Percentage Value Data Type
1504,2020-08-25 19:21:52.000000000,1970-01-01 00:00:00.000000001,open,0,Parse FirstPageNumber using Int64.parse (#1501)
1503,2020-08-24 10:01:41.000000000,2020-08-28 12:38:58.000000000,closed,3,DateTime Datatype for a cell not properly recognized 
1502,2020-08-23 10:15:49.000000000,1970-01-01 00:00:00.000000001,open,2,Is absolute path stored in the document?
1501,2020-08-21 19:36:53.000000000,1970-01-01 00:00:00.000000001,open,4,OverflowException when trying to open excel document
1500,2020-08-21 15:00:58.000000000,2020-08-21 15:07:03.000000000,closed,3,"Got an error ""Reuested registry access denied"" for  new XLWorkbook(FileUpload1.PostedFile.InputStream)"
1499,2020-08-20 13:44:35.000000000,2020-08-28 12:22:58.000000000,closed,0,Implement Janitor.Fody
1498,2020-08-19 19:24:32.000000000,2020-08-28 12:22:58.000000000,closed,5,Throw ObjectDisposedException if one tries to operate with a disposed workbook 
1497,2020-08-18 18:49:01.000000000,2020-08-28 13:12:37.000000000,closed,4,Please Help.  Trying to Save an Excel xlsm spreadsheet.
1496,2020-08-18 14:11:32.000000000,1970-01-01 00:00:00.000000001,open,3,Unknown function: XIRR
1495,2020-08-17 17:00:13.000000000,1970-01-01 00:00:00.000000001,open,1,If cell contains formula then cell's DataType is not properly recognized 
1494,2020-08-15 16:24:07.000000000,1970-01-01 00:00:00.000000001,open,4,System.InvalidOperationException: Dynamic operations can only be performed in homogenous AppDomain
1493,2020-08-14 13:34:22.000000000,1970-01-01 00:00:00.000000001,open,0,Avoid infinite recursive RescanFieldNames on column insert (#1492)
1492,2020-08-13 22:04:24.000000000,1970-01-01 00:00:00.000000001,open,0,Stack Overflow with Tables
1491,2020-08-12 19:49:04.000000000,2020-08-25 23:52:40.000000000,closed,16,Getting empty worksheets in workbook created from datatables.
1490,2020-08-11 12:57:26.000000000,1970-01-01 00:00:00.000000001,open,6,Open .xlsm and save error with large worksheet.
1489,2020-08-06 11:35:49.000000000,2020-08-28 14:49:38.000000000,closed,1,Getting Invalid file without doing any action
1488,2020-08-04 11:24:37.000000000,1970-01-01 00:00:00.000000001,open,2,UnaryExpression will now handle string values properly
1487,2020-08-04 10:55:47.000000000,1970-01-01 00:00:00.000000001,open,0,UnaryExpression does not handle strings
1486,2020-08-04 06:54:50.000000000,1970-01-01 00:00:00.000000001,open,10,Object reference not set to an instance of an object on SaveAs(MemStream)
1485,2020-08-03 22:04:44.000000000,1970-01-01 00:00:00.000000001,open,5,Improve Rows() method performance (#1482)
1484,2020-07-31 18:43:56.000000000,2020-08-04 13:35:14.000000000,closed,2,Error: Row number must be between 1 and 1048576 (Parameter 'cellAddressInRange')
1483,2020-07-30 15:15:48.000000000,2020-07-30 17:34:06.000000000,closed,13,Not able to convert Excel file to Base64 which is generated using ClosedXML
1482,2020-07-30 01:10:27.000000000,1970-01-01 00:00:00.000000001,open,7,accessing rows using elementAt is extremely slow on large spreadsheets
1481,2020-07-27 22:25:52.000000000,2020-07-27 23:57:23.000000000,closed,3,[Question] How can I resize a table?
1480,2020-07-22 02:23:05.000000000,1970-01-01 00:00:00.000000001,open,0,workBook doesn't work with big file (like 25 mb)
1479,2020-07-21 11:09:01.000000000,1970-01-01 00:00:00.000000001,open,1,InsertTable with an empty collection of objects ignores column names
1478,2020-07-19 03:56:15.000000000,1970-01-01 00:00:00.000000001,open,0,ClosedXML.Excel.CalcEngine.ExpressionParseException: 'Unknown function: INDIRECT
1477,2020-07-17 12:08:48.000000000,1970-01-01 00:00:00.000000001,open,17,ArgumentOutOfRangeException in XLHelper.cs line 117
1475,2020-07-10 12:08:28.000000000,1970-01-01 00:00:00.000000001,open,4,Add support for reading threaded comments
1474,2020-07-10 03:21:14.000000000,1970-01-01 00:00:00.000000001,open,0,"When creating excelsheet from data table, ClosedXML doesn't allow two columns that have same name "
1473,2020-07-07 18:04:30.000000000,1970-01-01 00:00:00.000000001,open,1,Error inserting UTC times from sql server into excel.
1472,2020-07-06 14:10:09.000000000,2020-07-08 13:52:19.000000000,closed,0,Support IEnumerable for IXLCell.SetValue()
1471,2020-07-06 13:33:56.000000000,2020-08-04 13:38:32.000000000,closed,0,IXLCell.TryGetValue improvements
1470,2020-07-03 17:34:46.000000000,2020-07-08 13:52:19.000000000,closed,0,XLCell.SetValue does not handle IEnumerable
1469,2020-07-02 14:38:19.000000000,2020-08-04 13:38:32.000000000,closed,0,Problem with reading cell value which has formula 
1468,2020-07-01 14:15:50.000000000,2020-07-01 16:06:41.000000000,closed,3,Difference in workbook.SaveAs(stream) and workbook.SaveAs(filename)
1467,2020-06-19 22:11:50.000000000,1970-01-01 00:00:00.000000001,open,5,#1456 Add CreateSafeSheetName method
1466,2020-06-18 03:51:33.000000000,1970-01-01 00:00:00.000000001,open,2,XLSX can't open if comment added via LibreOffice.  Throws 'Sequence contains no matching element'
1465,2020-06-16 08:29:58.000000000,2020-06-18 09:34:50.000000000,closed,1,Test for empty strings using string length
1464,2020-06-14 14:05:33.000000000,1970-01-01 00:00:00.000000001,open,0,Merge same row method for dynamic column or range
1463,2020-06-13 16:53:33.000000000,2020-07-07 11:13:08.000000000,closed,2,fix an odd precise comparison
1462,2020-06-10 13:57:58.000000000,1970-01-01 00:00:00.000000001,open,0,Fix possible multiple enumeration issue.
1461,2020-06-10 12:51:24.000000000,1970-01-01 00:00:00.000000001,open,6,Fix CopyFromInternal NullReferenceException on empty otherCell.
1460,2020-06-10 09:40:31.000000000,1970-01-01 00:00:00.000000001,open,1,Wiki Error
1459,2020-06-08 21:12:58.000000000,1970-01-01 00:00:00.000000001,open,2,Simply opening an xlsx file and saving it as a new file breaks the output file in Excel
1458,2020-06-08 11:23:27.000000000,2020-06-08 12:47:36.000000000,closed,1,Support OpenDocument Spreadsheet (.ods)
1457,2020-06-08 10:43:59.000000000,2020-06-08 20:09:31.000000000,closed,2,The Ranges.RemoveAll method of NamedRange not work.
1456,2020-06-05 17:06:41.000000000,1970-01-01 00:00:00.000000001,open,1,createSafeSheetName method
1455,2020-06-04 20:44:51.000000000,2020-06-04 21:25:53.000000000,closed,2,Returning an IEnumerable from a method that reads and disposes the XLWorkbook does not return data
1454,2020-06-04 14:22:30.000000000,2020-06-05 09:56:14.000000000,closed,0,Better nullable and enum support
1453,2020-06-03 20:09:31.000000000,2020-06-04 11:46:07.000000000,closed,1,Insight into what my problem is.
1452,2020-06-03 05:30:23.000000000,1970-01-01 00:00:00.000000001,open,0,ClosedXml Pivot Fields Subtotal per Row
1451,2020-06-01 00:51:30.000000000,1970-01-01 00:00:00.000000001,open,0,#1450 comment equals
1450,2020-06-01 00:24:35.000000000,1970-01-01 00:00:00.000000001,open,1,The copied Comment is not equal to the original by Equal method
1449,2020-05-30 03:06:09.000000000,2020-06-01 01:49:17.000000000,closed,2,Upgrade from 0.94.2 to 0.95.3
1448,2020-05-28 10:13:59.000000000,2020-06-04 11:45:41.000000000,closed,1,How can i put Image in Center Of Merged Cell
1447,2020-05-27 20:01:21.000000000,1970-01-01 00:00:00.000000001,open,1,Threaded comments
1446,2020-05-25 13:55:40.000000000,2020-05-25 14:21:12.000000000,closed,0,"Fix the incorrect FirstRowUsed method (#1443), RC branch"
1445,2020-05-25 11:54:12.000000000,2020-05-26 00:39:37.000000000,closed,2,Fix the incorrect FirstRowUsed method (#1443)
1444,2020-05-24 21:43:16.000000000,2020-05-26 12:36:54.000000000,closed,0,Avoid AutoFilter and Table overlap
1443,2020-05-24 20:34:56.000000000,2020-05-30 02:35:57.000000000,closed,1,FirstRowUsed is calling LastRowUsed
1442,2020-05-22 21:29:23.000000000,1970-01-01 00:00:00.000000001,open,0,Faster subsequent style modifications (#1440)
1441,2020-05-22 12:53:19.000000000,1970-01-01 00:00:00.000000001,open,0,XLWorkbook.SaveAs() Bug. I can't save the trailing newline.
1440,2020-05-22 11:57:13.000000000,1970-01-01 00:00:00.000000001,open,3,Bad performance when working with styles (>200 000 cells)
1439,2020-05-21 20:06:59.000000000,1970-01-01 00:00:00.000000001,open,7,XLWorksheet.Rows() performance is not good if document has >100к rows…
1438,2020-05-21 13:15:58.000000000,1970-01-01 00:00:00.000000001,open,2,XLWorksheet.Rows() performance is not good if document has >100к rows
1437,2020-05-20 10:34:42.000000000,2020-05-20 16:30:56.000000000,closed,2,Excel crashes when adding cell comment to file with graphic in header and/or footer 
1436,2020-05-20 08:35:45.000000000,2020-05-20 16:34:39.000000000,closed,3,Can't compare files in Spreadsheet Compare created with ClosedXML
1435,2020-05-18 20:36:30.000000000,2020-05-20 16:37:37.000000000,closed,8,Object reference not set when saving a workbook
1434,2020-05-16 17:15:51.000000000,2020-05-17 15:21:38.000000000,closed,0,Fix treatment of SUMIF and COUNTIF for mixed data
1433,2020-05-15 23:16:33.000000000,2020-05-16 00:40:01.000000000,closed,3,Using ClosedXML from nested class library requires OpenXml 2.7.2.0 (and not newer)
1432,2020-05-15 19:02:16.000000000,1970-01-01 00:00:00.000000001,open,2,Wrong date when using 1/1/1900
1431,2020-05-15 15:02:19.000000000,2020-05-17 15:21:38.000000000,closed,2,"System.InvalidCastException when evaluating formula ""IF(COUNTIF(N14:N15, 1) > 0, 1, 0)"""
1430,2020-05-14 07:33:04.000000000,2020-06-05 09:56:14.000000000,closed,4,Support GetValue<T> where T as nullable int
1429,2020-05-12 13:21:31.000000000,1970-01-01 00:00:00.000000001,open,0,Fix errors when loading workbook with pivots having custom theme and style
1428,2020-05-12 12:05:09.000000000,2020-05-12 13:16:18.000000000,closed,3,Fix some issues with pivot tables
