starred_at,user_id
2015-01-08 21:28:55,adeniltonbs
2015-02-03 16:05:05,gabrielbarceloscn
2015-02-09 22:39:38,feliperochadev
2015-03-05 18:08:29,betolimasouza
2015-03-11 05:16:06,weslley39
2015-03-11 15:50:51,cleciobarbosa
2015-03-11 21:09:35,gblmarquez
2015-03-31 00:51:57,fbichara
2015-04-07 09:06:04,Roberiopraciano
2015-04-15 09:09:19,SilverioMiranda
2015-04-20 23:43:22,MoacirCarlos
2015-05-21 12:39:25,capoxi
2015-07-07 20:54:15,dfsuporte
2015-07-17 22:35:57,ydmeira
2015-07-18 01:14:25,romaia
2015-07-22 17:52:31,FabioNascimento
2015-08-09 03:16:08,brasvidal
2015-08-18 16:55:29,odacirz
2015-08-19 19:02:00,edersonbirk
2015-08-19 23:21:01,victorhugolgr
2015-08-24 21:29:26,vitorarjol
2015-08-26 07:22:56,darlanhendges
2015-09-11 19:15:45,raimundonorberto
2015-09-20 03:18:01,leandrossantos
2015-09-30 23:18:08,jtvb
2015-10-04 04:25:17,ffranzes
2015-10-10 06:10:21,rodrigomartins50
2015-10-13 14:39:44,fagnercarvalho
2015-10-13 21:49:29,robertorp
2015-10-14 09:21:37,Zebrimha
2015-10-14 16:07:10,marciojmuller
2015-10-14 20:54:59,eliezeralmeida
2015-10-16 21:17:27,juliolvfilho
2015-10-20 22:50:38,marconildo
2015-10-27 23:26:31,andrebts
2015-10-29 16:46:22,leogregianin
2015-11-04 15:40:06,RicardoOak
2015-11-04 23:53:35,danieljoppi
2015-11-09 02:35:07,regymatrix
2015-11-11 02:14:23,ErickVrech
2015-11-24 19:25:37,elvisdelima
2015-12-06 17:59:11,osamueloliveira
2015-12-26 04:18:11,sistemat
2015-12-31 02:37:09,mfeitosa1
2015-12-31 16:57:02,rvaccari
2016-01-06 09:00:08,leosmachado
2016-01-12 06:16:21,robertosljunior
2016-01-26 06:25:22,JuniorMartins
2016-01-27 16:05:37,guilhermefmbatista
2016-01-27 19:51:50,henriquedpereira
2016-01-29 10:15:14,mrbrunor
2016-02-12 06:57:26,guidi
2016-03-09 07:04:08,rcoproc
2016-03-15 16:18:55,brunominervino
2016-03-17 00:06:56,Alisovsky
2016-04-05 22:42:59,deivisonrpg
2016-04-11 22:21:16,fabiojansenbr
2016-04-26 01:27:13,gubarusco
2016-04-29 05:10:23,renanoliveira0
2016-04-30 21:04:33,WillerAlbuquerque
2016-04-30 21:19:52,osmanfilho
2016-05-01 15:54:26,matheusinhofreitas
2016-05-05 22:23:30,EthraZa
2016-05-10 17:24:18,GFachi
2016-05-14 19:29:56,malkafly
2016-05-21 00:13:37,douglashferreira
2016-05-23 06:27:43,niltonfelipe
2016-05-30 06:06:44,andreloty
2016-05-30 16:55:18,retorres
2016-05-30 23:43:33,Daancustodio
2016-06-01 00:20:14,dan2dev
2016-06-06 18:59:15,pisanix2
2016-06-10 03:41:46,fmbjunior
2016-06-15 17:47:47,rubensvsx
2016-06-19 06:39:16,lastock
2016-06-21 22:01:09,rd2sistemas1
2016-06-24 02:44:14,digsistemas
2016-06-24 19:19:34,pennellarodrigo
2016-06-28 01:46:25,VanderleiDenir
2016-06-29 23:52:00,dongustavosccp
2016-07-11 22:51:18,MTSDMR
2016-07-18 23:23:58,AndrewsFB
2016-07-19 18:52:16,VanderneySouza
2016-07-22 20:02:52,fernandofbl
2016-07-28 19:20:37,rafaelitajahy
2016-08-01 00:59:44,faironsp
2016-08-03 18:05:16,ernanisp
2016-08-06 16:11:55,armi
2016-08-10 03:06:35,francofs
2016-08-10 17:56:30,saccolino
2016-09-01 04:46:03,ivanteles
2016-09-10 01:16:39,gibranrosa
2016-09-11 06:52:41,jpolvora
2016-09-13 15:39:53,pablovercosa
2016-09-14 18:23:31,Mun1z
2016-09-17 20:47:31,brunobertechini
2016-10-07 01:12:08,arthurjardim2
2016-10-07 06:40:44,alshashiguchi
2016-10-13 17:44:58,MatheusNaida
2016-10-14 22:50:16,joaoluizsouza
2016-10-17 19:51:20,luiszimmermann
2016-10-21 15:20:30,MrSocrats
2016-10-24 06:48:39,hardzork
2016-10-26 16:40:22,ferronicardoso
2016-10-26 22:02:57,tonyrodrigues
2016-10-28 20:19:16,acscrz
2016-10-31 00:08:18,homerokzam
2016-11-13 09:20:26,machado-r
2016-11-18 06:18:42,assismarcos
