id,created_at,closed_at,merged_at,state,merged
24,2016-05-30 03:17:36.000000000,2016-05-31 03:17:04.000000000,2016-05-31 03:17:04.000000000,closed,True
29,2016-05-31 21:06:54.000000000,2016-05-31 23:54:11.000000000,2016-05-31 23:54:11.000000000,closed,True
30,2016-06-01 03:15:20.000000000,2016-06-01 03:53:00.000000000,1970-01-01 00:00:00.000000001,closed,False
32,2016-06-03 15:35:55.000000000,2016-06-03 16:00:28.000000000,1970-01-01 00:00:00.000000001,closed,False
33,2016-06-03 16:04:24.000000000,2016-06-03 18:14:04.000000000,1970-01-01 00:00:00.000000001,closed,False
49,2016-06-12 20:52:26.000000000,2016-06-12 20:56:47.000000000,2016-06-12 20:56:47.000000000,closed,True
50,2016-06-13 01:34:39.000000000,2016-06-13 01:40:33.000000000,2016-06-13 01:40:33.000000000,closed,True
72,2016-08-28 17:33:21.000000000,2016-08-29 14:47:02.000000000,2016-08-29 14:47:02.000000000,closed,True
78,2016-08-31 20:22:23.000000000,2016-08-31 20:31:05.000000000,2016-08-31 20:31:05.000000000,closed,True
80,2016-09-04 23:45:45.000000000,2016-09-06 12:46:39.000000000,2016-09-06 12:46:39.000000000,closed,True
83,2016-09-21 00:02:00.000000000,2016-09-22 00:54:52.000000000,2016-09-22 00:54:52.000000000,closed,True
84,2016-09-21 03:35:02.000000000,2016-09-22 00:49:43.000000000,2016-09-22 00:49:42.000000000,closed,True
87,2016-09-23 00:27:44.000000000,2016-09-23 13:06:10.000000000,2016-09-23 13:06:10.000000000,closed,True
90,2016-09-28 02:54:36.000000000,2016-09-28 11:29:20.000000000,2016-09-28 11:29:20.000000000,closed,True
93,2016-10-09 16:56:12.000000000,2016-10-09 17:33:48.000000000,2016-10-09 17:33:48.000000000,closed,True
94,2016-10-09 20:38:17.000000000,2016-10-22 20:13:37.000000000,2016-10-22 20:13:37.000000000,closed,True
103,2016-10-24 12:37:32.000000000,2016-10-28 06:30:14.000000000,1970-01-01 00:00:00.000000001,closed,False
106,2016-10-25 01:28:25.000000000,2016-10-29 01:37:08.000000000,2016-10-29 01:37:08.000000000,closed,True
