id,created_at,closed_at,merged_at,state,merged
1,2015-01-22 04:15:57.000000000,2015-01-22 04:17:29.000000000,2015-01-22 04:17:29.000000000,closed,True
2,2015-01-29 00:07:07.000000000,2015-01-29 00:08:27.000000000,2015-01-29 00:08:27.000000000,closed,True
3,2015-01-29 00:43:23.000000000,2015-01-29 00:43:27.000000000,2015-01-29 00:43:27.000000000,closed,True
4,2015-02-02 00:07:05.000000000,2015-02-02 00:09:00.000000000,2015-02-02 00:09:00.000000000,closed,True
5,2015-02-11 01:37:05.000000000,2015-02-11 01:51:39.000000000,2015-02-11 01:51:39.000000000,closed,True
6,2015-02-11 03:56:58.000000000,2015-02-11 04:00:07.000000000,2015-02-11 04:00:07.000000000,closed,True
7,2015-02-19 04:38:14.000000000,2015-02-19 05:18:23.000000000,2015-02-19 05:18:23.000000000,closed,True
8,2015-02-21 10:31:09.000000000,2015-02-21 10:33:46.000000000,2015-02-21 10:33:46.000000000,closed,True
9,2015-02-21 11:32:24.000000000,2015-02-21 11:44:10.000000000,2015-02-21 11:44:10.000000000,closed,True
11,2015-02-24 21:38:59.000000000,2015-02-24 21:57:56.000000000,2015-02-24 21:57:56.000000000,closed,True
12,2015-02-25 20:26:35.000000000,2015-02-26 00:07:30.000000000,2015-02-26 00:07:30.000000000,closed,True
13,2015-02-26 21:35:01.000000000,2015-02-26 22:29:56.000000000,2015-02-26 22:29:56.000000000,closed,True
14,2015-02-26 22:08:37.000000000,2015-02-26 22:29:20.000000000,2015-02-26 22:29:20.000000000,closed,True
15,2015-02-26 22:57:16.000000000,2015-02-26 22:57:26.000000000,2015-02-26 22:57:26.000000000,closed,True
16,2015-03-01 06:28:17.000000000,2015-03-01 06:31:51.000000000,2015-03-01 06:31:51.000000000,closed,True
18,2015-03-03 21:51:10.000000000,2015-03-03 22:22:11.000000000,2015-03-03 22:22:11.000000000,closed,True
19,2015-03-03 23:14:43.000000000,2015-03-03 23:26:16.000000000,2015-03-03 23:26:16.000000000,closed,True
21,2015-03-04 00:30:05.000000000,2015-03-04 00:36:45.000000000,2015-03-04 00:36:45.000000000,closed,True
24,2015-03-19 22:48:35.000000000,2015-03-19 23:55:38.000000000,2015-03-19 23:55:38.000000000,closed,True
25,2015-03-20 00:15:06.000000000,2015-03-26 21:01:03.000000000,1970-01-01 00:00:00.000000001,closed,False
26,2015-03-20 00:18:04.000000000,2015-03-26 21:00:26.000000000,2015-03-26 21:00:26.000000000,closed,True
28,2015-03-25 01:33:31.000000000,2015-03-26 21:00:37.000000000,2015-03-26 21:00:37.000000000,closed,True
29,2015-03-26 22:24:59.000000000,2015-03-27 04:54:50.000000000,1970-01-01 00:00:00.000000001,closed,False
30,2015-03-27 00:13:29.000000000,2015-03-27 00:21:54.000000000,2015-03-27 00:21:54.000000000,closed,True
31,2015-03-27 01:30:22.000000000,2015-03-27 04:28:24.000000000,2015-03-27 04:28:24.000000000,closed,True
