id,created_at,closed_at,merged_at,state,merged
3,2016-02-23 17:56:21.000000000,2016-02-23 17:56:37.000000000,2016-02-23 17:56:37.000000000,closed,True
36,2016-02-27 03:16:51.000000000,2016-02-27 03:17:08.000000000,2016-02-27 03:17:08.000000000,closed,True
59,2016-03-01 20:03:35.000000000,2016-03-01 20:07:24.000000000,1970-01-01 00:00:00.000000001,closed,False
161,2016-03-17 22:30:48.000000000,2016-03-17 22:38:16.000000000,1970-01-01 00:00:00.000000001,closed,False
167,2016-03-18 16:11:40.000000000,2016-03-18 16:13:18.000000000,2016-03-18 16:13:18.000000000,closed,True
169,2016-03-18 16:48:24.000000000,2016-03-18 16:49:05.000000000,2016-03-18 16:49:05.000000000,closed,True
176,2016-03-19 22:29:47.000000000,2016-03-20 06:10:00.000000000,1970-01-01 00:00:00.000000001,closed,False
185,2016-03-21 15:28:18.000000000,2016-03-21 19:00:17.000000000,2016-03-21 19:00:17.000000000,closed,True
492,2016-04-27 19:16:16.000000000,2016-04-27 19:16:28.000000000,1970-01-01 00:00:00.000000001,closed,False
504,2016-04-28 17:28:43.000000000,2016-04-28 17:34:37.000000000,2016-04-28 17:34:37.000000000,closed,True
612,2016-05-23 11:44:53.000000000,2016-05-23 12:57:05.000000000,2016-05-23 12:57:05.000000000,closed,True
624,2016-05-25 22:26:08.000000000,2016-05-25 22:26:14.000000000,1970-01-01 00:00:00.000000001,closed,False
646,2016-05-31 06:07:44.000000000,2016-05-31 06:08:28.000000000,1970-01-01 00:00:00.000000001,closed,False
662,2016-06-04 18:20:53.000000000,2016-06-04 18:23:08.000000000,1970-01-01 00:00:00.000000001,closed,False
680,2016-06-11 23:02:05.000000000,2016-06-12 11:27:55.000000000,2016-06-12 11:27:55.000000000,closed,True
755,2016-07-13 09:16:48.000000000,2016-07-13 09:18:27.000000000,2016-07-13 09:18:27.000000000,closed,True
846,2016-08-03 15:11:08.000000000,2016-08-03 21:30:19.000000000,2016-08-03 21:30:19.000000000,closed,True
1002,2016-08-30 17:26:56.000000000,2016-08-30 17:50:46.000000000,2016-08-30 17:50:46.000000000,closed,True
1045,2016-09-07 06:16:26.000000000,2016-09-07 06:46:25.000000000,2016-09-07 06:46:25.000000000,closed,True
1138,2016-09-18 17:25:52.000000000,2016-09-18 17:41:14.000000000,2016-09-18 17:41:14.000000000,closed,True
1148,2016-09-19 00:13:23.000000000,2016-09-19 00:24:55.000000000,2016-09-19 00:24:55.000000000,closed,True
1165,2016-09-21 21:33:23.000000000,2016-09-22 18:47:25.000000000,2016-09-22 18:47:25.000000000,closed,True
1224,2016-10-04 21:45:26.000000000,2016-10-04 21:52:51.000000000,1970-01-01 00:00:00.000000001,closed,False
1225,2016-10-04 21:52:39.000000000,2016-10-04 22:56:26.000000000,1970-01-01 00:00:00.000000001,closed,False
1226,2016-10-04 22:55:44.000000000,2016-10-05 06:21:21.000000000,2016-10-05 06:21:21.000000000,closed,True
1242,2016-10-10 19:35:50.000000000,2016-10-10 19:36:20.000000000,1970-01-01 00:00:00.000000001,closed,False
1285,2016-10-19 18:36:44.000000000,2016-10-20 18:16:11.000000000,2016-10-20 18:16:11.000000000,closed,True
1295,2016-10-21 15:59:36.000000000,2016-10-21 15:59:50.000000000,1970-01-01 00:00:00.000000001,closed,False
1332,2016-10-26 18:54:09.000000000,2016-10-26 19:09:01.000000000,2016-10-26 19:09:01.000000000,closed,True
1337,2016-10-27 00:29:30.000000000,2016-10-27 12:51:59.000000000,2016-10-27 12:51:59.000000000,closed,True
1340,2016-10-27 03:11:13.000000000,2016-10-27 13:54:24.000000000,1970-01-01 00:00:00.000000001,closed,False
1375,2016-10-29 19:02:18.000000000,2016-10-29 20:14:48.000000000,2016-10-29 20:14:48.000000000,closed,True
1491,2016-11-07 11:48:14.000000000,2016-11-07 11:49:10.000000000,1970-01-01 00:00:00.000000001,closed,False
1549,2016-11-15 23:37:54.000000000,2016-11-16 00:00:13.000000000,2016-11-16 00:00:13.000000000,closed,True
1576,2016-11-18 00:29:45.000000000,2016-11-19 01:42:27.000000000,2016-11-19 01:42:27.000000000,closed,True
1831,2016-12-24 20:36:08.000000000,2016-12-24 20:47:00.000000000,2016-12-24 20:47:00.000000000,closed,True
1873,2017-01-02 03:32:36.000000000,2017-01-02 05:35:04.000000000,1970-01-01 00:00:00.000000001,closed,False
2094,2017-02-04 04:41:28.000000000,2017-02-05 15:38:03.000000000,2017-02-05 15:38:03.000000000,closed,True
2215,2017-02-19 00:49:35.000000000,2017-02-19 19:54:06.000000000,2017-02-19 19:54:06.000000000,closed,True
2219,2017-02-19 21:32:22.000000000,2017-02-19 22:45:04.000000000,2017-02-19 22:45:04.000000000,closed,True
2222,2017-02-20 05:50:06.000000000,2017-02-24 00:28:21.000000000,1970-01-01 00:00:00.000000001,closed,False
2259,2017-02-21 18:30:55.000000000,2017-02-22 00:14:35.000000000,2017-02-22 00:14:35.000000000,closed,True
2381,2017-03-12 05:14:42.000000000,2017-03-12 05:26:54.000000000,2017-03-12 05:26:54.000000000,closed,True
2461,2017-03-25 07:57:54.000000000,2017-03-25 07:58:11.000000000,1970-01-01 00:00:00.000000001,closed,False
2463,2017-03-25 08:00:33.000000000,2017-03-25 08:00:46.000000000,1970-01-01 00:00:00.000000001,closed,False
2465,2017-03-25 08:02:09.000000000,2017-03-25 08:02:17.000000000,1970-01-01 00:00:00.000000001,closed,False
2529,2017-04-01 06:26:17.000000000,2017-04-01 06:26:25.000000000,1970-01-01 00:00:00.000000001,closed,False
2532,2017-04-01 06:28:19.000000000,2017-04-01 06:28:28.000000000,1970-01-01 00:00:00.000000001,closed,False
2534,2017-04-01 06:30:38.000000000,2017-04-01 06:30:48.000000000,1970-01-01 00:00:00.000000001,closed,False
2538,2017-04-01 06:34:24.000000000,2017-04-01 06:34:36.000000000,1970-01-01 00:00:00.000000001,closed,False
2544,2017-04-01 06:45:56.000000000,2017-04-01 06:46:07.000000000,1970-01-01 00:00:00.000000001,closed,False
2578,2017-04-11 14:21:00.000000000,2017-04-20 12:49:33.000000000,1970-01-01 00:00:00.000000001,closed,False
2647,2017-04-21 09:47:10.000000000,2017-04-21 22:15:37.000000000,2017-04-21 22:15:37.000000000,closed,True
2690,2017-05-04 00:24:46.000000000,2017-05-06 18:13:50.000000000,1970-01-01 00:00:00.000000001,closed,False
2704,2017-05-06 19:45:50.000000000,2017-05-06 19:45:58.000000000,1970-01-01 00:00:00.000000001,closed,False
2815,2017-05-20 22:42:45.000000000,2017-05-20 22:42:53.000000000,1970-01-01 00:00:00.000000001,closed,False
2835,2017-05-29 19:33:16.000000000,2017-05-29 22:13:50.000000000,2017-05-29 22:13:50.000000000,closed,True
2878,2017-06-13 18:25:40.000000000,2017-06-14 11:43:31.000000000,1970-01-01 00:00:00.000000001,closed,False
2880,2017-06-13 19:23:17.000000000,2017-06-13 19:23:28.000000000,1970-01-01 00:00:00.000000001,closed,False
2946,2017-07-07 00:28:37.000000000,2017-07-07 00:38:01.000000000,2017-07-07 00:38:01.000000000,closed,True
2975,2017-07-18 12:59:44.000000000,2017-07-18 13:19:06.000000000,2017-07-18 13:19:06.000000000,closed,True
3043,2017-08-21 22:59:55.000000000,2017-08-24 08:08:59.000000000,1970-01-01 00:00:00.000000001,closed,False
3066,2017-08-26 21:45:48.000000000,2017-08-29 10:55:12.000000000,1970-01-01 00:00:00.000000001,closed,False
3070,2017-08-29 10:56:55.000000000,2017-08-29 14:15:57.000000000,2017-08-29 14:15:57.000000000,closed,True
3167,2017-10-20 13:24:18.000000000,2017-10-24 00:29:56.000000000,1970-01-01 00:00:00.000000001,closed,False
3176,2017-10-25 16:49:52.000000000,2017-10-25 17:25:39.000000000,2017-10-25 17:25:39.000000000,closed,True
3179,2017-10-26 01:18:40.000000000,2017-10-26 08:09:22.000000000,2017-10-26 08:09:22.000000000,closed,True
3185,2017-10-26 14:48:47.000000000,2017-10-26 16:01:04.000000000,2017-10-26 16:01:04.000000000,closed,True
3312,2017-11-25 22:07:16.000000000,2017-11-26 02:04:54.000000000,2017-11-26 02:04:54.000000000,closed,True
3323,2017-11-26 21:47:49.000000000,2017-11-27 17:09:35.000000000,2017-11-27 17:09:35.000000000,closed,True
3370,2017-12-02 19:31:53.000000000,2017-12-02 19:37:16.000000000,1970-01-01 00:00:00.000000001,closed,False
3371,2017-12-02 19:37:26.000000000,2017-12-02 19:39:56.000000000,1970-01-01 00:00:00.000000001,closed,False
3372,2017-12-02 19:37:30.000000000,2017-12-02 19:39:56.000000000,1970-01-01 00:00:00.000000001,closed,False
3373,2017-12-02 19:37:33.000000000,2017-12-02 19:39:56.000000000,1970-01-01 00:00:00.000000001,closed,False
3374,2017-12-02 19:37:37.000000000,2017-12-02 19:39:56.000000000,1970-01-01 00:00:00.000000001,closed,False
3375,2017-12-02 19:37:41.000000000,2017-12-02 19:39:56.000000000,1970-01-01 00:00:00.000000001,closed,False
3376,2017-12-02 19:37:45.000000000,2017-12-02 19:39:57.000000000,1970-01-01 00:00:00.000000001,closed,False
3377,2017-12-02 19:41:45.000000000,2017-12-02 22:52:32.000000000,1970-01-01 00:00:00.000000001,closed,False
3378,2017-12-02 19:41:49.000000000,2017-12-02 22:52:32.000000000,1970-01-01 00:00:00.000000001,closed,False
3379,2017-12-02 19:41:53.000000000,2017-12-02 22:52:32.000000000,1970-01-01 00:00:00.000000001,closed,False
3380,2017-12-02 19:41:56.000000000,2017-12-02 22:52:32.000000000,1970-01-01 00:00:00.000000001,closed,False
3383,2017-12-02 19:43:26.000000000,2017-12-02 22:52:10.000000000,2017-12-02 22:52:10.000000000,closed,True
3384,2017-12-02 20:56:11.000000000,2017-12-02 22:52:32.000000000,1970-01-01 00:00:00.000000001,closed,False
3413,2017-12-06 03:31:41.000000000,2017-12-06 03:36:30.000000000,1970-01-01 00:00:00.000000001,closed,False
3416,2017-12-06 14:34:35.000000000,2017-12-06 14:38:45.000000000,1970-01-01 00:00:00.000000001,closed,False
3423,2017-12-06 22:56:31.000000000,2017-12-07 00:47:49.000000000,2017-12-07 00:47:49.000000000,closed,True
3519,2017-12-26 15:56:22.000000000,2017-12-26 17:37:10.000000000,1970-01-01 00:00:00.000000001,closed,False
3522,2017-12-26 17:37:42.000000000,2017-12-26 18:19:51.000000000,2017-12-26 18:19:51.000000000,closed,True
3526,2017-12-27 14:34:30.000000000,2017-12-27 14:34:41.000000000,1970-01-01 00:00:00.000000001,closed,False
3527,2017-12-27 14:38:06.000000000,2017-12-27 16:13:41.000000000,2017-12-27 16:13:41.000000000,closed,True
3576,2018-01-06 16:05:21.000000000,2018-01-06 16:06:49.000000000,1970-01-01 00:00:00.000000001,closed,False
3612,2018-01-16 17:19:40.000000000,2018-01-16 22:12:56.000000000,2018-01-16 22:12:56.000000000,closed,True
3620,2018-01-17 18:13:41.000000000,2018-01-17 19:35:36.000000000,2018-01-17 19:35:36.000000000,closed,True
3728,2018-02-08 15:40:41.000000000,2018-02-08 15:40:53.000000000,1970-01-01 00:00:00.000000001,closed,False
3743,2018-02-11 01:46:21.000000000,2018-02-11 02:12:52.000000000,2018-02-11 02:12:52.000000000,closed,True
3801,2018-02-23 15:35:36.000000000,2018-02-24 21:59:47.000000000,1970-01-01 00:00:00.000000001,closed,False
3819,2018-03-01 16:53:02.000000000,2018-03-02 00:04:01.000000000,2018-03-02 00:04:01.000000000,closed,True
3825,2018-03-03 04:20:19.000000000,2018-03-03 04:25:25.000000000,1970-01-01 00:00:00.000000001,closed,False
3949,2018-04-02 19:44:58.000000000,2018-04-02 19:46:29.000000000,1970-01-01 00:00:00.000000001,closed,False
4006,2018-04-13 00:09:25.000000000,2018-04-20 01:48:55.000000000,1970-01-01 00:00:00.000000001,closed,False
4064,2018-04-21 13:23:41.000000000,2018-04-21 18:45:12.000000000,2018-04-21 18:45:12.000000000,closed,True
4202,2018-05-15 21:50:21.000000000,2018-05-16 23:09:34.000000000,2018-05-16 23:09:34.000000000,closed,True
4210,2018-05-17 10:46:40.000000000,2018-05-17 11:55:24.000000000,2018-05-17 11:55:24.000000000,closed,True
4257,2018-05-28 00:50:35.000000000,2018-05-28 00:50:42.000000000,1970-01-01 00:00:00.000000001,closed,False
4272,2018-05-29 19:00:39.000000000,2018-05-29 19:02:48.000000000,1970-01-01 00:00:00.000000001,closed,False
4273,2018-05-29 19:00:46.000000000,2018-05-29 19:02:48.000000000,1970-01-01 00:00:00.000000001,closed,False
4274,2018-05-29 19:00:51.000000000,2018-05-29 19:02:48.000000000,1970-01-01 00:00:00.000000001,closed,False
4275,2018-05-29 19:00:59.000000000,2018-05-29 19:02:48.000000000,1970-01-01 00:00:00.000000001,closed,False
4276,2018-05-29 19:01:08.000000000,2018-05-29 19:02:49.000000000,1970-01-01 00:00:00.000000001,closed,False
4277,2018-05-29 19:01:16.000000000,2018-05-29 19:02:49.000000000,1970-01-01 00:00:00.000000001,closed,False
4278,2018-05-29 19:01:27.000000000,2018-05-29 19:02:49.000000000,1970-01-01 00:00:00.000000001,closed,False
4279,2018-05-29 19:01:31.000000000,2018-05-29 19:02:49.000000000,1970-01-01 00:00:00.000000001,closed,False
