id,created_at,closed_at,merged_at,state,merged
136,2016-06-17 11:11:48,2016-06-17 11:11:59,2016-06-17 11:11:59,closed,True
167,2016-07-05 01:18:23,2016-07-05 01:18:30,2016-07-05 01:18:30,closed,True
172,2016-07-20 22:08:32,2016-07-20 22:23:35,2016-07-20 22:23:35,closed,True
231,2016-09-17 16:03:35,2016-09-17 16:41:23,2016-09-17 16:41:23,closed,True
238,2016-09-25 13:36:08,2016-09-26 21:05:55,2016-09-26 21:05:55,closed,True
254,2016-10-31 20:38:04,2016-10-31 21:34:46,2016-10-31 21:34:46,closed,True
260,2016-11-25 16:51:15,2016-11-25 19:18:37,2016-11-25 19:18:37,closed,True
320,2019-08-18 13:11:02,2019-08-18 13:52:42,2019-08-18 13:52:42,closed,True
324,2019-08-19 16:39:56,2019-08-19 17:23:38,2019-08-19 17:23:38,closed,True
336,2019-09-18 11:09:21,2019-09-18 11:52:20,2019-09-18 11:52:20,closed,True
356,2019-12-16 21:47:47,2019-12-16 22:27:14,2019-12-16 22:27:14,closed,True
363,2020-01-16 22:57:45,2020-01-17 15:48:32,2020-01-17 15:48:32,closed,True
