id,created_at,closed_at,state,comments,title
5681,2020-08-31 20:22:07.000000000,2020-08-31 20:43:22.000000000,closed,2,Update rubiconAnalyticsAdapter.js with gvlid
5680,2020-08-31 16:30:10.000000000,1970-01-01 00:00:00.000000001,open,0,modify mediago bidder adapter to compatible with version 2.0 and version 3.0
5679,2020-08-31 03:14:49.000000000,1970-01-01 00:00:00.000000001,open,0,added onBidWon event
5678,2020-08-31 01:17:54.000000000,1970-01-01 00:00:00.000000001,open,0,bug sync RA
5677,2020-08-30 22:07:52.000000000,1970-01-01 00:00:00.000000001,open,0,"PubWise.io Analytics Module Update - SPOT Support, Module Rules & Minor Features"
5676,2020-08-30 06:57:23.000000000,1970-01-01 00:00:00.000000001,open,0,Add Pub-X Bid adapter
5675,2020-08-29 16:07:07.000000000,1970-01-01 00:00:00.000000001,open,0,Error 2.1.a with Google in EEA
5674,2020-08-29 02:52:50.000000000,1970-01-01 00:00:00.000000001,open,0,Add Inmar bidder adapter
5673,2020-08-29 01:08:37.000000000,1970-01-01 00:00:00.000000001,open,0,Price Floors: Fix bug when caching floor lookup
5672,2020-08-28 10:41:29.000000000,1970-01-01 00:00:00.000000001,open,0,ATS-analytics - add gvlid property
5671,2020-08-28 08:18:11.000000000,1970-01-01 00:00:00.000000001,open,0,Rubicon Bid Adapter: fix incorrect sharedid param
5670,2020-08-28 03:28:28.000000000,1970-01-01 00:00:00.000000001,open,0,Intent to Implement: Allow selection of supported default targeting keys at configuration time.
5669,2020-08-27 22:31:29.000000000,1970-01-01 00:00:00.000000001,open,0,Automatad Bid Adapter: Fix built request json to support multiple bids
5668,2020-08-27 22:12:12.000000000,2020-08-28 08:20:37.000000000,closed,1,Rubicon Bid Adapter: add liveramp property
5667,2020-08-27 17:50:54.000000000,2020-08-28 18:56:41.000000000,closed,6,How to disable consentManagement module for specific countries?
5666,2020-08-27 00:22:19.000000000,2020-08-27 01:00:57.000000000,closed,1,RP Bid Adapter: Send config user.id as GET and XAPI bidRequest params
5665,2020-08-26 23:51:10.000000000,1970-01-01 00:00:00.000000001,open,1,[Synacormedia] Update bid url scheme
5664,2020-08-26 19:58:14.000000000,2020-08-28 13:00:15.000000000,closed,1,qcadapter - tcf2 remove germany specific logic
5663,2020-08-25 19:18:46.000000000,1970-01-01 00:00:00.000000001,open,9,IX error after update
5662,2020-08-25 18:50:06.000000000,1970-01-01 00:00:00.000000001,open,0,Qwarry bid adapter
5661,2020-08-25 18:03:26.000000000,1970-01-01 00:00:00.000000001,open,0,Information: WSL2 Test Issue w/ Prebid
5660,2020-08-25 04:51:50.000000000,2020-08-28 22:49:58.000000000,closed,0,Added schain support and usersync output to cpmstarBidAdapter
