id,created_at,closed_at,state,comments,title
1580,2020-08-31 14:35:34.000000000,2020-08-31 16:25:40.000000000,closed,1,修复获取财务数据报错
1579,2020-08-30 07:47:09.000000000,1970-01-01 00:00:00.000000001,open,0,关于QATDX_ADV内函数的疑问
1578,2020-08-28 04:31:40.000000000,1970-01-01 00:00:00.000000001,open,1,如何获取更早时间段的股票分钟线
1577,2020-08-23 19:28:55.000000000,2020-08-31 16:26:28.000000000,closed,1,修改 save ox 到 save option， 添加 AU 金 和 AL 铝的 期权数据的获取
1576,2020-08-23 18:01:36.000000000,2020-08-30 07:43:34.000000000,closed,0,跪求股票模拟盘教程
1575,2020-08-20 11:41:58.000000000,1970-01-01 00:00:00.000000001,open,2,"QA Error QA_fetch_stock_day_adv parameter code=000001 , start=2018-01-01, end=2018-08-25 call QA_fetch_stock_day return None"
1574,2020-08-20 06:48:01.000000000,1970-01-01 00:00:00.000000001,open,1,"window 启动quantaxis_webserver报错 KeyError: ""['_id'] not found in axis"""
1573,2020-08-19 08:45:10.000000000,2020-08-23 17:06:28.000000000,closed,4,save  stock_list 数据缺失 
1572,2020-08-18 18:53:55.000000000,2020-08-20 14:27:56.000000000,closed,3,Update QADataStruct.py
1571,2020-08-17 13:19:37.000000000,2020-08-17 21:10:45.000000000,closed,1,运行update_x.py，QA_fetch_get_stock_list().code.unique().tolist()  的调用出错
1570,2020-08-14 04:58:51.000000000,1970-01-01 00:00:00.000000001,open,0,股票信息里的industry行业代码的含义
1569,2020-08-11 10:13:39.000000000,2020-08-11 10:13:51.000000000,closed,1,update to 1.9.32
1568,2020-08-08 04:41:16.000000000,2020-08-10 18:04:49.000000000,closed,2,更新历史行情数据时，出现 KeyError: 'code' 错误
1567,2020-08-04 15:21:30.000000000,2020-08-04 15:21:42.000000000,closed,1,#update to 1.9.30
1566,2020-08-04 12:37:01.000000000,2020-08-04 12:37:08.000000000,closed,1,update to 1.9.29
1565,2020-08-02 10:42:35.000000000,2020-08-02 22:56:49.000000000,closed,0,GitHub Action to lint Python code
1564,2020-08-01 14:23:35.000000000,2020-08-01 14:23:42.000000000,closed,0,#update
1563,2020-08-01 12:37:01.000000000,2020-08-01 14:24:21.000000000,closed,1,安装依赖的优化，包含 requirements.txt 文件读取。 库补全
1562,2020-08-01 10:26:36.000000000,2020-08-01 12:37:49.000000000,closed,1,去除依赖fastcache，提升安装成功率
1561,2020-07-30 11:06:01.000000000,2020-07-30 11:06:42.000000000,closed,0,update marketpreset
1560,2020-07-26 03:43:12.000000000,2020-07-26 03:56:10.000000000,closed,1,Quantaxis 现在连不上通达信的服务器了？
1559,2020-07-24 18:18:39.000000000,2020-07-24 18:19:06.000000000,closed,1,update  market_preset
1558,2020-07-21 12:35:58.000000000,1970-01-01 00:00:00.000000001,open,2,"standard_init_linux.go:211: exec user process caused ""exec format error"""
1557,2020-07-21 11:36:45.000000000,1970-01-01 00:00:00.000000001,open,3,有没有股票曾用名，或者某个时间段某只股票是否是st股票的API？
1556,2020-07-20 09:31:25.000000000,1970-01-01 00:00:00.000000001,open,2,reversed_bytes0 时间转换错误
1555,2020-07-17 10:35:37.000000000,2020-07-17 10:36:56.000000000,closed,0,1
1554,2020-07-16 21:10:42.000000000,1970-01-01 00:00:00.000000001,open,1,通达信的这种指标能实现吗
1553,2020-07-15 09:29:15.000000000,2020-07-15 09:29:34.000000000,closed,1,fix bug & update to 1.9.26
1552,2020-07-14 10:20:08.000000000,1970-01-01 00:00:00.000000001,open,2,"报bug,,,select_single_time"
1551,2020-07-11 11:11:14.000000000,2020-07-11 17:15:28.000000000,closed,1,select_save_engine(engine)这个函数没看明白
1550,2020-07-10 06:09:29.000000000,2020-07-15 09:24:26.000000000,closed,2,获取股票数据时显示USING DEFAULT STOCK IP、USING DEFAULT FUTURE IP
1549,2020-07-03 21:09:35.000000000,2020-07-03 21:09:43.000000000,closed,0,fix bug for AU
1548,2020-07-01 16:29:38.000000000,2020-07-02 12:27:04.000000000,closed,1,save all报错啦
1547,2020-06-13 13:04:11.000000000,2020-06-18 10:51:41.000000000,closed,2,想问下可以直接取期货的主力连续行情吗
1546,2020-06-11 17:34:45.000000000,2020-07-10 06:46:45.000000000,closed,1,获取日数据出现QA Error，无返回数据
1545,2020-06-07 20:02:28.000000000,1970-01-01 00:00:00.000000001,open,1,获取数据接口error  AttributeError: __enter__
1544,2020-06-07 12:00:40.000000000,2020-07-10 06:46:52.000000000,closed,1,数据无限重复下载？
1543,2020-06-02 15:48:21.000000000,2020-07-10 06:47:06.000000000,closed,1,docker安装之后，用QAStrategy回测报错~
1542,2020-06-01 11:10:55.000000000,1970-01-01 00:00:00.000000001,open,0,解决1.jupyter需要密码和2.不断的卸载和安装pytdx
1541,2020-05-30 07:10:37.000000000,2020-06-17 19:13:35.000000000,closed,0,fix localtime issue in qa-base image
1540,2020-05-29 18:44:26.000000000,2020-06-30 17:48:04.000000000,closed,2,修正下午15:00收盘后，未 save X K线 前 resample_realtime 抛出异常的问题
1539,2020-05-29 09:21:30.000000000,2020-05-29 09:21:39.000000000,closed,0,fix & update to 1.9.24
1538,2020-05-27 18:03:26.000000000,1970-01-01 00:00:00.000000001,open,1,docker 更新文件后Jupyter notebook代码被覆盖
1537,2020-05-23 08:59:14.000000000,2020-05-23 10:23:28.000000000,closed,2,关于收费数据
1536,2020-05-18 17:08:37.000000000,1970-01-01 00:00:00.000000001,open,1,系统重启后QA容器启动失败   Error response from daemon: network
1535,2020-05-16 21:17:37.000000000,2020-05-16 21:51:22.000000000,closed,1,fix bug for beta/ sharpe && update to 1.9.23
1534,2020-05-16 11:21:25.000000000,2020-05-16 11:21:53.000000000,closed,1,update to 1.9.20
1533,2020-05-16 10:27:05.000000000,2020-05-16 10:30:16.000000000,closed,1,修复base_datastruct中date方法引起的复权问题
1532,2020-05-16 09:02:08.000000000,2020-05-16 09:16:44.000000000,closed,2,修复date乱序引起的复权问题
1531,2020-05-16 07:30:06.000000000,2020-05-29 09:18:24.000000000,closed,1,Update financial_mean.py
1530,2020-05-15 13:06:07.000000000,2020-05-16 10:01:09.000000000,closed,0,修复QA_SU_save_financialfiles_fromtdx()的bug
1529,2020-05-14 09:43:39.000000000,2020-05-14 09:43:47.000000000,closed,0,fix bug / numba/ update to 1.9.18
1528,2020-05-10 21:27:11.000000000,2020-05-10 21:27:23.000000000,closed,1,update
1527,2020-05-09 19:17:20.000000000,2020-05-10 20:18:12.000000000,closed,1,增加期权实时数据，优化期权列表获取
1526,2020-05-09 10:45:44.000000000,1970-01-01 00:00:00.000000001,open,2,Jupyter 连kernel报错
1525,2020-05-06 19:20:25.000000000,2020-05-10 20:17:57.000000000,closed,1,修正QARisk回测数字货币的TradeDate DateIndex到Str的转换问题
1524,2020-05-06 18:24:14.000000000,2020-05-13 02:34:26.000000000,closed,2,add function for QAfinancial:
1523,2020-05-06 15:30:33.000000000,1970-01-01 00:00:00.000000001,open,6,QA_fetch_stock_min_adv.to_qfq()的一个BUG
