id,created_at,closed_at,state,comments,title
802,2020-08-30 10:17:03.000000000,1970-01-01 00:00:00.000000001,open,2,www.googleapis.com error still happens on startup
801,2020-08-28 16:46:12.000000000,1970-01-01 00:00:00.000000001,open,1,"Search Suggestions and ""Trending"" (US) tab instead of ""Most Popular"" and ""Featured"""
800,2020-08-23 00:51:45.000000000,2020-08-29 14:42:34.000000000,closed,1,Cannot see Video Comments
799,2020-08-20 04:37:16.000000000,1970-01-01 00:00:00.000000001,open,4,Light and Dark themes
798,2020-08-15 20:33:10.000000000,1970-01-01 00:00:00.000000001,open,0,Fragment error fix
797,2020-08-13 09:30:06.000000000,1970-01-01 00:00:00.000000001,open,3,Server Error issue
796,2020-08-09 22:53:40.000000000,1970-01-01 00:00:00.000000001,open,0,(Request) Bookmarks
795,2020-08-09 22:41:18.000000000,1970-01-01 00:00:00.000000001,open,9,[Bug] Feed update slowness
794,2020-08-09 00:00:27.000000000,2020-08-12 00:14:48.000000000,closed,3,Unsubscribe all channels change
793,2020-08-07 15:07:51.000000000,1970-01-01 00:00:00.000000001,open,2,"[Bug] Videos always play in high quality, even when the resolution is low"
792,2020-08-06 02:41:37.000000000,2020-08-06 02:46:09.000000000,closed,0,New version - 2.973
791,2020-08-04 02:55:27.000000000,2020-08-04 03:06:09.000000000,closed,0,"Only show updates, when there is an actual asset to be downloaded"
790,2020-08-04 02:37:18.000000000,2020-08-04 02:42:45.000000000,closed,0,Remove android:configChanges as this cause issues in the layout durin…
789,2020-08-04 02:34:41.000000000,2020-08-04 02:40:14.000000000,closed,0,Fix video comment loading
788,2020-08-03 23:00:11.000000000,1970-01-01 00:00:00.000000001,open,0,feature: new chromecast controls 
787,2020-08-02 10:28:11.000000000,1970-01-01 00:00:00.000000001,open,0,Enter Video URL -> Crash (when clipboard contains screenshot image)
786,2020-07-31 04:28:37.000000000,2020-08-12 00:24:31.000000000,closed,0,Memory leak debug
785,2020-07-29 20:57:56.000000000,2020-08-06 02:59:30.000000000,closed,2,Video Playback error
784,2020-07-29 20:54:09.000000000,2020-08-06 02:59:44.000000000,closed,5,0 new videos from subscribed channels
783,2020-07-29 00:33:06.000000000,2020-07-29 00:47:01.000000000,closed,0,Weblate translation updates
782,2020-07-28 09:49:49.000000000,2020-07-28 22:35:08.000000000,closed,0,Add basic resize support: #776
781,2020-07-28 04:46:41.000000000,2020-07-28 04:52:13.000000000,closed,0,use the latest NewPipeExtractor to fix #779
780,2020-07-28 02:52:55.000000000,2020-07-28 03:06:31.000000000,closed,0,Simplify bookmarking/unbookmarking
779,2020-07-28 02:24:21.000000000,2020-07-28 04:52:13.000000000,closed,1,All videos are unplayable
778,2020-07-27 10:56:57.000000000,2020-07-27 11:04:30.000000000,closed,0,Use the latest NewPipeExtractor and fix the compilation errors
777,2020-07-25 18:31:03.000000000,2020-08-06 02:59:58.000000000,closed,8,Trouble with search 
776,2020-07-23 14:28:05.000000000,2020-07-28 22:35:08.000000000,closed,5,Make SkyTube resizable
775,2020-07-22 23:19:41.000000000,2020-07-27 10:53:45.000000000,closed,6,Added menu option to bookmark valid video urls when long pressed.
774,2020-07-13 16:33:53.000000000,1970-01-01 00:00:00.000000001,open,1,pin protection to change settings/open blocked videos?
773,2020-07-07 00:45:32.000000000,2020-07-07 10:54:45.000000000,closed,0,Run subscription refresh on a separate threadpool
