id,created_at,closed_at,merged_at,state,merged
17,2017-03-03 19:41:51.000000000,2017-03-03 20:05:27.000000000,2017-03-03 20:05:27.000000000,closed,True
136,2018-04-16 16:42:28.000000000,2018-04-16 17:24:36.000000000,2018-04-16 17:24:36.000000000,closed,True
176,2018-05-23 12:02:43.000000000,2018-05-23 12:06:30.000000000,2018-05-23 12:06:30.000000000,closed,True
183,2018-05-28 08:27:44.000000000,2018-06-07 11:21:45.000000000,2018-06-07 11:21:45.000000000,closed,True
185,2018-05-28 11:08:36.000000000,2018-05-29 11:43:13.000000000,2018-05-29 11:43:13.000000000,closed,True
201,2018-06-04 07:18:27.000000000,2018-06-04 07:29:04.000000000,2018-06-04 07:29:04.000000000,closed,True
203,2018-06-05 06:15:42.000000000,2018-06-05 08:36:29.000000000,2018-06-05 08:36:29.000000000,closed,True
204,2018-06-05 09:01:11.000000000,2018-06-05 09:14:58.000000000,2018-06-05 09:14:58.000000000,closed,True
222,2018-06-21 08:17:05.000000000,2018-06-21 08:22:02.000000000,2018-06-21 08:22:02.000000000,closed,True
233,2018-07-05 13:50:25.000000000,2018-07-06 10:00:02.000000000,2018-07-06 10:00:02.000000000,closed,True
282,2018-09-28 20:20:42.000000000,2018-10-04 08:16:45.000000000,2018-10-04 08:16:45.000000000,closed,True
288,2018-10-12 08:16:14.000000000,2018-10-12 08:52:18.000000000,2018-10-12 08:52:18.000000000,closed,True
304,2018-11-02 22:29:09.000000000,2018-11-10 20:29:47.000000000,2018-11-10 20:29:47.000000000,closed,True
311,2018-11-13 13:37:00.000000000,2018-11-13 20:30:05.000000000,2018-11-13 20:30:05.000000000,closed,True
320,2018-12-10 12:10:43.000000000,2018-12-18 22:22:26.000000000,2018-12-18 22:22:25.000000000,closed,True
322,2018-12-18 17:43:22.000000000,2018-12-18 22:22:55.000000000,2018-12-18 22:22:55.000000000,closed,True
323,2018-12-21 00:53:40.000000000,2019-01-04 07:42:12.000000000,2019-01-04 07:42:12.000000000,closed,True
350,2019-03-03 13:50:40.000000000,2019-03-19 20:47:37.000000000,2019-03-19 20:47:37.000000000,closed,True
352,2019-03-05 13:25:52.000000000,2019-03-19 20:57:22.000000000,2019-03-19 20:57:22.000000000,closed,True
360,2019-03-24 10:01:30.000000000,2019-03-24 10:03:39.000000000,2019-03-24 10:03:39.000000000,closed,True
362,2019-03-24 18:30:25.000000000,2019-03-24 18:31:51.000000000,2019-03-24 18:31:51.000000000,closed,True
366,2019-03-27 22:59:42.000000000,2019-03-27 23:06:35.000000000,2019-03-27 23:06:35.000000000,closed,True
369,2019-03-28 21:57:26.000000000,2019-03-28 21:59:06.000000000,2019-03-28 21:59:06.000000000,closed,True
371,2019-03-29 18:30:10.000000000,2019-03-29 18:51:12.000000000,2019-03-29 18:51:12.000000000,closed,True
373,2019-03-30 14:31:58.000000000,2019-03-30 14:32:15.000000000,2019-03-30 14:32:15.000000000,closed,True
375,2019-03-30 16:12:59.000000000,2019-03-30 16:16:46.000000000,2019-03-30 16:16:46.000000000,closed,True
379,2019-04-04 12:49:21.000000000,2019-04-04 12:50:00.000000000,2019-04-04 12:50:00.000000000,closed,True
380,2019-04-04 21:12:18.000000000,2019-04-04 21:13:33.000000000,2019-04-04 21:13:33.000000000,closed,True
381,2019-04-04 23:36:42.000000000,2019-04-04 23:39:36.000000000,2019-04-04 23:39:36.000000000,closed,True
383,2019-04-07 08:26:35.000000000,2019-04-07 08:28:10.000000000,2019-04-07 08:28:10.000000000,closed,True
385,2019-04-07 14:29:47.000000000,2019-04-07 14:30:32.000000000,2019-04-07 14:30:32.000000000,closed,True
388,2019-04-08 07:53:03.000000000,2019-04-08 07:58:30.000000000,2019-04-08 07:58:30.000000000,closed,True
389,2019-04-08 09:24:33.000000000,2019-04-08 09:28:15.000000000,2019-04-08 09:28:15.000000000,closed,True
390,2019-04-08 13:49:33.000000000,2019-04-08 13:50:13.000000000,2019-04-08 13:50:13.000000000,closed,True
424,2019-05-13 21:45:49.000000000,2019-05-13 21:47:09.000000000,2019-05-13 21:47:09.000000000,closed,True
438,2019-05-23 20:58:32.000000000,2019-05-23 21:06:21.000000000,1970-01-01 00:00:00.000000001,closed,False
444,2019-06-10 07:13:59.000000000,2019-06-10 07:16:49.000000000,2019-06-10 07:16:49.000000000,closed,True
445,2019-06-10 07:24:06.000000000,2019-06-10 07:24:32.000000000,2019-06-10 07:24:32.000000000,closed,True
447,2019-06-10 10:55:26.000000000,2019-06-10 10:56:04.000000000,2019-06-10 10:56:04.000000000,closed,True
453,2019-06-17 09:01:09.000000000,2019-06-17 09:21:55.000000000,2019-06-17 09:21:55.000000000,closed,True
458,2019-06-20 17:38:57.000000000,2019-06-20 17:41:59.000000000,2019-06-20 17:41:59.000000000,closed,True
460,2019-06-20 22:16:25.000000000,2019-06-20 22:18:58.000000000,2019-06-20 22:18:58.000000000,closed,True
463,2019-06-21 18:05:24.000000000,2019-06-21 18:06:45.000000000,2019-06-21 18:06:45.000000000,closed,True
468,2019-06-21 20:13:26.000000000,2019-06-21 20:14:20.000000000,2019-06-21 20:14:20.000000000,closed,True
471,2019-06-25 10:39:15.000000000,2019-06-25 10:39:48.000000000,2019-06-25 10:39:48.000000000,closed,True
472,2019-06-27 05:46:09.000000000,2019-06-27 05:46:38.000000000,2019-06-27 05:46:38.000000000,closed,True
474,2019-06-27 10:03:56.000000000,2019-06-27 10:05:40.000000000,2019-06-27 10:05:40.000000000,closed,True
475,2019-06-27 13:55:07.000000000,2019-06-27 13:55:18.000000000,2019-06-27 13:55:18.000000000,closed,True
480,2019-06-28 10:47:44.000000000,2019-06-28 10:49:18.000000000,2019-06-28 10:49:18.000000000,closed,True
495,2019-07-10 21:46:06.000000000,2019-07-10 21:46:40.000000000,2019-07-10 21:46:40.000000000,closed,True
496,2019-07-11 09:45:23.000000000,2019-07-11 09:45:34.000000000,2019-07-11 09:45:34.000000000,closed,True
498,2019-07-12 07:21:29.000000000,2019-07-12 07:21:47.000000000,2019-07-12 07:21:47.000000000,closed,True
520,2019-07-27 09:41:52.000000000,2019-07-29 19:57:57.000000000,2019-07-29 19:57:57.000000000,closed,True
526,2019-07-29 20:00:28.000000000,2019-07-29 20:01:59.000000000,2019-07-29 20:01:59.000000000,closed,True
527,2019-07-29 20:10:36.000000000,2019-07-29 20:11:21.000000000,2019-07-29 20:11:21.000000000,closed,True
552,2019-09-03 16:52:14.000000000,2019-09-03 16:55:43.000000000,2019-09-03 16:55:43.000000000,closed,True
556,2019-09-05 19:09:29.000000000,2019-09-05 19:15:09.000000000,2019-09-05 19:15:09.000000000,closed,True
570,2019-09-17 04:43:10.000000000,2019-09-17 04:43:37.000000000,2019-09-17 04:43:37.000000000,closed,True
574,2019-09-21 05:22:58.000000000,2019-09-21 05:23:20.000000000,2019-09-21 05:23:20.000000000,closed,True
575,2019-09-21 05:35:33.000000000,2019-09-21 05:35:45.000000000,2019-09-21 05:35:45.000000000,closed,True
577,2019-09-24 08:48:13.000000000,2019-09-24 08:49:06.000000000,2019-09-24 08:49:06.000000000,closed,True
593,2019-10-20 06:54:18.000000000,2019-10-20 06:55:03.000000000,2019-10-20 06:55:02.000000000,closed,True
594,2019-10-20 10:59:57.000000000,2019-10-20 18:02:44.000000000,1970-01-01 00:00:00.000000001,closed,False
600,2019-10-25 15:45:13.000000000,2019-10-25 15:47:14.000000000,2019-10-25 15:47:14.000000000,closed,True
602,2019-10-30 06:38:24.000000000,2019-10-30 06:38:50.000000000,2019-10-30 06:38:50.000000000,closed,True
605,2019-10-31 12:40:30.000000000,2019-10-31 12:41:18.000000000,2019-10-31 12:41:18.000000000,closed,True
607,2019-11-02 04:52:25.000000000,2019-11-02 04:52:43.000000000,2019-11-02 04:52:43.000000000,closed,True
608,2019-11-02 11:04:19.000000000,2019-11-02 11:04:30.000000000,2019-11-02 11:04:30.000000000,closed,True
609,2019-11-02 11:15:48.000000000,2019-11-02 11:16:28.000000000,2019-11-02 11:16:28.000000000,closed,True
