id,created_at,closed_at,state,comments,title
925,2020-08-31 16:57:47.000000000,1970-01-01 00:00:00.000000001,open,12,"It's not possible to pass the string into providerData parameter of SendInvoiceAsync and get valid json subtree of ""providerData"" node as a result"
924,2020-08-27 22:12:46.000000000,1970-01-01 00:00:00.000000001,open,0,I'm not receiving messages
923,2020-08-25 15:23:56.000000000,2020-08-25 15:35:27.000000000,closed,3,Add SetPassportDataErrors method
922,2020-07-29 17:15:46.000000000,1970-01-01 00:00:00.000000001,open,0,Adding proxy causes TimedOut exception
921,2020-07-26 22:52:18.000000000,2020-07-26 23:28:53.000000000,closed,0,Change IExceptionParser to accept ApiResponse
920,2020-07-26 21:09:04.000000000,2020-07-26 21:59:14.000000000,closed,0,Fix TODOs
919,2020-07-19 13:52:50.000000000,2020-07-24 23:54:16.000000000,closed,11,ChatId
918,2020-07-19 13:51:49.000000000,2020-07-19 13:52:23.000000000,closed,0,V15
917,2020-07-17 03:35:57.000000000,2020-07-26 19:10:12.000000000,closed,0,Fix integration tests
916,2020-07-16 03:37:32.000000000,2020-07-17 00:47:29.000000000,closed,0,Fix error handling for file downloads
915,2020-07-14 03:32:09.000000000,2020-07-14 14:50:26.000000000,closed,0,Add interfaces for quick access for ChatId and UserId
914,2020-07-09 00:27:27.000000000,2020-07-12 20:35:19.000000000,closed,0,Remove defensive copying of status code
913,2020-07-04 21:02:09.000000000,2020-07-07 01:27:20.000000000,closed,0,Refactor how errors are handled
912,2020-07-03 10:00:01.000000000,2020-07-03 13:45:21.000000000,closed,1,Beginner Issue
911,2020-06-28 19:51:21.000000000,2020-07-01 20:56:08.000000000,closed,0,Merge develop to vnext branch
910,2020-06-27 14:14:23.000000000,2020-06-27 15:18:50.000000000,closed,0,Add GitHub Release integration
909,2020-06-18 00:04:25.000000000,2020-06-18 21:45:52.000000000,closed,0,Add Source Link support and deterministic build
908,2020-06-15 23:55:56.000000000,2020-06-17 23:59:27.000000000,closed,0,Replace publish-artifacts pipeline with a unified ci pipeline
907,2020-06-13 01:33:22.000000000,2020-06-13 02:07:41.000000000,closed,0,Implement Bot API v4.9
906,2020-06-08 21:53:03.000000000,2020-06-09 22:00:27.000000000,closed,0,Implement Bot API v4.9
905,2020-05-30 21:29:02.000000000,2020-05-30 21:34:39.000000000,closed,0,Implement Bot API v4.8
904,2020-05-30 13:52:37.000000000,2020-05-30 17:26:51.000000000,closed,2,".NET Core 3.0/3.1, .NET 5 Preview and .NET Standard compatibility"
903,2020-05-22 14:32:15.000000000,1970-01-01 00:00:00.000000001,open,0,Create implicit convertation between ChatId and Update
902,2020-05-20 00:44:42.000000000,2020-05-20 01:36:53.000000000,closed,1,Memory leak in 13 version and last 15.5.1 version
901,2020-05-16 17:09:46.000000000,2020-06-14 21:21:31.000000000,closed,1,the bot wont respond
900,2020-05-13 12:58:09.000000000,2020-05-13 13:13:33.000000000,closed,1,after button clicked run code or display it inlinekeyboardbutton with callbackdata c#
899,2020-05-12 23:21:37.000000000,2020-05-12 23:50:51.000000000,closed,6,c# send a file image
898,2020-05-07 22:52:52.000000000,2020-05-12 23:48:32.000000000,closed,1,Markup Title in documentation
897,2020-04-28 10:39:35.000000000,2020-07-19 13:43:24.000000000,closed,8,- ChatId constructor fix
896,2020-04-27 01:35:09.000000000,1970-01-01 00:00:00.000000001,open,1,Newtonsoft.Json Version 11.0.0.0 not found
895,2020-04-25 22:53:44.000000000,2020-05-02 09:48:47.000000000,closed,1,Implement API v4.8
894,2020-04-25 15:19:17.000000000,2020-04-26 01:22:39.000000000,closed,7,Response status code does not indicate success: 302 (Moved Temporarily).
893,2020-04-23 00:10:04.000000000,2020-05-02 10:10:45.000000000,closed,0,Fixed license link
892,2020-04-22 22:47:09.000000000,2020-04-25 22:51:23.000000000,closed,0,Update NuGet API Key for AppVeyor
891,2020-04-21 07:30:30.000000000,1970-01-01 00:00:00.000000001,open,2,Unable to Catch ApiRequestException for 429 (Too Many Requests)
890,2020-04-17 17:42:18.000000000,2020-04-20 01:17:31.000000000,closed,4,Event is not Raised when the bot is added to a channel
889,2020-04-12 03:16:56.000000000,1970-01-01 00:00:00.000000001,open,0,Activating Open Collective
888,2020-04-02 16:09:08.000000000,2020-04-02 16:11:14.000000000,closed,0,Fix CreateNewAnimatedStickerSet implementation
887,2020-04-02 15:41:14.000000000,2020-04-02 15:45:29.000000000,closed,0,Implement Bot API 4.7
886,2020-04-01 19:36:51.000000000,2020-04-02 15:00:56.000000000,closed,0,Implement Bot API 4.7
885,2020-04-01 18:44:35.000000000,2020-04-02 17:37:39.000000000,closed,1,New message type: dice
884,2020-03-31 18:15:27.000000000,2020-03-31 20:11:34.000000000,closed,1,Get user.id
883,2020-03-20 12:58:57.000000000,2020-04-25 18:50:10.000000000,closed,2,ArgumentException in GetAsync
882,2020-03-17 13:50:54.000000000,2020-04-03 21:50:30.000000000,closed,1,Client crashes upon new network reconnecion
881,2020-03-12 03:15:07.000000000,2020-03-13 06:11:59.000000000,closed,2,Animated GIFs are sent as videos
880,2020-03-09 14:26:34.000000000,1970-01-01 00:00:00.000000001,open,14,TelegramBotClient.SetWebhookAsync not working
879,2020-03-06 18:32:00.000000000,2020-04-25 18:41:55.000000000,closed,1,Запрос был прерван: Не удалось создать защищенный канал SSL/TLS
878,2020-02-24 20:04:28.000000000,2020-05-05 15:04:20.000000000,closed,2,"System.ArgumentException: “""utf-8""”"
877,2020-02-24 19:48:17.000000000,2020-02-25 04:16:35.000000000,closed,1,How to make the bot read what user says after bot message
876,2020-02-22 22:46:09.000000000,2020-02-22 22:51:26.000000000,closed,0,Update to v15.4.0
875,2020-02-20 21:26:08.000000000,2020-02-22 22:14:16.000000000,closed,2,fix SendInvoice parameters
874,2020-02-19 21:27:22.000000000,2020-02-20 10:54:09.000000000,closed,1,Reply Markup empty in Documentation
873,2020-02-13 22:07:49.000000000,2020-02-15 18:57:18.000000000,closed,12,json serialization error
872,2020-02-12 19:32:50.000000000,2020-02-15 16:22:52.000000000,closed,1,Add string presentation to Chat model
871,2020-02-11 15:14:53.000000000,2020-02-11 17:11:41.000000000,closed,1,How to enable view counts in grouo
870,2020-02-08 19:39:32.000000000,2020-02-08 20:42:18.000000000,closed,2,The request was aborted: Could not create SSL/TLS secure channel.
869,2020-02-07 01:36:15.000000000,2020-02-07 18:16:03.000000000,closed,7,"Suddenly encountered ""Could not create SSL/TLS secure channel"""
868,2020-02-06 20:21:34.000000000,1970-01-01 00:00:00.000000001,open,0,The request was canceled: A secure channel for SSL / TLS could not be created
867,2020-02-06 05:14:11.000000000,1970-01-01 00:00:00.000000001,open,17,error  The request was canceled: A secure channel for SSL / TLS could not be created on create new TelegramBotClient
866,2020-01-31 23:37:25.000000000,2020-01-31 23:46:01.000000000,closed,0,Implement Bot API 4.6
865,2020-01-29 14:51:34.000000000,2020-01-31 15:41:16.000000000,closed,7,JSON value could not be converted to Telegram.Bot.Types.Enums.ChatType
864,2020-01-24 16:06:09.000000000,2020-01-25 07:27:53.000000000,closed,3,BotToken entity type
863,2020-01-24 15:24:46.000000000,1970-01-01 00:00:00.000000001,open,14,Provide and consume custom Typed Client for Telegram Bot API
862,2020-01-24 01:29:10.000000000,2020-01-28 23:42:14.000000000,closed,0,Implement Bot API 4.6
861,2020-01-23 18:58:08.000000000,2020-01-23 19:03:47.000000000,closed,0,Update package to v15.2.1
860,2020-01-23 18:06:21.000000000,2020-01-23 18:18:27.000000000,closed,0,Fix request serialization bug
859,2020-01-22 19:54:20.000000000,2020-01-23 19:07:02.000000000,closed,0,Missing JsonIgnore in RequestBase
858,2020-01-18 12:54:22.000000000,2020-06-14 21:13:28.000000000,closed,4,Replace Appveyor and Travis with Azure Pipelines
857,2020-01-15 23:45:20.000000000,2020-07-11 22:43:12.000000000,closed,1,Custom API URLs support
856,2020-01-11 19:59:35.000000000,2020-01-11 21:21:43.000000000,closed,2,Get users list from a channel
855,2020-01-05 21:45:19.000000000,2020-01-05 22:15:19.000000000,closed,1,Telegram Bot C#
854,2020-01-04 20:46:44.000000000,1970-01-01 00:00:00.000000001,open,3,[WIP] 16.0.0
853,2020-01-03 23:21:50.000000000,2020-01-03 23:37:04.000000000,closed,0,Upgrade package to v15.2.0
852,2020-01-03 22:33:44.000000000,2020-01-03 23:06:41.000000000,closed,2,Implement Bot API 4.5
851,2019-12-16 19:25:07.000000000,2020-01-24 14:12:06.000000000,closed,2,Error while copying content to a stream.
850,2019-12-10 13:25:01.000000000,2020-05-05 14:59:49.000000000,closed,2,"In Asp.net Mvc,after pressing callbackbutton ,CallbackQuery is null"
849,2019-11-29 22:13:39.000000000,2019-11-29 22:30:46.000000000,closed,0,v15.1.0
848,2019-11-26 01:30:57.000000000,1970-01-01 00:00:00.000000001,open,1,random error: Bad Request: wrong message entity
847,2019-11-22 00:28:08.000000000,2019-11-29 15:44:36.000000000,closed,5,Add support for requests in webhook responses
846,2019-11-10 02:29:55.000000000,1970-01-01 00:00:00.000000001,open,3,Implement Try pattern in a TelegramBotClient class
845,2019-11-10 01:32:16.000000000,1970-01-01 00:00:00.000000001,open,1,Make TelegramBotClient disposable
844,2019-11-08 01:44:56.000000000,2019-11-08 13:53:38.000000000,closed,1,Why i'm Member in my bot!
843,2019-11-05 18:32:17.000000000,2019-11-05 18:48:35.000000000,closed,1,Fixing the type of Title and Performer
841,2019-10-23 11:15:54.000000000,1970-01-01 00:00:00.000000001,open,1,Add missing pages to documentation
840,2019-10-16 03:10:31.000000000,2020-06-14 21:18:31.000000000,closed,2,Configure Azure Pipelines
839,2019-10-08 16:40:38.000000000,1970-01-01 00:00:00.000000001,open,2,Support System.Text.Json (as well as Newtonsoft.Json)
838,2019-10-07 03:27:13.000000000,2019-10-09 02:16:04.000000000,closed,2,Benchmarks and Azure DevOps
837,2019-10-06 14:37:34.000000000,2020-04-03 10:36:52.000000000,closed,3,Add Telegram.Bot.Signed mirror project
836,2019-10-04 13:48:23.000000000,1970-01-01 00:00:00.000000001,open,0,Class for TelegramKeyboard and TelegramInlineKeyboard
