id,created_at,closed_at,merged_at,state,merged
1,2015-09-26 16:38:13.000000000,2015-09-26 21:26:10.000000000,2015-09-26 21:26:10.000000000,closed,True
2,2015-09-27 02:49:00.000000000,2015-09-27 06:33:42.000000000,2015-09-27 06:33:42.000000000,closed,True
3,2015-09-27 11:57:35.000000000,2015-09-29 17:42:19.000000000,2015-09-29 17:42:19.000000000,closed,True
4,2015-09-27 12:39:11.000000000,2015-09-30 16:04:59.000000000,2015-09-30 16:04:59.000000000,closed,True
5,2015-09-29 18:03:59.000000000,2015-09-29 18:04:59.000000000,2015-09-29 18:04:59.000000000,closed,True
6,2015-10-03 10:22:54.000000000,2015-10-05 15:42:15.000000000,2015-10-05 15:42:15.000000000,closed,True
7,2015-10-03 10:37:09.000000000,2015-10-03 16:26:49.000000000,2015-10-03 16:26:49.000000000,closed,True
8,2015-10-03 10:45:15.000000000,2015-10-03 19:23:20.000000000,2015-10-03 19:23:20.000000000,closed,True
9,2015-10-07 22:35:24.000000000,2015-10-07 22:38:25.000000000,2015-10-07 22:38:25.000000000,closed,True
10,2015-10-08 14:16:53.000000000,2015-10-08 15:51:50.000000000,1970-01-01 00:00:00.000000001,closed,False
11,2015-10-09 19:00:44.000000000,2015-10-10 19:21:29.000000000,1970-01-01 00:00:00.000000001,closed,False
12,2015-10-10 16:33:42.000000000,2017-11-10 01:11:13.000000000,1970-01-01 00:00:00.000000001,closed,False
13,2015-10-11 17:22:34.000000000,2015-10-11 17:45:30.000000000,2015-10-11 17:45:30.000000000,closed,True
15,2016-07-09 23:46:09.000000000,2016-07-10 17:26:08.000000000,2016-07-10 17:26:08.000000000,closed,True
16,2016-07-10 17:32:48.000000000,2016-07-10 17:38:06.000000000,2016-07-10 17:38:06.000000000,closed,True
17,2016-07-10 17:46:09.000000000,2018-12-11 21:02:34.000000000,1970-01-01 00:00:00.000000001,closed,False
18,2016-07-10 20:00:46.000000000,2016-07-10 21:19:57.000000000,2016-07-10 21:19:57.000000000,closed,True
19,2016-07-11 03:21:47.000000000,2016-07-14 19:59:45.000000000,2016-07-14 19:59:45.000000000,closed,True
20,2016-07-11 03:45:12.000000000,2016-07-13 16:40:23.000000000,2016-07-13 16:40:23.000000000,closed,True
21,2016-07-12 01:05:33.000000000,2016-07-13 16:41:20.000000000,2016-07-13 16:41:20.000000000,closed,True
22,2016-07-12 05:36:17.000000000,2016-07-14 19:57:32.000000000,2016-07-14 19:57:32.000000000,closed,True
23,2016-07-14 05:42:34.000000000,2016-07-14 19:54:03.000000000,2016-07-14 19:54:03.000000000,closed,True
24,2016-07-14 06:45:38.000000000,2016-07-15 14:36:17.000000000,2016-07-15 14:36:17.000000000,closed,True
25,2016-07-15 03:45:21.000000000,2016-07-15 14:34:54.000000000,2016-07-15 14:34:54.000000000,closed,True
26,2016-07-15 08:50:02.000000000,2016-07-15 16:21:37.000000000,2016-07-15 16:21:37.000000000,closed,True
27,2016-07-16 03:53:07.000000000,2016-07-16 18:11:53.000000000,2016-07-16 18:11:53.000000000,closed,True
28,2016-07-17 20:11:57.000000000,2016-07-20 14:42:34.000000000,2016-07-20 14:42:34.000000000,closed,True
29,2016-07-17 20:35:58.000000000,2016-07-18 15:30:56.000000000,2016-07-18 15:30:56.000000000,closed,True
30,2016-07-20 03:49:44.000000000,2016-07-20 14:42:50.000000000,2016-07-20 14:42:50.000000000,closed,True
31,2016-07-20 03:51:15.000000000,2016-07-22 16:17:12.000000000,2016-07-22 16:17:12.000000000,closed,True
