id,created_at,closed_at,merged_at,state,merged
1,2015-04-06 23:37:55.000000000,2015-04-24 00:09:48.000000000,2015-04-24 00:09:48.000000000,closed,True
2,2015-05-03 10:06:19.000000000,2015-05-03 15:27:32.000000000,2015-05-03 15:27:32.000000000,closed,True
3,2015-05-04 17:44:25.000000000,2015-05-04 20:37:34.000000000,2015-05-04 20:37:34.000000000,closed,True
4,2015-05-11 19:41:34.000000000,2015-05-11 20:58:40.000000000,2015-05-11 20:58:40.000000000,closed,True
5,2015-06-17 13:00:12.000000000,2015-06-17 16:49:16.000000000,2015-06-17 16:49:16.000000000,closed,True
6,2015-06-22 15:42:00.000000000,2015-06-22 17:47:00.000000000,2015-06-22 17:47:00.000000000,closed,True
7,2015-06-24 01:02:29.000000000,2015-06-24 01:41:33.000000000,2015-06-24 01:41:33.000000000,closed,True
8,2015-06-26 13:09:29.000000000,2015-07-13 06:45:35.000000000,2015-07-13 06:45:35.000000000,closed,True
9,2015-07-09 04:02:26.000000000,2015-07-13 16:55:20.000000000,2015-07-13 16:55:20.000000000,closed,True
10,2015-07-13 17:04:07.000000000,2015-07-13 17:04:25.000000000,2015-07-13 17:04:25.000000000,closed,True
11,2015-07-25 20:00:59.000000000,2015-07-26 01:13:41.000000000,2015-07-26 01:13:41.000000000,closed,True
12,2015-07-26 09:32:59.000000000,2015-07-26 11:54:14.000000000,1970-01-01 00:00:00.000000001,closed,False
13,2015-07-31 09:11:53.000000000,2015-08-11 23:57:33.000000000,2015-08-11 23:57:33.000000000,closed,True
15,2015-08-06 03:01:26.000000000,2015-08-06 03:04:03.000000000,2015-08-06 03:04:03.000000000,closed,True
16,2015-08-14 05:48:17.000000000,2015-08-14 05:54:32.000000000,2015-08-14 05:54:32.000000000,closed,True
17,2015-08-14 18:27:12.000000000,2015-08-14 20:54:22.000000000,2015-08-14 20:54:22.000000000,closed,True
18,2015-08-15 04:44:56.000000000,2015-08-15 22:13:11.000000000,2015-08-15 22:13:10.000000000,closed,True
19,2015-08-16 02:51:51.000000000,2015-08-20 23:33:56.000000000,1970-01-01 00:00:00.000000001,closed,False
21,2015-08-19 16:31:38.000000000,2015-08-19 16:38:44.000000000,2015-08-19 16:38:44.000000000,closed,True
27,2015-08-20 06:35:30.000000000,2015-08-20 23:56:50.000000000,1970-01-01 00:00:00.000000001,closed,False
30,2015-08-21 04:47:42.000000000,2015-08-21 04:48:33.000000000,2015-08-21 04:48:33.000000000,closed,True
31,2015-08-21 06:41:47.000000000,2015-08-21 16:37:05.000000000,2015-08-21 16:37:05.000000000,closed,True
34,2015-08-21 22:33:27.000000000,2015-08-21 22:48:14.000000000,1970-01-01 00:00:00.000000001,closed,False
35,2015-08-22 00:43:11.000000000,2015-08-22 01:17:42.000000000,2015-08-22 01:17:42.000000000,closed,True
36,2015-08-22 12:44:14.000000000,2015-08-23 15:59:05.000000000,2015-08-23 15:59:05.000000000,closed,True
40,2015-08-22 14:01:43.000000000,2015-08-22 15:01:25.000000000,2015-08-22 15:01:25.000000000,closed,True
43,2015-08-23 08:25:23.000000000,2015-08-23 15:59:51.000000000,2015-08-23 15:59:51.000000000,closed,True
48,2015-08-25 02:43:38.000000000,2015-08-25 02:48:37.000000000,2015-08-25 02:48:37.000000000,closed,True
50,2015-08-25 03:57:12.000000000,2015-08-26 17:16:36.000000000,2015-08-26 17:16:36.000000000,closed,True
51,2015-08-26 05:18:32.000000000,2015-08-26 08:08:04.000000000,1970-01-01 00:00:00.000000001,closed,False
52,2015-08-26 08:23:30.000000000,2015-08-26 08:50:11.000000000,1970-01-01 00:00:00.000000001,closed,False
54,2015-08-27 10:50:07.000000000,2015-08-27 16:52:51.000000000,2015-08-27 16:52:51.000000000,closed,True
55,2015-08-28 14:39:43.000000000,2015-08-28 19:34:47.000000000,2015-08-28 19:34:47.000000000,closed,True
56,2015-08-28 18:04:30.000000000,2015-08-28 18:26:50.000000000,2015-08-28 18:26:50.000000000,closed,True
57,2015-08-28 19:33:28.000000000,2015-08-28 19:35:02.000000000,2015-08-28 19:35:02.000000000,closed,True
58,2015-09-02 00:45:27.000000000,2015-09-02 00:55:52.000000000,1970-01-01 00:00:00.000000001,closed,False
