id,created_at,closed_at,state,comments,title
3213,2020-08-26 00:00:07.000000000,2020-08-26 00:03:19.000000000,closed,0,Fixed error with for requery necessary for getLines Method
3212,2020-08-21 18:46:58.000000000,2020-08-21 20:26:33.000000000,closed,0,Improve use for memory based on attachment
3211,2020-08-20 23:47:35.000000000,2020-08-26 00:17:40.000000000,closed,1,Add new Smart Browser for generate invoice from sales order
3210,2020-08-15 02:38:37.000000000,1970-01-01 00:00:00.000000001,open,0,#3209 replaces commons-validator jar with actual version 1.7
3209,2020-08-15 02:17:53.000000000,1970-01-01 00:00:00.000000001,open,0,Add actual commons-validator jar
3208,2020-08-14 21:22:05.000000000,2020-08-21 20:27:40.000000000,closed,0,Add payroll process report by employee
3207,2020-08-13 01:10:53.000000000,2020-08-21 20:32:18.000000000,closed,3,Add support to Document types for Bank Transfer
3206,2020-08-12 23:42:53.000000000,2020-08-15 06:11:19.000000000,closed,0,#3046 Process to Create Invoice from Payment online
3205,2020-08-12 23:04:31.000000000,2020-08-12 23:21:25.000000000,closed,0,Allows send mail to employee from bank account email and user
3204,2020-08-12 14:03:52.000000000,2020-08-12 15:32:35.000000000,closed,1,"build dir=""org.eevolution.fleet"" prior to ""org.eevolution.freight"""
3203,2020-08-12 01:34:26.000000000,2020-08-12 02:12:40.000000000,closed,0,Fixed error with Replenish Warehouse when a product not have storage
3202,2020-08-11 22:18:45.000000000,2020-08-12 23:21:25.000000000,closed,0, Characteristics  Add employee email for sending payment receipts from user / contact not from the organization[Feature Request]
3201,2020-08-08 23:12:09.000000000,2020-08-11 22:44:56.000000000,closed,0,Just change file of migration to correct folder
3200,2020-08-08 06:30:02.000000000,2020-08-08 22:53:27.000000000,closed,0,Freight Management functionality
3199,2020-08-08 04:10:11.000000000,2020-08-08 22:53:27.000000000,closed,0,[Feature Request] Freight Management functionality
3198,2020-08-07 23:36:11.000000000,2020-08-12 23:17:11.000000000,closed,0,Fixed error with dependences when a column is changed
3197,2020-08-07 00:28:27.000000000,2020-08-12 01:22:55.000000000,closed,0,Add Support to Parent Column on Sort Tab
3196,2020-08-06 23:48:56.000000000,2020-08-08 06:37:00.000000000,closed,0,Add support to new attribute for packing import without synchronize
3195,2020-08-06 23:26:27.000000000,2020-08-12 01:20:48.000000000,closed,1,Fixed errors on tree maintenance
3194,2020-08-06 22:12:15.000000000,2020-08-12 23:17:46.000000000,closed,0,Enlarge Size of Name column for C_BPartner_Location Table to 255
3193,2020-08-06 18:00:18.000000000,2020-08-08 06:41:14.000000000,closed,0,Add support to model validator window for client definition
3192,2020-08-05 23:31:56.000000000,2020-08-08 06:48:14.000000000,closed,0,Fixed error with process infom for selection keys:
3191,2020-08-05 22:35:36.000000000,1970-01-01 00:00:00.000000001,open,1,Improve performance for running payroll process:
3190,2020-08-05 20:39:25.000000000,2020-08-08 06:46:30.000000000,closed,0,Fixed error with deposit from cash when exist collects with
3189,2020-08-05 01:02:18.000000000,2020-08-08 04:02:15.000000000,closed,0,Improve Freight functionality
3188,2020-08-01 15:40:46.000000000,2020-08-05 21:20:18.000000000,closed,1,Merge pull request #3184 from erpcya/bugfix/#RPL-UUID-created-is-not-rep...
3187,2020-08-01 00:27:37.000000000,2020-08-08 06:43:02.000000000,closed,0,Fixed error with currencyBase function
3186,2020-07-31 00:41:59.000000000,1970-01-01 00:00:00.000000001,open,0,Development New Tax Engine
3185,2020-07-29 21:47:10.000000000,2020-08-12 23:18:26.000000000,closed,0,Feature/#rpl add wrapper for replication
3184,2020-07-29 20:07:28.000000000,2020-07-30 00:41:17.000000000,closed,0,Fixed error when a po is save using saveReplica instead save
3183,2020-07-29 16:07:32.000000000,1970-01-01 00:00:00.000000001,open,1,Bug: StringIndexOutOfBoundsException in Class Restriction for virtual Columns
3182,2020-07-27 06:39:27.000000000,2020-07-28 22:33:03.000000000,closed,4,#3180 Remove fields from Purchase Order.  
3181,2020-07-26 09:14:23.000000000,2020-07-28 23:44:19.000000000,closed,0,Fixed error with transaction open and never closed for Trx.run method
3180,2020-07-23 21:30:34.000000000,2020-07-28 22:33:03.000000000,closed,1,[Bug Report] The Purchase Order window show the field not should be show
3179,2020-07-15 23:09:16.000000000,2020-07-22 21:29:05.000000000,closed,0,Fixed error with constraint for column name of sequence no
3178,2020-07-14 20:12:27.000000000,2020-08-05 23:12:31.000000000,closed,0,Add support validate error from replication strategy
3177,2020-07-14 02:32:03.000000000,2020-07-14 04:49:11.000000000,closed,0,After chage done on #3174 is possible that can exists a recursive call
3176,2020-07-10 01:27:10.000000000,2020-07-10 02:24:56.000000000,closed,0,Fix bug on save attachment file
3175,2020-07-10 00:28:04.000000000,2020-07-10 02:28:29.000000000,closed,0,Add process for delete temporary tables
3174,2020-07-10 00:20:34.000000000,2020-07-10 02:26:10.000000000,closed,0,Close Expired Session
3173,2020-07-09 22:15:12.000000000,2020-07-09 22:40:39.000000000,closed,0,Synchronize adempiere develop branch with e-Evolution  develop branch 
