id,created_at,closed_at,state,comments,title
890,2020-08-31 20:28:36.000000000,1970-01-01 00:00:00.000000001,open,1,Fast rendering mode - structures only
889,2020-08-31 19:44:43.000000000,2020-08-31 21:14:59.000000000,closed,1,Jump to biomes/structures
888,2020-08-31 17:05:20.000000000,1970-01-01 00:00:00.000000001,open,0,Amidst crashed with optifine 
887,2020-08-28 20:32:29.000000000,1970-01-01 00:00:00.000000001,open,0,Refactor usage widget to not create a new thread
886,2020-08-28 03:39:41.000000000,2020-08-30 02:55:36.000000000,closed,1,MinecraftInterface improvements
885,2020-08-25 23:34:29.000000000,1970-01-01 00:00:00.000000001,open,0,Use monitor's refresh rate
884,2020-08-24 02:54:37.000000000,2020-08-30 16:55:04.000000000,closed,0,"Optimize structure code, fix some pillager outposts"
883,2020-08-22 00:18:08.000000000,1970-01-01 00:00:00.000000001,open,0,How to solve this problem amidst
882,2020-08-21 20:40:23.000000000,2020-08-21 21:51:32.000000000,closed,1,Crash report
881,2020-08-21 19:37:54.000000000,2020-08-21 21:51:05.000000000,closed,1,Amidst crashes when using any 1.16 version [Arch Linux]
880,2020-08-21 16:24:06.000000000,2020-08-21 21:50:42.000000000,closed,1,crash report
879,2020-08-21 14:12:13.000000000,2020-08-21 21:50:25.000000000,closed,1,Crash on new seed
878,2020-08-21 09:59:55.000000000,2020-08-21 21:47:16.000000000,closed,2,Amidst crashes on entering a seed
877,2020-08-21 08:38:17.000000000,2020-08-21 21:46:57.000000000,closed,1,"Attempted to load a world from 1.16.1 using both the world seed and a world file, both resulted in a crash"
876,2020-08-21 04:26:24.000000000,2020-08-21 04:47:37.000000000,closed,1,NPE while trying to open a level.dat (same occurs when creating a new world from a set seed)
875,2020-08-21 03:46:16.000000000,2020-08-21 04:47:19.000000000,closed,1,Crashes every time.
874,2020-08-21 02:41:19.000000000,2020-08-21 02:43:58.000000000,closed,1,Amidst crash log
873,2020-08-21 02:02:47.000000000,2020-08-21 02:39:30.000000000,closed,1,1.16.1 Crash Issue
872,2020-08-20 23:40:31.000000000,2020-08-21 00:35:15.000000000,closed,1,"the latest version crashes, the exe and the jar too"
871,2020-08-20 18:14:30.000000000,2020-08-20 19:00:59.000000000,closed,1,need to add bastion remnant toggle to the layers menu
870,2020-08-20 16:16:02.000000000,2020-08-20 19:11:20.000000000,closed,1,Crashed v4-5
869,2020-08-20 10:21:41.000000000,2020-08-20 19:11:02.000000000,closed,1,Crash Report
868,2020-08-20 09:08:53.000000000,2020-08-20 19:10:47.000000000,closed,1,Null pointer exception
867,2020-08-20 02:39:24.000000000,2020-08-20 19:10:06.000000000,closed,2,reportando
866,2020-08-20 02:17:27.000000000,2020-08-20 19:09:43.000000000,closed,1,"Crash on 4.5 ""stable"", 4.5 beta was fine, same seed and settings"
865,2020-08-20 00:56:31.000000000,2020-08-20 19:09:20.000000000,closed,2,crash report
864,2020-08-20 00:39:37.000000000,2020-08-20 19:09:00.000000000,closed,2,I pasted in seed (107038380838084) and it crashed
863,2020-08-19 22:10:54.000000000,2020-08-19 23:36:30.000000000,closed,1,Crash when loading world
862,2020-08-19 20:47:32.000000000,2020-08-19 23:36:10.000000000,closed,1,Can't load a world from random seed 1.16.1
861,2020-08-19 17:03:32.000000000,2020-08-19 23:34:28.000000000,closed,1,4.5 level.dat from MC 16.1
860,2020-08-19 15:31:53.000000000,2020-08-19 23:34:01.000000000,closed,1,Crash when attempting to show world
859,2020-08-19 11:21:45.000000000,2020-08-19 23:33:27.000000000,closed,2,Crash When Loading New Seed 1.16.1 (v4.5)
858,2020-08-19 07:22:17.000000000,2020-08-19 23:32:58.000000000,closed,1,Can't load from save or new from seed
857,2020-08-19 03:33:00.000000000,2020-08-19 23:28:01.000000000,closed,2,Error when loading 1.16.1 profile
856,2020-08-19 02:05:30.000000000,2020-08-19 02:06:51.000000000,closed,0,"Add internal support for Nether biomes, and implement Bastion Remnants"
855,2020-08-18 17:18:08.000000000,2020-08-19 23:31:57.000000000,closed,1,Error on trying to load Minecraft version 1.16.2 in Amidst version 4.4
854,2020-08-17 02:55:15.000000000,2020-08-18 18:47:12.000000000,closed,2,Crash on launch
853,2020-08-16 16:32:09.000000000,2020-08-16 17:01:23.000000000,closed,1,[Bug/Crash] Incompatible with latest MC release
852,2020-08-15 20:53:09.000000000,2020-08-16 03:20:16.000000000,closed,2,Crash upon loading a 1.16.2 profile or snapshot
851,2020-08-15 19:43:25.000000000,2020-08-15 23:46:31.000000000,closed,2,"Issues with amidst on all versions, not able to run it. "
850,2020-08-14 22:38:10.000000000,2020-08-16 03:21:58.000000000,closed,2,Profiles not found -1.16.1 (Reinstalled launcher)
849,2020-08-14 02:48:54.000000000,2020-08-14 03:24:52.000000000,closed,1,v4.5b3 no longer loading map
848,2020-08-13 08:11:08.000000000,2020-08-13 13:37:49.000000000,closed,1,Amidst error when working with 1.16.2
847,2020-08-13 05:37:46.000000000,2020-08-13 13:39:12.000000000,closed,1,Bastion Remnants appear as nether fortresses
846,2020-08-13 00:04:17.000000000,1970-01-01 00:00:00.000000001,open,0,reduce CPU/GPU usage when idle
845,2020-08-12 21:49:44.000000000,2020-08-13 00:43:42.000000000,closed,4,Add support for 1.16.2
844,2020-08-12 00:43:21.000000000,2020-08-13 01:09:48.000000000,closed,3,Amidst 4.5 beta 3 doesn't work with minecraft 1.16.2 - when can we expect a NEW update to include this version?
843,2020-08-11 19:51:35.000000000,2020-08-14 23:47:29.000000000,closed,0,Fix issues with multiple monitors
842,2020-08-11 18:36:26.000000000,2020-08-14 23:47:29.000000000,closed,0,Issues with multiple monitors
841,2020-08-07 12:13:14.000000000,2020-08-30 16:55:04.000000000,closed,1,pillager outpost not correct in 1.16
840,2020-08-06 17:54:13.000000000,2020-08-06 20:00:50.000000000,closed,1,"I don't know what to do, please help me!"
839,2020-08-06 04:20:20.000000000,2020-08-06 19:26:55.000000000,closed,1,Fix integer overflow in end city icon generation
838,2020-08-04 00:23:36.000000000,2020-08-06 19:26:55.000000000,closed,1,"End city icons no longer show after roughly 740,000 blocks from center"
837,2020-08-03 18:09:58.000000000,2020-08-04 18:11:49.000000000,closed,2,I can't use AMIDST for 1.16.1
836,2020-08-02 18:08:57.000000000,2020-08-06 18:15:13.000000000,closed,2,crash optifine pre 15 
835,2020-08-01 19:54:45.000000000,1970-01-01 00:00:00.000000001,open,2,"Crash:,("
834,2020-08-01 03:14:17.000000000,2020-08-06 19:56:42.000000000,closed,1,Can't create a Biome Profile
