id,created_at,closed_at,state,comments,title
6949,2020-09-01 06:18:12.000000000,1970-01-01 00:00:00.000000001,open,0,TypePolicy on a request level
6948,2020-09-01 03:57:32.000000000,1970-01-01 00:00:00.000000001,open,0,Queries with fragments not being re-fetched 
6947,2020-09-01 01:09:03.000000000,1970-01-01 00:00:00.000000001,open,0,"`tryFetch` removed, but still documented"
6946,2020-08-31 18:17:46.000000000,1970-01-01 00:00:00.000000001,open,1,"make shouldResubscribe=false fire with updated variables, not sending GQL_STOP message"
6945,2020-08-30 21:05:57.000000000,2020-08-30 22:04:26.000000000,closed,0,chore(deps): update dependency recast to v0.20.3
6944,2020-08-30 16:41:40.000000000,1970-01-01 00:00:00.000000001,open,1,add a warning for MockedProvider in Readme
6943,2020-08-30 16:00:03.000000000,1970-01-01 00:00:00.000000001,open,0,Having multiple watchQuery observables on the page causes an inifite number of rapid requests
6942,2020-08-30 15:13:38.000000000,1970-01-01 00:00:00.000000001,open,0,ApolloClient is not sending my subscribe query
6941,2020-08-30 14:51:46.000000000,1970-01-01 00:00:00.000000001,open,0,network-only fetchPolicy delivers empty data when loading
6940,2020-08-30 13:49:49.000000000,1970-01-01 00:00:00.000000001,open,0,useLazyQuery not returing function 
6939,2020-08-29 11:40:43.000000000,2020-08-29 15:03:22.000000000,closed,0,chore(deps): update dependency ts-jest to v26.3.0
6938,2020-08-29 11:40:38.000000000,2020-08-29 14:03:36.000000000,closed,0,chore(deps): update dependency recast to v0.20.2
6937,2020-08-29 11:40:33.000000000,2020-08-29 13:04:07.000000000,closed,0,chore(deps): update dependency gatsby to v2.24.52
6936,2020-08-29 11:40:29.000000000,2020-08-29 12:05:12.000000000,closed,0,chore(deps): update dependency @types/lodash to v4.14.161
6935,2020-08-29 09:03:48.000000000,1970-01-01 00:00:00.000000001,open,1,allow querying connection metadata and then subsequent data in relayStylePagination
6934,2020-08-29 03:39:20.000000000,2020-08-29 04:04:11.000000000,closed,0,chore(deps): update dependency gatsby-theme-apollo-docs to v4.4.2
6933,2020-08-29 01:02:43.000000000,2020-08-29 02:04:39.000000000,closed,0,chore(deps): update dependency gatsby-theme-apollo-docs to v4.4.1
6932,2020-08-28 20:33:04.000000000,1970-01-01 00:00:00.000000001,open,0,docs: mention headers and credentials in ApolloClient reference
6931,2020-08-28 20:04:17.000000000,1970-01-01 00:00:00.000000001,open,0,"How can we prevent ""GQL_STOP"" message from dispatching whenever ""variables"" option changes in subscription?"
6930,2020-08-28 16:19:34.000000000,2020-08-28 16:23:02.000000000,closed,1,Update advanced-http-networking.md
6929,2020-08-28 14:54:11.000000000,1970-01-01 00:00:00.000000001,open,1,"throw and error/warn when ""possibleTypes"" are not configured and data requiring them is queried"
6928,2020-08-28 14:30:03.000000000,1970-01-01 00:00:00.000000001,open,1,Missing cache result fields warning for cache-only query
6927,2020-08-28 14:04:51.000000000,1970-01-01 00:00:00.000000001,open,0,fix: Merge mutation variables from base options and function invocation
6926,2020-08-28 11:53:30.000000000,1970-01-01 00:00:00.000000001,open,0,Migrate Apollo Angular docs
6925,2020-08-28 08:38:28.000000000,1970-01-01 00:00:00.000000001,open,8,refetch does not replace the original cache
6924,2020-08-28 01:16:03.000000000,2020-08-28 01:16:29.000000000,closed,0,Incoporate two open community PRs against master
6923,2020-08-27 23:01:12.000000000,1970-01-01 00:00:00.000000001,open,0,fetchMore does not use @export directive
6922,2020-08-27 21:52:18.000000000,2020-08-27 22:35:44.000000000,closed,4,Cache modify API for adding fields
6921,2020-08-27 21:26:41.000000000,1970-01-01 00:00:00.000000001,open,1,DevTools failed to load SourceMap from @apollo/client
6920,2020-08-27 19:59:22.000000000,1970-01-01 00:00:00.000000001,open,0,RetryLink no retrying with @apollo/client version 3.1.3
6919,2020-08-27 19:03:50.000000000,2020-08-28 00:55:06.000000000,closed,2,Fix typo
6918,2020-08-27 10:57:50.000000000,2020-08-27 20:24:35.000000000,closed,0,Fix crash when pageInfo and empty edges are given to relayStylePagination
6917,2020-08-27 03:48:27.000000000,2020-08-27 04:04:32.000000000,closed,0,chore(deps): update dependency gatsby-theme-apollo-docs to v4.3.10
6916,2020-08-27 03:14:20.000000000,1970-01-01 00:00:00.000000001,open,1,fetchMore and fetchPolicy: cache-and-network does not work together
6915,2020-08-27 01:42:11.000000000,1970-01-01 00:00:00.000000001,open,0,"SSR crashes with ""invariant violation"" when InMemoryCache uses ""possibleTypes"" and ""error-policy"" is set to ""all"""
6914,2020-08-26 23:48:34.000000000,2020-08-27 22:10:36.000000000,closed,0,Restrict root object identification to ROOT_QUERY.
6913,2020-08-26 22:05:26.000000000,1970-01-01 00:00:00.000000001,open,0,Local variables cause server-side error (@client directive)
6912,2020-08-26 21:48:33.000000000,1970-01-01 00:00:00.000000001,open,1,useQuery SSR: false doesn't run on client
6911,2020-08-26 20:40:01.000000000,2020-08-28 18:27:51.000000000,closed,5,"""Subscription"" is a reserved word that means something else to a lot of SaaS businesses"
