id,created_at,closed_at,merged_at,state,merged
1,2016-09-01 01:04:49.000000000,2016-09-01 01:15:15.000000000,2016-09-01 01:15:15.000000000,closed,True
2,2016-12-10 02:05:21.000000000,2016-12-10 02:07:13.000000000,2016-12-10 02:07:13.000000000,closed,True
3,2016-12-10 02:15:07.000000000,2016-12-10 02:52:41.000000000,2016-12-10 02:52:41.000000000,closed,True
4,2016-12-10 02:19:36.000000000,2016-12-10 02:52:47.000000000,2016-12-10 02:52:47.000000000,closed,True
5,2016-12-10 02:23:37.000000000,2016-12-10 02:52:51.000000000,2016-12-10 02:52:51.000000000,closed,True
6,2016-12-10 02:26:41.000000000,2016-12-10 02:52:56.000000000,2016-12-10 02:52:56.000000000,closed,True
8,2016-12-10 02:36:02.000000000,2016-12-10 02:40:22.000000000,2016-12-10 02:40:22.000000000,closed,True
9,2016-12-10 02:40:52.000000000,2016-12-10 02:53:01.000000000,2016-12-10 02:53:01.000000000,closed,True
10,2016-12-10 02:44:42.000000000,2016-12-10 02:51:18.000000000,2016-12-10 02:51:18.000000000,closed,True
11,2016-12-10 02:50:42.000000000,2016-12-10 02:51:30.000000000,2016-12-10 02:51:30.000000000,closed,True
12,2016-12-10 02:54:43.000000000,2016-12-10 03:24:11.000000000,2016-12-10 03:24:11.000000000,closed,True
13,2016-12-10 03:03:33.000000000,2016-12-10 03:24:16.000000000,2016-12-10 03:24:16.000000000,closed,True
14,2016-12-10 03:04:06.000000000,2016-12-10 03:24:21.000000000,2016-12-10 03:24:21.000000000,closed,True
15,2016-12-10 03:08:56.000000000,2016-12-10 03:24:26.000000000,2016-12-10 03:24:26.000000000,closed,True
16,2016-12-10 03:11:03.000000000,2016-12-10 03:24:30.000000000,2016-12-10 03:24:30.000000000,closed,True
17,2016-12-10 03:15:53.000000000,2016-12-10 03:37:24.000000000,2016-12-10 03:37:24.000000000,closed,True
18,2016-12-10 03:30:48.000000000,2016-12-10 03:38:29.000000000,2016-12-10 03:38:29.000000000,closed,True
19,2016-12-10 03:31:12.000000000,2016-12-10 03:38:36.000000000,2016-12-10 03:38:36.000000000,closed,True
20,2016-12-10 03:33:26.000000000,2016-12-10 03:38:44.000000000,2016-12-10 03:38:44.000000000,closed,True
21,2016-12-10 03:36:10.000000000,2016-12-10 03:38:49.000000000,2016-12-10 03:38:49.000000000,closed,True
22,2016-12-12 15:49:08.000000000,2016-12-12 21:59:01.000000000,1970-01-01 00:00:00.000000001,closed,False
23,2016-12-12 22:00:36.000000000,2016-12-13 20:42:35.000000000,2016-12-13 20:42:35.000000000,closed,True
24,2016-12-14 05:14:16.000000000,2016-12-14 06:01:02.000000000,2016-12-14 06:01:01.000000000,closed,True
25,2016-12-14 05:31:05.000000000,2016-12-14 06:07:55.000000000,2016-12-14 06:07:55.000000000,closed,True
26,2016-12-15 07:59:40.000000000,2016-12-19 22:06:27.000000000,2016-12-19 22:06:27.000000000,closed,True
27,2016-12-15 09:14:02.000000000,2017-01-10 03:35:43.000000000,2017-01-10 03:35:43.000000000,closed,True
28,2016-12-16 01:16:09.000000000,2016-12-16 01:29:13.000000000,2016-12-16 01:29:13.000000000,closed,True
29,2016-12-16 03:19:30.000000000,2016-12-16 03:19:51.000000000,1970-01-01 00:00:00.000000001,closed,False
30,2016-12-16 03:20:53.000000000,2016-12-20 10:38:22.000000000,2016-12-20 10:38:22.000000000,closed,True
31,2016-12-19 14:25:47.000000000,2016-12-20 06:27:14.000000000,2016-12-20 06:27:14.000000000,closed,True
32,2016-12-21 15:11:21.000000000,2016-12-21 23:25:43.000000000,2016-12-21 23:25:43.000000000,closed,True
33,2016-12-22 02:43:53.000000000,2016-12-22 02:57:37.000000000,2016-12-22 02:57:37.000000000,closed,True
34,2016-12-23 13:51:06.000000000,2017-01-21 06:53:29.000000000,1970-01-01 00:00:00.000000001,closed,False
35,2016-12-23 23:42:04.000000000,2016-12-24 08:33:33.000000000,2016-12-24 08:33:33.000000000,closed,True
36,2016-12-24 04:24:33.000000000,2016-12-24 08:32:30.000000000,2016-12-24 08:32:30.000000000,closed,True
