id,created_at,closed_at,state,comments,title
779,2020-08-29 01:34:37.000000000,1970-01-01 00:00:00.000000001,open,0,ipywidgets Output widget does not work correctly in ArcGIS Pro notebooks
778,2020-08-28 16:46:16.000000000,2020-08-28 17:59:47.000000000,closed,2,Updating credits
777,2020-08-28 15:57:43.000000000,1970-01-01 00:00:00.000000001,open,6,Creating a user throws an exception 
776,2020-08-28 02:37:58.000000000,1970-01-01 00:00:00.000000001,open,0,Token Required - Error 499: When Attempting to Query Feature Layer (Arcgis 1.8.2)
775,2020-08-26 21:02:38.000000000,1970-01-01 00:00:00.000000001,open,2,Update part6_std_geography_query.ipynb
774,2020-08-26 19:13:35.000000000,1970-01-01 00:00:00.000000001,open,1,Scanned map digitization
773,2020-08-26 01:58:34.000000000,1970-01-01 00:00:00.000000001,open,2,update sedf plot code to include renderer_type parameter
772,2020-08-24 09:16:15.000000000,1970-01-01 00:00:00.000000001,open,1,Animal species identification NB
771,2020-08-21 19:14:09.000000000,2020-08-28 18:05:13.000000000,closed,1,Pandas DataFrames and tables Problem
770,2020-08-21 13:42:32.000000000,1970-01-01 00:00:00.000000001,open,1,Building a change detection app using Jupyter Dashboard updated sample notebook
769,2020-08-21 13:22:16.000000000,1970-01-01 00:00:00.000000001,open,1,Interactive raster analytics using Jupyter Dashboards updated sample notebook
768,2020-08-21 10:59:46.000000000,1970-01-01 00:00:00.000000001,open,2,Tour the world with landsat imagery and raster functions updated sample notebook
767,2020-08-20 16:07:36.000000000,2020-08-28 09:23:12.000000000,closed,4,Using Geometry Function sample notebook (Updated)
766,2020-08-20 15:43:51.000000000,1970-01-01 00:00:00.000000001,open,2,Using geoprocessing tools sample notebook (Updated)
765,2020-08-19 10:03:39.000000000,1970-01-01 00:00:00.000000001,open,1,Landcover classification using hyperspectral imagery and deep learning
764,2020-08-19 09:39:49.000000000,1970-01-01 00:00:00.000000001,open,3,install and set up guide update
763,2020-08-18 08:57:58.000000000,2020-08-21 09:11:59.000000000,closed,9,"generic notebook for 3D basemap solution, for any object of interest."
762,2020-08-13 10:59:47.000000000,2020-08-19 21:06:10.000000000,closed,2,fixed typo in superres notebook
761,2020-08-13 01:17:47.000000000,1970-01-01 00:00:00.000000001,open,1,Spatially enabled dataframe to_featurelayer returns FeatureCollection and fails to publish
760,2020-08-10 07:12:54.000000000,1970-01-01 00:00:00.000000001,open,1,part 1 GA guide
759,2020-08-07 11:46:56.000000000,1970-01-01 00:00:00.000000001,open,6,Information extraction from madison city crime incident reports using deep learning sample notebook
758,2020-08-06 18:55:02.000000000,2020-08-28 19:31:03.000000000,closed,3,FeatureSet.from_geojson Fails on MultiPolygons
757,2020-08-04 04:33:43.000000000,2020-08-15 00:27:59.000000000,closed,3,Items Metadata YAML file
756,2020-08-02 05:55:18.000000000,1970-01-01 00:00:00.000000001,open,0,DistributedDataParallel
755,2020-08-01 00:30:54.000000000,2020-08-20 02:13:20.000000000,closed,68,Add GeoEnrichment Guides - 6 parts
754,2020-07-31 13:07:44.000000000,1970-01-01 00:00:00.000000001,open,0,Handling mismatch of point cloud classification labels during PointCNN prediction
753,2020-07-30 14:06:37.000000000,1970-01-01 00:00:00.000000001,open,54,Electric utility dl sample
752,2020-07-29 21:09:29.000000000,1970-01-01 00:00:00.000000001,open,1,Stand-Alone ArcGIS Server Authentication Fails
751,2020-07-29 19:18:02.000000000,1970-01-01 00:00:00.000000001,open,3,SuperResolution guide
750,2020-07-29 13:23:38.000000000,1970-01-01 00:00:00.000000001,open,0,tensorboardX error logging the graph
749,2020-07-28 08:59:35.000000000,2020-08-19 09:35:09.000000000,closed,1,install and set up guide updates
748,2020-07-25 03:29:37.000000000,2020-07-27 19:29:16.000000000,closed,5,arcgis.gis.server.admin.administration.Server Mangles arcgis.gis._impl._con._connection.Connection
747,2020-07-25 02:30:45.000000000,1970-01-01 00:00:00.000000001,open,1,adds release notes for 1.8.2
746,2020-07-24 11:18:39.000000000,2020-08-20 00:34:45.000000000,closed,1,update arcgis version in deeplearning installation steps
745,2020-07-23 21:30:17.000000000,2020-07-25 03:17:59.000000000,closed,3,Updated Jlab install docs to 2.X
744,2020-07-23 21:25:14.000000000,2020-07-23 21:30:55.000000000,closed,2,Jlab install instructions update
743,2020-07-23 06:12:56.000000000,1970-01-01 00:00:00.000000001,open,0,RuntimeError: DataLoader worker (pid 6000) is killed by signal: Killed. 
742,2020-07-20 15:18:57.000000000,1970-01-01 00:00:00.000000001,open,2,Estimation of river turbidity using sentinel-2 satellite data
741,2020-07-20 15:11:20.000000000,2020-07-20 15:14:37.000000000,closed,1,River turbidity estimation using Sentinel-2 data
740,2020-07-20 15:01:06.000000000,2020-07-20 15:03:54.000000000,closed,1,"River turbidity using Sentinel-2 data for Allahabad, India"
739,2020-07-20 14:35:22.000000000,2020-07-20 14:35:31.000000000,closed,0,Added demo theater talk
738,2020-07-19 17:45:34.000000000,1970-01-01 00:00:00.000000001,open,0,Update arcgis.gis.toc.html
737,2020-07-17 01:17:58.000000000,2020-07-24 18:05:50.000000000,closed,2,arcgis.geometry.functions.union returns Geometry with empty spatial reference
736,2020-07-15 11:09:48.000000000,2020-08-20 00:38:03.000000000,closed,1,Changed polygon link
735,2020-07-14 21:17:16.000000000,2020-07-14 21:17:55.000000000,closed,1,PointCNN uc2020
734,2020-07-12 06:41:02.000000000,2020-07-12 06:41:48.000000000,closed,1,Attempting to save a Raster object with raster functions to local file throws Error 999999
733,2020-07-10 16:57:50.000000000,2020-07-16 22:58:55.000000000,closed,2,building_reconstruction_using_mask_rcnn.ipynb un-reproducable output
732,2020-07-08 20:46:58.000000000,1970-01-01 00:00:00.000000001,open,2,arcgis.features.managers.AttachmentManager search function crashes when given a query that returns no attachments and as_df is set to True
731,2020-07-08 15:35:47.000000000,1970-01-01 00:00:00.000000001,open,1,fb prophet pyspark predict pm2.5 sample
730,2020-07-08 02:25:54.000000000,2020-07-08 19:48:28.000000000,closed,1,V1.8.1 UC release minor fixes
729,2020-07-07 22:38:17.000000000,2020-07-07 22:38:28.000000000,closed,0,put back images removed accidentally
728,2020-07-07 22:15:30.000000000,2020-07-07 22:29:32.000000000,closed,1,Urlsafe
727,2020-07-06 16:24:19.000000000,1970-01-01 00:00:00.000000001,open,0,Detail information on vmtilocaldataset column values
726,2020-07-06 12:26:04.000000000,2020-07-07 21:48:36.000000000,closed,24,added superresolution sample notebook
725,2020-07-01 19:33:49.000000000,2020-07-02 22:13:37.000000000,closed,2,Product name change updates
724,2020-06-30 00:00:24.000000000,2020-07-01 18:56:32.000000000,closed,3,Fixing #723 - issues with doccano windows deployment package.
723,2020-06-29 23:28:42.000000000,1970-01-01 00:00:00.000000001,open,0,Docanno windows deployment package is failing.
722,2020-06-27 06:02:19.000000000,2020-06-29 20:33:50.000000000,closed,0,fix the cleanup script for nightly runs
721,2020-06-26 12:48:02.000000000,2020-07-10 21:33:53.000000000,closed,1,item.shared_with does not return groups with 'shared update' capability
720,2020-06-26 10:34:36.000000000,2020-06-29 13:04:58.000000000,closed,1,fix doc for guide: object detection 
719,2020-06-26 10:25:34.000000000,2020-06-29 08:57:47.000000000,closed,1,changes carried out in shipwrecks sample
718,2020-06-26 08:16:45.000000000,2020-07-03 00:44:16.000000000,closed,9,FCN and ML guide
717,2020-06-24 00:04:39.000000000,2020-06-24 07:26:47.000000000,closed,1,Deeplab inside ArcGIS Pro : Slow and Weird results !!!
716,2020-06-20 01:37:09.000000000,2020-06-22 19:55:31.000000000,closed,1,Fixed capitalization and punctuation errors in new sample links for 181 release notes
715,2020-06-18 08:50:53.000000000,2020-07-07 13:24:14.000000000,closed,1,HTTPError where Portal set to allow Http connections
714,2020-06-17 22:52:22.000000000,2020-06-19 21:04:57.000000000,closed,2,Remove images with capitalization in their names
713,2020-06-11 14:56:49.000000000,2020-06-30 21:56:07.000000000,closed,14,pointcnn_windows_guide
712,2020-06-11 10:36:42.000000000,2020-06-23 12:23:10.000000000,closed,1,fix video display on website
711,2020-06-10 09:34:18.000000000,1970-01-01 00:00:00.000000001,open,0,Fatal Python Error: Cannot recover from stack overflow
710,2020-06-09 21:59:30.000000000,1970-01-01 00:00:00.000000001,open,6,"Unet simple ""data.show"" commande : RuntimeError: CUDA error: no kernel image is available for execution on the device"
709,2020-06-09 19:54:42.000000000,2020-06-09 20:14:41.000000000,closed,1,v1.8.1 minor fixes to samples
708,2020-06-09 12:00:35.000000000,1970-01-01 00:00:00.000000001,open,9,"Train deep learning model _ xml or text declaration not at start of entity: line 1, column 1"
707,2020-06-08 11:18:18.000000000,2020-06-10 09:01:52.000000000,closed,0,TypeError when I try to log in GIS
706,2020-06-06 00:24:12.000000000,2020-06-08 21:08:03.000000000,closed,1,corrected word in intro and adjusted spacing for emphasis markers
705,2020-06-05 02:08:00.000000000,2020-06-08 21:06:16.000000000,closed,1,Update accessing and managing users guide
704,2020-06-02 11:26:36.000000000,2020-06-29 18:03:35.000000000,closed,29,landcover mapping sample to showcase no data support
703,2020-06-01 20:15:45.000000000,1970-01-01 00:00:00.000000001,open,2,.offline_areas.create() UnboundLocalError: local variable 'layer0_obj' referenced before assignment
702,2020-06-01 19:23:39.000000000,2020-06-01 19:40:56.000000000,closed,0,"""_types.py"
