id,created_at,closed_at,merged_at,state,merged
1,2016-10-06 19:15:35.000000000,2016-10-06 19:16:00.000000000,2016-10-06 19:16:00.000000000,closed,True
8,2016-10-07 10:14:21.000000000,2016-10-19 10:22:54.000000000,1970-01-01 00:00:00.000000001,closed,False
15,2016-10-11 04:05:47.000000000,2016-10-16 05:19:40.000000000,1970-01-01 00:00:00.000000001,closed,False
18,2016-10-17 05:50:24.000000000,2016-10-17 17:52:46.000000000,1970-01-01 00:00:00.000000001,closed,False
19,2016-10-17 16:11:56.000000000,2016-10-17 18:53:13.000000000,2016-10-17 18:53:13.000000000,closed,True
21,2016-10-19 10:31:19.000000000,2016-10-19 13:28:05.000000000,2016-10-19 13:28:05.000000000,closed,True
22,2016-10-20 18:08:17.000000000,2016-10-25 07:25:14.000000000,1970-01-01 00:00:00.000000001,closed,False
26,2016-10-27 16:18:51.000000000,2016-10-27 16:43:27.000000000,2016-10-27 16:43:27.000000000,closed,True
31,2016-11-03 11:27:14.000000000,2016-11-08 12:16:25.000000000,1970-01-01 00:00:00.000000001,closed,False
34,2016-11-08 12:18:18.000000000,2016-11-08 12:47:32.000000000,1970-01-01 00:00:00.000000001,closed,False
35,2016-11-08 13:10:33.000000000,2016-11-08 13:54:56.000000000,2016-11-08 13:54:56.000000000,closed,True
36,2016-11-08 18:01:22.000000000,2016-11-11 22:06:13.000000000,2016-11-11 22:06:13.000000000,closed,True
41,2016-11-11 22:03:04.000000000,2016-11-11 22:05:58.000000000,2016-11-11 22:05:58.000000000,closed,True
46,2016-11-13 08:54:47.000000000,2016-11-13 23:16:29.000000000,1970-01-01 00:00:00.000000001,closed,False
49,2016-11-13 10:46:20.000000000,2016-11-13 20:35:26.000000000,2016-11-13 20:35:26.000000000,closed,True
56,2016-11-17 04:56:03.000000000,2016-11-17 15:33:42.000000000,2016-11-17 15:33:42.000000000,closed,True
63,2016-11-21 17:46:31.000000000,2016-11-22 00:15:40.000000000,2016-11-22 00:15:40.000000000,closed,True
64,2016-11-21 17:53:11.000000000,2016-11-22 00:16:13.000000000,2016-11-22 00:16:13.000000000,closed,True
65,2016-11-22 14:12:14.000000000,2017-02-23 05:23:46.000000000,1970-01-01 00:00:00.000000001,closed,False
