id,created_at,closed_at,state,comments,title
442,2020-08-18 20:56:20.000000000,2020-08-31 23:10:14.000000000,closed,1,sh <name> should always expand filenames
441,2020-08-18 06:34:55.000000000,1970-01-01 00:00:00.000000001,open,5,Request: also read completions from `/usr/local/...` even when installed with prefix `/usr/`
440,2020-08-11 16:59:47.000000000,2020-08-14 09:16:15.000000000,closed,1,xfreerdp not completing rdp file names
439,2020-08-10 20:18:29.000000000,1970-01-01 00:00:00.000000001,open,1,fix issue #436 Color-Bug if ip is an alias
438,2020-08-10 01:40:50.000000000,2020-08-10 09:18:07.000000000,closed,1,Variable dollar sign is escaped by bash-completion.
437,2020-08-09 03:32:14.000000000,2020-08-09 22:40:00.000000000,closed,0,Scop
436,2020-08-09 00:54:53.000000000,2020-08-10 20:19:23.000000000,closed,5,Color-Bug if ip is an alias
435,2020-08-06 23:45:41.000000000,1970-01-01 00:00:00.000000001,open,0,Add ps completion
434,2020-08-06 15:08:04.000000000,1970-01-01 00:00:00.000000001,open,0,Missing ps completion
433,2020-08-01 00:32:45.000000000,2020-08-03 22:25:51.000000000,closed,1,Allow completion of farbfeld images in feh
432,2020-07-26 19:31:31.000000000,1970-01-01 00:00:00.000000001,open,2,Additional helper functions
431,2020-07-14 09:45:59.000000000,1970-01-01 00:00:00.000000001,open,0,rrdtool: complete xml filenames for dump and restore commands
430,2020-07-11 15:40:49.000000000,1970-01-01 00:00:00.000000001,open,1,Various tests are flaky when run in parallel
429,2020-07-09 11:17:53.000000000,2020-07-14 16:04:11.000000000,closed,2,Can bash-completion support autocompletion from pinyin to chinese charater
428,2020-07-07 16:17:33.000000000,2020-07-07 19:32:49.000000000,closed,1,support Android AAR libraries as 'unzip' file type
427,2020-07-06 15:33:32.000000000,1970-01-01 00:00:00.000000001,open,8,Disable IPv4/IPv6 addresses in SSH completion
426,2020-06-25 17:29:05.000000000,1970-01-01 00:00:00.000000001,open,0,Needed a space after '>'
425,2020-06-11 21:30:52.000000000,2020-06-13 11:37:02.000000000,closed,1,"ssh completion for ""host*"" doesn't work"
422,2020-06-08 12:07:50.000000000,2020-07-25 10:58:56.000000000,closed,1,Allow all file types for tshark -r
421,2020-06-08 03:00:32.000000000,1970-01-01 00:00:00.000000001,open,0,find should not ignore top level regular file matches
420,2020-06-07 01:31:07.000000000,1970-01-01 00:00:00.000000001,open,1,man xyz stays xy if directory with same name present
419,2020-06-01 09:53:20.000000000,1970-01-01 00:00:00.000000001,open,0,make: fix sed error on FreeBSD
418,2020-05-29 07:42:22.000000000,1970-01-01 00:00:00.000000001,open,3,make -f x /tmp/file<TAB> won't complete on existing files there
417,2020-05-26 05:03:58.000000000,2020-05-26 08:15:17.000000000,closed,1,$ becomes \$ upon tab expansion
416,2020-05-20 05:08:38.000000000,2020-05-20 06:03:25.000000000,closed,4,Ubuntu 20.04 installing yarn completions under .local/share/bash-completion fails
415,2020-05-19 09:39:42.000000000,2020-05-19 23:50:08.000000000,closed,2,completion function does not exist in interactive shell until the completion is attempted.
414,2020-05-13 21:43:59.000000000,1970-01-01 00:00:00.000000001,open,7,"When doing ""cd ../<Tab>"", exclude current directory"
413,2020-05-12 01:37:07.000000000,2020-05-14 00:44:38.000000000,closed,2,.RECIPEPREFIX confuses autocompletion for Makefille targets
412,2020-05-09 21:19:38.000000000,2020-05-10 00:31:50.000000000,closed,1,lftp: support space-delimited lines in bookmarks file
411,2020-05-09 08:03:06.000000000,2020-05-09 09:16:42.000000000,closed,1,Install and build problem on Ubuntu 20.04 LTS
410,2020-05-07 07:51:58.000000000,1970-01-01 00:00:00.000000001,open,0,"Update style guide wrt shfmt, others"
409,2020-05-04 20:09:01.000000000,2020-05-04 20:21:50.000000000,closed,2,"fix for ""bash_completion is a directory"" error message"
408,2020-04-29 20:50:45.000000000,2020-05-01 16:31:59.000000000,closed,9,FAQ clarification
407,2020-04-26 15:45:11.000000000,1970-01-01 00:00:00.000000001,open,1,Code smell: word looping to ${#words[@]}-1
406,2020-04-26 13:58:49.000000000,1970-01-01 00:00:00.000000001,open,1,Command/special/mode lookup and specific completion issues
405,2020-04-21 16:33:02.000000000,2020-05-01 16:48:39.000000000,closed,5,make completion does not work any longer on other make variants
404,2020-04-19 01:18:21.000000000,2020-04-19 20:40:52.000000000,closed,1,Change dead Gmane link to lists.gnu.org
403,2020-04-19 01:04:51.000000000,2020-04-19 21:32:42.000000000,closed,2,openssl: update -starttls completions
402,2020-04-03 17:22:50.000000000,2020-04-04 15:51:24.000000000,closed,1,openssl ca expect -selfsign but -selfsig
401,2020-03-30 18:47:32.000000000,2020-04-05 16:59:13.000000000,closed,1,Support xz compressed kernel modules.
400,2020-03-30 12:28:22.000000000,2020-04-11 14:40:43.000000000,closed,2,Add new ssh -Q completions in OpenSSH 8.2p1
399,2020-03-29 15:01:54.000000000,2020-03-29 15:24:34.000000000,closed,0,Could someone help me diagnose a performance issue?
398,2020-03-18 00:44:21.000000000,1970-01-01 00:00:00.000000001,open,3,New completion: apt-mark
397,2020-03-15 07:04:30.000000000,2020-03-18 23:25:55.000000000,closed,1,lintian: complete paths for Ubuntu automatic debug symbols and Debian's buildinfo files
396,2020-03-12 01:11:30.000000000,1970-01-01 00:00:00.000000001,open,2,Speed up Python completion
395,2020-03-05 19:03:28.000000000,1970-01-01 00:00:00.000000001,open,2,binutils completion escapes '='
394,2020-03-04 02:23:35.000000000,1970-01-01 00:00:00.000000001,open,0,Deal properly with variables in paths
393,2020-03-03 13:46:17.000000000,1970-01-01 00:00:00.000000001,open,2,Equal sign confuses completion
392,2020-03-02 00:48:18.000000000,2020-05-24 23:35:06.000000000,closed,1,ip: add more completions for ip-rule
391,2020-03-02 00:15:52.000000000,2020-03-18 23:39:49.000000000,closed,3,ip: add support for netns (based on #21)
390,2020-02-23 23:21:33.000000000,2020-02-24 19:27:20.000000000,closed,3,Check that ruptime is present before calling
389,2020-02-23 21:58:21.000000000,2020-02-24 00:05:17.000000000,closed,4,python: support executables with minor version
388,2020-02-22 13:02:05.000000000,2020-02-25 07:34:09.000000000,closed,4,_xspecs: bad array subscript on alias completion
387,2020-02-21 03:27:01.000000000,2020-02-22 01:51:12.000000000,closed,3,brew install bash-completion@2 not working
386,2020-02-20 01:21:33.000000000,2020-02-22 02:43:03.000000000,closed,1,Adding a completion for $jarsigner  *.apk files
385,2020-02-19 17:02:05.000000000,1970-01-01 00:00:00.000000001,open,1,Update Open Hub
384,2020-01-24 04:12:58.000000000,2020-01-25 03:12:48.000000000,closed,2,aptitude forbid-version ...
383,2020-01-20 22:12:46.000000000,1970-01-01 00:00:00.000000001,open,4,progcomp_alias bash option does not work due to 'complete -F _completion_loader -D'
382,2020-01-20 20:26:43.000000000,2020-01-20 21:38:43.000000000,closed,2,fix a minor flaw in option completion for `nmap`
381,2020-01-20 14:05:51.000000000,1970-01-01 00:00:00.000000001,open,1,Broken completion with xmllint
380,2020-01-17 02:33:07.000000000,2020-01-19 16:41:34.000000000,closed,2,Adding a completion for $cryptsetup luksChangeKey
379,2020-01-03 18:39:11.000000000,2020-01-04 14:54:19.000000000,closed,0,Browsers can still browse .txt files
378,2020-01-02 00:49:23.000000000,1970-01-01 00:00:00.000000001,open,2,_filedir completion for paths with spaces is broken
377,2019-12-30 23:41:19.000000000,1970-01-01 00:00:00.000000001,open,1,completion request: opkg
376,2019-12-23 23:12:47.000000000,2019-12-25 14:22:21.000000000,closed,1,README: add introduction
375,2019-12-11 00:46:59.000000000,2019-12-12 00:54:21.000000000,closed,2,*: complete commands when prefixed with a backslash
374,2019-12-10 09:29:15.000000000,1970-01-01 00:00:00.000000001,open,3,bash-completion@2 2.10 upgrade issue
373,2019-12-08 22:21:10.000000000,2019-12-11 01:03:45.000000000,closed,3,Fix/#368
