id,created_at,closed_at,state,comments,title
1457,2020-08-31 02:38:11.000000000,2020-08-31 06:20:12.000000000,closed,3,Rubocop more updates
1456,2020-08-30 21:35:12.000000000,2020-08-31 00:39:33.000000000,closed,4,Update rubocop
1455,2020-08-28 23:07:09.000000000,2020-08-29 21:56:21.000000000,closed,1,Slide deck: Add antitrust slide
1454,2020-08-24 06:01:55.000000000,2020-08-29 21:44:51.000000000,closed,3,List criteria
1453,2020-08-24 00:25:54.000000000,2020-08-27 01:11:34.000000000,closed,3,Rename route '/criteria' to '/criteria_stats'
1452,2020-08-23 23:06:53.000000000,2020-08-25 00:04:41.000000000,closed,3,Generalize script send-translations
1451,2020-08-16 02:14:33.000000000,2020-08-17 01:40:01.000000000,closed,5,Cannot meet HTTPS requirement
1450,2020-08-14 01:58:34.000000000,1970-01-01 00:00:00.000000001,open,0,"Rename branch ""master"""
1449,2020-08-13 06:19:12.000000000,2020-08-22 00:05:48.000000000,closed,6,"Change whitelist->acceptlist/blacklist->denylist, fixes #1447"
1448,2020-08-12 18:50:25.000000000,2020-08-12 19:45:07.000000000,closed,1,Bump chartkick from 3.3.1 to 3.4.0
1447,2020-08-10 19:52:51.000000000,2020-08-22 00:05:49.000000000,closed,2,"change use of ""white"", ""black"" list terms to ""allow"", ""deny"" list"
1445,2020-08-08 06:25:14.000000000,2020-08-08 08:29:33.000000000,closed,5,is the AGPL (GNU Affero General Public License) acceptable?
1444,2020-08-08 02:38:33.000000000,2020-08-08 06:47:40.000000000,closed,0,Bump kramdown from 2.2.1 to 2.3.0
1443,2020-08-03 18:02:36.000000000,2020-08-30 06:21:12.000000000,closed,3,Use website to generate criteria text views
1442,2020-08-03 07:17:53.000000000,2020-08-05 18:26:40.000000000,closed,6,Remove year in per-file copyright statement
1441,2020-08-03 06:50:05.000000000,2020-08-03 06:56:46.000000000,closed,1,*Actually* Update URL for SPDX license identifiers page
1440,2020-07-31 18:52:17.000000000,2020-07-31 18:55:07.000000000,closed,1,Update link for SPDX license identifiers page
1439,2020-07-08 00:32:25.000000000,2020-08-05 18:28:26.000000000,closed,14,Recommend removing requirement for indicating a year in the copyright date.
1438,2020-07-02 19:08:39.000000000,2020-07-07 18:56:22.000000000,closed,3,"Send CDN purge early, as well as late"
1437,2020-07-02 01:59:25.000000000,2020-07-07 22:37:43.000000000,closed,2,Purge badge image last from CDN
1436,2020-07-02 00:38:02.000000000,1970-01-01 00:00:00.000000001,open,2,Reduce Fastly cache time to 6 hours
1435,2020-07-02 00:24:11.000000000,2020-07-02 01:59:54.000000000,closed,2,Purge CDN last
1434,2020-06-26 19:58:18.000000000,2020-07-01 19:31:18.000000000,closed,2,Tweak hash text further
1433,2020-06-20 00:54:54.000000000,2020-06-26 19:33:00.000000000,closed,10,Add Argon2id from NIST Password Hashing Competion
1432,2020-06-14 00:34:52.000000000,2020-06-16 11:37:08.000000000,closed,8,"Falsely claims: X-Content-Type-Options was not set to ""nosniff"""
1431,2020-06-07 15:29:25.000000000,2020-06-21 07:04:15.000000000,closed,3,Fix incorrect target blank from Google translate
1430,2020-06-06 03:43:14.000000000,2020-08-31 06:21:52.000000000,closed,14,Move translation from translation.io to weblate
1429,2020-06-05 18:41:36.000000000,2020-06-05 19:48:29.000000000,closed,2,Bump websocket-extensions from 0.1.4 to 0.1.5
1428,2020-06-04 21:45:33.000000000,2020-06-05 18:59:05.000000000,closed,3,CONTRIBUTING.md: Explain translations
1427,2020-06-03 20:04:55.000000000,2020-06-04 21:08:15.000000000,closed,2,"Remove x-xss-protection hardening criterion, fixes #1426"
1426,2020-06-03 01:47:14.000000000,2020-06-04 21:08:16.000000000,closed,1,hardened_sites criterion - stop requiring X-XSS-Protection and require CSP
1425,2020-05-30 03:23:52.000000000,2020-05-30 20:18:30.000000000,closed,2,Match hardened site HTTP headers case insensitive
1424,2020-05-29 18:55:47.000000000,1970-01-01 00:00:00.000000001,open,0,Add criteria for privacy data protection
1423,2020-05-29 03:17:31.000000000,2020-08-21 21:24:04.000000000,closed,39,Improve german translation
1422,2020-05-22 18:56:53.000000000,2020-05-26 02:21:41.000000000,closed,1,Bump puma from 4.3.3 to 4.3.5
1421,2020-05-08 06:34:18.000000000,2020-05-18 09:16:33.000000000,closed,3,Report achievement of higher badge levels
1420,2020-04-23 19:23:05.000000000,2020-04-28 05:36:56.000000000,closed,2,Tweak doc/security.md - modified GitHub edit check
1419,2020-04-19 05:40:12.000000000,2020-04-20 01:23:57.000000000,closed,1,Check GitHub permissions using repos API; Fixes #1418
1418,2020-04-14 19:39:57.000000000,2020-04-20 01:23:57.000000000,closed,21,"""Error 503 first byte timeout"""
1417,2020-04-11 23:31:20.000000000,2020-04-11 23:36:42.000000000,closed,2,Update ruby to 2.6.6
1416,2020-03-26 01:09:30.000000000,1970-01-01 00:00:00.000000001,open,3,Be careful of dynamic assertions
1415,2020-03-20 07:51:31.000000000,2020-03-22 19:47:17.000000000,closed,3,Update projects_controller_test.rb
1414,2020-03-19 02:06:16.000000000,2020-03-19 19:00:20.000000000,closed,2,https://bestpractices.coreinfrastructure.org/en/projects/212 has a bad URL
1413,2020-03-06 23:54:40.000000000,1970-01-01 00:00:00.000000001,open,13,Unable to remove user with badge editing privileges
1412,2020-03-03 18:55:17.000000000,2020-03-06 01:24:21.000000000,closed,2,Update UsersControllerTest
1411,2020-02-29 09:06:54.000000000,2020-03-02 06:56:30.000000000,closed,3,Switch integration test
1410,2020-02-28 04:27:28.000000000,2020-02-28 04:45:56.000000000,closed,1,Update gem rack-timeout (0.4.2->0.6.0)
1409,2020-02-28 02:28:07.000000000,2020-02-28 02:37:11.000000000,closed,1,Update gem paper_trail (9.0.1->10.3.1) + tests
1408,2020-02-28 00:37:30.000000000,2020-02-28 00:40:20.000000000,closed,1,Update Puma webserver to version 4.3.2
1407,2020-02-27 21:37:09.000000000,2020-02-27 21:54:07.000000000,closed,1,Minor updates of many gems
1406,2020-02-27 04:33:02.000000000,2020-02-27 21:08:15.000000000,closed,1,"""Bundle update"" transitive dependencies"
1405,2020-02-27 04:17:17.000000000,2020-02-27 04:18:03.000000000,closed,1,DO NOT MERGE: Experiment with gem tainted_love
1404,2020-02-27 03:56:48.000000000,2020-02-27 21:00:03.000000000,closed,2,Update test/controllers/sessions_controller_test.rb
1403,2020-02-27 02:03:06.000000000,2020-02-27 02:18:56.000000000,closed,2,Document ActionController::TestCase is obsolete
