id,created_at,closed_at,state,comments,title
10152,2020-08-31 05:16:11.000000000,1970-01-01 00:00:00.000000001,open,4,Defaults nosave giving an error
10151,2020-08-29 19:49:07.000000000,1970-01-01 00:00:00.000000001,open,2,Is it possible to ignore a string between limiting characters on the MSP connection
10150,2020-08-28 23:51:24.000000000,1970-01-01 00:00:00.000000001,open,1,Fixed misaligned report 'usages' and added more channels to HID joystick
10149,2020-08-28 23:41:51.000000000,2020-08-31 17:39:45.000000000,closed,3,seting custom mavlink streams rates
10148,2020-08-28 04:59:10.000000000,1970-01-01 00:00:00.000000001,open,0,Poor flight quality and high filtering needed to fly ok very hard to tune 
10147,2020-08-28 01:11:38.000000000,1970-01-01 00:00:00.000000001,open,1,No Stick Input
10146,2020-08-27 02:37:15.000000000,2020-08-29 08:12:47.000000000,closed,2,Fix debug names not unique with only 12 chars
10145,2020-08-26 09:01:55.000000000,1970-01-01 00:00:00.000000001,open,13,Bug that make motor 1 and 4 fail  under certain circumstances
10144,2020-08-26 02:51:09.000000000,1970-01-01 00:00:00.000000001,open,5,HOTT Telemetry Textmode not working from 4.2.0
10143,2020-08-26 02:31:19.000000000,1970-01-01 00:00:00.000000001,open,4,HGLRCF722 - USER1 Issue
10142,2020-08-26 02:26:53.000000000,1970-01-01 00:00:00.000000001,open,0,HGLRCF722 - LED Issue
10141,2020-08-26 00:58:40.000000000,1970-01-01 00:00:00.000000001,open,0,Bidirectional DSHOT not working on SPRACINGH7EXTREME
10140,2020-08-25 10:39:18.000000000,1970-01-01 00:00:00.000000001,open,15,usb_hid_cdc = on not detecting all controls by windows 10 game controller.
10139,2020-08-25 02:20:00.000000000,1970-01-01 00:00:00.000000001,open,4,Bug with Tmotor F7 HD fc current sensor in BF 4.2.2 ?
10138,2020-08-24 21:27:06.000000000,2020-08-27 01:11:29.000000000,closed,0,[G4] Camera control support
10137,2020-08-24 21:24:45.000000000,2020-08-27 01:10:38.000000000,closed,0,[G4] I2C Add I2C pins overloaded with SWD pins
10136,2020-08-24 21:21:23.000000000,1970-01-01 00:00:00.000000001,open,0,[G4] TIMER timer_def.h update
10135,2020-08-24 17:21:11.000000000,2020-08-26 12:21:16.000000000,closed,0,Fixed the check if only documentation was changed in Travis.
10134,2020-08-24 17:19:32.000000000,2020-08-26 11:09:39.000000000,closed,1,Fixed broken tests after #10080.
10133,2020-08-24 16:40:05.000000000,1970-01-01 00:00:00.000000001,open,2,Update Mixer.md
10132,2020-08-24 03:34:22.000000000,1970-01-01 00:00:00.000000001,open,4,Update Mixer.md
10131,2020-08-23 16:08:16.000000000,1970-01-01 00:00:00.000000001,open,2,Add SLOW_CODE macro for deliberately non-performant code
10130,2020-08-23 16:02:06.000000000,1970-01-01 00:00:00.000000001,open,0,Rename + Consolidate USE_CCM_*/ITCM_*
10129,2020-08-23 12:00:46.000000000,2020-08-29 08:09:42.000000000,closed,0,Fix default baro handling and address for DPS310
10128,2020-08-23 11:51:56.000000000,2020-08-24 16:46:13.000000000,closed,1,Rename macros used in FAST_RAM/DATA
10127,2020-08-23 11:43:05.000000000,1970-01-01 00:00:00.000000001,open,0,Rename macros used in FAST_RAM/DATA
