id,created_at,closed_at,merged_at,state,merged
107,2015-12-10 19:25:17.000000000,2015-12-10 19:26:30.000000000,2015-12-10 19:26:30.000000000,closed,True
114,2015-12-24 10:24:55.000000000,2015-12-24 10:32:53.000000000,2015-12-24 10:32:53.000000000,closed,True
118,2016-01-07 21:18:38.000000000,2016-01-08 11:39:07.000000000,2016-01-08 11:39:07.000000000,closed,True
126,2016-01-19 01:28:37.000000000,2016-01-19 16:16:28.000000000,2016-01-19 16:16:28.000000000,closed,True
127,2016-01-19 01:39:10.000000000,2016-01-19 16:16:56.000000000,2016-01-19 16:16:56.000000000,closed,True
130,2016-01-19 16:02:44.000000000,2016-01-19 16:02:52.000000000,2016-01-19 16:02:52.000000000,closed,True
131,2016-01-19 16:26:43.000000000,2016-01-19 16:27:00.000000000,2016-01-19 16:27:00.000000000,closed,True
134,2016-01-19 19:04:10.000000000,2016-01-19 19:04:15.000000000,2016-01-19 19:04:15.000000000,closed,True
152,2016-01-29 06:11:40.000000000,2016-01-29 11:20:45.000000000,2016-01-29 11:20:44.000000000,closed,True
165,2016-01-30 21:57:11.000000000,2016-01-30 23:17:22.000000000,2016-01-30 23:17:22.000000000,closed,True
166,2016-01-30 23:55:54.000000000,2016-01-31 00:07:54.000000000,2016-01-31 00:07:54.000000000,closed,True
169,2016-02-02 17:21:34.000000000,2016-02-02 17:23:00.000000000,2016-02-02 17:23:00.000000000,closed,True
171,2016-02-02 17:34:02.000000000,2016-02-02 17:35:13.000000000,2016-02-02 17:35:13.000000000,closed,True
269,2016-02-17 14:50:25.000000000,2016-02-17 14:52:37.000000000,1970-01-01 00:00:00.000000001,closed,False
367,2016-02-25 15:32:59.000000000,2016-02-25 15:41:22.000000000,1970-01-01 00:00:00.000000001,closed,False
428,2016-03-11 16:12:29.000000000,2016-03-11 16:14:20.000000000,2016-03-11 16:14:20.000000000,closed,True
478,2016-03-16 17:22:49.000000000,2016-03-16 17:22:59.000000000,2016-03-16 17:22:59.000000000,closed,True
531,2016-03-24 18:54:08.000000000,2016-03-25 10:29:23.000000000,2016-03-25 10:29:23.000000000,closed,True
586,2016-04-14 14:40:23.000000000,2016-04-16 08:59:56.000000000,2016-04-16 08:59:56.000000000,closed,True
636,2016-05-10 19:59:18.000000000,2016-05-20 18:11:09.000000000,2016-05-20 18:11:09.000000000,closed,True
640,2016-05-18 03:19:50.000000000,2016-05-20 18:11:24.000000000,2016-05-20 18:11:24.000000000,closed,True
667,2016-06-04 17:49:20.000000000,2016-06-06 08:56:48.000000000,2016-06-06 08:56:48.000000000,closed,True
699,2016-06-30 17:24:18.000000000,2016-06-30 17:28:28.000000000,2016-06-30 17:28:28.000000000,closed,True
725,2016-07-29 12:41:02.000000000,2016-08-06 18:59:30.000000000,1970-01-01 00:00:00.000000001,closed,False
747,2016-08-10 13:41:11.000000000,2017-01-13 11:17:00.000000000,1970-01-01 00:00:00.000000001,closed,False
790,2016-09-06 18:42:39.000000000,2016-10-14 14:35:27.000000000,2016-10-14 14:35:27.000000000,closed,True
848,2016-10-06 19:59:47.000000000,2016-10-14 13:56:13.000000000,2016-10-14 13:56:13.000000000,closed,True
959,2017-01-02 22:19:59.000000000,2017-01-13 11:14:14.000000000,1970-01-01 00:00:00.000000001,closed,False
964,2017-01-10 14:15:58.000000000,2017-01-12 10:47:46.000000000,1970-01-01 00:00:00.000000001,closed,False
970,2017-01-13 04:58:45.000000000,2017-01-13 10:19:42.000000000,1970-01-01 00:00:00.000000001,closed,False
975,2017-01-23 16:02:16.000000000,2017-01-23 16:05:50.000000000,2017-01-23 16:05:50.000000000,closed,True
1004,2017-02-01 15:29:00.000000000,2017-02-01 15:32:22.000000000,2017-02-01 15:32:22.000000000,closed,True
1039,2017-02-21 14:19:18.000000000,2017-02-21 14:20:45.000000000,2017-02-21 14:20:45.000000000,closed,True
1180,2017-05-19 18:22:19.000000000,2017-05-19 18:29:38.000000000,2017-05-19 18:29:38.000000000,closed,True
1199,2017-06-24 15:54:30.000000000,2017-06-24 15:58:37.000000000,2017-06-24 15:58:37.000000000,closed,True
1203,2017-06-27 15:39:41.000000000,2017-06-28 11:58:03.000000000,2017-06-28 11:58:03.000000000,closed,True
1214,2017-06-29 16:21:59.000000000,2017-06-29 16:23:55.000000000,2017-06-29 16:23:55.000000000,closed,True
1312,2017-09-11 16:26:27.000000000,2017-09-11 16:37:01.000000000,2017-09-11 16:37:01.000000000,closed,True
1313,2017-09-11 17:31:20.000000000,2017-09-11 17:31:30.000000000,2017-09-11 17:31:30.000000000,closed,True
1319,2017-09-12 12:27:36.000000000,2017-09-12 12:27:44.000000000,2017-09-12 12:27:44.000000000,closed,True
1386,2017-11-08 18:07:39.000000000,2017-11-08 18:47:21.000000000,2017-11-08 18:47:21.000000000,closed,True
1387,2017-11-08 18:52:54.000000000,2017-11-08 18:53:05.000000000,2017-11-08 18:53:05.000000000,closed,True
1512,2018-02-01 15:46:09.000000000,2018-02-01 15:54:48.000000000,2018-02-01 15:54:48.000000000,closed,True
1513,2018-02-01 16:38:51.000000000,2018-02-01 16:39:27.000000000,2018-02-01 16:39:27.000000000,closed,True
1596,2018-02-28 12:29:43.000000000,2018-02-28 12:36:28.000000000,2018-02-28 12:36:28.000000000,closed,True
1598,2018-02-28 15:32:44.000000000,2018-02-28 15:35:01.000000000,2018-02-28 15:35:01.000000000,closed,True
1706,2018-03-29 14:45:56.000000000,2018-03-29 14:47:37.000000000,2018-03-29 14:47:37.000000000,closed,True
1707,2018-03-29 15:22:02.000000000,2018-03-29 15:26:41.000000000,2018-03-29 15:26:41.000000000,closed,True
1829,2018-05-22 12:55:45.000000000,2018-05-22 13:41:51.000000000,2018-05-22 13:41:51.000000000,closed,True
1831,2018-05-22 17:35:49.000000000,2018-05-22 17:40:29.000000000,2018-05-22 17:40:29.000000000,closed,True
1850,2018-05-28 09:40:30.000000000,2018-05-28 09:57:00.000000000,2018-05-28 09:57:00.000000000,closed,True
2186,2018-11-01 15:18:47.000000000,2018-11-01 15:48:26.000000000,2018-11-01 15:48:26.000000000,closed,True
2188,2018-11-01 16:39:10.000000000,2018-11-01 16:39:33.000000000,2018-11-01 16:39:33.000000000,closed,True
2191,2018-11-02 11:20:01.000000000,2018-11-02 11:20:24.000000000,2018-11-02 11:20:24.000000000,closed,True
2562,2019-04-24 18:22:35.000000000,2019-04-24 18:24:19.000000000,2019-04-24 18:24:19.000000000,closed,True
