id,created_at,closed_at,merged_at,state,merged
8,2016-10-20 21:25:38.000000000,2016-10-20 21:36:42.000000000,1970-01-01 00:00:00.000000001,closed,False
9,2016-10-20 21:45:35.000000000,2016-10-20 22:01:59.000000000,2016-10-20 22:01:59.000000000,closed,True
10,2016-10-20 22:04:33.000000000,2016-10-20 22:13:17.000000000,2016-10-20 22:13:17.000000000,closed,True
13,2016-10-21 19:14:23.000000000,2016-10-21 19:15:16.000000000,2016-10-21 19:15:16.000000000,closed,True
18,2016-11-04 15:13:58.000000000,2016-11-05 11:30:56.000000000,2016-11-05 11:30:56.000000000,closed,True
21,2016-11-08 20:44:04.000000000,2016-11-08 22:54:38.000000000,2016-11-08 22:54:38.000000000,closed,True
26,2016-11-18 06:15:32.000000000,2016-11-18 14:05:10.000000000,2016-11-18 14:05:10.000000000,closed,True
27,2016-11-20 19:21:41.000000000,2016-11-21 02:25:39.000000000,2016-11-21 02:25:39.000000000,closed,True
30,2016-11-29 00:58:41.000000000,2016-11-29 01:35:58.000000000,2016-11-29 01:35:58.000000000,closed,True
35,2016-12-05 20:04:25.000000000,2016-12-05 20:07:07.000000000,2016-12-05 20:07:07.000000000,closed,True
37,2016-12-07 17:56:08.000000000,2016-12-07 18:02:41.000000000,2016-12-07 18:02:41.000000000,closed,True
38,2016-12-10 17:02:11.000000000,2016-12-11 13:18:54.000000000,2016-12-11 13:18:54.000000000,closed,True
41,2016-12-13 13:16:00.000000000,2016-12-13 13:18:39.000000000,2016-12-13 13:18:39.000000000,closed,True
42,2016-12-13 23:36:44.000000000,2016-12-13 23:42:11.000000000,2016-12-13 23:42:11.000000000,closed,True
44,2016-12-16 04:48:00.000000000,2016-12-16 14:58:00.000000000,2016-12-16 14:58:00.000000000,closed,True
46,2016-12-17 02:02:25.000000000,2016-12-20 21:56:19.000000000,2016-12-20 21:56:19.000000000,closed,True
47,2016-12-21 16:12:34.000000000,2016-12-22 13:38:18.000000000,2016-12-22 13:38:18.000000000,closed,True
50,2016-12-24 01:51:38.000000000,2016-12-27 18:28:49.000000000,2016-12-27 18:28:49.000000000,closed,True
51,2016-12-24 20:00:02.000000000,2016-12-24 20:51:11.000000000,2016-12-24 20:51:11.000000000,closed,True
52,2016-12-27 18:33:32.000000000,2016-12-27 18:33:40.000000000,2016-12-27 18:33:40.000000000,closed,True
54,2016-12-30 20:45:36.000000000,2016-12-30 20:45:46.000000000,2016-12-30 20:45:46.000000000,closed,True
55,2016-12-31 18:26:13.000000000,2017-01-02 12:00:00.000000000,2017-01-02 12:00:00.000000000,closed,True
59,2017-01-04 19:19:13.000000000,2017-01-05 08:46:11.000000000,2017-01-05 08:46:11.000000000,closed,True
62,2017-01-06 17:30:41.000000000,2017-01-28 13:28:58.000000000,1970-01-01 00:00:00.000000001,closed,False
65,2017-01-09 15:39:14.000000000,2017-01-09 18:04:38.000000000,2017-01-09 18:04:38.000000000,closed,True
66,2017-01-10 11:37:16.000000000,2017-01-10 11:39:44.000000000,2017-01-10 11:39:44.000000000,closed,True
