id,created_at,closed_at,state,comments,title
2168,2020-08-28 06:36:56.000000000,1970-01-01 00:00:00.000000001,open,0,Daemonset does not provision to master nodes - cni failed to set up pod
2167,2020-08-27 20:26:38.000000000,2020-08-27 20:37:20.000000000,closed,0,Fix the default value of the K8s client QPS
2166,2020-08-27 20:16:14.000000000,2020-08-27 21:10:53.000000000,closed,0,Fix the default value of the K8s client QPS
2165,2020-08-26 21:08:06.000000000,2020-08-26 21:36:00.000000000,closed,0,Update pins
2164,2020-08-26 01:40:00.000000000,2020-08-26 02:39:54.000000000,closed,0,Update pins
2163,2020-08-18 22:31:02.000000000,1970-01-01 00:00:00.000000001,open,0,proposal: allow timeout configuration
2162,2020-08-14 05:34:43.000000000,1970-01-01 00:00:00.000000001,open,4,Version poll
2161,2020-08-13 01:52:04.000000000,2020-08-14 00:41:06.000000000,closed,2,Add ability to specify directory as filename parameter
2160,2020-08-13 00:05:39.000000000,2020-08-13 01:02:18.000000000,closed,0,CRD import fixes
2159,2020-08-09 03:41:24.000000000,2020-08-11 01:02:25.000000000,closed,1,calicoctl kubeconfig fallback
2158,2020-08-08 02:00:13.000000000,2020-08-13 22:29:10.000000000,closed,2,Calico util to apply manifests
2157,2020-08-05 00:23:10.000000000,2020-08-05 02:42:06.000000000,closed,0,Remove vendor dir if it exists on clean
2156,2020-07-29 17:23:47.000000000,1970-01-01 00:00:00.000000001,open,5,Provide Debian/Ubuntu packages on PPA
2155,2020-07-29 03:58:08.000000000,2020-07-29 19:43:12.000000000,closed,0,Upgrade to Golang 1.14
2154,2020-07-22 19:58:49.000000000,2020-07-23 00:39:04.000000000,closed,1,pin-updates libcalico-go
2153,2020-07-16 01:41:06.000000000,2020-07-16 01:57:34.000000000,closed,0,Update libcalico-go pin
2152,2020-07-13 03:40:22.000000000,2020-07-13 21:21:00.000000000,closed,0,Fix import from libcalico-go
2151,2020-07-11 23:50:45.000000000,2020-08-12 23:59:30.000000000,closed,0,Update crds
