id,created_at,closed_at,state,comments,title
881,2020-08-29 00:45:52.000000000,1970-01-01 00:00:00.000000001,open,0,"Spike in ""Trust anchor for certification path not found "" errors"
880,2020-08-27 07:20:00.000000000,1970-01-01 00:00:00.000000001,open,1,How can I change the list of TLS extensions set?
879,2020-08-25 14:32:20.000000000,1970-01-01 00:00:00.000000001,open,0,GTS test failing because of undefined symbols
878,2020-08-24 06:08:55.000000000,1970-01-01 00:00:00.000000001,open,1,keytool now calls Signature.getParameters() and Conscrypt throws UnsupportedOperationException
877,2020-08-20 00:12:04.000000000,2020-08-26 12:17:47.000000000,closed,9,Public API change in 2.5.0 - ConscryptHostnameVerifier
876,2020-08-19 21:21:47.000000000,1970-01-01 00:00:00.000000001,open,0,Update implementation notes for 2.5.0
875,2020-08-19 18:43:35.000000000,2020-08-19 20:48:48.000000000,closed,0,Update README for version 2.5.0.
874,2020-08-16 01:34:09.000000000,1970-01-01 00:00:00.000000001,open,0,java.lang.UnsatisfiedLinkError: libconscrypt_openjdk_jni-linux-x86_64.so: libstdc++.so.6: cannot open shared object file: No such file or directory
873,2020-08-14 16:38:31.000000000,2020-08-19 17:30:49.000000000,closed,0,Start 2.6 development cycle
872,2020-08-14 16:32:45.000000000,2020-08-17 12:29:38.000000000,closed,0,Use SSLEngine-based SSLSocket by default.
871,2020-08-13 15:21:26.000000000,2020-08-13 18:01:15.000000000,closed,0,Add a boolean to OpenSSLAeadCipher to control optimisations.
870,2020-08-12 21:00:29.000000000,2020-08-13 12:54:56.000000000,closed,0,Minor changes for error-prone lints errors.
869,2020-08-01 16:38:04.000000000,2020-08-06 13:36:39.000000000,closed,2,Socket is closed when trying to download from ariva.de
868,2020-07-31 18:18:43.000000000,2020-07-31 19:47:11.000000000,closed,0,Update language to comply with Android's inclusive language guidance
867,2020-07-25 03:39:02.000000000,2020-08-13 20:32:54.000000000,closed,15,Added AOSP OkHostnameVerifier to have usable default ConscryptHostnameVerifier
866,2020-07-24 02:23:36.000000000,2020-07-29 20:50:05.000000000,closed,0,Added vector copy to avoid overlapping Buffer error
865,2020-07-21 18:02:44.000000000,2020-07-21 18:52:38.000000000,closed,0,Lint and style tidy-ups.
864,2020-07-21 06:12:28.000000000,1970-01-01 00:00:00.000000001,open,3,Indefinite blocks on NativeCrypto.SSL_do_handshake
863,2020-07-20 21:46:36.000000000,2020-08-13 08:35:59.000000000,closed,3,"Conscrypt raise ""java.lang.IllegalArgumentException: Not a Conscrypt trust manager: org.conscrypt.TrustManagerImpl"""
862,2020-07-18 22:55:07.000000000,2020-07-28 19:49:09.000000000,closed,4,Windows XP Support
861,2020-07-10 22:00:49.000000000,1970-01-01 00:00:00.000000001,open,5,Android 8/8.1 Unrecognized revocation parameter option: ONLY_END_ENTITY
860,2020-07-07 19:55:31.000000000,1970-01-01 00:00:00.000000001,open,0,Fatal Exception: java.lang.UnsatisfiedLinkError - through out all Android version
859,2020-07-02 00:46:17.000000000,2020-07-20 15:44:10.000000000,closed,2,Removed unnecessary ByteBuffer to Byte Array conversion for Cipher.doFinal calls
858,2020-06-27 22:31:20.000000000,1970-01-01 00:00:00.000000001,open,0,Build instructions for aarch64
857,2020-06-24 14:55:36.000000000,1970-01-01 00:00:00.000000001,open,2,A problem occurred evaluating project ':conscrypt-api-doclet'.
856,2020-06-20 05:59:58.000000000,2020-06-20 12:40:43.000000000,closed,4,Use a bunch of BoringSSL accessors.
855,2020-06-19 20:12:01.000000000,2020-06-19 20:45:37.000000000,closed,0,Remove redundant X509_ALGOR_cmp check.
854,2020-06-15 18:15:09.000000000,2020-06-15 20:40:06.000000000,closed,0,Allow creation of OpenSSLKeys from hardware-backed EVP_PKEYs.
853,2020-06-15 16:15:43.000000000,2020-06-15 20:51:28.000000000,closed,0,Push AliasChooser implementation down to leaf classes.
852,2020-06-11 05:32:17.000000000,1970-01-01 00:00:00.000000001,open,2,PKIX path building failed
851,2020-06-10 09:39:58.000000000,1970-01-01 00:00:00.000000001,open,2,org.conscrypt.NativeSslSession$Impl.isValid throws NPE
850,2020-06-08 17:47:56.000000000,2020-06-11 12:39:22.000000000,closed,4,Are there plans to support ppc64le architecture?
849,2020-06-02 04:23:24.000000000,2020-06-15 18:14:39.000000000,closed,3,Suppress stack-trace filling of ShortBufferException
848,2020-05-22 16:18:38.000000000,1970-01-01 00:00:00.000000001,open,1,Exception in Android 4.4 x86 emulator for version 2.4.0
847,2020-05-21 11:54:47.000000000,1970-01-01 00:00:00.000000001,open,3,Visibility into TLS events or API to write out key logs
846,2020-05-19 14:05:19.000000000,2020-05-20 07:38:18.000000000,closed,2,Conscrypt giving error on Linux environment
845,2020-05-01 23:04:16.000000000,1970-01-01 00:00:00.000000001,open,0,Throw SSLException if SSLEngine inbound is closed before outbound.
844,2020-04-30 01:30:27.000000000,2020-06-15 20:53:48.000000000,closed,1,Fix ConscryptEngineSocket.close().
843,2020-04-29 22:25:02.000000000,2020-05-01 16:33:26.000000000,closed,1,Return correct esxception if SSLEngine.beginHandshake is called twice.
842,2020-04-29 22:06:55.000000000,2020-04-30 01:24:47.000000000,closed,4,Fix ConscryptEngineSocket.close().
841,2020-04-28 15:39:53.000000000,2020-04-28 16:12:18.000000000,closed,0,Clean up EXPECTED_BLOCK_SIZE
840,2020-04-24 18:05:29.000000000,2020-05-01 16:33:26.000000000,closed,1,SSLEngine.beginHandshake() should throw SSLException after it was closed
839,2020-04-24 18:03:14.000000000,1970-01-01 00:00:00.000000001,open,1,SSLEngine.closeInbound() should throw SSLException if no close notification was received
838,2020-04-24 15:32:55.000000000,1970-01-01 00:00:00.000000001,open,6,Add support for Java 15 
837,2020-04-23 01:58:19.000000000,2020-04-24 18:37:29.000000000,closed,0,Add more coverage for OpenSSLRSAKeyFactory and OpenSSLECPrivateKey
836,2020-04-21 17:17:16.000000000,1970-01-01 00:00:00.000000001,open,4,Fatal Exception: java.lang.UnsatisfiedLinkError
835,2020-04-21 05:15:12.000000000,1970-01-01 00:00:00.000000001,open,27,Severe memory leak when setUseEngineSocketByDefault(true)
834,2020-04-21 02:52:20.000000000,1970-01-01 00:00:00.000000001,open,6,provideTrustManagerByDefault should be false in OpenJDK
833,2020-04-16 21:55:08.000000000,1970-01-01 00:00:00.000000001,open,3,SSL Exception when downloading html
832,2020-04-15 04:23:05.000000000,1970-01-01 00:00:00.000000001,open,2,Set application protocols on Android does not actually do the configuration 
831,2020-04-13 12:35:27.000000000,1970-01-01 00:00:00.000000001,open,1,Reading properties by `getResourceAsStream` is really slow on Android
830,2020-04-06 21:09:44.000000000,2020-04-07 12:56:56.000000000,closed,1,Propagate socket implementation type changes to default factories.
829,2020-03-31 20:21:51.000000000,1970-01-01 00:00:00.000000001,open,1,Are there plans to support the ed25519 algorithm?
828,2020-03-30 15:37:44.000000000,1970-01-01 00:00:00.000000001,open,3,Where to find any example of how to use Conscrypt?
827,2020-03-25 05:06:55.000000000,1970-01-01 00:00:00.000000001,open,1,[feature request] provide debug conscrypt so/dylib or method enable kWithJniTraceKeys
826,2020-03-23 19:48:49.000000000,1970-01-01 00:00:00.000000001,open,0,Public class OpenSSLKey && OpenSSLRSAPrivateKey
825,2020-03-12 15:22:36.000000000,2020-03-13 15:40:34.000000000,closed,0,Update README for 2.4.0 release.
824,2020-03-12 15:03:21.000000000,2020-03-12 18:55:43.000000000,closed,0,Include javadoc when publishing openjdk uber jar.
823,2020-03-11 20:21:59.000000000,2020-03-12 14:10:29.000000000,closed,0,"Use repository ID when publishing, if specified."
822,2020-03-06 12:36:34.000000000,2020-03-09 12:24:49.000000000,closed,2,How to specify SSLKEYLOGFILE to print tls handshake secret to file?
821,2020-03-03 13:00:00.000000000,1970-01-01 00:00:00.000000001,open,4,Conscrypt fails on _ in domain name
820,2020-03-02 22:40:37.000000000,2020-03-04 16:59:17.000000000,closed,21,Conscrypt build failure
819,2020-02-29 01:54:36.000000000,2020-03-02 21:48:40.000000000,closed,0,Travis-CI: remove MacOS
818,2020-02-28 23:05:12.000000000,2020-04-29 22:16:48.000000000,closed,0,Allow selection of fd-based SSLSocket using a flag file.
817,2020-02-28 05:42:43.000000000,2020-03-02 22:34:08.000000000,closed,0,"Revert ""Skip some tests on Zulu release of OpenJDK"""
816,2020-02-24 18:32:02.000000000,2020-02-24 20:24:42.000000000,closed,0,Use X509ExtendedKeyManager in compatibility tests.
815,2020-02-20 21:49:44.000000000,2020-02-21 15:11:43.000000000,closed,3,Fix alias choices in ConscryptEngineSocket.
814,2020-02-20 06:09:21.000000000,2020-02-25 03:46:10.000000000,closed,7,handshake_error on OpenJDK 11 when using Conscrypt
813,2020-02-14 20:25:35.000000000,2020-02-16 17:49:00.000000000,closed,0,Start 2.5 development cycle
812,2020-02-13 22:24:31.000000000,2020-02-14 20:51:33.000000000,closed,0,AppVeyor: remove in favor of GitHub Actions
811,2020-02-11 04:31:55.000000000,1970-01-01 00:00:00.000000001,open,1,Simplify shading of conscrypt
810,2020-02-10 22:40:33.000000000,2020-02-11 17:18:24.000000000,closed,0,Release event after select on Windows. Fixes #799.
809,2020-02-10 22:35:15.000000000,2020-02-11 16:00:19.000000000,closed,0,Close resources InputStream after use.  Fixes #801.
808,2020-02-10 13:07:57.000000000,1970-01-01 00:00:00.000000001,open,13, 148239127 [VE-49][00493830]Devices validating Quovadis CRL fail to decode with boring SSL
807,2020-02-07 13:36:57.000000000,2020-02-10 20:58:37.000000000,closed,1,Unreleased Resource: Streams
806,2020-01-31 22:43:34.000000000,2020-02-01 00:36:09.000000000,closed,0,Update Mockito and Google Truth versions
805,2020-01-30 19:15:12.000000000,2020-04-24 16:02:11.000000000,closed,6,FIPS Issue
