id,created_at,closed_at,state,comments,title
2321,2020-08-27 20:10:16.000000000,1970-01-01 00:00:00.000000001,open,11,Add Go Topic
2320,2020-08-26 19:49:47.000000000,1970-01-01 00:00:00.000000001,open,7,[regex] Add 3 new Regex workouts
2319,2020-08-26 16:12:02.000000000,1970-01-01 00:00:00.000000001,open,6,Add new topic colors and icons
2318,2020-08-26 12:25:12.000000000,2020-08-26 12:31:22.000000000,closed,2,Web - Nested Lists
2317,2020-08-25 12:57:32.000000000,2020-08-25 13:06:59.000000000,closed,2,Python - String Operations
2316,2020-08-21 14:34:54.000000000,2020-08-21 14:53:30.000000000,closed,3,Update move-the-last-commit-to-a-new-branch.md
2315,2020-08-20 13:59:17.000000000,2020-08-20 14:00:47.000000000,closed,2,"Coding Intro - Robot, Assemble the Sandwich"
2314,2020-08-20 13:23:40.000000000,2020-08-20 13:26:42.000000000,closed,2,Security - Analyze Dependencies
2313,2020-08-20 12:59:26.000000000,2020-08-20 13:05:57.000000000,closed,2,Regex - Why learn Regex?
2312,2020-08-19 18:44:51.000000000,2020-08-24 14:21:45.000000000,closed,24,Add workouts 13-28 for Spreadsheets
2311,2020-08-19 00:29:29.000000000,2020-08-19 12:58:56.000000000,closed,1,Applying correct syntax to the example
2310,2020-08-18 14:35:42.000000000,2020-08-18 14:38:17.000000000,closed,3,"Coding Intro - Robot, Assemble The Sandwich"
2309,2020-08-18 13:01:27.000000000,2020-08-18 13:09:54.000000000,closed,2,fix revision questions
2308,2020-08-17 13:16:40.000000000,2020-08-17 13:19:19.000000000,closed,0,Changelog
2307,2020-08-15 00:34:00.000000000,2020-08-17 13:07:25.000000000,closed,5,Fixed typo for Java example
2306,2020-08-13 12:16:01.000000000,2020-08-13 12:21:43.000000000,closed,1,Security - OWASP
2305,2020-08-12 13:41:36.000000000,2020-08-12 13:50:31.000000000,closed,0,Web
2304,2020-08-12 12:47:07.000000000,2020-08-12 12:56:02.000000000,closed,1,SQL - SELECT Structure
2303,2020-08-10 18:12:00.000000000,2020-08-10 18:12:45.000000000,closed,1,Linux - What is SSH?
2302,2020-08-10 17:03:56.000000000,2020-08-10 17:10:50.000000000,closed,1,SQL - Foreign Keys
2301,2020-08-10 16:48:52.000000000,2020-08-10 16:52:31.000000000,closed,1,JavaScript - Listening to events just once
2300,2020-08-10 15:37:26.000000000,2020-08-10 15:39:02.000000000,closed,1,JavaScript - Const (Part 2)
2299,2020-08-10 14:38:17.000000000,2020-08-10 14:48:59.000000000,closed,1,"Coding Intro - Robot, Assemble The Sandwich"
2298,2020-08-10 14:13:53.000000000,2020-08-10 21:00:29.000000000,closed,2,[data analysis] Update basic-terminology-i.md based on user insight
2297,2020-08-10 13:46:33.000000000,2020-08-10 13:53:35.000000000,closed,1,JavaScript Basics - Part 1
2296,2020-08-10 13:07:38.000000000,2020-08-10 13:11:24.000000000,closed,1,Coding Intro - Programs & Data
2295,2020-08-04 20:03:41.000000000,2020-08-04 20:35:13.000000000,closed,0,Update README.md
2294,2020-08-04 20:02:06.000000000,2020-08-04 20:32:45.000000000,closed,0,Update README.md
2293,2020-08-04 19:59:35.000000000,2020-08-04 20:32:04.000000000,closed,0,Update README.md
2292,2020-08-04 15:48:56.000000000,2020-08-04 17:03:09.000000000,closed,1,[fix] Update data-analysis-process.md
2291,2020-07-31 18:30:39.000000000,2020-07-31 18:32:40.000000000,closed,1,Data Analysis - Data Visualization
2290,2020-07-30 14:38:22.000000000,2020-07-30 15:06:36.000000000,closed,0,Data Analysis
2289,2020-07-27 20:43:41.000000000,2020-08-10 20:57:11.000000000,closed,1,Update html-select.md
2288,2020-07-27 13:49:38.000000000,2020-07-27 13:50:35.000000000,closed,0,Changelog
2287,2020-07-24 19:55:48.000000000,2020-07-27 13:34:14.000000000,closed,1,Meaningless (for regex) parentheses removed
2286,2020-07-24 19:51:45.000000000,2020-07-27 13:20:13.000000000,closed,1,Typo fix (text as regex)
2285,2020-07-24 15:15:43.000000000,2020-07-24 15:21:07.000000000,closed,0,Data Analysis
2284,2020-07-24 14:41:27.000000000,2020-07-24 14:42:14.000000000,closed,0,Data Analysis
2283,2020-07-24 14:38:18.000000000,2020-07-24 14:39:01.000000000,closed,1,Data Analysis
2282,2020-07-24 14:09:07.000000000,2020-07-24 14:15:49.000000000,closed,2,Data Analysis
2281,2020-07-24 13:39:25.000000000,2020-07-24 13:42:52.000000000,closed,1,Data Analysis
2280,2020-07-24 13:15:36.000000000,2020-07-24 13:21:52.000000000,closed,0,Changelog
2279,2020-07-24 05:30:30.000000000,2020-07-24 06:23:51.000000000,closed,1,Update basic-terminology-ii.md
2278,2020-07-22 14:36:29.000000000,2020-07-22 14:41:38.000000000,closed,1,JavaScript - How to merge two arrays
2277,2020-07-21 20:20:52.000000000,2020-07-22 13:55:10.000000000,closed,1,Place arguments in correct order
2276,2020-07-21 20:18:48.000000000,2020-07-22 13:27:08.000000000,closed,2,Fix minor grammatical mistake
2275,2020-07-21 17:27:06.000000000,2020-07-21 17:28:09.000000000,closed,1,Data Analysis - Re-trigger
2274,2020-07-21 17:22:24.000000000,2020-07-21 17:22:50.000000000,closed,1,Data Analysis
2273,2020-07-21 17:15:07.000000000,2020-07-21 17:15:33.000000000,closed,1,Data Analysis - RT4
2272,2020-07-21 17:12:54.000000000,2020-07-21 17:13:37.000000000,closed,1,Data Analysis - RT3
2271,2020-07-21 17:10:34.000000000,2020-07-21 17:11:30.000000000,closed,1,Data Analysis - RT2
2270,2020-07-21 17:08:35.000000000,2020-07-21 17:09:11.000000000,closed,1,Data Analysis - RT1
2269,2020-07-20 20:31:32.000000000,2020-07-20 20:34:21.000000000,closed,1,Comp. Sci. - Inserting Data Into a Binary Search Tree
2268,2020-07-20 19:53:32.000000000,2020-07-20 19:54:53.000000000,closed,1,Web - Nested Lists
2267,2020-07-20 19:22:35.000000000,2020-07-20 19:24:47.000000000,closed,0,Changelog
2266,2020-07-18 23:30:01.000000000,2020-07-20 18:44:35.000000000,closed,1,Minor stylistic and grammatical fixes
2265,2020-07-18 23:24:58.000000000,2020-07-20 19:20:30.000000000,closed,1,Update use of ntpd
2264,2020-07-17 15:24:17.000000000,2020-07-17 15:38:50.000000000,closed,1,update owasp top ten links
2263,2020-07-17 13:02:18.000000000,2020-07-17 13:05:27.000000000,closed,1,Linux - Change file ownership with `chown`
2262,2020-07-16 15:59:00.000000000,2020-07-16 16:02:05.000000000,closed,1,remove default links
2261,2020-07-16 15:41:12.000000000,2020-07-16 15:48:13.000000000,closed,1,"remove mentions of bookmark feature,"
2260,2020-07-16 14:09:51.000000000,2020-07-16 14:39:03.000000000,closed,1,Linux - What is a network interface
2259,2020-07-16 13:41:31.000000000,2020-07-16 13:44:09.000000000,closed,1,Security - Deserialization
2258,2020-07-16 13:22:46.000000000,2020-07-16 13:35:24.000000000,closed,1,Security - Mitigate SQL Injection Attacks
2257,2020-07-16 12:23:17.000000000,2020-07-16 12:34:43.000000000,closed,1,Security - XXE Security
2256,2020-07-15 17:39:39.000000000,2020-07-15 17:43:34.000000000,closed,1,Python - Substring Testing
2255,2020-07-15 16:32:21.000000000,2020-07-15 16:33:46.000000000,closed,1,JavaScript - Loops - Part 2
2254,2020-07-15 16:20:43.000000000,2020-07-15 16:24:03.000000000,closed,1,Docker - Container vs VM
2253,2020-07-15 15:41:29.000000000,2020-07-22 14:14:59.000000000,closed,1,Python - `for` loops
2252,2020-07-15 15:24:25.000000000,2020-07-15 15:24:54.000000000,closed,1,fix typo
2251,2020-07-15 14:20:47.000000000,2020-07-15 14:23:06.000000000,closed,1,Python - The Dictionary
2250,2020-07-15 14:08:07.000000000,2020-07-15 14:11:26.000000000,closed,1,Python - `while` loops
2249,2020-07-15 13:55:43.000000000,2020-07-15 15:22:46.000000000,closed,1,Python - Special Queue Methods
2248,2020-07-15 13:01:44.000000000,2020-07-15 13:09:56.000000000,closed,1,Python - List Methods II
2247,2020-07-14 15:42:11.000000000,2020-07-14 15:43:28.000000000,closed,1,Web - Image Height & Width
2246,2020-07-14 14:30:53.000000000,2020-07-14 14:32:32.000000000,closed,1,Web - Text Area
2245,2020-07-14 13:28:55.000000000,2020-07-14 13:30:22.000000000,closed,1,SQL - More Operators
2244,2020-07-11 19:27:43.000000000,2020-07-21 17:00:43.000000000,closed,14,[data analysis] Add content
2243,2020-07-09 15:43:44.000000000,2020-07-09 15:44:48.000000000,closed,1,Security - Introducing the OSI model
2242,2020-07-09 15:17:01.000000000,2020-07-09 15:21:29.000000000,closed,0,fix workout names & descriptions
2241,2020-07-09 13:58:48.000000000,2020-07-09 14:08:15.000000000,closed,1,Web - The `autofocus` Attribute
2240,2020-07-09 13:48:17.000000000,2020-07-09 13:48:51.000000000,closed,0,Changelog
2239,2020-07-08 20:37:13.000000000,2020-07-09 13:40:13.000000000,closed,1,Web - The `autocomplete` Attribute
2238,2020-07-08 20:24:58.000000000,2020-07-08 20:25:26.000000000,closed,0,Changelog
2237,2020-07-08 19:08:51.000000000,2020-07-08 19:09:40.000000000,closed,1,Security - OSI Intro
2236,2020-07-07 17:51:53.000000000,2020-07-08 20:14:48.000000000,closed,1,Linux: Making terminology a bit more consistent
2235,2020-07-07 14:32:48.000000000,2020-07-08 19:37:22.000000000,closed,1,Fix cron expression
2234,2020-07-06 13:18:34.000000000,2020-07-06 13:34:11.000000000,closed,1,Web - Intro `<time>`
2233,2020-07-04 18:49:11.000000000,1970-01-01 00:00:00.000000001,open,1,[python] amend revision question
2232,2020-07-03 01:51:39.000000000,2020-08-20 18:06:06.000000000,closed,1,add glossary items for spreadsheets
2231,2020-07-03 01:18:57.000000000,2020-08-20 18:06:37.000000000,closed,13,Add 5 spreadsheet workouts
2230,2020-07-02 13:22:47.000000000,2020-07-02 13:26:29.000000000,closed,1,Python - I/O Functions
2229,2020-07-02 13:15:55.000000000,2020-07-07 13:31:03.000000000,closed,1,Security - OSI Intro
2228,2020-07-02 00:42:38.000000000,2020-07-02 00:43:34.000000000,closed,0,Revert icons for now
