created_at,user_id
2020-08-26 10:39:00,wushian
2020-08-24 11:30:08,jock312452
2020-08-21 07:47:48,sk280
2020-08-19 23:58:26,MarkIannucci
2020-08-18 22:41:13,tomevansdata
2020-08-18 17:42:41,smokingdba
2020-08-17 00:15:29,grawerpl
2020-08-12 23:48:53,lancasteradam
2020-08-07 11:52:03,Ant-Green
2020-08-06 18:39:53,jamlab
2020-08-03 17:29:08,tonyfountain
2020-07-31 16:43:28,Zhunya
2020-07-30 17:14:29,ttracx
2020-07-29 18:51:17,debugger-mono
2020-07-29 01:13:17,tlanghals-uturn
2020-07-17 07:33:54,lostsole
2020-07-09 20:31:43,VenuC
2020-07-08 13:35:05,scottmir
2020-07-07 04:26:33,d3v3l0
2020-07-01 06:29:13,yoke88
2020-06-26 02:25:50,QualityMeasurement
2020-06-25 10:11:54,andreasjordan
2020-06-22 09:24:06,EitanBlumin
2020-06-17 17:25:40,LincolnBorgesdeCastro
2020-05-25 20:58:57,PwshKen
2020-05-23 13:11:22,TechAbib
2020-05-22 19:49:37,SQLGeordie
2020-05-18 15:25:07,SQLHorizons
2020-05-16 17:50:37,jongurgul
2020-05-15 18:55:56,dwainew
2020-05-10 04:02:12,dulrich14
2020-05-06 08:55:23,nirajpradhanlft
2020-05-06 02:49:29,i7slegend
2020-05-02 06:20:55,koglerk
2020-05-01 16:14:48,sushilkumar217
2020-04-30 17:11:17,SnowFlakes0413
2020-04-27 09:52:30,miguelmolgar
2020-04-22 16:43:58,vervaewi
2020-04-18 02:49:39,OmegaMadLab
2020-04-17 17:14:12,jesspomfret
2020-04-17 01:24:41,DanielSSilva
2020-04-10 17:35:50,Jonathan-Quilter
2020-04-01 19:52:38,jennacamacho
2020-04-01 17:05:30,bertvanlandeghem
2020-03-31 16:47:46,mrpocketsgb
2020-03-28 22:47:51,jaikarn
2020-03-23 19:42:43,jasonchester
2020-03-22 02:44:45,reelwillsmith
2020-03-21 09:31:45,pako0660526
2020-03-19 23:44:40,wondisha
2020-03-16 17:41:39,MikeyBronowski
2020-03-15 20:23:33,dbogey
2020-03-07 00:23:46,aaronpmiller
2020-02-27 20:26:02,cmcapellan
2020-02-26 03:58:51,sdwire
2020-02-14 22:35:17,andrekamman
2020-02-14 20:14:37,Kaffeegangster
2020-02-13 20:09:38,pdpelsem
2020-02-12 18:50:37,sam-bryant
2020-02-12 01:01:13,CharlesGroleau
2020-02-11 19:45:00,ThugPotato
2020-02-11 03:48:30,MsSQLGirl
2020-02-06 01:35:18,sdecker
2020-02-05 01:32:00,fabbbiob
2020-01-30 18:38:36,BachhF00
2020-01-28 02:38:09,theaquamarine
2020-01-22 18:16:10,ElliotMajor
2020-01-22 17:53:50,lukagros
2020-01-17 19:16:28,matt2005
2020-01-14 00:25:06,jaxnoth
2020-01-12 14:55:04,HanShi00
2020-01-11 00:22:47,pollusb
2020-01-08 06:29:40,zyjia
2020-01-06 22:49:25,Uuuuuumm
2020-01-02 15:01:57,sreekanthp02
2020-01-01 11:55:25,Epm18
2019-12-20 21:01:02,krisss429
2019-12-20 12:20:56,dejandular
2019-12-19 06:35:55,ggsince88
2019-12-17 17:44:38,misbah0507
2019-12-17 08:06:58,maxdop
2019-12-11 05:45:31,yazici
2019-11-26 20:09:20,khoelscher18
2019-11-23 01:39:32,cperez120
2019-11-21 21:54:55,Jaykul
2019-11-20 07:40:50,hanyang0721
2019-11-19 12:56:48,EleonoraGrigoryan
2019-11-18 21:31:20,alanwhited
2019-11-14 19:51:05,fvanderhaegen
2019-11-13 15:43:47,DiHo78
2019-11-10 02:47:51,simpleSQL
2019-11-08 10:30:20,QuickOats
2019-11-06 23:35:56,wsmelton
2019-10-28 12:13:53,hadesfeng
2019-10-23 23:46:35,CharleyHanania
2019-10-18 14:37:15,bielawb
2019-10-17 22:49:45,MediocreDBA
2019-10-17 08:44:11,meenakshidevaki
2019-10-17 06:58:33,grazea
2019-10-15 19:45:15,richellere
2019-10-15 17:03:08,MrTCS
2019-10-14 03:04:48,EwertonJordao
2019-10-08 04:49:11,unclebiguns
2019-10-07 16:06:42,man1k
2019-10-02 23:52:21,hahndorf
2019-10-02 19:48:12,McA-the-dba
2019-10-02 07:15:46,richardlhughes
2019-09-29 08:01:11,HobertJordan
2019-09-24 14:52:58,matanthei
2019-09-23 09:45:32,tools-env
2019-09-23 04:30:16,mhouston100
2019-09-22 03:55:18,IPOProject1
2019-09-20 05:38:15,scottrcaldwell
2019-09-18 17:18:34,wayfair-contribs
2019-09-14 06:11:18,Loudest3
2019-09-12 13:40:36,ggoncz
2019-09-11 01:25:05,dalehhirt
2019-09-10 01:23:49,EmanueleMeazzo
2019-09-07 00:14:14,LxLeChat
2019-09-04 11:45:12,mikedavem
