id,created_at,closed_at,state,comments,title
777,2020-08-25 21:00:06.000000000,1970-01-01 00:00:00.000000001,open,4,TCP error 104
776,2020-08-18 19:20:52.000000000,1970-01-01 00:00:00.000000001,open,3,Minor doc issue: clarify if all images need to be the same size
775,2020-08-18 15:24:00.000000000,1970-01-01 00:00:00.000000001,open,1,coredump/segfault using test_split in object detection training call
774,2020-08-18 01:35:44.000000000,2020-08-18 11:30:28.000000000,closed,1,"Documentation bug: Squeezenet model is findable on google, but does not exist on the models page"
773,2020-08-18 00:51:10.000000000,1970-01-01 00:00:00.000000001,open,7,Documentation bug: model weights in object detection documentation do not exist
772,2020-08-16 02:00:08.000000000,2020-08-18 11:56:01.000000000,closed,3,Documentation bug: model missing in models page
771,2020-08-12 17:26:39.000000000,1970-01-01 00:00:00.000000001,open,0,"Single class detection (e.g. words_detect_v2) does not support ""best"" or ""top"" N"
770,2020-08-11 16:40:19.000000000,1970-01-01 00:00:00.000000001,open,0,[FIX] refinedet / TRT 
769,2020-08-10 16:24:24.000000000,1970-01-01 00:00:00.000000001,open,9,Different predictions with Tensorrt7 for a refinedet model
768,2020-08-06 14:57:51.000000000,2020-08-06 14:58:12.000000000,closed,0,[WIP] NBEATS in native torch C++
767,2020-08-04 15:43:42.000000000,1970-01-01 00:00:00.000000001,open,0,support for torch 1.6
766,2020-08-04 11:39:42.000000000,1970-01-01 00:00:00.000000001,open,11,DDPlatform: unable to access Predict services
765,2020-07-29 14:49:40.000000000,1970-01-01 00:00:00.000000001,open,0,Fixed svm with db training
764,2020-07-29 02:28:11.000000000,1970-01-01 00:00:00.000000001,open,2,SVM connector training fails 
763,2020-07-24 14:34:33.000000000,1970-01-01 00:00:00.000000001,open,2,"Core dump ""Could not decode datum"" during training"
762,2020-07-23 20:05:20.000000000,2020-07-28 13:47:29.000000000,closed,0,[Fix] Detect lmdb path with sparse models
761,2020-07-22 15:17:33.000000000,2020-07-28 13:47:29.000000000,closed,2,Empty prediction for lmdb with svm content
760,2020-07-19 16:48:23.000000000,2020-07-20 17:17:17.000000000,closed,0,Allowing regression models into chains with nested outputs
759,2020-07-18 20:55:45.000000000,2020-07-20 17:16:59.000000000,closed,0,Modifications for image multi target regression
758,2020-07-07 17:30:46.000000000,1970-01-01 00:00:00.000000001,open,0,feat: add json output to dd_bench.py
757,2020-07-07 14:13:40.000000000,2020-07-20 17:16:05.000000000,closed,0,"[FIX] reversed precision and recall in case of classification + output all (per class) precision,recall,f1 if asked for"
756,2020-07-03 19:08:17.000000000,2020-07-04 10:11:50.000000000,closed,0,Fixing template generation for SSD with bw images
755,2020-07-03 10:49:23.000000000,2020-07-20 17:16:28.000000000,closed,0,Added key overflow warning at end of db serialization when an image key > 256 chars
754,2020-07-01 18:43:08.000000000,1970-01-01 00:00:00.000000001,open,0,/chain ID conflict if the same chain name is used simultaneously
753,2020-07-01 00:09:37.000000000,1970-01-01 00:00:00.000000001,open,0,documentation pages should have a 'last reviewed' date
