id,created_at,closed_at,merged_at,state,merged
65,2015-08-18 22:40:18.000000000,2015-08-18 22:41:43.000000000,2015-08-18 22:41:43.000000000,closed,True
67,2015-08-20 03:38:48.000000000,2015-08-20 22:45:35.000000000,2015-08-20 22:45:35.000000000,closed,True
74,2015-08-20 23:41:24.000000000,2015-08-21 03:52:39.000000000,2015-08-21 03:52:39.000000000,closed,True
75,2015-08-21 03:53:43.000000000,2015-08-21 03:53:48.000000000,2015-08-21 03:53:48.000000000,closed,True
76,2015-08-21 20:56:07.000000000,2015-08-21 20:56:14.000000000,2015-08-21 20:56:14.000000000,closed,True
77,2015-08-21 21:13:40.000000000,2015-08-21 21:13:56.000000000,2015-08-21 21:13:56.000000000,closed,True
79,2015-08-22 03:41:31.000000000,2015-08-27 02:28:19.000000000,2015-08-27 02:28:19.000000000,closed,True
80,2015-08-24 19:22:45.000000000,2015-08-24 22:46:08.000000000,2015-08-24 22:46:08.000000000,closed,True
82,2015-08-24 23:49:10.000000000,2015-08-24 23:54:37.000000000,2015-08-24 23:54:37.000000000,closed,True
84,2015-08-25 02:49:01.000000000,2015-08-25 05:02:21.000000000,2015-08-25 05:02:21.000000000,closed,True
85,2015-08-25 20:54:44.000000000,2015-08-26 01:56:40.000000000,2015-08-26 01:56:40.000000000,closed,True
87,2015-08-26 03:47:46.000000000,2015-08-26 21:43:42.000000000,2015-08-26 21:43:42.000000000,closed,True
89,2015-08-27 02:46:17.000000000,2015-08-27 02:46:22.000000000,2015-08-27 02:46:22.000000000,closed,True
92,2015-08-27 04:20:12.000000000,2015-08-31 21:41:13.000000000,2015-08-31 21:41:13.000000000,closed,True
93,2015-08-28 03:10:34.000000000,2015-08-28 23:29:07.000000000,2015-08-28 23:29:07.000000000,closed,True
95,2015-08-28 23:30:47.000000000,2015-08-28 23:43:39.000000000,2015-08-28 23:43:39.000000000,closed,True
96,2015-08-29 01:19:37.000000000,2015-09-03 22:48:01.000000000,2015-09-03 22:48:01.000000000,closed,True
101,2015-09-01 00:32:06.000000000,2015-09-01 00:32:10.000000000,2015-09-01 00:32:10.000000000,closed,True
102,2015-09-01 00:42:48.000000000,2015-09-01 00:43:50.000000000,2015-09-01 00:43:50.000000000,closed,True
103,2015-09-01 00:42:57.000000000,2015-09-01 01:30:06.000000000,2015-09-01 01:30:06.000000000,closed,True
