id,created_at,closed_at,merged_at,state,merged
1,2015-07-21 01:07:16.000000000,2015-08-04 00:31:53.000000000,1970-01-01 00:00:00.000000001,closed,False
2,2015-08-04 00:31:41.000000000,2015-08-04 00:32:41.000000000,2015-08-04 00:32:41.000000000,closed,True
3,2015-08-04 01:25:45.000000000,2015-08-04 01:28:50.000000000,2015-08-04 01:28:50.000000000,closed,True
5,2015-08-17 22:39:33.000000000,2015-08-18 00:35:42.000000000,2015-08-18 00:35:42.000000000,closed,True
6,2015-08-18 14:07:56.000000000,2015-08-19 17:58:27.000000000,2015-08-19 17:58:27.000000000,closed,True
10,2015-08-20 00:26:20.000000000,2015-08-20 02:35:55.000000000,2015-08-20 02:35:55.000000000,closed,True
11,2015-08-21 18:59:06.000000000,2015-08-21 18:59:23.000000000,2015-08-21 18:59:23.000000000,closed,True
12,2015-08-21 19:06:44.000000000,2015-08-23 00:24:38.000000000,2015-08-23 00:24:38.000000000,closed,True
13,2015-08-22 00:18:34.000000000,2015-08-23 00:24:22.000000000,2015-08-23 00:24:22.000000000,closed,True
17,2015-08-26 18:48:42.000000000,2015-08-29 17:23:40.000000000,2015-08-29 17:23:40.000000000,closed,True
19,2015-08-28 02:12:22.000000000,2015-08-29 00:17:14.000000000,2015-08-29 00:17:14.000000000,closed,True
21,2015-08-31 18:51:26.000000000,2015-09-18 01:47:06.000000000,2015-09-18 01:47:06.000000000,closed,True
22,2015-09-01 01:38:06.000000000,2015-09-14 02:34:53.000000000,2015-09-14 02:34:53.000000000,closed,True
24,2015-09-13 02:33:05.000000000,2015-09-13 02:34:13.000000000,2015-09-13 02:34:13.000000000,closed,True
25,2015-09-13 02:47:55.000000000,2015-09-13 02:48:00.000000000,2015-09-13 02:48:00.000000000,closed,True
26,2015-09-15 00:31:47.000000000,2015-09-15 01:24:10.000000000,2015-09-15 01:24:10.000000000,closed,True
27,2015-09-15 02:08:45.000000000,2015-09-15 02:12:12.000000000,2015-09-15 02:12:12.000000000,closed,True
30,2015-09-18 16:22:07.000000000,2015-09-18 16:49:12.000000000,2015-09-18 16:49:12.000000000,closed,True
31,2015-09-27 00:41:23.000000000,2015-09-27 00:52:40.000000000,2015-09-27 00:52:40.000000000,closed,True
32,2015-10-07 01:10:06.000000000,2015-10-07 01:25:31.000000000,2015-10-07 01:25:31.000000000,closed,True
35,2015-10-22 01:16:46.000000000,2015-11-02 22:32:05.000000000,2015-11-02 22:32:05.000000000,closed,True
36,2015-11-06 22:50:05.000000000,2015-11-06 22:51:26.000000000,2015-11-06 22:51:26.000000000,closed,True
38,2015-11-10 13:59:49.000000000,2015-11-17 02:56:20.000000000,2015-11-17 02:56:20.000000000,closed,True
40,2015-11-20 03:13:19.000000000,2015-11-20 03:32:33.000000000,2015-11-20 03:32:33.000000000,closed,True
42,2015-11-28 03:57:39.000000000,2015-11-30 15:02:02.000000000,2015-11-30 15:02:02.000000000,closed,True
45,2015-12-03 02:07:38.000000000,2015-12-04 04:43:38.000000000,2015-12-04 04:43:38.000000000,closed,True
46,2015-12-09 04:24:39.000000000,2015-12-11 03:20:46.000000000,2015-12-11 03:20:46.000000000,closed,True
47,2015-12-09 13:13:48.000000000,2015-12-10 07:45:33.000000000,1970-01-01 00:00:00.000000001,closed,False
48,2015-12-11 04:17:15.000000000,2015-12-11 04:26:36.000000000,2015-12-11 04:26:36.000000000,closed,True
49,2015-12-11 14:56:37.000000000,2015-12-11 15:01:57.000000000,2015-12-11 15:01:57.000000000,closed,True
50,2015-12-11 21:35:07.000000000,2015-12-12 02:34:28.000000000,2015-12-12 02:34:28.000000000,closed,True
51,2015-12-12 03:01:31.000000000,2015-12-12 03:08:04.000000000,2015-12-12 03:08:04.000000000,closed,True
54,2015-12-16 22:00:07.000000000,2015-12-17 14:28:40.000000000,2015-12-17 14:28:40.000000000,closed,True
56,2015-12-17 16:56:39.000000000,2015-12-18 13:51:09.000000000,2015-12-18 13:51:09.000000000,closed,True
57,2015-12-17 17:00:13.000000000,2015-12-21 05:09:49.000000000,1970-01-01 00:00:00.000000001,closed,False
58,2015-12-17 17:09:49.000000000,2015-12-18 13:56:01.000000000,2015-12-18 13:56:01.000000000,closed,True
60,2015-12-18 20:48:43.000000000,2015-12-19 21:04:36.000000000,2015-12-19 21:04:35.000000000,closed,True
61,2015-12-21 04:37:41.000000000,2015-12-21 04:49:13.000000000,2015-12-21 04:49:13.000000000,closed,True
63,2015-12-22 02:46:27.000000000,2015-12-22 20:05:34.000000000,2015-12-22 20:05:34.000000000,closed,True
65,2015-12-23 17:55:58.000000000,2015-12-23 19:15:06.000000000,2015-12-23 19:15:06.000000000,closed,True
66,2015-12-23 19:35:23.000000000,2015-12-23 20:22:03.000000000,2015-12-23 20:22:03.000000000,closed,True
67,2015-12-28 14:35:00.000000000,2015-12-28 14:53:23.000000000,2015-12-28 14:53:23.000000000,closed,True
69,2016-01-09 21:23:02.000000000,2016-01-10 02:19:57.000000000,2016-01-10 02:19:57.000000000,closed,True
72,2016-02-11 04:29:48.000000000,2016-02-11 04:40:08.000000000,2016-02-11 04:40:08.000000000,closed,True
73,2016-02-11 04:43:02.000000000,2016-02-11 05:02:19.000000000,2016-02-11 05:02:19.000000000,closed,True
76,2016-02-22 11:30:59.000000000,2016-02-25 17:51:06.000000000,2016-02-25 17:51:06.000000000,closed,True
82,2016-02-25 14:02:46.000000000,2016-02-25 18:03:22.000000000,1970-01-01 00:00:00.000000001,closed,False
83,2016-02-25 18:08:43.000000000,2016-02-25 18:12:25.000000000,2016-02-25 18:12:25.000000000,closed,True
84,2016-03-01 14:53:47.000000000,2016-03-11 17:49:58.000000000,2016-03-11 17:49:58.000000000,closed,True
89,2016-03-11 20:54:10.000000000,2016-03-11 20:55:34.000000000,2016-03-11 20:55:34.000000000,closed,True
90,2016-03-12 02:22:37.000000000,2016-03-12 02:24:46.000000000,2016-03-12 02:24:46.000000000,closed,True
91,2016-03-12 02:35:55.000000000,2016-03-12 03:37:57.000000000,2016-03-12 03:37:57.000000000,closed,True
92,2016-03-12 03:55:56.000000000,2016-03-12 04:12:14.000000000,2016-03-12 04:12:14.000000000,closed,True
93,2016-03-12 04:56:20.000000000,2016-03-13 02:59:12.000000000,2016-03-13 02:59:12.000000000,closed,True
94,2016-03-14 02:48:04.000000000,2016-03-14 12:38:07.000000000,2016-03-14 12:38:07.000000000,closed,True
