id,created_at,closed_at,merged_at,state,merged
20,2015-08-03 16:51:20.000000000,2015-08-06 22:30:10.000000000,1970-01-01 00:00:00.000000001,closed,False
22,2015-08-06 02:46:53.000000000,2015-08-06 16:25:29.000000000,2015-08-06 16:25:29.000000000,closed,True
28,2015-08-17 05:18:03.000000000,2015-08-19 08:35:36.000000000,1970-01-01 00:00:00.000000001,closed,False
29,2015-08-19 08:33:38.000000000,2015-10-02 21:23:25.000000000,1970-01-01 00:00:00.000000001,closed,False
43,2015-10-13 18:56:38.000000000,2015-10-13 20:17:33.000000000,2015-10-13 20:17:33.000000000,closed,True
50,2015-11-03 15:17:22.000000000,2015-11-04 11:26:03.000000000,2015-11-04 11:26:03.000000000,closed,True
52,2015-11-06 22:09:48.000000000,2015-11-07 16:24:34.000000000,2015-11-07 16:24:34.000000000,closed,True
54,2015-11-14 08:35:08.000000000,2015-11-18 22:13:12.000000000,2015-11-18 22:13:12.000000000,closed,True
75,2016-01-27 00:32:57.000000000,2016-02-04 00:25:06.000000000,1970-01-01 00:00:00.000000001,closed,False
86,2016-02-19 00:54:14.000000000,2016-02-19 01:23:34.000000000,2016-02-19 01:23:34.000000000,closed,True
108,2016-04-07 14:01:55.000000000,2016-04-12 00:12:38.000000000,1970-01-01 00:00:00.000000001,closed,False
130,2016-05-22 21:55:41.000000000,2016-05-24 15:33:36.000000000,1970-01-01 00:00:00.000000001,closed,False
136,2016-08-08 05:26:54.000000000,2016-08-09 20:01:11.000000000,2016-08-09 20:01:11.000000000,closed,True
175,2016-08-25 19:21:11.000000000,2016-08-26 09:16:38.000000000,2016-08-26 09:16:38.000000000,closed,True
187,2016-08-28 15:13:04.000000000,2016-08-28 18:12:50.000000000,2016-08-28 18:12:50.000000000,closed,True
188,2016-08-28 21:58:49.000000000,2016-08-28 23:01:33.000000000,1970-01-01 00:00:00.000000001,closed,False
219,2016-09-14 23:28:45.000000000,2016-09-15 01:08:27.000000000,2016-09-15 01:08:27.000000000,closed,True
223,2016-09-21 00:36:47.000000000,2016-09-21 10:18:31.000000000,1970-01-01 00:00:00.000000001,closed,False
248,2016-10-20 22:44:50.000000000,2016-10-23 17:26:36.000000000,2016-10-23 17:26:36.000000000,closed,True
273,2016-11-04 14:02:05.000000000,2016-11-04 16:23:45.000000000,2016-11-04 16:23:45.000000000,closed,True
276,2016-11-07 14:08:45.000000000,2016-11-07 15:30:09.000000000,2016-11-07 15:30:09.000000000,closed,True
366,2017-02-14 04:21:00.000000000,2017-02-16 04:32:13.000000000,2017-02-16 04:32:13.000000000,closed,True
401,2017-03-29 12:49:33.000000000,2017-03-29 14:04:47.000000000,2017-03-29 14:04:47.000000000,closed,True
413,2017-04-18 00:08:21.000000000,2017-05-09 21:34:59.000000000,1970-01-01 00:00:00.000000001,closed,False
444,2017-06-22 00:13:59.000000000,2017-06-22 15:48:42.000000000,2017-06-22 15:48:42.000000000,closed,True
