id,created_at,closed_at,merged_at,state,merged
297,2016-05-09 17:33:36.000000000,2016-05-09 17:39:47.000000000,2016-05-09 17:39:47.000000000,closed,True
387,2016-06-15 10:40:42.000000000,2016-06-20 06:35:00.000000000,2016-06-20 06:35:00.000000000,closed,True
388,2016-06-15 10:44:32.000000000,2016-06-16 10:44:04.000000000,1970-01-01 00:00:00.000000001,closed,False
425,2016-06-24 03:06:13.000000000,2016-06-24 04:51:55.000000000,2016-06-24 04:51:55.000000000,closed,True
1418,2017-03-15 05:45:06.000000000,2017-03-15 05:45:26.000000000,2017-03-15 05:45:26.000000000,closed,True
1503,2017-03-29 11:46:28.000000000,2017-03-29 11:46:39.000000000,1970-01-01 00:00:00.000000001,closed,False
1525,2017-04-05 20:53:32.000000000,2017-04-07 06:17:53.000000000,2017-04-07 06:17:53.000000000,closed,True
1531,2017-04-08 00:03:32.000000000,2017-04-10 12:23:41.000000000,2017-04-10 12:23:41.000000000,closed,True
1533,2017-04-10 12:27:24.000000000,2017-04-10 12:38:42.000000000,2017-04-10 12:38:42.000000000,closed,True
1560,2017-04-17 23:48:06.000000000,2017-05-24 09:24:11.000000000,1970-01-01 00:00:00.000000001,closed,False
1578,2017-04-21 07:36:35.000000000,2017-04-21 07:37:08.000000000,1970-01-01 00:00:00.000000001,closed,False
1663,2017-05-16 13:17:42.000000000,2017-05-17 05:40:28.000000000,2017-05-17 05:40:28.000000000,closed,True
1717,2017-06-01 12:11:13.000000000,2017-06-01 12:56:40.000000000,2017-06-01 12:56:40.000000000,closed,True
1724,2017-06-02 13:07:32.000000000,2017-06-06 05:58:49.000000000,2017-06-06 05:58:49.000000000,closed,True
1735,2017-06-07 07:42:39.000000000,2017-06-07 13:15:23.000000000,2017-06-07 13:15:22.000000000,closed,True
2147,2017-10-25 12:20:20.000000000,2017-10-25 12:28:08.000000000,2017-10-25 12:28:08.000000000,closed,True
2221,2017-11-23 07:25:54.000000000,2017-11-24 06:32:53.000000000,2017-11-24 06:32:53.000000000,closed,True
2392,2018-01-30 01:26:44.000000000,2018-02-10 02:47:06.000000000,1970-01-01 00:00:00.000000001,closed,False
2405,2018-02-02 10:27:19.000000000,2018-02-02 10:33:52.000000000,2018-02-02 10:33:52.000000000,closed,True
2429,2018-02-10 02:34:46.000000000,2018-02-13 15:11:05.000000000,2018-02-13 15:11:05.000000000,closed,True
2430,2018-02-10 02:38:05.000000000,2018-02-27 06:31:33.000000000,2018-02-27 06:31:33.000000000,closed,True
2464,2018-02-27 06:38:49.000000000,2018-02-27 06:46:00.000000000,1970-01-01 00:00:00.000000001,closed,False
2655,2018-04-18 17:34:41.000000000,2018-04-19 05:17:38.000000000,2018-04-19 05:17:38.000000000,closed,True
4167,2019-03-15 07:38:42.000000000,2019-03-18 06:31:47.000000000,2019-03-18 06:31:46.000000000,closed,True
4306,2019-04-04 01:40:06.000000000,2019-04-04 06:43:57.000000000,2019-04-04 06:43:57.000000000,closed,True
