id,created_at,closed_at,state,comments,title
721,2020-08-26 17:28:07.000000000,2020-08-26 19:19:41.000000000,closed,2,Add toggle for map tile grid
720,2020-08-26 17:25:21.000000000,2020-08-26 19:19:26.000000000,closed,2,Add toggle for displaying label collision rectangles
719,2020-08-21 19:33:40.000000000,2020-08-23 09:41:16.000000000,closed,2,Infinite loading in v1.7.0
718,2020-08-13 23:21:10.000000000,1970-01-01 00:00:00.000000001,open,0,JSON Editor: Focus is lost when backspace key is used on id value
717,2020-08-06 08:51:25.000000000,1970-01-01 00:00:00.000000001,open,0,Sometimes color picker is not fully visible
716,2020-07-24 20:49:06.000000000,2020-07-24 21:11:55.000000000,closed,1,Use desktop v1.0.7 for CI workflow
715,2020-07-23 22:39:29.000000000,1970-01-01 00:00:00.000000001,open,0,Replace static CLI param with two separate CLI params for sprite/glyphs 
714,2020-07-23 21:33:15.000000000,1970-01-01 00:00:00.000000001,open,0,[Docker] chrome trying to fetch styles from http://localhost:8888/styles
713,2020-07-22 22:07:09.000000000,1970-01-01 00:00:00.000000001,open,5,Add new query params to allow better control of ApiStyleStore
712,2020-07-11 13:57:15.000000000,1970-01-01 00:00:00.000000001,open,1,$type as key for old syntax filter cause switch to expressions syntax ui and opens export modal
711,2020-07-10 13:05:44.000000000,1970-01-01 00:00:00.000000001,open,0,Use of interpolate for functions is confusing
710,2020-07-10 11:19:49.000000000,1970-01-01 00:00:00.000000001,open,0,Functions: Base input is missing
709,2020-07-09 16:02:08.000000000,2020-07-10 16:49:49.000000000,closed,4,Can not increase line widths exponentially 
708,2020-06-30 11:18:19.000000000,2020-06-30 12:27:03.000000000,closed,1,Update mb-gl
707,2020-06-17 14:30:06.000000000,1970-01-01 00:00:00.000000001,open,1,"""Add Value"" button is pressed and then the delete button is pressed, an empty array is generated."
706,2020-06-10 23:56:36.000000000,2020-06-30 13:50:38.000000000,closed,12,Improved label accessibility
705,2020-06-06 23:35:27.000000000,1970-01-01 00:00:00.000000001,open,0,Export as HTML
704,2020-06-06 13:33:12.000000000,2020-06-06 15:32:35.000000000,closed,2,Update Basic and Toner styles
703,2020-06-05 17:24:06.000000000,2020-06-29 18:41:50.000000000,closed,4,Add again shouldComponentUpdate
702,2020-06-03 19:32:32.000000000,1970-01-01 00:00:00.000000001,open,1,Add a code of conduct
701,2020-06-03 12:36:55.000000000,1970-01-01 00:00:00.000000001,open,0,v1.9.0 release
700,2020-06-03 11:57:11.000000000,1970-01-01 00:00:00.000000001,open,2,Organization contact e-mail
699,2020-06-01 19:31:25.000000000,2020-06-03 19:18:05.000000000,closed,3,Tidy of components + added storybook.js
698,2020-05-31 23:59:52.000000000,2020-06-03 17:53:07.000000000,closed,4,Integrate desktop builds in ci workflow
697,2020-05-31 23:16:31.000000000,1970-01-01 00:00:00.000000001,open,5,Embeddable editor
696,2020-05-31 18:42:09.000000000,2020-05-31 19:05:29.000000000,closed,1,Added more webdriver tests
695,2020-05-28 10:40:39.000000000,2020-05-28 14:48:59.000000000,closed,4,Add Node 14 to CI workflow
