id,created_at,closed_at,state,comments,title
1727,2020-08-28 21:21:17.000000000,1970-01-01 00:00:00.000000001,open,0,subapp-web TS conversion
1726,2020-08-27 20:34:48.000000000,2020-08-27 22:18:40.000000000,closed,0,fix: handle windows \ path separator
1725,2020-08-27 03:50:16.000000000,2020-08-27 23:33:43.000000000,closed,0,new @xarc/opt- packages to replace the electrode-archetype-opt- ones
1724,2020-08-26 16:48:08.000000000,1970-01-01 00:00:00.000000001,open,0,Css module not working with typescript
1723,2020-08-26 07:04:56.000000000,2020-08-26 20:45:31.000000000,closed,0,fix: handle new node.js ESM quirks
1722,2020-08-20 20:50:18.000000000,2020-08-27 04:09:55.000000000,closed,1,preliminary draft on providing pipe hook from TagRenderer into Stream.Writable
1721,2020-08-19 11:52:35.000000000,2020-08-19 20:08:34.000000000,closed,1,fix (probably) typo
1720,2020-08-17 02:19:56.000000000,1970-01-01 00:00:00.000000001,open,0,Look at your Doc web site page... result is not what you want it to be.
1719,2020-08-14 21:33:22.000000000,2020-08-15 00:13:55.000000000,closed,0,fix: subapp ssr initial load
1718,2020-08-11 01:03:21.000000000,2020-08-11 01:10:29.000000000,closed,0,Removing source map url of runtime bundle
1717,2020-08-08 03:50:28.000000000,2020-08-10 20:26:55.000000000,closed,0,Refactoring to improve performance
1716,2020-08-05 23:14:01.000000000,2020-08-10 20:25:10.000000000,closed,0,Load cdn mapping script for non js/css assets only if cdn option isenabled
1715,2020-08-04 04:27:04.000000000,2020-08-05 00:48:36.000000000,closed,0,adding new API for customizing webpack configs
1714,2020-08-04 03:27:12.000000000,2020-08-05 00:48:19.000000000,closed,0,implement HTML log viewer using event source to do streaming
1713,2020-08-04 02:23:38.000000000,2020-08-04 02:40:33.000000000,closed,0,retrieve app logs from dev admin's memory storage
1712,2020-08-01 04:34:21.000000000,2020-08-01 08:17:43.000000000,closed,0,Added symbol signature
1711,2020-07-31 14:14:03.000000000,2020-07-31 21:12:54.000000000,closed,0,webpack beta-14 upgrade
1710,2020-07-30 05:02:24.000000000,2020-07-30 22:33:26.000000000,closed,0,xarc-app-dev to ts - step 1: tsc please compile
1709,2020-07-29 00:53:53.000000000,2020-07-29 04:41:53.000000000,closed,0,convert @xarc/webpack to typescript - phase 1 - just compile please
1708,2020-07-23 23:25:45.000000000,2020-07-24 02:26:15.000000000,closed,0,   convert xarc-app to ts
