id,created_at,closed_at,merged_at,state,merged
2,2015-05-26 18:35:08.000000000,2015-06-04 15:23:47.000000000,2015-06-04 15:23:47.000000000,closed,True
4,2015-06-04 12:41:53.000000000,2015-06-04 15:29:20.000000000,2015-06-04 15:29:20.000000000,closed,True
7,2015-06-04 14:39:13.000000000,2015-06-04 15:27:03.000000000,2015-06-04 15:27:03.000000000,closed,True
9,2015-06-04 15:23:28.000000000,2015-06-04 15:23:32.000000000,2015-06-04 15:23:32.000000000,closed,True
10,2015-06-05 07:56:14.000000000,2015-06-05 16:56:32.000000000,2015-06-05 16:56:32.000000000,closed,True
100,2015-10-14 23:33:07.000000000,2015-10-14 23:33:13.000000000,2015-10-14 23:33:13.000000000,closed,True
402,2018-05-09 23:35:03.000000000,2018-05-10 00:16:38.000000000,2018-05-10 00:16:38.000000000,closed,True
407,2018-05-11 18:41:16.000000000,2018-05-11 21:11:10.000000000,2018-05-11 21:11:10.000000000,closed,True
409,2018-05-11 23:40:58.000000000,2018-05-11 23:57:36.000000000,2018-05-11 23:57:36.000000000,closed,True
410,2018-05-11 23:59:55.000000000,2018-05-12 00:14:14.000000000,2018-05-12 00:14:14.000000000,closed,True
427,2018-05-17 17:11:36.000000000,2018-05-17 17:26:55.000000000,2018-05-17 17:26:55.000000000,closed,True
429,2018-05-17 17:48:40.000000000,2018-05-17 18:15:17.000000000,2018-05-17 18:15:17.000000000,closed,True
529,2018-06-14 18:32:28.000000000,2018-06-14 18:44:54.000000000,2018-06-14 18:44:54.000000000,closed,True
596,2018-07-03 22:55:31.000000000,2018-07-03 23:03:57.000000000,2018-07-03 23:03:57.000000000,closed,True
804,2018-09-11 02:28:26.000000000,2018-11-22 01:42:37.000000000,1970-01-01 00:00:00.000000001,closed,False
901,2018-09-24 20:15:47.000000000,2018-11-09 20:06:19.000000000,1970-01-01 00:00:00.000000001,closed,False
913,2018-09-26 23:17:09.000000000,2018-09-26 23:38:02.000000000,2018-09-26 23:38:02.000000000,closed,True
915,2018-09-27 02:37:55.000000000,2018-09-27 02:39:02.000000000,2018-09-27 02:39:02.000000000,closed,True
916,2018-09-27 02:51:38.000000000,2018-09-27 03:04:26.000000000,2018-09-27 03:04:26.000000000,closed,True
923,2018-09-27 18:16:23.000000000,2018-09-27 18:26:30.000000000,2018-09-27 18:26:30.000000000,closed,True
933,2018-09-28 21:25:35.000000000,2018-09-28 21:44:18.000000000,2018-09-28 21:44:18.000000000,closed,True
935,2018-09-29 00:34:45.000000000,2018-09-30 03:24:24.000000000,2018-09-30 03:24:24.000000000,closed,True
980,2018-10-11 23:32:35.000000000,2018-10-11 23:49:31.000000000,2018-10-11 23:49:31.000000000,closed,True
986,2018-10-15 15:16:14.000000000,2018-11-09 14:01:01.000000000,1970-01-01 00:00:00.000000001,closed,False
999,2018-10-24 06:18:17.000000000,2018-11-13 08:53:35.000000000,1970-01-01 00:00:00.000000001,closed,False
1021,2018-11-01 13:17:20.000000000,2018-11-07 14:22:59.000000000,1970-01-01 00:00:00.000000001,closed,False
1035,2018-11-07 00:59:38.000000000,2018-11-09 02:21:30.000000000,2018-11-09 02:21:30.000000000,closed,True
1036,2018-11-07 01:28:29.000000000,2018-11-09 02:22:04.000000000,2018-11-09 02:22:03.000000000,closed,True
1039,2018-11-07 05:14:37.000000000,2018-11-12 22:03:49.000000000,2018-11-12 22:03:49.000000000,closed,True
1040,2018-11-07 14:25:00.000000000,2018-11-09 02:26:25.000000000,2018-11-09 02:26:25.000000000,closed,True
1041,2018-11-07 15:10:05.000000000,2018-11-09 14:34:04.000000000,2018-11-09 14:34:04.000000000,closed,True
1042,2018-11-07 16:56:56.000000000,2018-11-09 02:39:37.000000000,2018-11-09 02:39:37.000000000,closed,True
1043,2018-11-07 18:48:54.000000000,2018-11-09 13:50:28.000000000,2018-11-09 13:50:28.000000000,closed,True
1044,2018-11-07 19:27:05.000000000,2018-11-07 19:30:44.000000000,2018-11-07 19:30:44.000000000,closed,True
1046,2018-11-07 22:52:43.000000000,2018-11-09 02:47:11.000000000,2018-11-09 02:47:11.000000000,closed,True
1047,2018-11-08 02:39:16.000000000,2018-11-09 02:47:25.000000000,2018-11-09 02:47:25.000000000,closed,True
1049,2018-11-08 17:45:07.000000000,2018-11-12 04:29:54.000000000,1970-01-01 00:00:00.000000001,closed,False
1050,2018-11-08 18:16:38.000000000,2018-11-09 20:28:48.000000000,2018-11-09 20:28:48.000000000,closed,True
1052,2018-11-08 23:58:34.000000000,2018-11-09 02:14:09.000000000,2018-11-09 02:14:09.000000000,closed,True
1053,2018-11-09 03:12:19.000000000,2018-11-09 14:52:03.000000000,2018-11-09 14:52:03.000000000,closed,True
1055,2018-11-09 08:48:39.000000000,2018-11-12 20:23:39.000000000,2018-11-12 20:23:39.000000000,closed,True
1056,2018-11-09 13:55:34.000000000,2018-11-09 14:51:29.000000000,2018-11-09 14:51:29.000000000,closed,True
1057,2018-11-09 14:19:53.000000000,2018-11-09 14:35:25.000000000,2018-11-09 14:35:25.000000000,closed,True
1058,2018-11-09 14:40:05.000000000,2018-11-09 14:47:55.000000000,2018-11-09 14:47:55.000000000,closed,True
1059,2018-11-09 17:15:31.000000000,2018-11-13 14:13:24.000000000,2018-11-13 14:13:24.000000000,closed,True
1060,2018-11-09 18:34:15.000000000,2018-11-21 17:28:52.000000000,2018-11-21 17:28:51.000000000,closed,True
1061,2018-11-09 20:00:34.000000000,2018-12-15 05:12:11.000000000,1970-01-01 00:00:00.000000001,closed,False
1062,2018-11-09 20:24:50.000000000,2018-11-13 14:21:45.000000000,1970-01-01 00:00:00.000000001,closed,False
1068,2018-11-12 15:14:29.000000000,2018-11-13 14:13:01.000000000,2018-11-13 14:13:01.000000000,closed,True
1069,2018-11-12 16:07:21.000000000,2018-11-16 14:31:15.000000000,2018-11-16 14:31:15.000000000,closed,True
1070,2018-11-12 16:59:16.000000000,2018-11-13 14:17:56.000000000,2018-11-13 14:17:56.000000000,closed,True
1071,2018-11-12 17:16:33.000000000,2018-11-13 15:55:36.000000000,2018-11-13 15:55:36.000000000,closed,True
1072,2018-11-12 17:17:55.000000000,2018-11-13 14:11:09.000000000,2018-11-13 14:11:09.000000000,closed,True
1073,2018-11-12 22:06:28.000000000,2018-11-12 22:08:45.000000000,2018-11-12 22:08:44.000000000,closed,True
1074,2018-11-12 23:30:04.000000000,2018-11-13 20:35:25.000000000,2018-11-13 20:35:25.000000000,closed,True
1075,2018-11-13 02:53:54.000000000,2018-11-15 23:51:06.000000000,2018-11-15 23:51:06.000000000,closed,True
1076,2018-11-13 08:52:42.000000000,2018-11-18 22:50:03.000000000,2018-11-18 22:50:03.000000000,closed,True
1078,2018-11-13 15:19:58.000000000,2018-12-05 16:41:14.000000000,2018-12-05 16:41:14.000000000,closed,True
1079,2018-11-13 16:53:40.000000000,2018-11-14 16:16:57.000000000,2018-11-14 16:16:57.000000000,closed,True
1080,2018-11-13 20:13:51.000000000,2018-11-16 00:00:32.000000000,2018-11-16 00:00:32.000000000,closed,True
1082,2018-11-14 14:45:35.000000000,2018-11-14 20:03:40.000000000,2018-11-14 20:03:40.000000000,closed,True
1084,2018-11-15 04:08:29.000000000,2018-11-19 22:41:07.000000000,1970-01-01 00:00:00.000000001,closed,False
