id,created_at,closed_at,merged_at,state,merged
160,2017-05-26 08:36:09.000000000,2018-11-09 20:06:55.000000000,1970-01-01 00:00:00.000000001,closed,False
161,2017-05-26 10:45:57.000000000,2017-05-26 10:46:37.000000000,1970-01-01 00:00:00.000000001,closed,False
163,2017-05-29 09:25:46.000000000,2018-11-09 20:06:58.000000000,1970-01-01 00:00:00.000000001,closed,False
206,2017-09-01 11:51:46.000000000,2017-09-01 12:59:55.000000000,1970-01-01 00:00:00.000000001,closed,False
224,2017-10-12 18:46:07.000000000,2017-12-30 15:03:20.000000000,1970-01-01 00:00:00.000000001,closed,False
226,2017-10-17 12:52:59.000000000,2017-10-18 10:47:17.000000000,1970-01-01 00:00:00.000000001,closed,False
230,2017-10-19 15:22:48.000000000,2017-10-19 15:28:25.000000000,1970-01-01 00:00:00.000000001,closed,False
231,2017-10-19 15:59:49.000000000,2017-10-20 13:17:24.000000000,1970-01-01 00:00:00.000000001,closed,False
240,2017-11-01 15:55:46.000000000,2017-11-01 15:56:05.000000000,1970-01-01 00:00:00.000000001,closed,False
291,2017-11-29 12:13:18.000000000,2017-11-29 12:42:17.000000000,1970-01-01 00:00:00.000000001,closed,False
298,2017-12-02 00:28:13.000000000,2018-02-12 22:36:47.000000000,2018-02-12 22:36:47.000000000,closed,True
306,2017-12-22 13:00:44.000000000,2017-12-25 13:02:45.000000000,1970-01-01 00:00:00.000000001,closed,False
312,2018-01-20 08:57:39.000000000,2018-02-12 22:36:08.000000000,2018-02-12 22:36:08.000000000,closed,True
321,2018-02-06 06:41:18.000000000,2018-02-12 22:30:14.000000000,2018-02-12 22:30:14.000000000,closed,True
326,2018-02-10 04:59:02.000000000,2018-02-10 05:00:46.000000000,1970-01-01 00:00:00.000000001,closed,False
327,2018-02-10 05:01:24.000000000,2018-02-14 12:15:16.000000000,1970-01-01 00:00:00.000000001,closed,False
335,2018-02-13 00:33:15.000000000,2018-11-09 20:07:01.000000000,1970-01-01 00:00:00.000000001,closed,False
337,2018-02-13 15:17:18.000000000,2018-02-13 16:15:52.000000000,2018-02-13 16:15:52.000000000,closed,True
351,2018-02-27 11:13:32.000000000,2018-02-27 11:35:49.000000000,1970-01-01 00:00:00.000000001,closed,False
352,2018-02-27 11:43:30.000000000,2018-02-27 15:01:50.000000000,1970-01-01 00:00:00.000000001,closed,False
433,2018-04-21 07:56:26.000000000,2018-04-30 12:27:47.000000000,1970-01-01 00:00:00.000000001,closed,False
435,2018-04-22 13:33:37.000000000,2018-04-23 12:37:16.000000000,1970-01-01 00:00:00.000000001,closed,False
567,2018-08-29 09:43:47.000000000,2018-08-29 15:19:40.000000000,2018-08-29 15:19:40.000000000,closed,True
571,2018-08-29 13:50:56.000000000,2018-08-29 15:16:55.000000000,2018-08-29 15:16:55.000000000,closed,True
619,2018-10-05 16:16:36.000000000,2018-10-06 12:03:26.000000000,2018-10-06 12:03:26.000000000,closed,True
625,2018-10-06 23:53:48.000000000,2018-12-16 12:40:39.000000000,1970-01-01 00:00:00.000000001,closed,False
659,2018-10-09 20:09:15.000000000,2018-12-16 12:40:15.000000000,1970-01-01 00:00:00.000000001,closed,False
667,2018-10-13 18:17:48.000000000,2018-10-14 07:26:00.000000000,1970-01-01 00:00:00.000000001,closed,False
673,2018-10-15 01:24:41.000000000,2018-10-15 01:26:33.000000000,1970-01-01 00:00:00.000000001,closed,False
676,2018-10-15 09:01:59.000000000,2018-10-15 14:44:01.000000000,1970-01-01 00:00:00.000000001,closed,False
677,2018-10-15 09:57:35.000000000,2018-11-13 08:21:34.000000000,1970-01-01 00:00:00.000000001,closed,False
680,2018-10-15 23:53:42.000000000,2018-10-25 04:30:54.000000000,1970-01-01 00:00:00.000000001,closed,False
708,2018-10-21 18:16:36.000000000,2018-10-25 04:30:24.000000000,1970-01-01 00:00:00.000000001,closed,False
740,2018-10-29 16:00:07.000000000,2018-11-07 07:52:28.000000000,1970-01-01 00:00:00.000000001,closed,False
804,2019-01-25 14:32:47.000000000,2019-01-26 10:34:05.000000000,2019-01-26 10:34:05.000000000,closed,True
898,2019-04-25 19:03:34.000000000,2020-01-08 18:42:06.000000000,1970-01-01 00:00:00.000000001,closed,False
912,2019-05-08 08:37:32.000000000,2019-05-08 16:01:57.000000000,1970-01-01 00:00:00.000000001,closed,False
969,2019-06-07 09:22:35.000000000,2019-06-07 09:24:23.000000000,1970-01-01 00:00:00.000000001,closed,False
1005,2019-07-04 07:41:05.000000000,2019-07-09 07:51:19.000000000,1970-01-01 00:00:00.000000001,closed,False
1195,2019-08-15 18:04:13.000000000,2019-10-30 05:42:42.000000000,1970-01-01 00:00:00.000000001,closed,False
1309,2019-10-04 14:09:11.000000000,2019-10-04 14:10:49.000000000,1970-01-01 00:00:00.000000001,closed,False
1311,2019-10-06 11:30:51.000000000,2019-10-07 06:11:46.000000000,2019-10-07 06:11:46.000000000,closed,True
1312,2019-10-07 06:00:43.000000000,2019-10-07 06:11:10.000000000,1970-01-01 00:00:00.000000001,closed,False
1346,2019-10-15 18:36:59.000000000,2019-10-18 11:08:31.000000000,1970-01-01 00:00:00.000000001,closed,False
1371,2019-10-21 08:26:08.000000000,2019-10-21 08:27:03.000000000,1970-01-01 00:00:00.000000001,closed,False
1483,2019-12-09 12:07:47.000000000,2019-12-11 15:26:00.000000000,1970-01-01 00:00:00.000000001,closed,False
1569,2020-01-08 15:37:15.000000000,2020-01-28 11:46:17.000000000,1970-01-01 00:00:00.000000001,closed,False
1581,2020-01-10 08:49:02.000000000,2020-01-24 09:48:15.000000000,1970-01-01 00:00:00.000000001,closed,False
1582,2020-01-10 08:55:23.000000000,2020-01-24 09:48:16.000000000,1970-01-01 00:00:00.000000001,closed,False
1720,2020-03-05 08:15:09.000000000,2020-03-17 12:52:49.000000000,1970-01-01 00:00:00.000000001,closed,False
1722,2020-03-05 19:45:43.000000000,2020-03-06 08:21:31.000000000,2020-03-06 08:21:31.000000000,closed,True
1731,2020-03-09 07:52:06.000000000,2020-03-09 15:58:59.000000000,2020-03-09 15:58:59.000000000,closed,True
1748,2020-03-14 15:50:23.000000000,2020-03-17 12:05:17.000000000,1970-01-01 00:00:00.000000001,closed,False
1764,2020-03-17 12:04:35.000000000,2020-03-17 12:50:42.000000000,1970-01-01 00:00:00.000000001,closed,False
1765,2020-03-17 12:04:36.000000000,2020-03-17 12:50:42.000000000,1970-01-01 00:00:00.000000001,closed,False
1766,2020-03-17 12:04:36.000000000,2020-03-17 12:50:43.000000000,1970-01-01 00:00:00.000000001,closed,False
1767,2020-03-17 12:04:41.000000000,2020-03-17 12:50:43.000000000,1970-01-01 00:00:00.000000001,closed,False
1768,2020-03-17 12:05:47.000000000,2020-03-17 12:50:43.000000000,1970-01-01 00:00:00.000000001,closed,False
1777,2020-03-17 22:25:05.000000000,2020-04-06 12:33:47.000000000,1970-01-01 00:00:00.000000001,closed,False
