id,created_at,closed_at,state,comments,title
486,2020-08-29 19:12:41.000000000,2020-08-29 19:42:22.000000000,closed,0,Work around a compiler bug in MSVC from Visual Studio 2019 (rebased on master-dev).
485,2020-08-28 20:29:57.000000000,2020-08-29 19:29:27.000000000,closed,11,MSVC compiler bug
484,2020-08-28 04:39:08.000000000,2020-08-28 10:17:14.000000000,closed,18,Aliasing and oversampling
483,2020-08-28 01:41:42.000000000,2020-08-28 11:44:59.000000000,closed,4,added es8388 driver support
482,2020-08-26 06:30:17.000000000,1970-01-01 00:00:00.000000001,open,6,A Segmentation fault in cosprim.hh:49:13
481,2020-08-25 14:22:25.000000000,1970-01-01 00:00:00.000000001,open,1,faustgen-1.45-win64.zip released without faustgen\externals\msp\faustgen-resources
480,2020-08-16 15:45:52.000000000,1970-01-01 00:00:00.000000001,open,6,Extremely slow compilation.
479,2020-08-13 23:45:03.000000000,2020-08-25 14:33:40.000000000,closed,7,Usage of sys/sysctl.h
478,2020-08-13 18:46:05.000000000,2020-08-25 23:52:21.000000000,closed,8,"faust2sndfile: add options to LINPUTS call, fix jack_midi_clear_buffer issue"
477,2020-08-13 09:25:20.000000000,1970-01-01 00:00:00.000000001,open,3,make uninstall throws /bin/sh: Argument list too long
476,2020-08-12 14:11:27.000000000,1970-01-01 00:00:00.000000001,open,1,faust2caqt / faust2au: failing to compile faust dsp files that incorporate additional custom header files
475,2020-08-12 09:41:21.000000000,1970-01-01 00:00:00.000000001,open,1,Warning in generated code -Wunused-parameter
474,2020-08-11 11:06:02.000000000,2020-08-29 22:35:11.000000000,closed,5,MIDI glitches
473,2020-07-31 12:57:37.000000000,2020-08-04 12:09:33.000000000,closed,2,faust2jaqt wants alsa
472,2020-07-31 12:48:43.000000000,1970-01-01 00:00:00.000000001,open,0,-fm def does not compile
471,2020-07-30 07:56:23.000000000,2020-07-30 10:30:33.000000000,closed,0,Update libraries and class definition conflict
470,2020-07-29 21:46:34.000000000,1970-01-01 00:00:00.000000001,open,0,Expressions in control() get optimised inappropriately
469,2020-07-29 12:53:31.000000000,2020-08-04 12:11:54.000000000,closed,7,2.27.1 source tarball has been reuploaded (and doesn't reflect 2.27.1)
468,2020-07-26 01:11:43.000000000,1970-01-01 00:00:00.000000001,open,1,faust2api openframeworks+jack setup
467,2020-07-22 11:23:45.000000000,2020-07-25 09:57:12.000000000,closed,7,2.27.1: httpd build fails on invalid conversion
466,2020-07-21 22:20:57.000000000,1970-01-01 00:00:00.000000001,open,0,[WIP] Improved rust autovectorization
465,2020-07-15 04:53:59.000000000,2020-07-19 09:54:46.000000000,closed,4,faust2wasm -emcc flag attempts to use missing webaudio-asm.cpp
464,2020-07-10 12:36:01.000000000,2020-07-13 22:49:14.000000000,closed,5,[faust2plot/faust2csvplot] allow specification of include directories
463,2020-07-10 12:34:24.000000000,1970-01-01 00:00:00.000000001,open,1,[faust2pdf] updated inkscape command line option
462,2020-07-08 17:32:58.000000000,2020-07-11 01:19:30.000000000,closed,0,IRR and FIR
461,2020-07-04 18:03:34.000000000,1970-01-01 00:00:00.000000001,open,4,Possible unnecessarily long evaluation stage   
460,2020-07-01 04:57:49.000000000,1970-01-01 00:00:00.000000001,open,2,Add soundfile support to webaudio architecture / Faust online editor
459,2020-06-30 00:41:12.000000000,2020-06-30 00:58:07.000000000,closed,1,Enable AudioUnit's input only when fDevNumInChans > 0
458,2020-06-29 21:59:13.000000000,1970-01-01 00:00:00.000000001,open,9,ld: error: undefined symbol: CPPInstVisitor::gFunctionSymbolTable
457,2020-06-29 20:21:14.000000000,2020-06-30 00:58:07.000000000,closed,5,faust2api -ios: How to build an app not asking for microphone access?
456,2020-06-28 20:01:36.000000000,1970-01-01 00:00:00.000000001,open,2,"feature request — allow to configure meaning of ""int"" at compile-time"
455,2020-06-28 18:18:37.000000000,1970-01-01 00:00:00.000000001,open,3,feature request — add primitives for all crucial math operators and limits
454,2020-06-26 00:20:28.000000000,1970-01-01 00:00:00.000000001,open,7,[Rust] Index based parameter interface
453,2020-06-24 00:25:02.000000000,2020-06-24 05:23:44.000000000,closed,0,[Rust] Removed unnecessary mutable self references
452,2020-06-22 08:55:05.000000000,2020-06-23 00:01:17.000000000,closed,4,"Need Help esp32 ttgo board can run effects like echo,delay,..."
451,2020-06-20 22:19:59.000000000,2020-06-22 11:19:27.000000000,closed,2,Compilation fails when ba.slidingMaxN is used
450,2020-06-20 19:37:25.000000000,1970-01-01 00:00:00.000000001,open,5,feature request: -doc switch for faust2firefox
449,2020-06-20 09:01:20.000000000,2020-06-30 14:59:55.000000000,closed,5,faust2nodejs with -soundfile flag produces a directory of *.cpp / *. files instead of a *.node file
448,2020-06-19 14:30:12.000000000,2020-06-23 00:06:38.000000000,closed,5,[WIP] add idiomatic dsp trait for rust
447,2020-06-14 01:23:41.000000000,2020-06-14 18:08:33.000000000,closed,2,Cannot get dx7_ui to work
446,2020-06-09 01:05:50.000000000,2020-06-11 18:46:43.000000000,closed,12,Basic impulse tests for rust
445,2020-06-07 14:52:37.000000000,2020-06-11 18:38:02.000000000,closed,4,Rust backend produces unexpected output for physical model generators
444,2020-05-24 15:12:15.000000000,2020-05-24 18:33:53.000000000,closed,1,Preserve API folder when both -target and -nozip options specified
443,2020-05-21 12:18:10.000000000,2020-05-23 10:28:09.000000000,closed,4,Does Faust support in-place buffers in general (re-using inputs as outputs)?
442,2020-05-21 11:48:45.000000000,1970-01-01 00:00:00.000000001,open,0,Moving wiki pages into /documention/wiki?
441,2020-05-20 20:18:09.000000000,2020-05-20 20:55:03.000000000,closed,1,Make $APIFOLDER in faust2api definable by user
440,2020-05-20 00:30:30.000000000,2020-05-22 22:29:32.000000000,closed,4,faust2ios: BUILD FAILED
439,2020-05-16 16:46:13.000000000,2020-05-17 01:05:10.000000000,closed,1,llvm7 build broke
438,2020-05-12 00:38:36.000000000,2020-05-15 22:31:58.000000000,closed,2,MAXSDK path cannot include space
437,2020-05-09 16:23:21.000000000,2020-05-09 16:24:40.000000000,closed,0,added .dockerignore to avoid copying host build artifacts into docker
436,2020-05-07 12:47:52.000000000,2020-05-10 15:32:53.000000000,closed,6,error: 'UI' has not been declared with faust2api -teensy
435,2020-05-04 16:53:49.000000000,1970-01-01 00:00:00.000000001,open,14,"JACK/LV2 port metadata (for pretty names, CV ports, units)?"
434,2020-05-03 18:02:46.000000000,2020-05-18 01:32:46.000000000,closed,4,multiple definition of `__exidx_end' when building two audio objects for teensy
433,2020-05-02 15:03:43.000000000,2020-05-02 15:13:38.000000000,closed,0,Fixed path handling in faust2*rust scripts
432,2020-05-02 14:53:38.000000000,1970-01-01 00:00:00.000000001,open,7,Rust backend can panic because of 'attempt to multiply with overflow'
431,2020-05-02 13:49:26.000000000,1970-01-01 00:00:00.000000001,open,1,Why no docker images on docker hub?
430,2020-05-02 13:45:55.000000000,2020-05-09 16:24:41.000000000,closed,0,Docker build fails
429,2020-05-02 09:33:17.000000000,2020-05-02 10:58:32.000000000,closed,1,Fixes to LV2
428,2020-04-29 18:48:20.000000000,2020-05-06 16:08:29.000000000,closed,12,faust2api -teensy does not compile
427,2020-04-12 03:02:23.000000000,2020-05-06 16:08:52.000000000,closed,7,2.20.2: Build with llvm10 fails
426,2020-04-10 22:51:15.000000000,2020-04-14 20:58:58.000000000,closed,2,faust2teensy not installed
425,2020-04-03 15:06:21.000000000,2020-04-03 15:08:54.000000000,closed,2,"Unexpected ""parameter must be a constant value"""
424,2020-04-01 21:25:46.000000000,2020-04-08 15:23:38.000000000,closed,4,faust2w64vst exporter
423,2020-03-27 06:31:13.000000000,1970-01-01 00:00:00.000000001,open,1,The read index of rwtable cannot be a static number.
422,2020-03-26 19:20:52.000000000,2020-03-26 21:41:00.000000000,closed,2,Unclear where effects do and do not work. 
421,2020-03-25 16:59:31.000000000,2020-08-04 16:05:32.000000000,closed,6,Sliders get reset at the start of each note
420,2020-03-22 20:07:45.000000000,1970-01-01 00:00:00.000000001,open,0,"faust2jaqt breaks when there is a file called ""new"" in the directory "
419,2020-03-21 08:54:20.000000000,2020-03-21 13:41:21.000000000,closed,2,bin/ld: cannot find -lOSCFaust
418,2020-03-20 06:04:25.000000000,2020-03-21 10:58:49.000000000,closed,7,Godot Architecture?
417,2020-03-16 23:58:57.000000000,1970-01-01 00:00:00.000000001,open,0,Can't use faust2unity for android build.
416,2020-03-16 21:21:54.000000000,1970-01-01 00:00:00.000000001,open,1,Input program crashes faust
415,2020-03-14 18:54:42.000000000,2020-03-14 20:17:00.000000000,closed,2,building VST3 plugins
414,2020-03-09 15:40:24.000000000,2020-03-13 03:05:09.000000000,closed,5,faust2max6 still not compiling
413,2020-03-07 23:40:36.000000000,2020-03-08 18:02:10.000000000,closed,2,FAUST_INPUTS and FAUST_OUTPUTS not declared in lib generated for Teensy
412,2020-03-06 01:53:26.000000000,2020-03-06 13:04:26.000000000,closed,1,Clean up documentation on compilation
411,2020-03-05 22:52:23.000000000,2020-03-29 15:34:26.000000000,closed,7,Update to Web Components v2
410,2020-03-05 22:32:17.000000000,2020-03-05 22:32:53.000000000,closed,0,[WIP] Update to Web Components v2
409,2020-03-05 01:21:32.000000000,1970-01-01 00:00:00.000000001,open,21,Rust: `UI<T>::declare()` and borrow
408,2020-03-01 21:59:20.000000000,2020-03-06 13:04:26.000000000,closed,4,Documentation on compiling libfaust
407,2020-03-01 18:16:56.000000000,1970-01-01 00:00:00.000000001,open,5,ERROR : path '/dsp/bargraph' is already used
406,2020-02-29 18:21:47.000000000,2020-07-28 13:26:07.000000000,closed,11,"si.lag_ud(2,0); causes division by 0"
405,2020-02-28 03:25:20.000000000,2020-03-01 20:25:52.000000000,closed,1,Use `MediaDevices` instead of deprecated API for `getUserMedia`
404,2020-02-26 04:52:12.000000000,2020-02-27 03:16:51.000000000,closed,1,Use the latest APIs instead of legacy APIs
403,2020-02-22 16:13:00.000000000,1970-01-01 00:00:00.000000001,open,12,FAuSt 2 AUv3 
402,2020-02-20 18:33:57.000000000,2020-02-20 18:34:57.000000000,closed,0,The Docker image needs pkg-config
401,2020-02-13 16:43:49.000000000,2020-02-13 18:24:50.000000000,closed,1,"Implemented ""NVOICES"" poly mode"
400,2020-02-13 05:05:52.000000000,2020-07-13 01:27:56.000000000,closed,2,Adding a debug/single-stepped DSP modality for Faust programs
399,2020-02-10 01:09:02.000000000,2020-07-13 01:27:27.000000000,closed,1,2.20.2 has been re-tagged
398,2020-02-05 18:05:04.000000000,1970-01-01 00:00:00.000000001,open,10,Add compiler option to pass parameters to a Faust program through shell invocation
397,2020-02-04 16:18:14.000000000,2020-02-05 18:29:36.000000000,closed,7,error.dsp.cpp:15980:46: error: ‘inf’ was not declared in this scope
396,2020-02-03 17:46:09.000000000,2020-02-03 19:36:05.000000000,closed,2,"esp32_midi():midi_handler(""esp32""):fProcessMidiHandle(NULL) throws a …"
395,2020-02-03 00:09:38.000000000,1970-01-01 00:00:00.000000001,open,2,Faust 2 TouchDesigner?
394,2020-02-02 18:36:38.000000000,1970-01-01 00:00:00.000000001,open,7,ERROR : stack overflow in eval
393,2020-02-01 00:27:15.000000000,1970-01-01 00:00:00.000000001,open,0,Faders in faust2jaqt don't follow min and stepsize.
392,2020-01-31 19:37:59.000000000,2020-01-31 22:39:23.000000000,closed,1,Add files via upload
391,2020-01-31 17:59:32.000000000,2020-02-01 12:48:12.000000000,closed,1,Esp32
390,2020-01-29 04:07:06.000000000,2020-02-27 02:00:51.000000000,closed,12,faust2unity not working properly beyond 2.14
389,2020-01-26 23:24:50.000000000,1970-01-01 00:00:00.000000001,open,2,"Some backends (LLVM, wasm, interp, Rust...) do not know the constants from math.h"
388,2020-01-26 23:20:56.000000000,1970-01-01 00:00:00.000000001,open,1,faust2jackrust always has stereo io
387,2020-01-21 01:12:12.000000000,2020-08-04 14:44:01.000000000,closed,9,Don't block on division by 0 if it doesn't need to be calculated.
386,2020-01-15 23:02:54.000000000,2020-01-20 16:37:21.000000000,closed,5,"Initial commit to make the build process (install, in fact) compatible w/ Gentoo FHS"
385,2020-01-15 03:23:39.000000000,2020-07-13 01:36:34.000000000,closed,16,Unable to identify inputs
384,2020-01-14 06:09:29.000000000,2020-01-14 21:19:27.000000000,closed,0,faust web editor services are down
383,2020-01-13 22:07:42.000000000,2020-01-14 21:19:38.000000000,closed,1,problem with original value of rwtable
382,2020-01-13 03:33:27.000000000,2020-01-21 01:15:23.000000000,closed,7,Oboe code assumes INPUT and OUTPUT rates match
381,2020-01-12 01:42:52.000000000,2020-01-17 21:34:35.000000000,closed,5,microhttpd.h not found during compilation
380,2020-01-03 19:59:15.000000000,2020-01-06 15:08:27.000000000,closed,0,Small fix for gcc 4.8.*
379,2019-12-30 14:58:22.000000000,2020-01-08 19:44:38.000000000,closed,5,"libfaust: ""-svg"" option doesn't work in createDSPFactoryFromString."
378,2019-12-29 23:39:57.000000000,2020-01-05 14:20:03.000000000,closed,5,buildUserInterfaceCDSPInstance in 2.20.2 broken
377,2019-12-25 15:32:02.000000000,1970-01-01 00:00:00.000000001,open,3,Support for ES8388 codec for ESP32 LyraT
376,2019-12-22 22:14:15.000000000,2019-12-24 17:29:50.000000000,closed,0,More memory-corruption caused by setlocale. (includes cherry-pickable commit)
375,2019-12-22 05:06:14.000000000,2019-12-22 13:11:01.000000000,closed,0,Two small fixes
374,2019-12-22 01:22:56.000000000,2019-12-22 01:27:20.000000000,closed,1,"Fix ""make benchmark"""
373,2019-12-21 23:28:01.000000000,2019-12-22 22:34:27.000000000,closed,27,os.osc doesn't always work with the interpreter backend (faust HEAD 2019-04-12)
