id,created_at,closed_at,merged_at,state,merged
13,2015-08-11 15:34:55.000000000,2015-08-13 04:00:59.000000000,2015-08-13 04:00:59.000000000,closed,True
16,2015-08-12 23:22:35.000000000,2015-08-13 04:00:21.000000000,2015-08-13 04:00:21.000000000,closed,True
17,2015-08-13 05:44:35.000000000,2015-08-14 15:36:00.000000000,2015-08-14 15:36:00.000000000,closed,True
18,2015-08-13 12:04:41.000000000,2015-08-13 12:08:35.000000000,1970-01-01 00:00:00.000000001,closed,False
19,2015-08-13 12:19:01.000000000,2015-08-14 15:29:04.000000000,2015-08-14 15:29:04.000000000,closed,True
20,2015-08-13 13:01:31.000000000,2015-08-14 15:28:35.000000000,2015-08-14 15:28:35.000000000,closed,True
21,2015-08-13 14:13:15.000000000,2015-08-14 15:31:47.000000000,2015-08-14 15:31:47.000000000,closed,True
23,2015-08-14 17:56:27.000000000,2015-08-14 17:59:20.000000000,1970-01-01 00:00:00.000000001,closed,False
24,2015-08-14 18:08:02.000000000,2015-08-14 20:24:16.000000000,1970-01-01 00:00:00.000000001,closed,False
26,2015-08-16 00:46:25.000000000,2015-08-16 15:38:56.000000000,2015-08-16 15:38:56.000000000,closed,True
27,2015-08-16 14:49:01.000000000,2015-08-16 15:39:14.000000000,2015-08-16 15:39:14.000000000,closed,True
28,2015-08-16 15:37:19.000000000,2015-08-16 15:39:34.000000000,2015-08-16 15:39:34.000000000,closed,True
29,2015-08-16 16:55:00.000000000,2015-08-16 23:27:31.000000000,2015-08-16 23:27:31.000000000,closed,True
30,2015-08-17 17:21:10.000000000,2015-08-18 04:00:22.000000000,2015-08-18 04:00:22.000000000,closed,True
32,2015-08-18 13:01:54.000000000,2015-08-18 20:16:45.000000000,2015-08-18 20:16:45.000000000,closed,True
33,2015-08-19 03:15:31.000000000,2015-08-20 02:30:51.000000000,2015-08-20 02:30:51.000000000,closed,True
34,2015-08-20 12:01:30.000000000,2015-08-20 14:50:42.000000000,2015-08-20 14:50:42.000000000,closed,True
35,2015-08-20 17:46:36.000000000,2015-08-20 18:00:28.000000000,2015-08-20 18:00:28.000000000,closed,True
38,2015-08-21 02:14:54.000000000,2015-08-21 15:07:45.000000000,2015-08-21 15:07:45.000000000,closed,True
41,2015-08-22 15:36:02.000000000,2015-08-23 15:17:51.000000000,2015-08-23 15:17:51.000000000,closed,True
42,2015-08-22 18:10:25.000000000,2015-08-23 15:18:15.000000000,2015-08-23 15:18:15.000000000,closed,True
43,2015-08-24 17:49:46.000000000,2015-08-24 20:21:37.000000000,2015-08-24 20:21:37.000000000,closed,True
46,2015-08-27 06:34:21.000000000,2015-08-27 19:30:07.000000000,2015-08-27 19:30:07.000000000,closed,True
48,2015-08-29 03:55:18.000000000,2015-08-30 14:45:17.000000000,2015-08-30 14:45:17.000000000,closed,True
51,2015-09-01 09:30:47.000000000,2015-09-01 16:25:32.000000000,2015-09-01 16:25:32.000000000,closed,True
52,2015-09-01 09:32:01.000000000,2015-09-01 16:25:16.000000000,2015-09-01 16:25:16.000000000,closed,True
53,2015-09-01 09:34:21.000000000,2015-09-01 16:27:02.000000000,2015-09-01 16:27:02.000000000,closed,True
55,2015-09-04 05:56:39.000000000,2015-09-05 14:29:14.000000000,2015-09-05 14:29:14.000000000,closed,True
60,2015-09-10 14:11:21.000000000,2015-09-11 15:15:44.000000000,2015-09-11 15:15:44.000000000,closed,True
66,2015-09-24 00:53:31.000000000,2015-09-26 17:28:11.000000000,2015-09-26 17:28:11.000000000,closed,True
73,2015-10-07 12:52:06.000000000,2015-10-07 22:15:14.000000000,2015-10-07 22:15:14.000000000,closed,True
77,2015-10-11 01:03:37.000000000,2015-10-11 15:58:50.000000000,2015-10-11 15:58:50.000000000,closed,True
78,2015-10-11 01:58:44.000000000,2015-10-11 16:26:51.000000000,1970-01-01 00:00:00.000000001,closed,False
79,2015-10-11 05:34:46.000000000,2015-10-11 15:57:50.000000000,2015-10-11 15:57:50.000000000,closed,True
81,2015-10-11 16:58:12.000000000,2015-10-11 17:00:50.000000000,2015-10-11 17:00:50.000000000,closed,True
85,2015-10-17 22:28:43.000000000,2015-10-18 15:15:46.000000000,2015-10-18 15:15:46.000000000,closed,True
88,2015-10-23 15:00:13.000000000,2015-10-24 17:06:05.000000000,2015-10-24 17:06:05.000000000,closed,True
89,2015-10-23 17:14:08.000000000,2015-10-24 17:07:06.000000000,2015-10-24 17:07:06.000000000,closed,True
96,2015-10-25 18:35:49.000000000,2015-10-25 22:24:39.000000000,2015-10-25 22:24:39.000000000,closed,True
100,2015-10-26 19:37:42.000000000,2015-10-26 20:36:50.000000000,2015-10-26 20:36:50.000000000,closed,True
102,2015-10-27 19:01:05.000000000,2015-10-27 20:58:37.000000000,2015-10-27 20:58:37.000000000,closed,True
113,2015-11-01 23:21:50.000000000,2015-11-02 18:34:09.000000000,2015-11-02 18:34:09.000000000,closed,True
129,2015-11-10 21:31:16.000000000,2015-11-11 17:26:59.000000000,2015-11-11 17:26:59.000000000,closed,True
130,2015-11-11 12:00:43.000000000,2015-11-11 17:31:55.000000000,2015-11-11 17:31:55.000000000,closed,True
134,2015-11-15 15:10:38.000000000,2015-11-15 18:47:22.000000000,2015-11-15 18:47:22.000000000,closed,True
135,2015-11-16 02:45:48.000000000,2015-11-16 18:21:22.000000000,2015-11-16 18:21:22.000000000,closed,True
145,2015-11-17 02:16:01.000000000,2015-11-17 17:43:22.000000000,2015-11-17 17:43:22.000000000,closed,True
148,2015-11-19 03:24:33.000000000,2015-11-19 17:23:18.000000000,2015-11-19 17:23:17.000000000,closed,True
150,2015-11-20 04:43:35.000000000,2015-11-20 05:14:34.000000000,2015-11-20 05:14:34.000000000,closed,True
161,2015-11-27 22:46:00.000000000,2015-11-28 06:28:39.000000000,2015-11-28 06:28:39.000000000,closed,True
169,2015-11-29 05:02:49.000000000,2015-11-29 17:40:37.000000000,2015-11-29 17:40:37.000000000,closed,True
174,2015-11-29 21:35:24.000000000,2015-11-29 22:17:09.000000000,2015-11-29 22:17:09.000000000,closed,True
177,2015-11-30 01:17:53.000000000,2015-11-30 06:11:40.000000000,2015-11-30 06:11:40.000000000,closed,True
179,2015-11-30 08:09:36.000000000,2015-11-30 17:11:33.000000000,2015-11-30 17:11:33.000000000,closed,True
180,2015-12-01 00:52:49.000000000,2015-12-01 05:00:54.000000000,2015-12-01 05:00:54.000000000,closed,True
185,2015-12-06 18:05:27.000000000,2015-12-06 18:11:39.000000000,1970-01-01 00:00:00.000000001,closed,False
186,2015-12-06 19:40:29.000000000,2015-12-06 20:45:40.000000000,2015-12-06 20:45:40.000000000,closed,True
187,2015-12-07 02:22:22.000000000,2015-12-07 19:21:09.000000000,2015-12-07 19:21:09.000000000,closed,True
193,2015-12-17 03:15:54.000000000,2015-12-17 17:59:15.000000000,2015-12-17 17:59:15.000000000,closed,True
194,2015-12-17 22:37:23.000000000,2015-12-17 22:40:31.000000000,2015-12-17 22:40:31.000000000,closed,True
198,2015-12-20 04:37:39.000000000,2015-12-20 18:37:17.000000000,2015-12-20 18:37:17.000000000,closed,True
