id,created_at,closed_at,merged_at,state,merged
118,2015-06-13 04:06:15.000000000,2015-06-15 01:27:11.000000000,1970-01-01 00:00:00.000000001,closed,False
131,2015-07-02 11:15:14.000000000,2015-07-07 16:28:43.000000000,2015-07-07 16:28:43.000000000,closed,True
142,2015-07-29 22:58:23.000000000,2015-07-30 22:28:10.000000000,2015-07-30 22:28:10.000000000,closed,True
143,2015-07-30 01:51:43.000000000,2015-07-30 22:49:16.000000000,2015-07-30 22:49:16.000000000,closed,True
147,2015-08-09 03:01:28.000000000,2015-08-10 00:42:56.000000000,2015-08-10 00:42:56.000000000,closed,True
148,2015-08-13 01:21:46.000000000,2015-08-13 11:36:38.000000000,2015-08-13 11:36:38.000000000,closed,True
162,2015-09-25 00:44:35.000000000,2015-09-25 12:21:01.000000000,2015-09-25 12:21:01.000000000,closed,True
175,2015-11-17 19:06:12.000000000,2015-11-24 21:24:34.000000000,2015-11-24 21:24:34.000000000,closed,True
197,2016-01-21 20:29:57.000000000,2016-01-26 15:13:20.000000000,2016-01-26 15:13:20.000000000,closed,True
198,2016-01-26 21:06:48.000000000,2016-01-26 22:24:56.000000000,2016-01-26 22:24:56.000000000,closed,True
214,2016-02-29 05:00:52.000000000,2016-02-29 11:57:20.000000000,2016-02-29 11:57:20.000000000,closed,True
233,2016-04-18 20:07:45.000000000,2016-04-18 22:45:39.000000000,2016-04-18 22:45:39.000000000,closed,True
238,2016-05-12 14:20:54.000000000,2016-05-12 22:00:56.000000000,2016-05-12 22:00:56.000000000,closed,True
250,2016-07-02 17:21:57.000000000,2016-07-02 19:39:24.000000000,1970-01-01 00:00:00.000000001,closed,False
251,2016-07-02 19:45:32.000000000,2016-08-22 14:06:40.000000000,2016-08-22 14:06:40.000000000,closed,True
254,2016-08-07 11:59:47.000000000,2016-08-22 13:25:43.000000000,2016-08-22 13:25:43.000000000,closed,True
278,2016-11-09 12:34:59.000000000,2016-11-14 19:53:36.000000000,2016-11-14 19:53:36.000000000,closed,True
294,2016-12-13 19:56:03.000000000,2016-12-13 20:40:32.000000000,2016-12-13 20:40:32.000000000,closed,True
301,2017-01-03 09:51:52.000000000,2017-01-03 21:23:14.000000000,2017-01-03 21:23:14.000000000,closed,True
302,2017-01-04 08:29:54.000000000,2017-01-04 16:08:26.000000000,2017-01-04 16:08:26.000000000,closed,True
304,2017-01-06 05:50:11.000000000,2017-01-06 15:27:10.000000000,2017-01-06 15:27:10.000000000,closed,True
306,2017-01-07 10:32:35.000000000,2017-01-10 11:15:23.000000000,2017-01-10 11:15:23.000000000,closed,True
307,2017-01-09 04:22:12.000000000,2017-01-10 11:08:24.000000000,2017-01-10 11:08:24.000000000,closed,True
317,2017-01-23 22:04:47.000000000,2017-01-24 17:15:22.000000000,2017-01-24 17:15:22.000000000,closed,True
320,2017-01-27 22:05:57.000000000,2017-01-27 22:22:41.000000000,2017-01-27 22:22:41.000000000,closed,True
322,2017-01-30 20:12:11.000000000,2017-01-30 20:23:13.000000000,1970-01-01 00:00:00.000000001,closed,False
323,2017-01-30 20:27:49.000000000,2017-01-30 22:15:15.000000000,1970-01-01 00:00:00.000000001,closed,False
324,2017-01-31 00:38:52.000000000,2017-01-31 13:28:21.000000000,2017-01-31 13:28:21.000000000,closed,True
326,2017-02-01 21:33:43.000000000,2017-02-06 22:24:15.000000000,2017-02-06 22:24:15.000000000,closed,True
330,2017-02-06 09:25:41.000000000,2017-02-06 12:18:42.000000000,1970-01-01 00:00:00.000000001,closed,False
335,2017-02-11 05:18:53.000000000,2017-02-11 14:33:15.000000000,2017-02-11 14:33:15.000000000,closed,True
338,2017-02-14 17:38:33.000000000,2017-02-14 22:44:59.000000000,2017-02-14 22:44:59.000000000,closed,True
339,2017-02-14 17:40:07.000000000,2017-02-14 22:46:13.000000000,2017-02-14 22:46:13.000000000,closed,True
343,2017-02-22 21:51:09.000000000,2017-02-22 21:55:41.000000000,2017-02-22 21:55:41.000000000,closed,True
349,2017-02-27 16:13:55.000000000,2017-03-02 21:06:15.000000000,2017-03-02 21:06:15.000000000,closed,True
351,2017-03-02 08:19:28.000000000,2017-03-03 14:32:31.000000000,2017-03-03 14:32:31.000000000,closed,True
352,2017-03-10 20:03:48.000000000,2017-03-16 13:54:23.000000000,2017-03-16 13:54:23.000000000,closed,True
357,2017-03-22 00:35:34.000000000,2017-03-22 12:20:08.000000000,2017-03-22 12:20:08.000000000,closed,True
359,2017-03-24 11:51:19.000000000,2017-03-24 12:21:43.000000000,2017-03-24 12:21:43.000000000,closed,True
361,2017-03-26 03:21:44.000000000,2017-03-26 19:22:07.000000000,2017-03-26 19:22:07.000000000,closed,True
363,2017-04-01 00:54:29.000000000,2017-04-02 20:00:46.000000000,2017-04-02 20:00:46.000000000,closed,True
365,2017-04-04 16:22:19.000000000,2017-04-05 11:59:08.000000000,1970-01-01 00:00:00.000000001,closed,False
366,2017-04-05 14:59:36.000000000,2017-04-05 15:15:45.000000000,2017-04-05 15:15:45.000000000,closed,True
367,2017-04-05 18:06:31.000000000,2017-04-06 12:02:05.000000000,2017-04-06 12:02:05.000000000,closed,True
368,2017-04-14 14:37:27.000000000,2017-04-14 19:11:27.000000000,2017-04-14 19:11:27.000000000,closed,True
370,2017-04-18 21:07:42.000000000,2017-04-20 14:00:47.000000000,2017-04-20 14:00:47.000000000,closed,True
371,2017-04-20 23:31:36.000000000,2017-04-24 11:22:48.000000000,2017-04-24 11:22:48.000000000,closed,True
378,2017-04-23 19:47:50.000000000,2017-04-24 12:15:50.000000000,1970-01-01 00:00:00.000000001,closed,False
382,2017-05-26 21:01:34.000000000,2017-05-29 19:21:02.000000000,1970-01-01 00:00:00.000000001,closed,False
390,2017-05-29 13:42:35.000000000,2017-05-29 19:21:53.000000000,2017-05-29 19:21:53.000000000,closed,True
391,2017-05-30 16:40:04.000000000,2017-05-30 19:38:19.000000000,1970-01-01 00:00:00.000000001,closed,False
392,2017-05-30 18:23:18.000000000,2017-05-30 19:32:27.000000000,2017-05-30 19:32:27.000000000,closed,True
393,2017-06-01 22:23:52.000000000,2017-06-02 08:46:26.000000000,1970-01-01 00:00:00.000000001,closed,False
394,2017-06-02 08:53:19.000000000,2017-06-02 12:21:07.000000000,2017-06-02 12:21:07.000000000,closed,True
403,2017-06-04 18:43:00.000000000,2017-06-05 18:40:59.000000000,2017-06-05 18:40:59.000000000,closed,True
407,2017-06-08 09:04:11.000000000,2017-06-08 22:57:36.000000000,2017-06-08 22:57:36.000000000,closed,True
413,2017-06-19 18:59:42.000000000,2017-06-19 23:30:25.000000000,2017-06-19 23:30:25.000000000,closed,True
422,2017-07-16 15:56:19.000000000,2017-07-24 14:49:57.000000000,2017-07-24 14:49:57.000000000,closed,True
423,2017-07-27 10:46:04.000000000,2017-07-27 14:33:10.000000000,2017-07-27 14:33:10.000000000,closed,True
431,2017-08-30 17:57:35.000000000,2017-08-31 09:58:14.000000000,1970-01-01 00:00:00.000000001,closed,False
432,2017-08-31 13:49:35.000000000,2017-08-31 15:24:03.000000000,1970-01-01 00:00:00.000000001,closed,False
