id,created_at,closed_at,state,comments,title
498,2020-08-30 15:46:19.000000000,1970-01-01 00:00:00.000000001,open,0,How to tell which files belong to gocryptfs?
497,2020-08-19 15:51:52.000000000,1970-01-01 00:00:00.000000001,open,0,QA: How to auto-mount the encrypted dir on boot in alpine linux by /etc/fstab?
496,2020-08-13 12:43:25.000000000,1970-01-01 00:00:00.000000001,open,2,Packaging request: could gocryptfs-xray be included in future GitHub Releases?
495,2020-08-12 15:23:36.000000000,2020-08-15 19:34:53.000000000,closed,2,On linux mint dkpg and apt-get won't work with a .DEB file stored inside a gocryptfs decrypted directory
494,2020-08-11 16:53:43.000000000,1970-01-01 00:00:00.000000001,open,0,Some questions about the reverse mode and the treat model Dragon
493,2020-08-07 20:49:26.000000000,1970-01-01 00:00:00.000000001,open,3,Feature request: -badname should be honoured when used alongside -plaintextnames
492,2020-08-03 09:52:31.000000000,1970-01-01 00:00:00.000000001,open,0,pam_mount not automounting my encrypted folder on server reboot
491,2020-07-30 13:35:44.000000000,1970-01-01 00:00:00.000000001,open,1,"Error: ""cp: preserving permissions for ‘....’: Permission denied"""
490,2020-07-20 18:51:11.000000000,2020-07-21 00:38:21.000000000,closed,1,Possible Master Key Issue / Caching?
489,2020-06-30 11:15:42.000000000,1970-01-01 00:00:00.000000001,open,3,Recommended strategy for Multi Master Sync?
488,2020-06-25 22:45:44.000000000,1970-01-01 00:00:00.000000001,open,2,Failed to copy: failed to open source object: 
487,2020-06-16 03:22:41.000000000,2020-07-21 00:41:25.000000000,closed,1,FR: Do not ask for pass in reverse mode once set
486,2020-06-01 07:32:37.000000000,2020-06-01 12:18:19.000000000,closed,2,contrib/getdents-debug: fix function call missing argument from 22e3eec
485,2020-06-01 03:26:38.000000000,2020-06-01 07:31:30.000000000,closed,1,contrib/getdents-debug: fix function call missing argument from 22e3eec
484,2020-05-25 04:01:27.000000000,1970-01-01 00:00:00.000000001,open,5,QA: How to keep the file naming scheme the same between reverse and normal modes?
483,2020-05-23 23:50:31.000000000,1970-01-01 00:00:00.000000001,open,10,CIFS throws EINTR and ENOENT errors
482,2020-05-23 23:35:36.000000000,2020-05-24 01:01:26.000000000,closed,1,Follow symlinks in reverse mode?
481,2020-05-22 09:12:55.000000000,1970-01-01 00:00:00.000000001,open,10,Improving transfer speed over network?
480,2020-05-20 14:22:48.000000000,2020-05-24 00:27:30.000000000,closed,3,Library for usage in other projects
479,2020-05-19 15:54:30.000000000,2020-06-06 14:55:06.000000000,closed,2,Badnameauto
478,2020-05-18 23:14:36.000000000,2020-05-19 00:55:42.000000000,closed,1,Memory used by scrypt doesn't seem to be released whilst FS is mounted
477,2020-05-18 20:16:32.000000000,2020-05-19 00:25:41.000000000,closed,3,Add ability to decrypt files without fuse
476,2020-05-18 00:35:36.000000000,2020-05-21 19:00:55.000000000,closed,1,Absolute link targets in release tarball
475,2020-05-14 12:25:24.000000000,1970-01-01 00:00:00.000000001,open,1,Feature Request: Add option --one-file-system (don't cross filesystem boundaries) in reverse mode
474,2020-05-11 14:55:57.000000000,2020-05-19 15:55:02.000000000,closed,11,Badnameregex
473,2020-05-07 10:24:35.000000000,2020-05-17 17:11:59.000000000,closed,3,No access to gocryptfs from tmux
472,2020-05-05 19:28:56.000000000,2020-05-07 20:54:14.000000000,closed,1,How do you track progress of encryption/decryption?
471,2020-05-02 19:12:11.000000000,2020-05-02 19:30:00.000000000,closed,1,There should be a way to print the master key on demand
470,2020-04-29 12:37:54.000000000,2020-05-09 17:26:37.000000000,closed,2,Should we get a new release?
469,2020-04-21 02:05:48.000000000,2020-04-27 00:33:01.000000000,closed,2,Decrypt with OpenSSL
468,2020-04-13 20:19:47.000000000,2020-04-20 00:14:10.000000000,closed,0,Create go.yml
467,2020-04-13 16:45:22.000000000,2020-04-18 19:16:27.000000000,closed,0,Create go.yml
466,2020-04-13 15:50:32.000000000,2020-04-27 00:32:53.000000000,closed,4,base32 encoded filenames
465,2020-04-05 02:31:26.000000000,2020-04-08 00:04:42.000000000,closed,1,Update manpage examples
464,2020-04-02 20:27:12.000000000,2020-04-02 21:03:46.000000000,closed,0,ignore
463,2020-04-01 16:46:45.000000000,2020-04-01 16:49:59.000000000,closed,1,New flag to mount non empty dirs
462,2020-03-30 10:52:06.000000000,2020-04-08 00:04:42.000000000,closed,2,man page examples need fixing
461,2020-03-18 18:06:54.000000000,2020-05-09 18:54:21.000000000,closed,3,-masterkey=stdin does not work with -passwd
460,2020-03-15 19:38:17.000000000,2020-04-18 19:14:53.000000000,closed,5,Update build script to use GOFLAGS and CGO_LDFLAGS
459,2020-03-08 06:12:16.000000000,1970-01-01 00:00:00.000000001,open,17,lazy unmount fails to finish
458,2020-03-08 05:21:47.000000000,2020-03-26 01:43:06.000000000,closed,19,fuse_request_end: kernel tried to execute NX-protected page
