id,created_at,closed_at,state,comments,title
637,2020-08-25 22:07:20.000000000,2020-08-25 22:07:35.000000000,closed,0,625 framebuffer leak
636,2020-08-12 21:21:58.000000000,1970-01-01 00:00:00.000000001,open,0,Docs should mention that custom functions must be named functions
635,2020-08-12 07:34:55.000000000,2020-08-12 21:18:36.000000000,closed,5,Example of adding a custom function to gpu/kernel instance (node env)
634,2020-08-11 12:39:13.000000000,1970-01-01 00:00:00.000000001,open,2,Setting constant sampler2D override the input sampler2D
633,2020-08-07 11:47:39.000000000,1970-01-01 00:00:00.000000001,open,7,Performing discrete fourier transforms on a list (i.e. 2D threading): Error 0:469 undeclared identifiers
632,2020-08-07 08:29:19.000000000,1970-01-01 00:00:00.000000001,open,2,doesn't work in ipad pro
631,2020-08-04 00:43:26.000000000,1970-01-01 00:00:00.000000001,open,0,Add Skypack to README
630,2020-07-31 14:21:36.000000000,1970-01-01 00:00:00.000000001,open,0,build(deps): bump elliptic from 6.5.0 to 6.5.3
629,2020-07-29 01:00:38.000000000,2020-07-29 19:13:45.000000000,closed,1,How we can work with Buffer?
628,2020-07-18 00:21:27.000000000,1970-01-01 00:00:00.000000001,open,0,build(deps): bump lodash from 4.17.15 to 4.17.19
627,2020-07-12 18:28:13.000000000,2020-07-12 20:05:09.000000000,closed,4,Is there a way to use this with TensorFlow?
626,2020-07-11 19:33:42.000000000,1970-01-01 00:00:00.000000001,open,1,Outdated Benchmarks on website
625,2020-07-10 01:36:17.000000000,2020-08-25 22:09:03.000000000,closed,6,toArray() causes memory leaks
624,2020-07-07 17:05:34.000000000,1970-01-01 00:00:00.000000001,open,2,Using Jest to test gives console error Not implemented: HTMLCanvasElement.prototype.getContext
623,2020-07-07 03:11:21.000000000,1970-01-01 00:00:00.000000001,open,1,Fixed issue with Array3d(3) lookup into texture (Issue #622)
622,2020-07-05 23:47:10.000000000,1970-01-01 00:00:00.000000001,open,2,Strange output on Array3D(3) toArray()
621,2020-06-27 20:09:34.000000000,2020-06-28 09:35:51.000000000,closed,2,DOMException thrown
620,2020-06-21 16:00:48.000000000,2020-06-25 23:08:17.000000000,closed,20,Error compiling fragment shader
619,2020-06-20 21:27:35.000000000,2020-06-21 15:51:21.000000000,closed,0,Error: Could not find a KernelValue for function
618,2020-06-12 04:04:04.000000000,1970-01-01 00:00:00.000000001,open,1,Math.max and Math.min only accept two parameters
617,2020-06-09 04:29:55.000000000,1970-01-01 00:00:00.000000001,open,3,Unexpected output indexing arrays with array values
616,2020-06-08 11:06:34.000000000,1970-01-01 00:00:00.000000001,open,0,Webgl2 perf on Ubuntu + Nvidia
615,2020-06-07 19:04:09.000000000,2020-06-08 11:07:52.000000000,closed,3,Benchmark not working on web site
614,2020-06-02 11:56:13.000000000,1970-01-01 00:00:00.000000001,open,10,Trying to make a frame buffer
