id,created_at,closed_at,state,comments,title
3122,2020-08-31 18:27:14.000000000,1970-01-01 00:00:00.000000001,open,0,Do not wrap connections when RawValue is returned from resolver
3121,2020-08-31 18:23:30.000000000,2020-08-31 18:43:58.000000000,closed,1,schema-first support for defining types
3120,2020-08-31 18:16:50.000000000,1970-01-01 00:00:00.000000001,open,0,Assert valid input types when adding arguments to schema
3119,2020-08-31 17:31:40.000000000,1970-01-01 00:00:00.000000001,open,0,Mixing up input/output objects in schema definition blames client
3118,2020-08-31 16:04:05.000000000,2020-08-31 17:59:41.000000000,closed,1,Serverside implicit `__typename` for queries before resolving them
3117,2020-08-29 20:26:06.000000000,2020-08-31 18:18:08.000000000,closed,1,Update instructions for Ably Webhook configuration
3116,2020-08-27 19:54:53.000000000,1970-01-01 00:00:00.000000001,open,1,Subscription ActionCable channel incorrect when applying scopes?
3115,2020-08-27 01:17:13.000000000,1970-01-01 00:00:00.000000001,open,0,Guide: Arguments
3114,2020-08-26 22:45:39.000000000,2020-08-27 00:08:03.000000000,closed,1,Guide: Interfaces
3113,2020-08-26 17:01:11.000000000,1970-01-01 00:00:00.000000001,open,2,Resolver raises an exception since v1.11.0
3112,2020-08-25 21:57:51.000000000,2020-08-31 18:17:32.000000000,closed,1,Add gql devise to related_projects.md
3111,2020-08-25 18:20:50.000000000,1970-01-01 00:00:00.000000001,open,0,Add 'replace' argument option
3110,2020-08-25 14:26:35.000000000,1970-01-01 00:00:00.000000001,open,1,Update union type generator
3109,2020-08-25 04:38:57.000000000,1970-01-01 00:00:00.000000001,open,2,GraphQL Pro cursor breaks with AREL expression order
3108,2020-08-25 00:55:10.000000000,2020-08-25 18:23:17.000000000,closed,3,v1.11.4
3107,2020-08-24 18:49:15.000000000,2020-08-25 00:44:13.000000000,closed,0,Rescue SystemStackErrors during validation
3106,2020-08-24 15:56:07.000000000,1970-01-01 00:00:00.000000001,open,1,Allow Input Object generation based on Object Type
3105,2020-08-24 14:55:16.000000000,2020-08-24 17:26:26.000000000,closed,1,Convert `pageInfo` field of connection to underscore
3104,2020-08-22 21:52:04.000000000,2020-08-24 17:36:25.000000000,closed,1,Put frozen_string_literal at the first line
3103,2020-08-22 21:25:46.000000000,2020-08-24 17:37:26.000000000,closed,1,Add `require 'digest/sha2'` for fingerprint
3102,2020-08-22 20:57:24.000000000,1970-01-01 00:00:00.000000001,open,1,Union type generator creates a list of types in possible_types
3101,2020-08-22 19:50:42.000000000,2020-08-24 17:31:03.000000000,closed,1,Fix incorrect documentations
3100,2020-08-21 18:48:48.000000000,2020-08-21 19:23:39.000000000,closed,0,Check if new connections before calling method on it
3099,2020-08-21 18:41:02.000000000,2020-08-21 19:09:46.000000000,closed,0,Thread field owner type through interpreter runtime
3098,2020-08-21 00:18:39.000000000,2020-08-24 18:51:41.000000000,closed,4,Use module_namespacing for graphql templates
3097,2020-08-20 23:59:55.000000000,2020-08-21 18:58:35.000000000,closed,2,Patching `AppOpticsTracing` to work with latest changes in `PlatformTracing` base class
3096,2020-08-20 23:31:09.000000000,2020-08-21 19:03:45.000000000,closed,0,[Bugfix] Check for visible interfaces on the type in warden
3095,2020-08-20 23:07:26.000000000,2020-08-21 19:04:31.000000000,closed,1,Fix typos
3094,2020-08-20 06:30:37.000000000,2020-08-21 17:46:49.000000000,closed,1,Ignoring extra fields on input when passed from client
3093,2020-08-19 21:45:25.000000000,2020-08-20 02:06:10.000000000,closed,1,Extending graphql-ruby to support eager loading 
3092,2020-08-19 04:10:02.000000000,2020-08-20 06:33:57.000000000,closed,3,Union of primitive objects throws error with undefined `graphql_name`
