id,created_at,closed_at,merged_at,state,merged
34,2017-03-14 02:34:21.000000000,2017-04-08 22:53:44.000000000,2017-04-08 22:53:44.000000000,closed,True
35,2017-03-21 23:45:56.000000000,2017-03-22 00:52:22.000000000,2017-03-22 00:52:22.000000000,closed,True
36,2017-03-23 06:57:42.000000000,2017-04-08 22:55:17.000000000,2017-04-08 22:55:17.000000000,closed,True
39,2017-03-28 01:58:54.000000000,2017-04-14 02:52:19.000000000,1970-01-01 00:00:00.000000001,closed,False
40,2017-03-28 02:32:26.000000000,2017-04-08 22:55:54.000000000,2017-04-08 22:55:54.000000000,closed,True
42,2017-04-06 18:49:56.000000000,2017-04-08 22:56:50.000000000,2017-04-08 22:56:49.000000000,closed,True
43,2017-04-18 02:07:10.000000000,2017-04-18 03:05:03.000000000,2017-04-18 03:05:03.000000000,closed,True
46,2017-04-26 02:05:14.000000000,2017-04-26 19:42:46.000000000,2017-04-26 19:42:46.000000000,closed,True
56,2017-05-31 00:55:55.000000000,2017-05-31 00:57:46.000000000,2017-05-31 00:57:46.000000000,closed,True
57,2017-06-02 22:33:08.000000000,2017-06-02 22:43:06.000000000,2017-06-02 22:43:06.000000000,closed,True
60,2017-06-16 05:11:49.000000000,2017-06-25 17:45:34.000000000,2017-06-25 17:45:34.000000000,closed,True
62,2017-07-11 09:19:24.000000000,2017-09-28 23:33:52.000000000,2017-09-28 23:33:52.000000000,closed,True
64,2017-08-04 07:39:58.000000000,2017-08-31 23:00:44.000000000,2017-08-31 23:00:44.000000000,closed,True
69,2017-08-23 13:52:29.000000000,2017-08-31 23:00:29.000000000,2017-08-31 23:00:29.000000000,closed,True
70,2017-09-01 16:15:09.000000000,2017-09-24 12:18:39.000000000,1970-01-01 00:00:00.000000001,closed,False
71,2017-09-02 07:38:44.000000000,2017-09-02 07:42:02.000000000,2017-09-02 07:42:02.000000000,closed,True
72,2017-09-13 19:32:58.000000000,2017-09-29 01:20:27.000000000,2017-09-29 01:20:27.000000000,closed,True
73,2017-09-23 10:58:13.000000000,2017-09-28 23:39:00.000000000,2017-09-28 23:39:00.000000000,closed,True
76,2017-09-30 02:49:14.000000000,2018-06-19 19:35:27.000000000,1970-01-01 00:00:00.000000001,closed,False
77,2017-09-30 23:50:37.000000000,2017-09-30 23:50:51.000000000,1970-01-01 00:00:00.000000001,closed,False
80,2017-10-24 13:46:51.000000000,2017-11-07 04:11:32.000000000,2017-11-07 04:11:32.000000000,closed,True
81,2017-10-25 07:09:59.000000000,2017-11-07 04:13:21.000000000,2017-11-07 04:13:21.000000000,closed,True
83,2017-10-28 03:30:27.000000000,2017-12-14 22:56:08.000000000,1970-01-01 00:00:00.000000001,closed,False
87,2017-11-14 13:07:06.000000000,2017-12-14 22:53:25.000000000,2017-12-14 22:53:25.000000000,closed,True
94,2017-12-15 02:11:28.000000000,2017-12-23 04:18:01.000000000,2017-12-23 04:18:01.000000000,closed,True
97,2017-12-22 22:16:00.000000000,2017-12-22 22:16:18.000000000,2017-12-22 22:16:18.000000000,closed,True
98,2017-12-30 11:39:25.000000000,2017-12-30 11:45:55.000000000,2017-12-30 11:45:55.000000000,closed,True
101,2018-01-13 11:03:17.000000000,2018-01-30 22:44:38.000000000,2018-01-30 22:44:38.000000000,closed,True
107,2018-01-31 08:08:14.000000000,2018-01-31 09:08:31.000000000,1970-01-01 00:00:00.000000001,closed,False
108,2018-02-01 07:21:26.000000000,2018-02-02 05:06:29.000000000,2018-02-02 05:06:29.000000000,closed,True
109,2018-02-02 00:40:47.000000000,2018-02-02 05:07:38.000000000,2018-02-02 05:07:38.000000000,closed,True
110,2018-02-04 03:32:22.000000000,2018-02-04 04:04:21.000000000,1970-01-01 00:00:00.000000001,closed,False
112,2018-02-08 14:10:33.000000000,2018-02-11 04:12:01.000000000,2018-02-11 04:12:01.000000000,closed,True
114,2018-02-11 11:08:04.000000000,2018-02-16 21:28:33.000000000,2018-02-16 21:28:33.000000000,closed,True
115,2018-02-17 09:29:41.000000000,2018-02-20 05:40:21.000000000,2018-02-20 05:40:21.000000000,closed,True
116,2018-02-17 20:36:25.000000000,2018-02-20 05:41:41.000000000,2018-02-20 05:41:41.000000000,closed,True
117,2018-02-18 05:39:49.000000000,2018-02-20 05:38:25.000000000,2018-02-20 05:38:25.000000000,closed,True
