id,created_at,closed_at,state,comments,title
7901,2020-08-28 21:59:18.000000000,1970-01-01 00:00:00.000000001,open,0,Output Swagger to documentation component data file
7900,2020-08-28 21:53:16.000000000,1970-01-01 00:00:00.000000001,open,0,Output CLI to documentation component data file
7899,2020-08-28 19:31:28.000000000,2020-08-28 20:51:16.000000000,closed,1,Cargo Update
7898,2020-08-28 19:29:17.000000000,2020-08-28 21:34:43.000000000,closed,1,Automated update of Habitat Documentation
7897,2020-08-28 19:28:58.000000000,2020-08-28 20:34:12.000000000,closed,1,Rustfmt and Nightly Rust Bump to nightly-2020-08-28
7896,2020-08-28 00:42:07.000000000,1970-01-01 00:00:00.000000001,open,0,Add deprecation message for `hab sup status`
7895,2020-08-28 00:05:25.000000000,2020-08-28 01:14:41.000000000,closed,0,Fix update documentation pipeline
7894,2020-08-27 23:04:13.000000000,1970-01-01 00:00:00.000000001,open,2,Keep the code inside of the window
7893,2020-08-26 16:15:04.000000000,1970-01-01 00:00:00.000000001,open,0,hab pkg exec command option parsing change in hab 1.6.139
7892,2020-08-26 10:44:33.000000000,1970-01-01 00:00:00.000000001,open,1,Builder on-prem documentation
7891,2020-08-25 07:12:04.000000000,2020-08-25 07:17:34.000000000,closed,0,"Revert ""7. Origin Members"""
7890,2020-08-24 23:49:11.000000000,2020-08-28 19:50:51.000000000,closed,1,Cargo Update
7889,2020-08-24 23:46:34.000000000,2020-08-25 21:13:00.000000000,closed,1,Rustfmt and Nightly Rust Bump to nightly-2020-08-24
7888,2020-08-24 23:46:20.000000000,2020-08-28 19:39:54.000000000,closed,2,Automated update of Habitat Documentation
7887,2020-08-24 23:28:08.000000000,1970-01-01 00:00:00.000000001,open,0,Overhaul and refactoring of Keys
7886,2020-08-24 23:21:55.000000000,1970-01-01 00:00:00.000000001,open,0,Update changelog
7885,2020-08-24 22:31:00.000000000,2020-08-26 21:07:15.000000000,closed,1,readonly pkg_release and ensure pkg_version is semver
7884,2020-08-24 22:04:49.000000000,1970-01-01 00:00:00.000000001,open,0,Investigate implementations of Supervisor discovery and Service data sharing
7883,2020-08-22 17:42:12.000000000,2020-08-24 18:19:37.000000000,closed,0,Fix text in e2e test
7882,2020-08-22 02:04:51.000000000,2020-08-22 03:10:17.000000000,closed,0,Replace `hab install` with `hab pkg install` in plan-build
7881,2020-08-21 22:56:35.000000000,2020-08-22 00:37:43.000000000,closed,0,Fix CLI deprecation when generating completions
7880,2020-08-20 01:22:59.000000000,2020-08-24 17:28:04.000000000,closed,0,additional validation for PackageIdent fields
7879,2020-08-17 21:44:56.000000000,2020-08-19 20:54:48.000000000,closed,0,Report errors when getting user and group
7878,2020-08-17 18:25:35.000000000,2020-08-17 20:53:45.000000000,closed,0,Add `hab sup restart` command
7877,2020-08-15 01:20:18.000000000,2020-08-15 17:07:36.000000000,closed,0,Remove the `hab pkg export cf` command from windows
7876,2020-08-15 00:59:12.000000000,2020-08-15 01:28:10.000000000,closed,0,do not add c:/hab/bin to persistent path in ci
7875,2020-08-14 22:50:16.000000000,2020-08-18 17:49:03.000000000,closed,0,Update dependencies
7874,2020-08-14 20:16:56.000000000,1970-01-01 00:00:00.000000001,open,0,smarter API retries
7873,2020-08-14 20:02:42.000000000,2020-08-14 21:09:05.000000000,closed,0,Fix `hab sup --version` after `structopt` refactoring
7872,2020-08-13 23:02:27.000000000,2020-08-14 20:24:03.000000000,closed,0,Deprecate CLI aliases
7871,2020-08-13 22:55:37.000000000,2020-08-14 22:06:51.000000000,closed,0,Pull packages from the `--channel` argument on `hab sup run`
7870,2020-08-13 21:06:13.000000000,2020-08-13 21:58:38.000000000,closed,0,Remove custom cli parsing
7869,2020-08-13 19:59:11.000000000,2020-08-13 21:04:22.000000000,closed,0,Improve error message when installing internal packages
7868,2020-08-12 23:01:01.000000000,2020-08-13 22:01:21.000000000,closed,0,fix path to VERSION file in windows plans
7867,2020-08-12 01:56:16.000000000,2020-08-13 17:29:00.000000000,closed,0,Add some e2e tests around crypto functionality
7866,2020-08-11 17:47:41.000000000,1970-01-01 00:00:00.000000001,open,0,finish structopt cli implementation and remove old clap parsing
7865,2020-08-11 01:17:36.000000000,2020-08-13 19:47:59.000000000,closed,0,Improve parsing of `hab pkg export`
7864,2020-08-10 23:20:19.000000000,2020-08-11 18:13:59.000000000,closed,0,Update Changelog for 1.6.115
7863,2020-08-10 23:16:11.000000000,2020-08-14 23:12:38.000000000,closed,2,Cargo Update
7862,2020-08-10 23:13:17.000000000,2020-08-11 05:49:46.000000000,closed,1,Rustfmt and Nightly Rust Bump to nightly-2020-07-27
7861,2020-08-10 23:12:58.000000000,2020-08-12 22:01:51.000000000,closed,0,Automated update of Habitat Documentation
7860,2020-08-07 00:49:46.000000000,2020-08-07 01:52:28.000000000,closed,0,fix license environment injection in container exporter
7859,2020-08-07 00:21:22.000000000,2020-08-07 00:53:16.000000000,closed,0,fix e2e test_license test
7858,2020-08-06 02:15:12.000000000,2020-08-10 22:50:49.000000000,closed,0,make bind timeout configurable and add debug output around startup
7857,2020-08-05 21:47:26.000000000,2020-08-10 21:25:53.000000000,closed,0,Cleanup `hab pkg export` subcommand
7856,2020-08-05 05:35:45.000000000,2020-08-06 19:58:56.000000000,closed,0,fix e2e test with older launcher
7855,2020-08-05 00:15:43.000000000,2020-08-05 00:46:31.000000000,closed,0,fix launcher version parsing
7854,2020-08-04 01:40:59.000000000,2020-08-04 19:13:05.000000000,closed,0,[CI] Ensure that kernel2 packages get build appropriately
7853,2020-08-01 02:03:46.000000000,2020-08-05 00:22:23.000000000,closed,0,fallback to superuser root if home path cannot be found during license search
7852,2020-07-31 19:59:33.000000000,2020-07-31 22:52:33.000000000,closed,0, [CI] Pull Chef GPG key from Vault instead of S3
7851,2020-07-31 19:16:11.000000000,2020-07-31 19:21:23.000000000,closed,0,[CI] Ensure GPG keys are imported before verifying manifest
7850,2020-07-31 00:11:53.000000000,2020-08-12 21:44:15.000000000,closed,4,Add splay to health check execution
7849,2020-07-30 21:13:55.000000000,1970-01-01 00:00:00.000000001,open,1,Hab license cannot be accepted by user if root has already accepted
7848,2020-07-30 20:53:32.000000000,2020-08-01 17:08:44.000000000,closed,0,Add channel promotion datadog event
7847,2020-07-30 20:00:08.000000000,1970-01-01 00:00:00.000000001,open,0,Danger pkg_version method
7846,2020-07-30 19:38:39.000000000,1970-01-01 00:00:00.000000001,open,0,hab studio enter can fail with license check
7845,2020-07-30 02:35:40.000000000,1970-01-01 00:00:00.000000001,open,0,Migrate C windows implementations to Rust
7844,2020-07-30 02:30:02.000000000,2020-07-30 23:38:49.000000000,closed,2,refactor account/sid/win_perms to not need to contact a domian controller
7843,2020-07-29 22:45:06.000000000,1970-01-01 00:00:00.000000001,open,0,Refactor / Research Key and Encryption Usage in Habitat
7842,2020-07-29 22:04:41.000000000,2020-08-01 17:08:44.000000000,closed,0,Add datadog event on supervisor release
7841,2020-07-29 00:07:45.000000000,2020-08-13 00:03:55.000000000,closed,4,builder origin rbac subcommand
7840,2020-07-28 02:42:45.000000000,2020-08-01 03:39:58.000000000,closed,1,use win32 api and not env var for determining current user name
7839,2020-07-24 23:15:27.000000000,2020-07-24 23:51:56.000000000,closed,0,[CI] Fixed some stupid bugs in the supplemental groups test
7838,2020-07-24 21:27:14.000000000,2020-07-24 22:03:36.000000000,closed,0,Add back default values for svc::Load
7837,2020-07-24 20:22:52.000000000,2020-07-24 22:35:33.000000000,closed,0,[CI] Update changelog management labels in Expeditor config
7836,2020-07-24 00:56:13.000000000,2020-07-30 23:38:48.000000000,closed,0,panic at 'local administrator account'
7835,2020-07-23 23:58:44.000000000,2020-07-24 19:31:54.000000000,closed,1, [CI] Binlink `hab` earlier in the path for e2e tests
7834,2020-07-23 18:22:56.000000000,2020-08-05 21:18:47.000000000,closed,0,Allow version check without license
7833,2020-07-23 17:28:18.000000000,2020-08-14 22:06:51.000000000,closed,1,`hab sup run --channel` should pull `hab-sup` and `hab-launch` from the specified channel 
7832,2020-07-23 01:41:53.000000000,2020-07-23 22:27:31.000000000,closed,0,Ignore unreadable keys when exporting (among other uses)
7831,2020-07-23 00:35:20.000000000,2020-07-23 21:42:33.000000000,closed,0,Add command line completion to powershell studio
7830,2020-07-22 23:11:28.000000000,2020-07-23 20:34:28.000000000,closed,0,Update configopt version
7829,2020-07-22 18:31:45.000000000,2020-07-23 20:45:02.000000000,closed,0,delete old objects in S3 bucket that do not exist in local website build
7828,2020-07-22 00:48:41.000000000,2020-07-23 00:09:54.000000000,closed,0,fix builds consuming runtime environment of build deps
7827,2020-07-21 23:18:20.000000000,2020-07-23 00:48:19.000000000,closed,0,[Fix] Cli completions by conditionally hiding bulkload subcommand
7826,2020-07-21 21:47:57.000000000,2020-07-21 22:56:13.000000000,closed,0,fixes clippy
7825,2020-07-21 18:00:41.000000000,2020-07-21 22:28:36.000000000,closed,0,[Chore] Update rust to 1.44.1
7824,2020-07-21 08:02:36.000000000,2020-07-22 23:57:28.000000000,closed,1,Use the new downloads site where appropriate.
7823,2020-07-21 02:32:24.000000000,2020-07-24 00:28:42.000000000,closed,0,Add supplemental groups to Linux hook processes
7822,2020-07-21 01:50:21.000000000,2020-07-23 00:48:05.000000000,closed,0,Fix hab svc load argument parsing
7821,2020-07-21 01:29:47.000000000,2020-07-21 21:30:55.000000000,closed,0,remove link to kubernetes operator and cloud foundary exporter
7820,2020-07-20 21:40:03.000000000,2020-08-11 23:39:24.000000000,closed,0,modernize windows tutorial
7819,2020-07-20 19:48:19.000000000,2020-07-20 19:56:18.000000000,closed,1,hab svc load fails
7818,2020-07-20 19:25:16.000000000,2020-07-23 00:48:19.000000000,closed,1,hab cli completers fails
7817,2020-07-20 14:46:49.000000000,1970-01-01 00:00:00.000000001,open,1,Bump lodash from 4.17.15 to 4.17.19 in /components/habitat-chef-io/themes/docs-new
7816,2020-07-18 01:36:59.000000000,2020-07-23 00:09:54.000000000,closed,1,runtime environment variables defined in a build dep's environment setup are not set during the build
7815,2020-07-17 13:35:21.000000000,2020-07-23 00:48:05.000000000,closed,0,Panic caused by `hab svc load` option ordering in Hab 1.6.73 and greater.
7814,2020-07-17 02:08:49.000000000,2020-07-23 22:18:57.000000000,closed,1,hab pkg info extended metadata
7813,2020-07-17 00:47:52.000000000,2020-07-17 20:48:04.000000000,closed,0,[CI] Fix service update e2e test
7812,2020-07-16 02:51:55.000000000,2020-08-25 06:53:26.000000000,closed,1,7. Origin Members
7811,2020-07-16 02:24:48.000000000,2020-08-25 06:52:18.000000000,closed,1,6. Origin Secrets
7810,2020-07-15 05:40:24.000000000,2020-08-25 06:48:41.000000000,closed,1,5. Origin Keys
