id,created_at,closed_at,state,comments,title
712,2020-08-26 13:20:30.000000000,1970-01-01 00:00:00.000000001,open,0,Non-random draw_grid
711,2020-08-21 13:18:56.000000000,1970-01-01 00:00:00.000000001,open,0,About operate mask and keypoint  by sync
710,2020-08-19 17:11:00.000000000,1970-01-01 00:00:00.000000001,open,0,Global config padding value for masks?
709,2020-08-17 22:48:34.000000000,1970-01-01 00:00:00.000000001,open,0,Augmented Image memory footprint increase (Bug?)
708,2020-08-10 17:43:09.000000000,2020-08-12 14:27:50.000000000,closed,1,"AssertionError: Expected number of channels to be three, got 400 channels (shape (4, 400, 400))."
707,2020-07-31 13:51:15.000000000,1970-01-01 00:00:00.000000001,open,0,How you add your dataset ?
706,2020-07-30 12:33:55.000000000,2020-08-03 08:16:53.000000000,closed,2,how to know which augmenters are used?
705,2020-07-30 00:06:07.000000000,1970-01-01 00:00:00.000000001,open,0,ValueError with Color Temperature Augmenter
704,2020-07-29 16:09:51.000000000,1970-01-01 00:00:00.000000001,open,0,bad return order of augment
703,2020-07-23 21:53:58.000000000,2020-07-30 12:43:13.000000000,closed,2,"ValueError: Got dtype 'float64', which is a forbidden dtype"
702,2020-07-23 11:37:17.000000000,1970-01-01 00:00:00.000000001,open,0,AssertionError for mask
701,2020-07-18 16:09:48.000000000,1970-01-01 00:00:00.000000001,open,0,[REQUEST] Gaussian Patch Augmentation
700,2020-07-15 20:09:05.000000000,1970-01-01 00:00:00.000000001,open,0,Tensorflow2 imgaug pipline 
699,2020-07-12 08:23:15.000000000,2020-07-12 09:46:44.000000000,closed,0,How can use aug.augment_batches  with polygon?
698,2020-07-10 16:36:15.000000000,2020-08-01 17:06:36.000000000,closed,1,Inconsistent behaviour of imgaug
697,2020-07-08 02:46:42.000000000,2020-07-14 02:11:24.000000000,closed,3,Can't pass array of masks to seq
696,2020-07-07 15:38:25.000000000,1970-01-01 00:00:00.000000001,open,0,BlendAlphaHorizontalLinearGradient can't transform bounding boxes
695,2020-07-06 01:00:13.000000000,1970-01-01 00:00:00.000000001,open,1,Status of MultiPolygon?
694,2020-07-04 12:11:53.000000000,1970-01-01 00:00:00.000000001,open,0,Which is the good way to use imgaug for medical images segmentation?
693,2020-06-25 01:21:50.000000000,1970-01-01 00:00:00.000000001,open,0,String format expects number but gets string
692,2020-06-21 02:39:11.000000000,2020-06-21 20:30:47.000000000,closed,1,pip install will only download version 0.2.6
691,2020-06-19 00:51:29.000000000,2020-06-19 18:54:32.000000000,closed,0,Batch processing with multiple Bounding Boxes
690,2020-06-17 17:49:46.000000000,2020-07-16 21:29:02.000000000,closed,3,Unclear how to get to_deterministic to work with just images  
689,2020-06-09 15:11:07.000000000,1970-01-01 00:00:00.000000001,open,0,perspective transform need rotation parameters?
688,2020-06-09 12:51:44.000000000,1970-01-01 00:00:00.000000001,open,0,Create custom augmentation 
687,2020-06-09 12:40:49.000000000,1970-01-01 00:00:00.000000001,open,0,Grayscale uses too much memory
686,2020-06-02 17:08:04.000000000,2020-06-28 00:01:47.000000000,closed,0,MixUp || CutMix Augmentation! Implementation Possible?
685,2020-06-01 18:11:57.000000000,2020-06-01 18:58:27.000000000,closed,0,Fix Affine deprecation warning
684,2020-05-31 19:19:10.000000000,2020-06-01 17:38:26.000000000,closed,1,Incorporate numba into segment replacement
683,2020-05-30 18:43:04.000000000,2020-05-31 13:40:02.000000000,closed,1,Improve performance of glass blur
682,2020-05-30 14:10:24.000000000,1970-01-01 00:00:00.000000001,open,2,unorderable types: str() >= int() and unsupported operand type(s) for -: 'int' and 'str'
681,2020-05-28 18:45:50.000000000,1970-01-01 00:00:00.000000001,open,2,Worrying discrepancy between PIL Resize and Imgaug Resize
680,2020-05-25 22:50:35.000000000,2020-05-25 23:47:04.000000000,closed,1,Fix Affine always casting cvals to int
679,2020-05-23 12:57:14.000000000,2020-05-23 13:34:36.000000000,closed,1,keypoints augment bug
678,2020-05-22 20:50:09.000000000,2020-05-23 13:51:36.000000000,closed,1,Activate CI/CD testing of windows
677,2020-05-22 20:11:08.000000000,2020-05-22 20:45:24.000000000,closed,1,Remove f128 requirement from tests
676,2020-05-22 16:26:09.000000000,2020-05-22 16:56:10.000000000,closed,1,Add timeouts to ci/cd jobs
675,2020-05-22 14:12:09.000000000,2020-05-25 14:04:44.000000000,closed,2,Shifted augumented segmentation mask
674,2020-05-22 13:47:04.000000000,2020-05-22 16:57:59.000000000,closed,1,Extend printed system infos in github jobs
673,2020-05-22 13:30:55.000000000,2020-05-22 16:19:14.000000000,closed,1,Fix multicore aug error on Mac + python 3.7
672,2020-05-21 22:59:14.000000000,2020-05-22 18:42:27.000000000,closed,1,Fix deprecation warning in Superpixels
671,2020-05-21 19:24:37.000000000,2020-05-21 19:39:42.000000000,closed,1,Multiple annotations on single image.
670,2020-05-21 16:53:47.000000000,2020-05-21 23:46:08.000000000,closed,1,Improve CI/CD testing via github actions
669,2020-05-20 19:18:42.000000000,2020-05-25 23:47:04.000000000,closed,1,cval not behaving correctly when given float value
668,2020-05-20 05:20:07.000000000,1970-01-01 00:00:00.000000001,open,2,break pytorch's dataloader when num_workers > 0
667,2020-05-19 03:20:01.000000000,2020-05-26 23:57:52.000000000,closed,4,Different cval per channel
666,2020-05-18 23:41:31.000000000,2020-05-23 13:52:48.000000000,closed,1,Fix prefetchers wrapping prefetchers
665,2020-05-17 16:16:18.000000000,2020-05-22 17:01:19.000000000,closed,0,Remove leftover print statement
664,2020-05-17 15:38:21.000000000,2020-05-17 16:12:31.000000000,closed,0,Fix travis build for python 3.6 failing
663,2020-05-17 13:55:25.000000000,2020-05-22 18:43:43.000000000,closed,1,Improve performance of dtype checks
662,2020-05-14 20:27:37.000000000,1970-01-01 00:00:00.000000001,open,2,Question:  How augment like in RandomResizedCrop with imgaug?
661,2020-05-11 13:30:24.000000000,1970-01-01 00:00:00.000000001,open,1,Multiprocessing and tensorflow 2.x
660,2020-05-07 13:24:07.000000000,2020-05-07 13:29:02.000000000,closed,0,aug_bbs coordinates
659,2020-05-07 07:50:13.000000000,1970-01-01 00:00:00.000000001,open,10,Issues about CoarseDropout
658,2020-05-01 04:44:02.000000000,1970-01-01 00:00:00.000000001,open,1,Bugg-ish behaviour
657,2020-04-25 01:20:07.000000000,1970-01-01 00:00:00.000000001,open,5,Conditional augmentations
656,2020-04-22 14:16:41.000000000,2020-04-23 15:47:26.000000000,closed,1,Using DataLoader with imgaug
655,2020-04-21 19:06:25.000000000,1970-01-01 00:00:00.000000001,open,1,Resize between a fixed number of pixel and the image current size
654,2020-04-19 20:54:35.000000000,2020-04-19 21:16:41.000000000,closed,1,Unzoom without padding
653,2020-04-17 01:49:33.000000000,2020-04-19 11:37:38.000000000,closed,2,Squared does not seem to change the shape of the cutouts
652,2020-04-15 23:20:49.000000000,1970-01-01 00:00:00.000000001,open,1,module 'imgaug.augmenters' has no attribute 'collections'
651,2020-04-14 01:58:16.000000000,2020-05-03 13:51:54.000000000,closed,1,Improve Performance of FrequencyNoise
650,2020-04-12 20:53:43.000000000,2020-04-13 19:05:42.000000000,closed,1,Fix change_color_temperatures_() broadcasting error
649,2020-04-10 23:30:12.000000000,1970-01-01 00:00:00.000000001,open,3,How to batch processing with BoudingBoxes (also sequential option possible?)
648,2020-04-06 03:05:57.000000000,2020-04-19 02:50:53.000000000,closed,7,Fix wildly-off coordinates for keypoints with PiecewiseAffine
647,2020-04-01 00:24:12.000000000,2020-04-01 00:26:18.000000000,closed,0,draw_on_image only works for RGB (three channel) images?
646,2020-03-26 18:50:12.000000000,2020-04-13 19:09:11.000000000,closed,2,Array broadcast error in Change Color Temperatures
645,2020-03-25 19:18:05.000000000,1970-01-01 00:00:00.000000001,open,1,Question: How to return the transformation matrix from the imgaug.augmenters.geometric?
644,2020-03-24 14:02:03.000000000,2020-03-25 05:32:17.000000000,closed,0,"ValueError: Tried to convert an array to a list of BoundingBoxesOnImage. Expected the array's last dimension to have size 4, but got 3 instead (array shape: (640, 640, 3))."
643,2020-03-23 00:11:35.000000000,1970-01-01 00:00:00.000000001,open,1,Augmenters applied row by row?
642,2020-03-18 11:57:44.000000000,2020-03-19 19:17:55.000000000,closed,0,Combination of EdgeDetection and SomeOf
641,2020-03-16 00:24:21.000000000,1970-01-01 00:00:00.000000001,open,1,Scale and crop?
640,2020-03-15 20:48:11.000000000,2020-05-03 13:47:55.000000000,closed,1,Improve Performance of Segment Replacement
639,2020-03-14 21:06:49.000000000,2020-05-03 00:40:42.000000000,closed,1,Refactor Affine
638,2020-03-12 08:28:26.000000000,1970-01-01 00:00:00.000000001,open,4,AttributeError: 'Array' object has no attribute 'deepcopy'  (version 0.40) - python 3.7.6
637,2020-03-11 13:08:38.000000000,2020-03-25 17:45:31.000000000,closed,2,Augment overlapping segmentation masks
636,2020-03-09 15:25:12.000000000,2020-05-18 03:09:00.000000000,closed,3,import problem with imgaug and tensorflow at the same time
635,2020-03-09 13:28:49.000000000,1970-01-01 00:00:00.000000001,open,3,Performance of only-keypoints augmentations
634,2020-03-09 01:14:03.000000000,2020-05-16 13:39:00.000000000,closed,1,Add Automatic Prefetching of Random Number Samples
633,2020-03-04 10:15:21.000000000,2020-03-05 07:46:42.000000000,closed,2,Multiple segmentation maps on one image
632,2020-03-01 01:17:14.000000000,2020-04-22 23:20:57.000000000,closed,1,Improve Convolution Filters
631,2020-02-29 20:27:27.000000000,2020-05-02 23:17:08.000000000,closed,1,Improve Performance of invert_()
630,2020-02-28 14:26:00.000000000,1970-01-01 00:00:00.000000001,open,0,flipud produces negative stridess
629,2020-02-28 10:50:24.000000000,2020-03-14 17:53:17.000000000,closed,2,Keep information during rotate 
628,2020-02-26 01:02:22.000000000,2020-02-26 02:15:52.000000000,closed,1,Fix imageio dependency broken in python <3.5
627,2020-02-25 14:16:02.000000000,2020-02-26 02:15:52.000000000,closed,1,Python2 compatibility broken : Imageio
626,2020-02-23 22:58:22.000000000,2020-04-28 21:39:50.000000000,closed,1,Refactor blur_gaussian_()
625,2020-02-23 20:52:37.000000000,2020-04-22 22:51:04.000000000,closed,1,Improve Average Bluring
624,2020-02-23 18:56:49.000000000,2020-05-03 16:58:57.000000000,closed,1,Improve Performance of ElasticTransformation
623,2020-02-22 19:32:25.000000000,2020-02-29 20:30:16.000000000,closed,1,Enforce stricter shape handling in augmentables
622,2020-02-22 16:53:06.000000000,2020-04-21 22:40:55.000000000,closed,1,Improve performance of pooling
621,2020-02-22 14:38:09.000000000,2020-02-22 23:52:22.000000000,closed,7,PiecewiseAffine optimization when only using keypoints - no image
620,2020-02-20 23:54:30.000000000,1970-01-01 00:00:00.000000001,open,2,Augmentable for vector fields?
619,2020-02-19 00:15:17.000000000,2020-04-21 21:26:20.000000000,closed,1,Vectorize CropAndPad
618,2020-02-18 00:49:01.000000000,2020-02-18 01:08:07.000000000,closed,1,Fix missing fallback to keypoint augmentation in legacy augmenters
617,2020-02-17 04:40:51.000000000,2020-02-18 01:08:07.000000000,closed,1,Augment bounding boxes is broken when only _augment_keypoints is defined
616,2020-02-17 04:21:28.000000000,2020-02-29 20:30:16.000000000,closed,1,normalize_shape causes ambiguities 
615,2020-02-17 01:32:22.000000000,2020-05-03 00:36:36.000000000,closed,1,Improve Performance of Elementwise Multiplication
614,2020-02-16 22:32:51.000000000,2020-04-27 22:16:51.000000000,closed,1,Improve performance of multiply_scalar()
613,2020-02-16 16:40:31.000000000,1970-01-01 00:00:00.000000001,open,0,Improve performance of RNG sampling routines
612,2020-02-16 16:38:28.000000000,2020-04-20 20:17:22.000000000,closed,1,Improve Performance of Elementwise Addition
611,2020-02-14 10:57:21.000000000,1970-01-01 00:00:00.000000001,open,2,Import error caused by some conflict with tensorflow
610,2020-02-14 01:04:09.000000000,2020-04-21 21:22:38.000000000,closed,1,Improve Performance of Alpha-Blending
609,2020-02-13 22:02:54.000000000,1970-01-01 00:00:00.000000001,open,4,Polygons that have interiors
608,2020-02-12 01:12:53.000000000,2020-04-20 20:13:10.000000000,closed,1,Improve performance of Add
607,2020-02-11 00:45:35.000000000,1970-01-01 00:00:00.000000001,open,3,Fliplr and Flipud flips the same images when using random_state
606,2020-02-07 02:02:50.000000000,2020-06-01 18:34:11.000000000,closed,1,Move example data functions to new module
605,2020-02-02 17:34:49.000000000,2020-02-02 17:50:51.000000000,closed,1,Fix error message in Jigsaw
604,2020-02-02 01:22:14.000000000,2020-02-06 00:50:32.000000000,closed,1,Update readme to v0.4.0
603,2020-02-01 22:17:29.000000000,2020-02-06 00:48:28.000000000,closed,1,Add v0.4.0 changelog summary
602,2020-02-01 16:29:56.000000000,2020-02-21 14:37:26.000000000,closed,10,Problem about Rotation 90 degrees with bounding box
601,2020-01-26 21:48:41.000000000,2020-02-01 21:58:24.000000000,closed,1,Add classifiers to setup.py
600,2020-01-26 20:19:50.000000000,2020-01-26 21:33:28.000000000,closed,1,Establish compatibility with python 3.8
599,2020-01-26 19:30:33.000000000,2020-01-26 21:32:01.000000000,closed,1,Remove unnecessary code
598,2020-01-26 15:35:48.000000000,2020-01-26 18:11:48.000000000,closed,1,Add 'deprecated since'/'added in' markers
597,2020-01-26 00:31:47.000000000,2020-01-26 15:36:59.000000000,closed,1,Add PR #586 to changelog
596,2020-01-26 00:15:09.000000000,2020-01-26 15:37:52.000000000,closed,1,Fix missing class in module class list
595,2020-01-25 23:03:56.000000000,2020-01-26 00:11:53.000000000,closed,1,Change **old_kwargs magic to explicit parameters
594,2020-01-25 18:05:03.000000000,2020-01-25 18:48:13.000000000,closed,1,Improve Warnings on Probably-Wrong Image Inputs
