id,created_at,closed_at,merged_at,state,merged
3,2017-03-17 21:24:54.000000000,2017-03-18 05:02:01.000000000,2017-03-18 05:02:01.000000000,closed,True
5,2017-03-29 02:29:58.000000000,2017-03-29 23:10:43.000000000,2017-03-29 23:10:43.000000000,closed,True
13,2017-05-23 19:09:02.000000000,2017-05-24 08:26:10.000000000,2017-05-24 08:26:10.000000000,closed,True
14,2017-05-26 06:19:38.000000000,2017-05-26 20:47:07.000000000,2017-05-26 20:47:06.000000000,closed,True
31,2017-11-16 01:48:35.000000000,2017-11-16 01:56:02.000000000,2017-11-16 01:56:02.000000000,closed,True
34,2017-11-24 05:51:13.000000000,2017-11-24 23:35:26.000000000,2017-11-24 23:35:26.000000000,closed,True
35,2017-11-24 06:02:15.000000000,2017-11-24 23:21:05.000000000,2017-11-24 23:21:05.000000000,closed,True
37,2017-12-17 09:13:26.000000000,2017-12-17 10:25:32.000000000,2017-12-17 10:25:32.000000000,closed,True
44,2017-12-29 02:49:47.000000000,2017-12-29 03:02:38.000000000,2017-12-29 03:02:38.000000000,closed,True
73,2018-08-28 16:19:59.000000000,2018-08-28 19:53:51.000000000,2018-08-28 19:53:51.000000000,closed,True
79,2018-09-12 00:30:30.000000000,2018-09-12 01:08:55.000000000,2018-09-12 01:08:55.000000000,closed,True
80,2018-09-12 02:12:56.000000000,2018-09-12 02:17:17.000000000,2018-09-12 02:17:17.000000000,closed,True
81,2018-09-12 17:30:27.000000000,2018-09-12 20:11:34.000000000,2018-09-12 20:11:34.000000000,closed,True
83,2018-09-13 08:43:43.000000000,2018-09-14 21:55:39.000000000,2018-09-14 21:55:39.000000000,closed,True
86,2018-09-14 22:08:14.000000000,2018-09-15 00:08:27.000000000,2018-09-15 00:08:27.000000000,closed,True
87,2018-09-14 22:29:36.000000000,2018-09-14 23:59:55.000000000,2018-09-14 23:59:55.000000000,closed,True
88,2018-09-14 23:35:44.000000000,2018-09-15 00:50:09.000000000,2018-09-15 00:50:09.000000000,closed,True
89,2018-09-15 00:32:07.000000000,2018-09-15 01:05:41.000000000,2018-09-15 01:05:41.000000000,closed,True
90,2018-09-15 00:48:40.000000000,2018-09-16 02:13:51.000000000,2018-09-16 02:13:51.000000000,closed,True
92,2018-09-29 19:12:50.000000000,2018-09-30 00:31:30.000000000,2018-09-30 00:31:30.000000000,closed,True
95,2018-09-30 17:09:12.000000000,2018-09-30 23:32:17.000000000,2018-09-30 23:32:17.000000000,closed,True
100,2018-10-11 01:05:48.000000000,2018-10-18 08:34:26.000000000,2018-10-18 08:34:25.000000000,closed,True
101,2018-10-12 02:40:07.000000000,2018-10-19 06:55:08.000000000,2018-10-19 06:55:08.000000000,closed,True
102,2018-10-12 19:57:39.000000000,2018-10-19 06:57:09.000000000,2018-10-19 06:57:09.000000000,closed,True
111,2018-10-27 03:46:02.000000000,2018-10-27 08:00:25.000000000,2018-10-27 08:00:25.000000000,closed,True
113,2018-10-27 20:57:51.000000000,2018-10-28 02:34:15.000000000,2018-10-28 02:34:15.000000000,closed,True
114,2018-10-28 02:42:19.000000000,2018-10-28 08:09:22.000000000,2018-10-28 08:09:22.000000000,closed,True
115,2018-10-28 02:47:21.000000000,2018-10-28 08:11:18.000000000,2018-10-28 08:11:18.000000000,closed,True
116,2018-10-28 05:07:28.000000000,2018-10-28 08:14:27.000000000,2018-10-28 08:14:27.000000000,closed,True
117,2018-10-28 05:17:04.000000000,2019-01-16 00:55:14.000000000,1970-01-01 00:00:00.000000001,closed,False
119,2018-11-01 02:01:10.000000000,2018-11-01 09:07:12.000000000,2018-11-01 09:07:12.000000000,closed,True
121,2018-11-14 02:32:03.000000000,2018-11-14 21:59:12.000000000,2018-11-14 21:59:12.000000000,closed,True
122,2018-11-14 22:05:38.000000000,2018-11-15 10:10:46.000000000,2018-11-15 10:10:46.000000000,closed,True
123,2018-11-15 18:10:06.000000000,2018-11-16 10:34:28.000000000,2018-11-16 10:34:28.000000000,closed,True
124,2018-11-16 01:36:41.000000000,2018-11-20 10:40:29.000000000,2018-11-20 10:40:29.000000000,closed,True
127,2018-11-19 04:56:18.000000000,2018-11-21 11:51:42.000000000,2018-11-21 11:51:42.000000000,closed,True
128,2018-11-20 22:30:18.000000000,2018-11-21 11:47:14.000000000,2018-11-21 11:47:14.000000000,closed,True
130,2018-11-23 03:34:06.000000000,2018-11-24 09:37:40.000000000,2018-11-24 09:37:40.000000000,closed,True
133,2018-11-26 06:44:56.000000000,2018-11-26 11:28:34.000000000,2018-11-26 11:28:34.000000000,closed,True
134,2018-12-03 21:38:57.000000000,2018-12-03 22:17:34.000000000,2018-12-03 22:17:34.000000000,closed,True
135,2018-12-04 02:53:06.000000000,2018-12-04 06:33:00.000000000,2018-12-04 06:33:00.000000000,closed,True
136,2018-12-04 12:01:20.000000000,2018-12-07 08:55:17.000000000,2018-12-07 08:55:17.000000000,closed,True
137,2018-12-04 12:35:49.000000000,2018-12-07 08:37:15.000000000,2018-12-07 08:37:15.000000000,closed,True
138,2018-12-09 00:55:12.000000000,2018-12-09 08:39:15.000000000,2018-12-09 08:39:15.000000000,closed,True
139,2018-12-09 10:47:57.000000000,2018-12-14 03:09:14.000000000,1970-01-01 00:00:00.000000001,closed,False
140,2018-12-12 02:30:08.000000000,2018-12-13 11:46:41.000000000,2018-12-13 11:46:41.000000000,closed,True
141,2018-12-13 22:47:39.000000000,2018-12-14 10:26:34.000000000,2018-12-14 10:26:34.000000000,closed,True
142,2018-12-14 11:45:59.000000000,2018-12-16 03:49:41.000000000,2018-12-16 03:49:41.000000000,closed,True
144,2018-12-16 04:12:51.000000000,2018-12-26 09:01:11.000000000,2018-12-26 09:01:11.000000000,closed,True
146,2018-12-17 23:43:19.000000000,2018-12-18 21:56:33.000000000,2018-12-18 21:56:33.000000000,closed,True
147,2018-12-18 00:55:36.000000000,2018-12-18 22:26:35.000000000,2018-12-18 22:26:35.000000000,closed,True
