id,created_at,closed_at,state,comments,title
1254,2020-08-31 05:47:01.000000000,2020-08-31 06:35:38.000000000,closed,1,Issues #1239 のPRです
1253,2020-08-30 11:27:47.000000000,1970-01-01 00:00:00.000000001,open,3,[提案]見出しリンクをクリックしやすくする
1252,2020-08-29 20:29:44.000000000,1970-01-01 00:00:00.000000001,open,1,feat: ECMAScript 2020に対応
1251,2020-08-29 19:22:03.000000000,2020-08-29 19:32:06.000000000,closed,1,"fix(string): ""すべての特殊文字"" の typoを修正"
1250,2020-08-29 13:32:02.000000000,2020-08-29 19:39:17.000000000,closed,2,feat(string): String#matchAllに対応、RegExp#execをコラムに移動
1249,2020-08-29 12:20:45.000000000,2020-08-29 19:32:05.000000000,closed,0,文字列: typo すべての特殊文字
1248,2020-08-29 10:52:18.000000000,2020-08-29 10:58:44.000000000,closed,1,fix: GitBookをHonKitに変更する
1247,2020-08-29 09:34:05.000000000,2020-08-29 09:41:12.000000000,closed,2,feat(cheetsheet): ES2020の対応
1246,2020-08-29 09:12:02.000000000,2020-08-29 09:27:35.000000000,closed,1,CI: add Node.js 14
1245,2020-08-29 08:02:42.000000000,1970-01-01 00:00:00.000000001,open,0,CodeMirrorがリリースされたら更新する
1244,2020-08-19 16:26:00.000000000,2020-08-20 16:16:45.000000000,closed,1,Array#sliceにおいて空配列となる場合の引数の条件を修正
1243,2020-08-19 16:21:10.000000000,2020-08-19 16:23:30.000000000,closed,1,Math.floor の和文名（底関数）
1242,2020-08-16 11:28:44.000000000,1970-01-01 00:00:00.000000001,open,4,assertPositiveNumber のコメント、ロジック修正
1241,2020-08-14 06:11:24.000000000,2020-08-16 17:57:50.000000000,closed,2,constructor() で super() を呼ばずに this を参照した場合に出るエラー
1240,2020-08-13 17:16:44.000000000,1970-01-01 00:00:00.000000001,open,2,プロパティの追加の説明
1239,2020-08-11 17:27:58.000000000,2020-08-31 05:47:41.000000000,closed,2,Objectはすべての元 の継承の説明文
1238,2020-08-11 17:14:27.000000000,2020-08-11 18:42:26.000000000,closed,1,プロパティのアクセスで「右辺」という表記
1237,2020-08-11 14:42:34.000000000,2020-08-16 18:04:51.000000000,closed,4,IIFE の表記
1236,2020-08-11 07:48:22.000000000,2020-08-11 08:25:58.000000000,closed,2,ユニットテスト成功時の説明とメッセージを修正(#1235)
1235,2020-08-10 17:21:44.000000000,2020-08-11 18:43:14.000000000,closed,4,「ユニットテストを記述する」のユニットテスト成功時のメッセージ
1234,2020-08-06 13:53:26.000000000,2020-08-11 05:22:49.000000000,closed,5,fix(nodecli): 末尾の改行コードを削除
1233,2020-08-06 12:37:24.000000000,2020-08-11 05:58:59.000000000,closed,10,第二部ユースケース：CLIアプリのユニットテストにおける不具合報告
1232,2020-08-04 09:21:59.000000000,1970-01-01 00:00:00.000000001,open,1,オブジェクト: shallow copyについて
1231,2020-07-30 17:39:02.000000000,2020-07-31 08:33:23.000000000,closed,1,関数宣言のサンプルコード
1230,2020-07-30 16:13:12.000000000,2020-08-01 10:13:30.000000000,closed,4,falsyな値を条件式に指定した場合に、if文の中身が実行されない事を分かりやすくする修正
1229,2020-07-29 14:21:58.000000000,2020-07-30 18:19:07.000000000,closed,2,正規表現リテラルのサンプルコードの修正
1228,2020-07-29 13:14:32.000000000,2020-07-29 15:48:45.000000000,closed,2,3オペランド以上の演算における型変換の予測可能性
1227,2020-07-28 14:24:28.000000000,2020-07-29 18:21:23.000000000,closed,2,2項演算子の説明に対する補足
1226,2020-07-27 17:08:54.000000000,2020-07-27 17:56:43.000000000,closed,4,オペランド表記の統一
