id,created_at,closed_at,merged_at,state,merged
8,2015-11-02 20:57:11.000000000,2015-11-21 12:32:47.000000000,1970-01-01 00:00:00.000000001,closed,False
42,2015-11-20 01:15:46.000000000,2015-11-20 01:47:20.000000000,1970-01-01 00:00:00.000000001,closed,False
72,2015-12-24 15:52:22.000000000,2015-12-24 21:28:48.000000000,2015-12-24 21:28:48.000000000,closed,True
115,2016-02-26 05:53:54.000000000,2016-02-26 09:49:28.000000000,1970-01-01 00:00:00.000000001,closed,False
139,2016-03-02 00:42:42.000000000,2016-03-04 22:09:39.000000000,1970-01-01 00:00:00.000000001,closed,False
145,2016-03-02 21:43:19.000000000,2016-03-03 01:25:45.000000000,1970-01-01 00:00:00.000000001,closed,False
151,2016-03-06 23:42:22.000000000,2016-03-08 12:40:20.000000000,1970-01-01 00:00:00.000000001,closed,False
188,2016-04-10 11:59:58.000000000,2016-04-10 12:04:23.000000000,1970-01-01 00:00:00.000000001,closed,False
244,2016-06-15 23:12:38.000000000,2016-06-16 00:31:02.000000000,2016-06-16 00:31:02.000000000,closed,True
246,2016-06-22 22:05:42.000000000,2016-06-22 22:42:50.000000000,2016-06-22 22:42:50.000000000,closed,True
249,2016-06-24 16:54:16.000000000,2016-06-24 17:14:39.000000000,1970-01-01 00:00:00.000000001,closed,False
267,2016-07-16 03:06:16.000000000,2016-07-16 03:07:47.000000000,1970-01-01 00:00:00.000000001,closed,False
392,2016-09-29 23:41:07.000000000,2016-09-29 23:44:02.000000000,1970-01-01 00:00:00.000000001,closed,False
439,2016-11-14 02:48:24.000000000,2016-11-14 02:52:00.000000000,2016-11-14 02:52:00.000000000,closed,True
479,2016-12-26 15:08:48.000000000,2017-01-29 03:17:24.000000000,1970-01-01 00:00:00.000000001,closed,False
487,2017-01-06 04:46:34.000000000,2017-01-29 03:28:41.000000000,1970-01-01 00:00:00.000000001,closed,False
542,2017-02-27 18:57:58.000000000,2017-02-28 00:52:07.000000000,1970-01-01 00:00:00.000000001,closed,False
632,2017-05-23 13:59:00.000000000,2017-05-23 20:31:02.000000000,2017-05-23 20:31:02.000000000,closed,True
695,2017-07-25 01:17:05.000000000,2017-07-25 01:22:01.000000000,1970-01-01 00:00:00.000000001,closed,False
924,2018-05-13 17:10:07.000000000,2018-05-13 17:13:59.000000000,1970-01-01 00:00:00.000000001,closed,False
999,2018-09-19 16:35:48.000000000,2018-09-19 22:40:07.000000000,1970-01-01 00:00:00.000000001,closed,False
1013,2018-10-09 02:00:33.000000000,2018-10-09 02:02:43.000000000,1970-01-01 00:00:00.000000001,closed,False
1036,2018-11-18 06:22:51.000000000,2018-11-18 06:24:17.000000000,1970-01-01 00:00:00.000000001,closed,False
1050,2018-12-19 00:11:03.000000000,2018-12-19 00:21:38.000000000,1970-01-01 00:00:00.000000001,closed,False
1283,2019-10-03 13:55:26.000000000,2019-10-03 14:00:38.000000000,1970-01-01 00:00:00.000000001,closed,False
1284,2019-10-03 14:35:04.000000000,2019-10-03 20:10:16.000000000,1970-01-01 00:00:00.000000001,closed,False
1297,2019-10-11 13:49:56.000000000,2019-10-11 19:34:15.000000000,2019-10-11 19:34:15.000000000,closed,True
1299,2019-10-11 19:47:23.000000000,2019-10-11 22:29:36.000000000,2019-10-11 22:29:36.000000000,closed,True
1428,2020-03-14 03:24:53.000000000,2020-03-14 15:16:58.000000000,1970-01-01 00:00:00.000000001,closed,False
1486,2020-04-29 22:05:13.000000000,2020-04-29 22:06:02.000000000,1970-01-01 00:00:00.000000001,closed,False
1511,2020-05-21 20:20:01.000000000,2020-05-22 14:32:52.000000000,1970-01-01 00:00:00.000000001,closed,False
1526,2020-06-06 19:12:30.000000000,2020-06-06 19:14:18.000000000,1970-01-01 00:00:00.000000001,closed,False
1541,2020-06-15 12:51:24.000000000,2020-06-15 19:47:42.000000000,1970-01-01 00:00:00.000000001,closed,False
1568,2020-07-17 03:18:19.000000000,2020-07-18 09:11:15.000000000,1970-01-01 00:00:00.000000001,closed,False
