id,created_at,closed_at,state,comments,title
4345,2020-08-31 15:52:37.000000000,1970-01-01 00:00:00.000000001,open,0,[debugger][bindings] don't enter to recursion on type info calculation (KT-41291)
4344,2020-08-31 12:19:16.000000000,1970-01-01 00:00:00.000000001,open,0,[kotlin compiler][update] 1.4.20-dev-4195
4343,2020-08-29 02:48:01.000000000,1970-01-01 00:00:00.000000001,open,0,Update PLATFORM_LIBS.md
4342,2020-08-25 15:00:10.000000000,1970-01-01 00:00:00.000000001,open,0,Fix macOS minimum version in README
4341,2020-08-24 13:40:55.000000000,2020-08-24 19:07:34.000000000,closed,0,[kotlin compiler][update] 1.4.20-dev-3898
4340,2020-08-24 09:08:52.000000000,2020-08-25 07:46:10.000000000,closed,0,Turn on common RangeContainsLowering
4339,2020-08-23 02:09:06.000000000,2020-08-24 22:37:00.000000000,closed,8,Xcode 11.6 still using older versions of kotlin native
4338,2020-08-22 18:29:14.000000000,2020-08-24 14:18:23.000000000,closed,1,Please read the text below
4337,2020-08-20 10:42:34.000000000,1970-01-01 00:00:00.000000001,open,0,Runtime testing
4336,2020-08-19 20:18:33.000000000,1970-01-01 00:00:00.000000001,open,0,Handle some special characters in deprecation message in ObjCExport
4335,2020-08-19 12:00:59.000000000,1970-01-01 00:00:00.000000001,open,0,Untie Kotlin/Native from predefined LLVM distribution
4334,2020-08-18 18:03:15.000000000,2020-08-25 18:20:02.000000000,closed,0,[IR] Adopted common constants folding lowering
4333,2020-08-17 15:30:43.000000000,2020-08-17 18:00:56.000000000,closed,0,[kotlin compiler][update] 1.4.20-dev-3586
4332,2020-08-14 09:05:08.000000000,2020-08-17 14:06:53.000000000,closed,0,Update Gradle: 6.6
4331,2020-08-14 08:02:40.000000000,2020-08-14 11:23:16.000000000,closed,0,Update samples to 1.4.0
4330,2020-08-13 20:58:44.000000000,1970-01-01 00:00:00.000000001,open,0,Compile C++ code with more correctness warnings
4329,2020-08-12 15:40:55.000000000,2020-08-12 17:49:54.000000000,closed,0,Changelog for 1.4.0
4328,2020-08-12 12:38:20.000000000,2020-08-13 09:20:54.000000000,closed,0,Build infra: Fix rebuilding caches after library changes
4327,2020-08-12 00:03:38.000000000,2020-08-12 17:39:39.000000000,closed,0,Fix suspend function types (i.e. suspend lambdas) in ObjCExport
4326,2020-08-11 18:45:51.000000000,2020-08-11 18:46:03.000000000,closed,0,Inner classes
4325,2020-08-11 14:47:06.000000000,2020-08-11 22:01:46.000000000,closed,0,Disable CycleDetector on WASM
4324,2020-08-10 14:09:01.000000000,2020-08-12 15:16:40.000000000,closed,0,[IR][codegen] Ignore SET_FIELD with default values in constructors
4323,2020-08-10 09:42:31.000000000,2020-08-10 11:37:38.000000000,closed,0,[kotlin compiler][update] 1.4.20-dev-3296
