id,created_at,closed_at,state,comments,title
9849,2020-09-01 06:15:09.000000000,2020-09-01 07:45:51.000000000,closed,5,Keep SHELLCHECK_IMAGE vesion sync with SHELLCHECK_VERSION defined before
9848,2020-09-01 05:09:28.000000000,2020-09-01 07:13:11.000000000,closed,2,when installing cluster error is coming
9847,2020-08-31 23:21:19.000000000,2020-09-01 00:03:51.000000000,closed,2,Update OpenStack CSIDriver to v1 and update few csi deps
9846,2020-08-31 21:00:21.000000000,2020-08-31 23:08:45.000000000,closed,2,Spotinst: Upgrade the Spot Cluster Controller to version 1.0.64
9845,2020-08-31 20:14:05.000000000,1970-01-01 00:00:00.000000001,open,1,"[Feature Request]: Docker networking (ipTables, ipMasq) on Instance Group level. "
9844,2020-08-31 14:20:31.000000000,1970-01-01 00:00:00.000000001,open,7,Rotating kube secret does not remove access from existing users
9843,2020-08-31 14:12:30.000000000,2020-08-31 16:28:22.000000000,closed,3,Upgrade cilium versions
9842,2020-08-31 11:07:31.000000000,2020-09-01 03:57:52.000000000,closed,7,Automated cherry pick of #9836: Always use OpenStack Swift reauthentication
9841,2020-08-31 10:07:43.000000000,2020-09-01 01:25:51.000000000,closed,3,Remove more machinery for file-based cloudup models
9840,2020-08-31 02:19:03.000000000,1970-01-01 00:00:00.000000001,open,3,Add nil support for setting fields via reflection
9839,2020-08-30 23:01:32.000000000,2020-08-31 17:14:22.000000000,closed,6,Dont generate the ssl_certificate_id field on TCP listeners in Terraform
9838,2020-08-29 21:15:34.000000000,2020-08-30 03:54:21.000000000,closed,8,add support for cors-allowed-origins
9837,2020-08-29 16:39:30.000000000,2020-08-30 01:22:21.000000000,closed,3,TaskDependentResource: support preview when the task isn't ready
9836,2020-08-29 16:26:42.000000000,2020-08-31 11:40:21.000000000,closed,4,Always use OpenStack Swift reauthentication
9835,2020-08-29 09:06:23.000000000,1970-01-01 00:00:00.000000001,open,0,GCE: Support surging during rolling update
9834,2020-08-29 02:28:13.000000000,1970-01-01 00:00:00.000000001,open,3,Fails to install on Openstack
9833,2020-08-28 22:45:43.000000000,1970-01-01 00:00:00.000000001,open,1,Add office hours for other time zones 
9832,2020-08-28 17:52:04.000000000,1970-01-01 00:00:00.000000001,open,6,Add support for private instances on GCE
9831,2020-08-28 16:37:39.000000000,2020-08-28 18:07:50.000000000,closed,4,cloudbuild: allow CI env var to be specified
9830,2020-08-28 16:35:38.000000000,2020-08-28 17:18:55.000000000,closed,2,Use the get_workspace_status script to get the versions
9829,2020-08-28 12:23:18.000000000,1970-01-01 00:00:00.000000001,open,4,Update Calico to v3.16.0 for k8s 1.16+
9828,2020-08-28 00:22:26.000000000,2020-08-28 10:54:54.000000000,closed,2,Move from debian-hyperkube-base to debian-base for node-authorizer
9827,2020-08-27 23:30:51.000000000,2020-08-28 00:26:12.000000000,closed,2,GCE - Set Bastion InstanceGroup zone
9826,2020-08-27 22:06:40.000000000,2020-08-28 12:16:55.000000000,closed,5,remove nodeAffinity from typha
9825,2020-08-27 08:38:33.000000000,1970-01-01 00:00:00.000000001,open,6,WIP Improve API ELB Healthchecking
9824,2020-08-27 08:14:07.000000000,2020-08-27 09:31:03.000000000,closed,3,Update k8s dependencies to v1.19.0
9823,2020-08-27 07:38:13.000000000,2020-08-27 09:17:04.000000000,closed,3,Backport #9803: Update validation for Calico to assume etcd3 as default
9822,2020-08-26 22:01:35.000000000,2020-08-26 23:56:20.000000000,closed,2,Upgrade AWS VPC CNI to 1.7.1
9821,2020-08-26 16:24:13.000000000,2020-08-27 18:15:54.000000000,closed,1,Reconcile ports and floating ips
9820,2020-08-26 13:11:16.000000000,2020-08-27 14:43:04.000000000,closed,3,Remove unknown rules from managed security groups on openstack
9819,2020-08-26 12:06:39.000000000,2020-08-26 12:58:03.000000000,closed,2,Automated cherry pick of #9689: Support for using hostPort when using kube-router #9818: Update kube-router to v1.0.1
9818,2020-08-26 11:56:07.000000000,2020-08-26 12:46:04.000000000,closed,2,Update kube-router to v1.0.1
