id,created_at,closed_at,state,comments,title
4001,2020-08-31 14:08:53.000000000,1970-01-01 00:00:00.000000001,open,0,bcli: Bitcoin backend assumes Linux-style newlines
4000,2020-08-31 07:36:25.000000000,1970-01-01 00:00:00.000000001,open,0,libplugin-pay: fix default CLTV.
3999,2020-08-30 08:17:13.000000000,2020-08-30 14:44:57.000000000,closed,1,Allow building without SQLite3
3998,2020-08-29 15:32:12.000000000,1970-01-01 00:00:00.000000001,open,0,pytest: `test_sign_and_send_psbt` is flaky under `elementsd`
3997,2020-08-28 18:59:39.000000000,2020-08-30 18:01:21.000000000,closed,0,IO-level logging for plugins
3996,2020-08-28 11:53:00.000000000,2020-08-30 22:03:44.000000000,closed,0,Weekly cleanups
3995,2020-08-28 11:17:38.000000000,2020-08-30 04:54:38.000000000,closed,3,configure: Use pg_config to locate the library location too
3994,2020-08-28 07:26:28.000000000,1970-01-01 00:00:00.000000001,open,0,"Reduce build requirements for non-developers, neaten build system"
3993,2020-08-28 06:52:37.000000000,2020-08-28 13:45:15.000000000,closed,2,travis: use bitcoind v0.20.1
3992,2020-08-28 06:30:53.000000000,2020-08-28 08:57:57.000000000,closed,0,contrib: start_ln now creates variable number of nodes
3991,2020-08-27 16:43:54.000000000,2020-08-28 06:29:58.000000000,closed,0,configure: Use pg_config to locate the header location
3990,2020-08-27 09:09:58.000000000,2020-08-27 15:51:23.000000000,closed,1,pytest: disable test_mpp_interference_2.
3989,2020-08-27 09:06:59.000000000,2020-08-30 22:03:43.000000000,closed,1,test_mpp_interference_2 broken?
3988,2020-08-27 04:59:24.000000000,2020-08-27 20:16:29.000000000,closed,1,amount: cleanup usage.
3987,2020-08-27 04:10:10.000000000,1970-01-01 00:00:00.000000001,open,0,MPP theoretically leaks source information
3986,2020-08-26 22:58:11.000000000,2020-08-27 04:49:22.000000000,closed,1,paymod: Scale presplit amounts to support larger payments while maintaining size buckets for privacy
3985,2020-08-26 20:53:42.000000000,1970-01-01 00:00:00.000000001,open,3,blocksync: Some performance improvements on top of #3957
3984,2020-08-26 17:48:03.000000000,1970-01-01 00:00:00.000000001,open,1,Avoid leaking bitcoin auth secrets to other users
3983,2020-08-26 16:07:25.000000000,1970-01-01 00:00:00.000000001,open,0,"travis: Reorganize travis test configurations, add postgres config and elements config"
3982,2020-08-26 15:26:51.000000000,1970-01-01 00:00:00.000000001,open,1,Issues installing pyln-spec
3981,2020-08-26 14:24:29.000000000,2020-08-27 04:15:36.000000000,closed,0,gossipd: Make gossipd shut up
3980,2020-08-26 05:13:26.000000000,1970-01-01 00:00:00.000000001,open,0,Minor invoice cleanups
3979,2020-08-25 12:57:08.000000000,2020-08-25 14:10:06.000000000,closed,1,.gitignore: Add missing gitignores.
3978,2020-08-25 12:52:37.000000000,1970-01-01 00:00:00.000000001,open,0,Value randomization does not work even if MPP is disabled and we never split payments
3977,2020-08-25 07:41:29.000000000,1970-01-01 00:00:00.000000001,open,0,generation and misc cleanups
3976,2020-08-25 07:29:32.000000000,1970-01-01 00:00:00.000000001,open,0,Dev flag to set features
3975,2020-08-25 05:26:16.000000000,2020-08-25 07:23:14.000000000,closed,1,"Clean up internal wire generation, some Make cleanups"
3974,2020-08-25 05:08:47.000000000,2020-08-25 06:52:46.000000000,closed,0,invoice: don't allow zero-value invoices.
3973,2020-08-25 05:03:02.000000000,1970-01-01 00:00:00.000000001,open,0,"Dual-funding, accepter side only"
3972,2020-08-24 23:56:17.000000000,2020-08-27 04:50:17.000000000,closed,0,pyln-proto: use vals for subtype parsing
3971,2020-08-24 23:55:46.000000000,2020-08-25 07:04:57.000000000,closed,0,"Small PSBT updates, precursor for dual-funding"
3970,2020-08-24 21:22:18.000000000,1970-01-01 00:00:00.000000001,open,8,Feature: normalize errors from the Bitcoin backend on transaction broadcast
3969,2020-08-24 15:32:49.000000000,1970-01-01 00:00:00.000000001,open,0,Fixup min-capacity-msat semantics in preparation for anchor outputs.
3968,2020-08-23 15:24:35.000000000,1970-01-01 00:00:00.000000001,open,3,keysend only working with other c-lightning nodes
3967,2020-08-23 15:09:56.000000000,2020-08-25 15:02:45.000000000,closed,8,`donateutxo` to donate dust-attack UTXOs to miners
3966,2020-08-22 05:46:10.000000000,2020-08-22 06:05:27.000000000,closed,1,sudo make install
3965,2020-08-21 12:32:43.000000000,1970-01-01 00:00:00.000000001,open,3,channeld/channeld.c: Be less vicious when peer wants to make an additional channel with us.
3964,2020-08-21 09:17:24.000000000,2020-08-28 08:59:36.000000000,closed,2,channeld/channeld.c: Log and ignore repeated WIRE_CHANNEL_REESTABLISH.
3963,2020-08-21 05:59:59.000000000,2020-08-28 23:46:10.000000000,closed,0,listpeers: add `features` array using BOLT9 names.
3962,2020-08-21 04:53:19.000000000,2020-08-21 05:55:52.000000000,closed,0,wallet: do valgrind checks when binding db statements.
3961,2020-08-21 01:30:14.000000000,1970-01-01 00:00:00.000000001,open,13,Error reading a transaction from DB after upgrade from v0.8.2 to v0.9.0-1
3960,2020-08-20 19:43:29.000000000,1970-01-01 00:00:00.000000001,open,1,openchannel: make openchannel hook chainable
3959,2020-08-20 10:53:45.000000000,2020-08-24 15:25:48.000000000,closed,0,BOLT updates to latest
3958,2020-08-20 09:08:19.000000000,2020-08-20 15:44:14.000000000,closed,0,More psbt cleanups
3957,2020-08-20 07:57:35.000000000,2020-08-21 04:22:34.000000000,closed,2,"JSON optimizations, cleanups and listsendpays optimizations"
3956,2020-08-19 12:31:26.000000000,2020-08-20 08:17:52.000000000,closed,2,Getroute vs listchannels
3955,2020-08-18 08:19:14.000000000,1970-01-01 00:00:00.000000001,open,1,Possible attack on the PSBT interface?
3954,2020-08-18 06:31:03.000000000,2020-08-18 20:38:26.000000000,closed,2,"fundpsbt/utxopsbt: let caller specify locktime, signpsbt: signing restrictions."
3953,2020-08-18 01:18:55.000000000,1970-01-01 00:00:00.000000001,open,0,question about CHANNEL_ERR_TOO_MANY_HTLCS
3952,2020-08-17 16:17:01.000000000,2020-08-26 00:39:55.000000000,closed,3,Updates proto to use coincurve for Public and Private keys
3951,2020-08-17 08:46:52.000000000,2020-08-27 04:49:22.000000000,closed,5,Split by fibonacci sequence
3950,2020-08-17 06:57:32.000000000,2020-08-24 22:23:26.000000000,closed,3,Add python to runtime docker image (arm32/64)
3949,2020-08-16 00:34:41.000000000,2020-08-16 19:02:44.000000000,closed,3,Plugin pay crashed
3948,2020-08-15 21:13:23.000000000,2020-08-22 14:15:16.000000000,closed,1,'stealing' funds from a channel
3947,2020-08-15 13:34:13.000000000,1970-01-01 00:00:00.000000001,open,2,Implement a factory for paymod-based payments
3945,2020-08-14 15:47:12.000000000,2020-08-24 18:45:14.000000000,closed,3,pyln-proto connect example broke with 0.9 release
3942,2020-08-14 07:51:36.000000000,2020-08-27 04:49:22.000000000,closed,6,plugins/libplugin-pay.c: Make presplitter less aggressive in general.
3941,2020-08-14 03:09:41.000000000,2020-08-21 04:57:04.000000000,closed,8,Add a new param to listsendpays and listpays to only return last n entries
3940,2020-08-13 22:10:55.000000000,1970-01-01 00:00:00.000000001,open,3,fundpsbt should add fee output for elements tx
3939,2020-08-13 21:35:46.000000000,2020-08-16 16:47:34.000000000,closed,6,"MPP causes ""label"" and ""bolt11"" data to disappear"
3938,2020-08-13 16:45:08.000000000,1970-01-01 00:00:00.000000001,open,3,Fixed doc missed
3937,2020-08-13 16:30:18.000000000,2020-08-28 06:29:58.000000000,closed,9,PostgreSQL requirements - Unable to find DB driver for postgres
3936,2020-08-13 15:00:58.000000000,1970-01-01 00:00:00.000000001,open,8,MPP: limit the number of HTLCs based on destination connectivity
3935,2020-08-13 14:54:20.000000000,1970-01-01 00:00:00.000000001,open,1,`bind-addr` should deduplicate
3934,2020-08-13 08:17:51.000000000,2020-08-13 14:49:50.000000000,closed,0,pytest: fix race in test_bcli.
3933,2020-08-13 05:36:25.000000000,1970-01-01 00:00:00.000000001,open,5,docs missing
3932,2020-08-12 17:15:24.000000000,2020-08-15 04:53:38.000000000,closed,8,legacypay overpayed the invoice a bit
3931,2020-08-12 12:11:44.000000000,2020-08-12 18:32:24.000000000,closed,8,Unknown command 'listpays'
3930,2020-08-12 09:22:49.000000000,1970-01-01 00:00:00.000000001,open,0,WIRE_ERROR reconnection attempt tries Tor even when tor is not configured.
3929,2020-08-12 05:11:12.000000000,2020-08-13 14:55:34.000000000,closed,3,Update TOR.md
