id,created_at,closed_at,state,comments,title
5738,2020-08-31 17:25:42.000000000,1970-01-01 00:00:00.000000001,open,0,Update senderID to senderAddress
5737,2020-08-31 17:17:27.000000000,1970-01-01 00:00:00.000000001,open,0,Remove validation of delegate username - Closes #5717
5736,2020-08-31 17:08:07.000000000,1970-01-01 00:00:00.000000001,open,0,Fix to allow signature of transaction to be empty string - Closes #5713
5735,2020-08-31 16:39:23.000000000,1970-01-01 00:00:00.000000001,open,0,Update balance in beforeTransactionApply - Closes #5704
5734,2020-08-31 16:34:17.000000000,1970-01-01 00:00:00.000000001,open,0,Delegate already registered error for non-delegate accounts
5733,2020-08-31 15:50:01.000000000,1970-01-01 00:00:00.000000001,open,0,Fix transaction validation process - Closes #5712
5732,2020-08-31 14:26:24.000000000,1970-01-01 00:00:00.000000001,open,0,Complete alpha testing for SDK 5.0
5731,2020-08-29 02:30:30.000000000,2020-08-31 15:29:21.000000000,closed,2,Swagger schema validation failure for plugin apis - Closes #5730
5730,2020-08-29 02:26:48.000000000,2020-08-31 15:29:20.000000000,closed,0,Swagger schema validation failure for plugin apis
5729,2020-08-28 20:48:53.000000000,2020-08-31 13:18:32.000000000,closed,0,Add missing consensus related tests and fixes - Closes #5700 
5728,2020-08-28 18:40:00.000000000,2020-08-28 19:28:15.000000000,closed,0,Fix duplicate entries in configuration - Closes #5727
5727,2020-08-28 18:36:32.000000000,2020-08-28 19:28:15.000000000,closed,0,Fix duplicate entries in configuration
5726,2020-08-28 16:44:02.000000000,1970-01-01 00:00:00.000000001,open,0,Extend DPoS module tests coverage
5725,2020-08-28 16:17:24.000000000,2020-08-31 12:08:26.000000000,closed,2,API api/delegates does not show registered delegates - Closes #5723
5724,2020-08-28 15:30:53.000000000,2020-08-28 17:49:53.000000000,closed,0,Rename validateTransactionSchema to validateTransaction - Closes #5708
5723,2020-08-28 13:46:45.000000000,2020-08-31 12:08:26.000000000,closed,0,API api/delegates does not show registered delegates
5722,2020-08-28 13:13:55.000000000,2020-08-28 16:57:15.000000000,closed,1,API api/voters does not capture the votes received
5721,2020-08-28 13:13:49.000000000,1970-01-01 00:00:00.000000001,open,0,Get api/forgers meta data should show count
5720,2020-08-28 12:38:33.000000000,1970-01-01 00:00:00.000000001,open,0,Extend Keys module test coverage
5719,2020-08-28 11:31:12.000000000,2020-08-28 16:41:14.000000000,closed,0,Add nonce sort on the node/transactions
5718,2020-08-28 11:08:28.000000000,1970-01-01 00:00:00.000000001,open,0,Return readable error message format KVStore
5717,2020-08-28 00:52:16.000000000,1970-01-01 00:00:00.000000001,open,0,Unnecessary username validation for delegate registration
5716,2020-08-27 18:25:50.000000000,2020-08-31 15:40:42.000000000,closed,0,Add getRegisteredModules and getSchema actions and function
5715,2020-08-27 13:00:55.000000000,1970-01-01 00:00:00.000000001,open,0,Remove baseFee property from base asset
5714,2020-08-27 11:25:32.000000000,1970-01-01 00:00:00.000000001,open,0,Test Lisk client compatibility with client-side environments
5713,2020-08-26 19:30:39.000000000,1970-01-01 00:00:00.000000001,open,3,HTTP Plugin validation rejects valid transaction
5712,2020-08-26 19:07:51.000000000,1970-01-01 00:00:00.000000001,open,1,Submitting a transaction with below minFee requirement gives txPool feePriority error
5711,2020-08-26 18:29:47.000000000,2020-08-27 17:33:50.000000000,closed,0,Revert to display hex string - Closes #5706
5710,2020-08-26 17:56:23.000000000,2020-08-28 16:41:27.000000000,closed,0,API /transactions and /node/transactions sort by nonce 
5709,2020-08-26 16:29:25.000000000,2020-08-26 21:59:05.000000000,closed,1,Update framework folder structure - Closes #5689
5708,2020-08-26 14:07:45.000000000,2020-08-28 17:49:53.000000000,closed,0,Rename validateTransactionSchema  to validateTransaction
5707,2020-08-26 13:49:06.000000000,1970-01-01 00:00:00.000000001,open,0,Buffer JSON format is written in file log
5706,2020-08-26 13:46:08.000000000,2020-08-27 17:33:49.000000000,closed,0,Update to use hex for representation of buffer in string
5705,2020-08-25 20:47:40.000000000,2020-08-26 14:45:28.000000000,closed,0,Fx fast chain switch failing on request block - Closes #5698
5704,2020-08-25 20:05:07.000000000,1970-01-01 00:00:00.000000001,open,0,Fee not collected from sender for any transaction
5703,2020-08-25 18:33:17.000000000,2020-08-26 15:42:18.000000000,closed,0,Add action event for module - Closes #5645
5702,2020-08-25 14:55:59.000000000,1970-01-01 00:00:00.000000001,open,0,Refactor p2p.ts and peer/base.ts
5701,2020-08-25 14:52:52.000000000,1970-01-01 00:00:00.000000001,open,0,Check all TODO and FIXME comments
5700,2020-08-25 14:30:57.000000000,2020-08-31 13:18:32.000000000,closed,0,Add missing consensus related tests
5699,2020-08-25 14:19:24.000000000,1970-01-01 00:00:00.000000001,open,0,P2P throws unhandled error with invalid data
5698,2020-08-25 12:02:40.000000000,2020-08-26 14:45:28.000000000,closed,1,Fastchain switching fails to process block
5697,2020-08-24 18:25:15.000000000,2020-08-25 18:54:47.000000000,closed,0,Update not to remove unprocessable transaction from pool - Closes #5657
5696,2020-08-24 13:18:23.000000000,2020-08-26 14:13:00.000000000,closed,0,Move state store mock to chain - Closes #5672
5695,2020-08-21 17:00:45.000000000,2020-08-21 17:59:50.000000000,closed,0,Call stack error while processing large number of accounts in genesis block - Closes #5687
5694,2020-08-21 12:55:58.000000000,2020-08-21 16:27:25.000000000,closed,0,Remove unnecessary validation from lisk-chain - Closes #5690
5693,2020-08-21 12:43:40.000000000,2020-08-21 12:57:09.000000000,closed,0,Add version check on block header - Closes #5691
5692,2020-08-21 11:41:21.000000000,2020-08-21 16:15:46.000000000,closed,0,Call BFT apply function to update BFT properties - Close #5688
5691,2020-08-21 11:32:12.000000000,2020-08-21 12:57:09.000000000,closed,0,Processor should check block version statically
5690,2020-08-21 11:29:21.000000000,2020-08-21 16:27:25.000000000,closed,0,Remove redundant checks from lisk-chain
5689,2020-08-21 11:24:22.000000000,2020-08-26 21:59:04.000000000,closed,0,Framework folder structure should follow class structure
5688,2020-08-21 11:16:41.000000000,2020-08-21 16:15:46.000000000,closed,0,BFT property is not calculated
5687,2020-08-21 04:13:49.000000000,2020-08-21 17:59:50.000000000,closed,0,Call stack error while processing large number of accounts in genesis block
5686,2020-08-21 04:02:43.000000000,2020-08-21 16:39:09.000000000,closed,0,Keys module validation errors for genesis block provide wrong account index - Closes #5685
5685,2020-08-21 03:48:57.000000000,2020-08-21 16:39:09.000000000,closed,0,Keys module validation errors for genesis block provide wrong account index
5684,2020-08-20 20:23:18.000000000,1970-01-01 00:00:00.000000001,open,0,Endpoint /api/blocks returns invalid error message
5683,2020-08-20 16:42:16.000000000,2020-08-20 17:01:49.000000000,closed,0,Remove outdated commander pallets and readme - Closes #5682
5682,2020-08-20 15:53:28.000000000,2020-08-20 17:01:48.000000000,closed,0,Cleanup commander pallets
5681,2020-08-20 12:52:26.000000000,2020-08-21 11:05:01.000000000,closed,0,Add support to export JSON object for genesis block in lisk-genesis - Closes #5680
5680,2020-08-20 12:09:15.000000000,2020-08-21 11:05:00.000000000,closed,0,Add support to export JSON object for genesis block in lisk-genesis 
5679,2020-08-20 02:56:16.000000000,2020-08-27 12:42:46.000000000,closed,1,HTTP server can not handle block and transaction id with front slash
5678,2020-08-19 16:25:02.000000000,2020-08-20 14:01:38.000000000,closed,0,Improve coverage and tests for token module - Closes #5663
5677,2020-08-19 15:13:30.000000000,2020-08-20 13:20:05.000000000,closed,0,Add optional flag in MerkleTree to use pre-hashed leaf values - Closes #5675
