id,created_at,closed_at,merged_at,state,merged
25,2016-03-24 07:37:13.000000000,2016-03-24 07:45:11.000000000,2016-03-24 07:45:11.000000000,closed,True
26,2016-03-24 19:28:04.000000000,2016-03-24 19:47:50.000000000,2016-03-24 19:47:50.000000000,closed,True
27,2016-03-25 05:31:35.000000000,2016-03-25 05:31:40.000000000,2016-03-25 05:31:40.000000000,closed,True
28,2016-03-25 19:25:23.000000000,2016-03-25 19:28:26.000000000,2016-03-25 19:28:26.000000000,closed,True
31,2016-03-29 13:14:47.000000000,2016-07-02 07:43:48.000000000,1970-01-01 00:00:00.000000001,closed,False
34,2016-03-30 12:46:53.000000000,2016-03-30 12:47:05.000000000,2016-03-30 12:47:05.000000000,closed,True
35,2016-03-30 12:55:57.000000000,2016-03-31 11:38:23.000000000,2016-03-31 11:38:23.000000000,closed,True
36,2016-03-30 13:54:45.000000000,2016-03-30 14:00:08.000000000,1970-01-01 00:00:00.000000001,closed,False
37,2016-03-30 19:16:12.000000000,2016-03-30 20:01:55.000000000,2016-03-30 20:01:55.000000000,closed,True
38,2016-03-31 13:49:15.000000000,2016-03-31 13:49:20.000000000,2016-03-31 13:49:20.000000000,closed,True
39,2016-03-31 13:58:42.000000000,2016-03-31 13:59:57.000000000,2016-03-31 13:59:57.000000000,closed,True
40,2016-03-31 20:17:01.000000000,2016-03-31 20:20:48.000000000,2016-03-31 20:20:48.000000000,closed,True
41,2016-04-01 14:40:18.000000000,2016-04-01 14:43:45.000000000,2016-04-01 14:43:45.000000000,closed,True
42,2016-04-02 09:31:59.000000000,2016-04-02 09:36:05.000000000,2016-04-02 09:36:05.000000000,closed,True
43,2016-04-02 19:11:52.000000000,2016-04-02 19:15:15.000000000,2016-04-02 19:15:15.000000000,closed,True
44,2016-04-04 17:31:57.000000000,2016-04-04 17:38:56.000000000,2016-04-04 17:38:56.000000000,closed,True
45,2016-04-05 07:25:03.000000000,2016-04-05 07:26:57.000000000,2016-04-05 07:26:57.000000000,closed,True
48,2016-04-05 19:15:30.000000000,2016-04-05 19:15:36.000000000,2016-04-05 19:15:36.000000000,closed,True
49,2016-04-05 19:44:28.000000000,2016-04-05 19:44:31.000000000,2016-04-05 19:44:31.000000000,closed,True
50,2016-04-06 06:24:33.000000000,2016-04-06 06:44:13.000000000,2016-04-06 06:44:13.000000000,closed,True
51,2016-04-06 08:07:44.000000000,2016-04-06 08:27:04.000000000,2016-04-06 08:27:04.000000000,closed,True
52,2016-04-06 14:15:14.000000000,2016-04-06 14:17:33.000000000,2016-04-06 14:17:33.000000000,closed,True
53,2016-04-06 17:18:30.000000000,2016-04-06 17:18:34.000000000,2016-04-06 17:18:34.000000000,closed,True
54,2016-04-07 10:36:19.000000000,2016-04-07 10:36:26.000000000,2016-04-07 10:36:26.000000000,closed,True
