id,created_at,closed_at,state,comments,title
1550,2020-08-26 15:53:05.000000000,1970-01-01 00:00:00.000000001,open,0,(Question) How to add 'LastModifiedBy' in a generic way?
1549,2020-08-26 09:01:00.000000000,2020-08-26 11:25:31.000000000,closed,1,Fix enum reflection for .NET 5
1548,2020-08-21 20:47:52.000000000,1970-01-01 00:00:00.000000001,open,0,QuerySession.Logger depends on concrete implementation
1547,2020-08-21 16:23:33.000000000,2020-08-21 16:28:15.000000000,closed,0,Update version to 3.12.4
1546,2020-08-21 03:04:30.000000000,1970-01-01 00:00:00.000000001,open,0,MatchesSql with named paramters
1545,2020-08-20 15:13:37.000000000,2020-08-21 13:55:13.000000000,closed,1,Fix projecting nullable NodaTime Instant
1544,2020-08-14 20:26:01.000000000,1970-01-01 00:00:00.000000001,open,5,Cleaned up sample for using JIL.
1543,2020-08-13 23:06:39.000000000,2020-08-14 14:29:23.000000000,closed,2,Introduce DefaultRetryPolicy
1542,2020-08-10 21:56:02.000000000,2020-08-20 22:09:05.000000000,closed,2,Support case-insensitive order by for strings
1541,2020-08-02 20:17:22.000000000,2020-08-13 18:02:20.000000000,closed,1,doc: Update link to latest postgres version
1540,2020-07-30 23:10:56.000000000,2020-07-31 13:27:39.000000000,closed,0,Cherry picked commits from 3.12 branch into master
1539,2020-07-27 17:25:57.000000000,1970-01-01 00:00:00.000000001,open,1,Proposal for v4: Postgres RLS feature via Marten
1538,2020-07-27 15:36:16.000000000,2020-07-28 09:30:59.000000000,closed,4,Update computed_indexes.cs sample
1537,2020-07-26 17:06:03.000000000,2020-07-27 17:32:18.000000000,closed,2,Add badge with nuget download count
1536,2020-07-26 17:04:52.000000000,2020-07-27 17:32:18.000000000,closed,0,Add nuget download count badge
1535,2020-07-26 00:05:30.000000000,2020-07-27 17:41:48.000000000,closed,0,Optimization and follow up Linq fixes for v4
1534,2020-07-24 21:58:50.000000000,2020-07-27 20:31:12.000000000,closed,0,Diagnostic access to all the generated code
1533,2020-07-24 19:21:07.000000000,2020-07-27 17:41:53.000000000,closed,1,Create a new standard exception for mismatch of document/id types
1532,2020-07-22 13:59:05.000000000,1970-01-01 00:00:00.000000001,open,1,EventStore AggregateStream never returns null
1531,2020-07-21 17:37:58.000000000,2020-07-28 09:34:04.000000000,closed,0,Update min. version of npgsql and npgsql.* libs to 4.1.4 - closes #1529
1530,2020-07-21 08:50:52.000000000,2020-07-28 09:34:45.000000000,closed,0,Update js dev build dependencies
1529,2020-07-21 07:57:04.000000000,2020-07-28 23:00:37.000000000,closed,1,Update the minimum Npgsql version for Marten to 4.1.4
1528,2020-07-20 21:06:14.000000000,2020-07-27 17:30:21.000000000,closed,1,Dynamic Code Generation with Roslyn. Closes GH-1468. Closes GH-1516. …
1527,2020-07-20 17:47:54.000000000,2020-07-27 17:41:52.000000000,closed,1,Standardize how we append the TenantId into generated SQL in multitenancy
1526,2020-07-20 15:07:53.000000000,2020-07-27 17:41:53.000000000,closed,2,V4 Regression: SelectMany() + Include Problem
