id,created_at,closed_at,state,comments,title
1566,2020-08-27 07:40:15.000000000,1970-01-01 00:00:00.000000001,open,0,[Snyk] Security upgrade com.fasterxml.jackson.core:jackson-databind from 2.9.10.4 to 2.10.0
1565,2020-08-24 09:34:12.000000000,1970-01-01 00:00:00.000000001,open,0,Multi-Valued Indexes support
1564,2020-08-18 11:57:10.000000000,1970-01-01 00:00:00.000000001,open,0,not support jaas authorization when producer is kafka
1563,2020-08-18 03:54:58.000000000,1970-01-01 00:00:00.000000001,open,1,Correct comparision of age against SLO to be ms based
1562,2020-08-16 04:34:32.000000000,2020-08-18 18:39:41.000000000,closed,3,hello maxwell
1561,2020-08-15 03:37:05.000000000,1970-01-01 00:00:00.000000001,open,0,"Maxwell config reload and service stop,DDL schemastore changes"
1560,2020-08-10 06:30:18.000000000,2020-08-10 06:30:53.000000000,closed,0,resolve
1559,2020-08-09 17:36:35.000000000,1970-01-01 00:00:00.000000001,open,5,Changing position on binlog manually to read (replay) old binlog data
1558,2020-08-08 07:47:14.000000000,1970-01-01 00:00:00.000000001,open,0,[Snyk] Upgrade org.antlr:antlr4-runtime from 4.5 to 4.8-1
1557,2020-08-08 07:47:10.000000000,1970-01-01 00:00:00.000000001,open,0,[Snyk] Upgrade com.fasterxml.jackson.core:jackson-core from 2.9.10 to 2.11.1
1556,2020-08-08 07:46:54.000000000,1970-01-01 00:00:00.000000001,open,0,[Snyk] Upgrade com.fasterxml.jackson.core:jackson-databind from 2.9.10.4 to 2.11.1
1555,2020-08-08 07:46:50.000000000,1970-01-01 00:00:00.000000001,open,0,[Snyk] Upgrade com.amazonaws:aws-java-sdk-sqs from 1.11.800 to 1.11.821
1554,2020-08-08 07:46:45.000000000,1970-01-01 00:00:00.000000001,open,0,[Snyk] Upgrade com.amazonaws:aws-java-sdk-core from 1.11.782 to 1.11.821
1553,2020-08-05 08:31:42.000000000,2020-08-05 08:47:51.000000000,closed,1,Reopening #1549 Schema updates synced even after filtering
1552,2020-08-05 06:41:03.000000000,2020-08-07 17:18:12.000000000,closed,0,bump mysql-binlog-connector
1551,2020-08-05 06:35:16.000000000,2020-08-07 17:18:30.000000000,closed,0,file producer should honor RowMap#suppress
1550,2020-07-28 21:22:29.000000000,2020-08-05 06:27:41.000000000,closed,1,Hook up to slave database settings
1549,2020-07-28 19:30:08.000000000,2020-08-05 06:30:22.000000000,closed,2,Is there a way to filter out schema updates from particular databases or tables?
1548,2020-07-27 01:39:44.000000000,2020-08-05 06:22:03.000000000,closed,0,fix double reconnect
1547,2020-07-26 17:17:14.000000000,2020-08-05 06:30:46.000000000,closed,1,MaxWell collects Binlog to be Null
1546,2020-07-26 07:40:30.000000000,2020-08-08 01:00:20.000000000,closed,0,[Snyk] Upgrade com.amazonaws:aws-java-sdk-sts from 1.11.782 to 1.11.816
1545,2020-07-25 23:47:38.000000000,2020-08-05 06:21:28.000000000,closed,0,improve error handling when we have no REPLICATION SLAVE privs
1544,2020-07-25 01:53:59.000000000,2020-08-08 01:16:57.000000000,closed,1,"When output to a file,  JavaScript filter does not work."
1543,2020-07-23 21:22:22.000000000,2020-08-06 22:30:54.000000000,closed,8,java.lang.IllegalStateException: BinaryLogClient is already connected
1542,2020-07-21 19:23:24.000000000,1970-01-01 00:00:00.000000001,open,1,Filter columns
1541,2020-07-21 11:10:33.000000000,1970-01-01 00:00:00.000000001,open,0,Redis `xadd` MAXLEN param support
1540,2020-07-17 20:29:29.000000000,1970-01-01 00:00:00.000000001,open,4,Maxwell Used too many mysql connections
1539,2020-07-15 16:41:55.000000000,2020-08-05 06:23:25.000000000,closed,2,Redis producer - support both sentinel and traditional Redis connection
1538,2020-07-14 07:42:07.000000000,2020-08-05 06:41:41.000000000,closed,1,The data of a field is too large and exceeds the maximum limit of Kafka [max.request.size]
1537,2020-07-13 16:11:55.000000000,2020-07-14 11:27:15.000000000,closed,1,unhandled character set 'utf16le'
1536,2020-07-10 22:59:35.000000000,2020-07-25 23:20:12.000000000,closed,2,Add aws-java-sdk-sts@1.11.782 to support EKS IRSA
1535,2020-07-03 07:39:57.000000000,2020-07-25 23:20:27.000000000,closed,0,[Snyk] Upgrade com.amazonaws:aws-java-sdk-sqs from 1.11.782 to 1.11.800
1534,2020-07-01 22:38:02.000000000,2020-07-02 02:56:17.000000000,closed,0,Bump log4j-core from 2.12.1 to 2.13.2
1533,2020-06-30 02:26:15.000000000,2020-06-30 20:25:12.000000000,closed,4,Allow Publishers to produce messages by thread ID
1532,2020-06-29 21:05:05.000000000,2020-06-29 21:17:16.000000000,closed,0,updated amazon-kinesis-producer library
1531,2020-06-29 12:32:04.000000000,1970-01-01 00:00:00.000000001,open,3,Achieve high availability of Maxwell
1530,2020-06-29 11:12:26.000000000,2020-06-29 11:49:58.000000000,closed,0,Maxwell's high availability mode is realized by using the curator
1529,2020-06-29 06:31:10.000000000,2020-06-30 20:18:35.000000000,closed,0,better logging when we hit casting exceptions
1528,2020-06-28 16:37:29.000000000,2020-08-05 06:44:10.000000000,closed,4,MaxWell collects no data from Alibaba's RDS
1527,2020-06-28 16:26:26.000000000,1970-01-01 00:00:00.000000001,open,18,maxwell shut down every time because of out of memory
1526,2020-06-28 15:24:51.000000000,1970-01-01 00:00:00.000000001,open,1,Hot to install and run on windows
1525,2020-06-24 00:23:11.000000000,2020-07-02 19:45:49.000000000,closed,10,Techniques for joining maxwell data with application context
1524,2020-06-16 07:40:05.000000000,2020-08-08 01:13:09.000000000,closed,0,[Snyk] Security upgrade com.fasterxml.jackson.core:jackson-databind from 2.9.10.4 to 2.10.0
1523,2020-06-15 07:39:55.000000000,2020-08-08 01:13:21.000000000,closed,0,[Snyk] Security upgrade com.fasterxml.jackson.core:jackson-databind from 2.9.10.4 to 2.10.0
1522,2020-06-13 20:29:37.000000000,1970-01-01 00:00:00.000000001,open,0,How to hide the data field in event message?
1521,2020-06-12 04:39:59.000000000,2020-08-08 01:13:35.000000000,closed,0,[Snyk] Fix for 2 vulnerabilities
1520,2020-06-10 18:42:28.000000000,2020-08-05 06:42:59.000000000,closed,2,java.lang.ClassCastException: [B cannot be cast to java.lang.Integer
1519,2020-06-09 11:39:54.000000000,2020-06-19 10:17:03.000000000,closed,1,Does it support regular matching of schema?
1518,2020-06-08 14:42:45.000000000,2020-06-08 15:08:57.000000000,closed,1,Mysql NOW function precision support
1517,2020-06-08 13:41:43.000000000,1970-01-01 00:00:00.000000001,open,0,java.lang.ClassNotFoundException: com.zendesk.maxwell.Maxwell
1516,2020-06-08 07:18:36.000000000,2020-06-30 20:23:26.000000000,closed,2,ensure bootstrap's connection URI to use jdbcoptions
1515,2020-06-05 07:41:59.000000000,2020-06-30 20:22:10.000000000,closed,0,[Snyk] Upgrade com.google.protobuf:protobuf-java from 3.7.0 to 3.11.4
1514,2020-06-05 07:41:55.000000000,2020-06-30 20:21:49.000000000,closed,0,[Snyk] Upgrade com.google.cloud:google-cloud-pubsub from 1.66.0 to 1.105.1
1513,2020-06-05 07:41:51.000000000,2020-06-30 20:22:34.000000000,closed,0,[Snyk] Upgrade com.amazonaws:aws-java-sdk-core from 1.11.683 to 1.11.782
1512,2020-06-05 07:41:47.000000000,2020-06-30 20:24:08.000000000,closed,0,[Snyk] Upgrade com.amazonaws:aws-java-sdk-sqs from 1.11.68 to 1.11.782
1511,2020-06-04 08:44:04.000000000,2020-08-08 01:13:49.000000000,closed,0,[Snyk] Fix for 3 vulnerabilities
1510,2020-06-03 18:50:01.000000000,2020-06-30 20:23:02.000000000,closed,0,Ben/bootstrap separate replication
1509,2020-06-03 02:22:19.000000000,2020-06-30 20:23:45.000000000,closed,0,Update config.md
1508,2020-05-31 12:51:45.000000000,1970-01-01 00:00:00.000000001,open,2,RROR BootstrapController - got SQLException trying to bootstrap com.mysql.cj.jdbc.exceptions.CommunicationsException: Communications link failure
1507,2020-05-31 01:31:29.000000000,2020-06-17 13:30:48.000000000,closed,8,Redis client implementation alternative to jedis (redisson)
1506,2020-05-29 16:45:49.000000000,2020-07-02 20:48:25.000000000,closed,1,Bootstrap utility desn't work when replication_host is used
1505,2020-05-27 12:55:06.000000000,1970-01-01 00:00:00.000000001,open,0,ClassCastException: class java.lang.Integer cannot be cast to class [B
1504,2020-05-26 18:46:54.000000000,2020-05-26 23:05:07.000000000,closed,0,"issue #1499, fix regression in error reporting"
1503,2020-05-26 18:01:58.000000000,2020-05-26 23:05:22.000000000,closed,0,bump binlog-connector to 0.23.1
1502,2020-05-26 05:30:00.000000000,2020-05-26 09:12:57.000000000,closed,0,rework race condition found in issue #1491
1501,2020-05-25 23:40:01.000000000,2020-05-26 09:13:14.000000000,closed,0,"fixes, sort of, for some of #1474."
1500,2020-05-25 18:24:03.000000000,2020-05-25 22:30:05.000000000,closed,2,About Mysql switch between main and backup
1499,2020-05-25 13:26:14.000000000,2020-05-27 05:31:35.000000000,closed,7,lack of error messages when unable to connect
1498,2020-05-25 01:44:28.000000000,2020-05-26 05:11:41.000000000,closed,10,Using JedisPool instead of a direct Jedis instance
1497,2020-05-24 20:01:00.000000000,2020-05-26 05:11:41.000000000,closed,2,Using maxwell with redis can corrupt messages if using bootstrapper in async mode
1496,2020-05-21 04:34:51.000000000,2020-05-25 22:39:46.000000000,closed,1,about maxwell cluster
1495,2020-05-20 13:51:52.000000000,2020-05-20 19:03:48.000000000,closed,2,Getting error while reading binlogs
1494,2020-05-20 12:00:37.000000000,1970-01-01 00:00:00.000000001,open,2,fix when stop throw InterruptedException
1493,2020-05-18 15:42:25.000000000,2020-05-18 15:56:49.000000000,closed,0,"address issue #1483, create database DEFAULT ENCRYPTION in mysql 8"
1492,2020-05-18 14:46:59.000000000,2020-05-18 15:39:20.000000000,closed,0,"default values, enclosed in parens, in mysql8"
1491,2020-05-18 12:13:44.000000000,2020-05-26 09:17:53.000000000,closed,8, BinlogConnectorReplicator - replicator stopped at position
1490,2020-05-16 10:39:48.000000000,2020-05-18 13:54:36.000000000,closed,1,maxwell release lib and code source does not match
1489,2020-05-16 07:17:50.000000000,2020-05-18 15:58:27.000000000,closed,1,ANTLR Tool version 4.5 used for code generation does not match the current runtime version 4.7.2
1488,2020-05-16 01:04:57.000000000,2020-05-18 13:43:38.000000000,closed,1,Bump jackson-databind from 2.9.10.3 to 2.9.10.4
1487,2020-05-15 14:48:51.000000000,2020-05-18 16:23:22.000000000,closed,1,Scheduling bootstrap tasks in the future
1486,2020-05-15 14:46:05.000000000,2020-05-18 15:40:39.000000000,closed,2,Scheduling bootstrap tasks in the future
1485,2020-05-15 09:59:20.000000000,2020-05-18 13:34:31.000000000,closed,1,"I can't find com.zendesk.maxwell.schema.ddl.mysqlParser,help me,Thank"
1484,2020-05-14 14:29:46.000000000,2020-05-18 16:23:40.000000000,closed,2,Support for Default values
1483,2020-05-13 10:56:43.000000000,2020-05-18 16:23:50.000000000,closed,3,Getting MySQLSyntaxError for DEFAULT keyword
1482,2020-05-12 08:38:03.000000000,2020-05-18 13:46:36.000000000,closed,0,add some logging around a bad timestamp deserialization
1481,2020-05-07 11:22:07.000000000,1970-01-01 00:00:00.000000001,open,8,maxwell clustering
1480,2020-05-07 00:00:26.000000000,2020-05-07 07:23:04.000000000,closed,6,Redis reconnection handling
1479,2020-05-06 05:11:38.000000000,2020-05-06 18:47:41.000000000,closed,0,ugprade binlog-connector to 0.23.0-rc1
1478,2020-05-02 02:48:16.000000000,2020-05-02 03:55:25.000000000,closed,0,test C3P0 connection on checkout
1477,2020-05-02 02:35:14.000000000,2020-05-02 03:32:38.000000000,closed,0,harden the bootstrap code a bit
1476,2020-05-01 19:35:49.000000000,1970-01-01 00:00:00.000000001,open,7,Commit Info missing on updates
1475,2020-04-27 16:52:19.000000000,2020-05-11 06:46:47.000000000,closed,14,"Full synchronization of a large table, the speed is slow"
1474,2020-04-27 13:16:09.000000000,2020-07-02 20:48:42.000000000,closed,17,"Bootstrap issue, exception java.sql.SQLException: YEAR"
1473,2020-04-24 23:48:59.000000000,2020-05-01 20:48:52.000000000,closed,0,use our shiny new binlog-connector fork
1472,2020-04-22 05:04:49.000000000,2020-04-22 05:20:27.000000000,closed,0,Ben/issue 1463
1471,2020-04-21 22:01:58.000000000,2020-04-22 05:17:49.000000000,closed,1,start maxwell from new db host binlog position
1470,2020-04-20 07:18:22.000000000,2020-05-02 04:13:48.000000000,closed,15,The last packet successfully received from the server was xxx milliseconds ago
1469,2020-04-19 15:49:31.000000000,2020-05-06 18:47:17.000000000,closed,5,add support to convert underscore naming style of fields in JSON output to camel case
1468,2020-04-18 14:15:07.000000000,2020-05-29 12:24:15.000000000,closed,19,Maxwell stops replicating after error communicating with mysql
1467,2020-04-15 19:04:22.000000000,2020-04-16 07:09:15.000000000,closed,0,the command parameter --filter doesnot work at all
1466,2020-04-12 01:11:33.000000000,1970-01-01 00:00:00.000000001,open,6,java.lang.NullPointerException: null
1465,2020-04-11 11:24:27.000000000,2020-04-11 21:02:29.000000000,closed,2,跑源码报错，求指导！
1464,2020-04-09 15:54:36.000000000,1970-01-01 00:00:00.000000001,open,2,Pulsar Support
1463,2020-04-09 02:08:27.000000000,2020-04-22 22:34:33.000000000,closed,8,Autosearch earliest/latest binlog on maxwell restart if current binlog not available
1462,2020-04-06 19:37:37.000000000,2020-04-10 23:20:00.000000000,closed,1,Upgrades the docker JDK to 11.
1461,2020-04-04 15:32:27.000000000,2020-04-04 19:23:19.000000000,closed,1,Why maxwell design have  multiple primary keys?
1460,2020-04-01 21:54:00.000000000,2020-04-01 22:08:04.000000000,closed,1,Recommended JAVA version
1459,2020-04-01 06:58:09.000000000,2020-04-02 04:59:03.000000000,closed,1,Remove travis
1458,2020-03-31 19:48:32.000000000,2020-04-04 19:23:59.000000000,closed,0,"handle implicit ALTER DATABASE name, fixes issue #1457"
1457,2020-03-30 10:34:14.000000000,1970-01-01 00:00:00.000000001,open,2,Maxwell crashes mostly on DDL statements. Can I get stop processing the DDL events ?
1456,2020-03-30 07:01:40.000000000,2020-03-31 19:49:43.000000000,closed,5,Add .circleci/config.yml
1455,2020-03-29 22:07:24.000000000,2020-03-29 22:23:28.000000000,closed,0,guard certain key SQL queries with retry logic.
1454,2020-03-28 00:00:44.000000000,2020-03-28 23:00:03.000000000,closed,1,Feat/issue 1448
1453,2020-03-26 16:34:21.000000000,2020-05-26 09:19:33.000000000,closed,3,How to do high availability  & maxwell
1452,2020-03-25 20:49:36.000000000,2020-03-25 22:19:24.000000000,closed,0,"fixes for issue #1438, defaults can be paren-enclosed in latest mysqls"
