id,created_at,closed_at,state,comments,title
2001,2020-08-25 11:25:05.000000000,2020-08-25 18:44:33.000000000,closed,3,kernel-modules-headers: Pack /lib/vdso/Makefile
2000,2020-08-21 19:28:22.000000000,1970-01-01 00:00:00.000000001,open,2,"Add ""acquisitionport 123"" to chrony configuration"
1999,2020-08-21 00:34:52.000000000,1970-01-01 00:00:00.000000001,open,1,Application containers get in a weird state and cannot be restarted when RAM is low
1998,2020-08-20 18:49:44.000000000,1970-01-01 00:00:00.000000001,open,0,os-helpers-logging: Log to stderr rather than stdout
1997,2020-08-19 23:51:01.000000000,1970-01-01 00:00:00.000000001,open,0,Make the state partition volatile
1996,2020-08-19 15:28:08.000000000,1970-01-01 00:00:00.000000001,open,0,Mount boot partition with the noatime option instead of the default relatime
1995,2020-08-13 17:55:49.000000000,1970-01-01 00:00:00.000000001,open,1,Shutdown and reboot not being handled correctly for systemd services
1994,2020-08-13 15:55:58.000000000,2020-08-13 23:01:23.000000000,closed,0,balena-supervisor: Update to v11.12.4
1993,2020-08-12 21:11:02.000000000,2020-08-12 23:47:27.000000000,closed,1,Backport into 2020.07 (next) silencing u-boot console from PR#1916
1992,2020-08-12 20:59:54.000000000,2020-08-12 23:27:54.000000000,closed,0,balena-supervisor: Update to v11.12.4
1991,2020-08-12 19:38:18.000000000,2020-08-12 21:05:26.000000000,closed,1,balena-supervisor: Update to v11.12.4
1990,2020-08-12 16:20:07.000000000,1970-01-01 00:00:00.000000001,open,0,mkfs-hostapp-native: Build warning
1989,2020-08-12 15:51:39.000000000,1970-01-01 00:00:00.000000001,open,2,Reduce verbosity of the update state udev rules
1988,2020-08-12 13:41:10.000000000,2020-08-12 14:44:55.000000000,closed,1,balena-supervisor: Update to v11.12.3
1987,2020-08-07 15:12:00.000000000,1970-01-01 00:00:00.000000001,open,1,Host extensions support
1986,2020-08-07 11:31:40.000000000,2020-08-07 23:42:59.000000000,closed,1,linux-firmware: Package iwlwifi-cc-a0-48 firmware
1985,2020-08-06 20:06:58.000000000,2020-08-07 05:53:04.000000000,closed,1,balena-supervisor: Update to v11.12.2
1984,2020-08-06 18:24:14.000000000,1970-01-01 00:00:00.000000001,open,0,Host extensions support
1983,2020-08-06 15:46:51.000000000,1970-01-01 00:00:00.000000001,open,7,config.json can be affected by power cuts
1982,2020-08-06 15:35:52.000000000,2020-08-07 01:11:39.000000000,closed,3,balena-unique-key: Ensure config.json is synced after replacing
1981,2020-08-06 00:15:45.000000000,2020-08-06 14:27:28.000000000,closed,1,"flasher-register: if no supervisor information found, report null"
1980,2020-08-06 00:06:23.000000000,2020-08-26 16:47:05.000000000,closed,2,supervisor: fix supervisor startup when custom certs are involved
1979,2020-08-05 19:24:27.000000000,1970-01-01 00:00:00.000000001,open,1,Firmware crash on iwlwifi wireless interfaces
1978,2020-08-05 16:53:30.000000000,1970-01-01 00:00:00.000000001,open,1,"Update ModemManager and related libraries (linqmi, libmbim) to latest stable"
1977,2020-08-05 13:51:41.000000000,1970-01-01 00:00:00.000000001,open,2,Data partition filesystem resize fails for large disks
1976,2020-08-04 17:42:47.000000000,2020-08-05 13:20:18.000000000,closed,1,systemd: Set net.ipv4.conf.all.rp_filter in balena-os-sysctl
1975,2020-08-04 15:04:52.000000000,1970-01-01 00:00:00.000000001,open,4,Mobynit segfaults when mounting a specified sysroot
1974,2020-07-30 19:30:25.000000000,2020-07-31 00:08:10.000000000,closed,0,Use a named key when querying for device by uuid
1973,2020-07-28 22:39:28.000000000,2020-07-29 17:25:53.000000000,closed,1,supervisor: allow supervisor updates without controlling the supervis…
1972,2020-07-28 21:31:38.000000000,1970-01-01 00:00:00.000000001,open,0,Missing docks for individual OS rollback methods
1971,2020-07-27 15:07:11.000000000,2020-07-27 16:32:14.000000000,closed,1,balena-supervisor: Update to v11.9.9
1970,2020-07-27 15:05:54.000000000,2020-07-27 15:06:16.000000000,closed,1,balena-supervisor: Update to v11.9.9
1969,2020-07-27 14:22:20.000000000,1970-01-01 00:00:00.000000001,open,19,Respect balenaRootCA system-wide
1968,2020-07-24 13:03:07.000000000,2020-07-27 15:11:34.000000000,closed,6,balena-supervisor: Update to v11.9.9
1967,2020-07-24 00:49:49.000000000,1970-01-01 00:00:00.000000001,open,1,/var/run/balena-engine.sock is a directory
1966,2020-07-23 20:18:07.000000000,2020-07-24 13:00:53.000000000,closed,3,balena-supervisor: Update to v11.9.9
1965,2020-07-23 08:29:54.000000000,2020-07-23 12:01:31.000000000,closed,2,balena-supervisor: Update to v11.9.8
1964,2020-07-23 07:00:26.000000000,2020-07-23 08:27:42.000000000,closed,1,balena-supervisor: Update to v11.9.8
1963,2020-07-22 22:33:17.000000000,2020-08-17 20:14:36.000000000,closed,1,RFC:  Custom hostapp images overlays
1962,2020-07-21 18:48:50.000000000,1970-01-01 00:00:00.000000001,open,1,modemmanager: add u-blox-modeswitch scripts
1961,2020-07-21 17:39:33.000000000,2020-07-22 12:56:04.000000000,closed,1,Use separate service for loading healthcheck image
1960,2020-07-21 17:22:40.000000000,2020-07-21 19:50:26.000000000,closed,3,balena-supervisor: Update to v11.9.6
1959,2020-07-21 13:13:40.000000000,2020-07-21 17:19:18.000000000,closed,1,balena-supervisor: Update to v11.9.6
1958,2020-07-21 12:20:05.000000000,2020-07-23 11:04:10.000000000,closed,3,resin-supervisor: Create required directories before launch
1957,2020-07-21 12:00:14.000000000,2020-07-21 14:43:32.000000000,closed,2,kernel-resin.bbclass: Add support for aufs5
1956,2020-07-15 20:24:40.000000000,2020-07-16 15:31:11.000000000,closed,2,Add LZ4 support config for older kernels
1955,2020-07-15 19:03:49.000000000,1970-01-01 00:00:00.000000001,open,0,Output image license information for BalenaOS release 
1954,2020-07-15 12:50:34.000000000,2020-07-21 12:03:28.000000000,closed,8,Selected backports for 2.50.x ESR
1953,2020-07-15 12:42:56.000000000,2020-07-15 21:09:12.000000000,closed,1,repo: Update backports branches
1952,2020-07-14 20:32:39.000000000,2020-07-20 17:52:58.000000000,closed,3,provisioning: provide base supervisor_version during provision
1951,2020-07-13 19:56:07.000000000,2020-07-14 18:47:57.000000000,closed,4,Merge pending PRs in development branch
1950,2020-07-13 17:33:04.000000000,2020-07-13 19:33:27.000000000,closed,0,Update to use api v6 and fix a quoting bug
1949,2020-07-10 23:17:08.000000000,2020-07-14 01:05:26.000000000,closed,3,balena-supervisor: Update to v11.9.4
1948,2020-07-10 20:13:45.000000000,2020-07-10 20:15:50.000000000,closed,1,netfilter: Support comments in iptables rules
1947,2020-07-10 20:09:36.000000000,2020-07-10 22:40:55.000000000,closed,1,kernel-resin: Allow for comments in the iptables ruleset
1946,2020-07-10 19:48:19.000000000,1970-01-01 00:00:00.000000001,open,1,supervisor needs to be downgraded or https://github.com/balena-io/balena-supervisor/issues/1393 fixed
1945,2020-07-10 13:06:27.000000000,1970-01-01 00:00:00.000000001,open,0,Take recovery action on fsck failure
1944,2020-07-08 18:43:41.000000000,2020-07-09 22:38:26.000000000,closed,1,balena-supervisor: Update to v11.9.3
1943,2020-07-08 13:34:32.000000000,1970-01-01 00:00:00.000000001,open,1,Fallback to DNS over TCP with connections that have high latency
1942,2020-07-08 12:58:33.000000000,2020-07-09 19:44:04.000000000,closed,6,systemd: Simplify zram swap unit dependencies to avoid ordering cycle
1941,2020-07-06 20:03:10.000000000,2020-07-09 16:10:25.000000000,closed,4,User wants fix for dangling sshd issue on CTI Orbitty TX2
1940,2020-07-06 19:57:29.000000000,2020-07-08 18:43:54.000000000,closed,2,balena-supervisor: Update to v11.9.2
1939,2020-07-03 17:01:50.000000000,2020-07-08 15:35:49.000000000,closed,1,Remove warnings from kernel build
1938,2020-07-02 18:21:07.000000000,2020-07-03 01:40:43.000000000,closed,0,scripts: fix up UUID reference
1937,2020-07-01 19:09:50.000000000,2020-07-20 20:31:04.000000000,closed,13,busybox: Force to use the busybox version of hwclock
1936,2020-07-01 19:05:26.000000000,2020-07-20 20:31:04.000000000,closed,1,hwclock: Revert to using busybox hwclock
1935,2020-07-01 00:02:13.000000000,1970-01-01 00:00:00.000000001,open,2,User wants fix for dangling sshd issue on CTI Spacely TX2
1934,2020-06-30 15:01:05.000000000,2020-06-30 17:07:14.000000000,closed,1,resin-ntp-config: merge 'burst' command with 'add server' line
1933,2020-06-28 23:06:21.000000000,2020-06-30 12:20:47.000000000,closed,2,os-helpers-fs: Extend matching root device fallback
1932,2020-06-25 20:49:03.000000000,1970-01-01 00:00:00.000000001,open,1,Fail build if hostOS update file won't fit rootfs partition
1931,2020-06-24 17:03:20.000000000,2020-06-25 12:38:57.000000000,closed,3,initrdscripts: rootfs: Fix comparison to account for empty variable
1930,2020-06-23 22:59:11.000000000,2020-06-24 18:50:35.000000000,closed,3,use device UUID not ID where possible
1929,2020-06-23 17:43:47.000000000,2020-06-25 20:44:42.000000000,closed,0,Fail build if hostOS update file won't fit rootfs partition
1928,2020-06-22 17:31:07.000000000,1970-01-01 00:00:00.000000001,open,0,make use of journald namespaces to separate user and system logs
1927,2020-06-18 18:00:52.000000000,2020-06-18 20:06:54.000000000,closed,0,timesync: specify that default NTP options are pools
1926,2020-06-18 14:50:57.000000000,2020-06-29 17:25:07.000000000,closed,2,Allow setting cmdline args and custom fdt from supervisor
1925,2020-06-16 07:50:17.000000000,1970-01-01 00:00:00.000000001,open,1,Docker restart policy is ignored after device restart
1924,2020-06-15 19:25:18.000000000,2020-06-16 12:19:54.000000000,closed,1,Generate nested changelogs for balena-engine
1923,2020-06-15 19:14:43.000000000,1970-01-01 00:00:00.000000001,open,0,Perform initial time sync using modem if available
1922,2020-06-05 03:05:46.000000000,1970-01-01 00:00:00.000000001,open,3,Revisit question of  inactive partition cleanup: can we speed up hostOS updates the second time around?
1921,2020-06-10 15:43:39.000000000,2020-07-02 13:53:09.000000000,closed,2,Enable compressed memory swap
1920,2020-06-09 12:48:15.000000000,2020-06-15 14:23:37.000000000,closed,3,esr v2.48 backports: https://www.flowdock.com/app/rulemotion/r-architecture/threads/YaHMGBAvrKvvp-PihqOC3MF7wPJ
1919,2020-06-08 12:12:37.000000000,1970-01-01 00:00:00.000000001,open,3,persistent logging does strange boot logging (missed boot logs between reboots)
1918,2020-06-05 02:03:35.000000000,1970-01-01 00:00:00.000000001,open,3,Better issue reporting in update log as to why there was a rollback
1917,2020-06-04 20:49:15.000000000,2020-06-11 18:04:41.000000000,closed,2,update-resin-supervisor: Revert local resin-supervisor image updates
1916,2020-06-03 19:05:54.000000000,2020-06-08 20:18:56.000000000,closed,1,Silence uboot in production builds
1915,2020-06-03 17:04:02.000000000,2020-06-05 19:21:30.000000000,closed,4,UDP packets not being forwarded by redsocks
1914,2020-06-03 14:51:42.000000000,1970-01-01 00:00:00.000000001,open,2,Altboot rollback debugging
1913,2020-06-03 14:07:32.000000000,1970-01-01 00:00:00.000000001,open,1,Revert hooks v2
1912,2020-06-02 20:26:08.000000000,2020-06-04 15:34:10.000000000,closed,4,openvpn: Add runtime dependency on bash
1911,2020-06-02 16:25:06.000000000,2020-06-02 16:50:55.000000000,closed,0,Use renamed repos
1910,2020-06-02 16:16:27.000000000,1970-01-01 00:00:00.000000001,open,4,review balena-engine systemd service
1909,2020-06-01 16:32:56.000000000,2020-06-02 14:32:55.000000000,closed,3,Fallback to legacy root device detection to support devices with closed source bootloaders
1908,2020-06-01 14:36:55.000000000,2020-07-02 13:53:11.000000000,closed,4,enable zram by default
1907,2020-05-27 15:13:40.000000000,2020-05-27 20:47:27.000000000,closed,0,kernel-resin.bbclass: Enable the Analog Devices AD5446 kernel driver
1906,2020-05-22 12:30:42.000000000,2020-05-22 18:30:53.000000000,closed,0,balena-supervisor: Update to v11.4.14
1905,2020-05-21 17:33:48.000000000,2020-06-02 14:32:57.000000000,closed,2,Fallback to using labels to identify the boot drive for backwards compatibility
1904,2020-05-21 15:19:11.000000000,2020-05-21 17:36:22.000000000,closed,1,networkmanager: Remove build warning
1903,2020-05-20 22:04:22.000000000,2020-06-30 17:07:14.000000000,closed,5,Setting NTP server source from NTP pool fails to set the burst
1902,2020-05-20 19:07:21.000000000,1970-01-01 00:00:00.000000001,open,3,change default address pool of balena-engine to avoid collisions
1901,2020-05-20 12:42:33.000000000,2020-05-22 09:43:28.000000000,closed,6,Release 2.50.1
