id,created_at,closed_at,merged_at,state,merged
365,2015-05-06 00:14:20.000000000,2015-05-11 09:51:04.000000000,2015-05-11 09:51:04.000000000,closed,True
381,2015-09-13 15:38:59.000000000,2015-09-14 23:36:36.000000000,2015-09-14 23:36:36.000000000,closed,True
388,2015-10-11 19:19:24.000000000,2015-11-15 20:29:00.000000000,2015-11-15 20:29:00.000000000,closed,True
389,2015-10-13 03:41:22.000000000,2015-10-14 02:37:45.000000000,2015-10-14 02:37:45.000000000,closed,True
390,2015-10-13 19:16:04.000000000,2015-10-14 02:30:07.000000000,2015-10-14 02:30:07.000000000,closed,True
391,2015-10-13 19:18:25.000000000,2015-10-13 19:19:04.000000000,2015-10-13 19:19:04.000000000,closed,True
392,2015-10-14 03:07:39.000000000,2015-10-14 03:08:02.000000000,2015-10-14 03:08:02.000000000,closed,True
393,2015-10-14 07:21:36.000000000,2015-10-14 07:21:42.000000000,2015-10-14 07:21:42.000000000,closed,True
394,2015-10-15 08:01:54.000000000,2015-10-16 22:52:30.000000000,2015-10-16 22:52:30.000000000,closed,True
400,2015-11-04 13:03:47.000000000,2015-11-05 11:53:23.000000000,2015-11-05 11:53:23.000000000,closed,True
401,2015-11-05 12:06:08.000000000,2015-11-05 16:45:55.000000000,2015-11-05 16:45:55.000000000,closed,True
403,2015-11-10 12:00:05.000000000,2015-11-11 03:45:46.000000000,2015-11-11 03:45:46.000000000,closed,True
407,2015-11-15 20:39:34.000000000,2015-11-15 22:41:08.000000000,2015-11-15 22:41:08.000000000,closed,True
410,2015-12-01 02:21:04.000000000,2015-12-01 02:21:09.000000000,2015-12-01 02:21:08.000000000,closed,True
411,2015-12-04 04:14:22.000000000,2015-12-23 12:00:39.000000000,2015-12-23 12:00:39.000000000,closed,True
415,2015-12-18 21:33:51.000000000,2015-12-19 17:01:59.000000000,2015-12-19 17:01:59.000000000,closed,True
416,2015-12-27 03:16:57.000000000,2015-12-29 21:05:07.000000000,2015-12-29 21:05:07.000000000,closed,True
417,2015-12-31 02:15:07.000000000,2015-12-31 02:21:38.000000000,2015-12-31 02:21:38.000000000,closed,True
418,2015-12-31 02:25:19.000000000,2016-01-03 14:15:26.000000000,2016-01-03 14:15:26.000000000,closed,True
420,2016-01-06 00:45:15.000000000,2016-01-15 13:07:18.000000000,2016-01-15 13:07:18.000000000,closed,True
423,2016-01-15 22:29:55.000000000,2016-01-15 22:35:19.000000000,2016-01-15 22:35:19.000000000,closed,True
424,2016-01-17 19:49:52.000000000,2016-01-17 19:49:56.000000000,2016-01-17 19:49:56.000000000,closed,True
427,2016-01-18 01:22:05.000000000,2016-01-18 01:22:08.000000000,2016-01-18 01:22:08.000000000,closed,True
428,2016-01-18 17:49:51.000000000,2016-01-18 17:49:55.000000000,2016-01-18 17:49:55.000000000,closed,True
429,2016-01-19 15:03:15.000000000,2016-01-19 15:03:38.000000000,2016-01-19 15:03:38.000000000,closed,True
430,2016-01-19 19:53:15.000000000,2016-01-20 03:48:07.000000000,2016-01-20 03:48:07.000000000,closed,True
431,2016-01-20 16:43:40.000000000,2016-01-20 17:39:47.000000000,2016-01-20 17:39:47.000000000,closed,True
432,2016-01-26 00:49:58.000000000,2016-01-26 00:50:02.000000000,2016-01-26 00:50:01.000000000,closed,True
433,2016-01-26 02:00:22.000000000,2016-02-24 01:07:14.000000000,2016-02-24 01:07:14.000000000,closed,True
435,2016-01-28 11:45:38.000000000,2016-01-28 11:45:45.000000000,2016-01-28 11:45:44.000000000,closed,True
438,2016-02-13 01:01:51.000000000,2016-02-14 19:07:17.000000000,2016-02-14 19:07:17.000000000,closed,True
441,2016-02-14 18:41:35.000000000,2016-02-14 19:02:38.000000000,2016-02-14 19:02:38.000000000,closed,True
442,2016-02-14 20:59:42.000000000,2016-02-14 20:59:48.000000000,2016-02-14 20:59:48.000000000,closed,True
444,2016-02-18 01:29:53.000000000,2016-02-22 02:47:05.000000000,2016-02-22 02:47:05.000000000,closed,True
445,2016-02-19 02:16:06.000000000,2016-02-20 01:59:34.000000000,2016-02-20 01:59:34.000000000,closed,True
446,2016-02-20 01:05:07.000000000,2016-02-24 00:56:13.000000000,2016-02-24 00:56:13.000000000,closed,True
448,2016-02-24 01:15:33.000000000,2016-02-26 16:19:48.000000000,1970-01-01 00:00:00.000000001,closed,False
