id,created_at,closed_at,state,comments,title
556,2020-08-28 20:00:36.000000000,1970-01-01 00:00:00.000000001,open,0,fix file hash
555,2020-08-28 15:14:50.000000000,2020-08-28 15:21:52.000000000,closed,0,feat: updte wallet ui #4
554,2020-08-25 20:18:51.000000000,2020-08-25 20:39:07.000000000,closed,0,update wallet ui #3
553,2020-08-24 18:27:50.000000000,2020-08-24 19:08:19.000000000,closed,0,feat: update wallet ui
552,2020-08-21 15:58:50.000000000,2020-08-21 18:43:02.000000000,closed,0,feat: update walle ui #1
551,2020-08-20 12:31:55.000000000,2020-08-20 12:56:27.000000000,closed,0,feat: update colors and controls
550,2020-08-19 18:38:38.000000000,2020-08-19 18:52:13.000000000,closed,0,more verbose instructions for prev commit
549,2020-08-19 17:43:16.000000000,2020-08-19 17:46:00.000000000,closed,0,fix for rocksdb compilation to support older Intel Macs
548,2020-08-19 02:08:35.000000000,2020-08-19 02:55:49.000000000,closed,0,clean more tables
547,2020-08-19 00:39:16.000000000,2020-08-19 14:50:42.000000000,closed,0,feat: update send ui
546,2020-08-18 23:46:59.000000000,2020-08-18 23:47:51.000000000,closed,1,Feature/update send ui
545,2020-08-16 20:36:25.000000000,2020-08-16 22:46:36.000000000,closed,0,- Fix query for badge calculation
544,2020-08-14 22:30:36.000000000,2020-08-16 22:54:10.000000000,closed,0,feat: post a hash of a file
543,2020-08-14 22:12:04.000000000,2020-08-14 22:26:27.000000000,closed,1,feature: post a hash of a file
542,2020-08-11 08:28:52.000000000,2020-08-11 13:29:47.000000000,closed,0,Same regex as in ocore/uri.js
541,2020-08-08 07:55:09.000000000,2020-08-08 14:57:18.000000000,closed,0,bitcointalk and github alias services
540,2020-08-05 21:33:12.000000000,2020-08-16 17:34:09.000000000,closed,0,- add support for data transactions
539,2020-08-03 15:36:16.000000000,2020-08-16 19:48:51.000000000,closed,0,- add a function to get all the transactions
538,2020-08-03 04:51:46.000000000,2020-08-05 20:23:06.000000000,closed,0,- break the word if it is too long
537,2020-08-01 07:29:16.000000000,2020-08-01 12:19:35.000000000,closed,0,Fix hidden assets on wallet info
536,2020-07-31 20:38:04.000000000,2020-07-31 20:43:06.000000000,closed,0,Feature/resend feature fix
535,2020-07-31 14:03:09.000000000,2020-07-31 18:16:56.000000000,closed,0,- fix resend feature
534,2020-07-31 04:52:12.000000000,2020-07-31 12:50:23.000000000,closed,0,spend from specific address
533,2020-07-26 04:23:15.000000000,1970-01-01 00:00:00.000000001,open,0,fix lengths
532,2020-07-24 17:50:27.000000000,2020-07-28 22:37:23.000000000,closed,0,Add wallet address next to the name
531,2020-07-23 14:32:11.000000000,2020-07-24 21:26:13.000000000,closed,0,Add Resend Feature
530,2020-07-22 23:28:16.000000000,2020-07-23 03:47:19.000000000,closed,0,Resend Feature
529,2020-07-13 02:17:41.000000000,2020-07-13 02:53:41.000000000,closed,0,new real name attestor
528,2020-07-06 23:57:23.000000000,2020-07-08 19:59:41.000000000,closed,0,Consistent naming
527,2020-07-06 23:54:51.000000000,2020-07-08 20:00:02.000000000,closed,0,Consistent naming
526,2020-06-27 14:50:50.000000000,2020-06-27 14:52:10.000000000,closed,0,new translations
525,2020-06-19 20:48:13.000000000,2020-06-19 22:20:20.000000000,closed,0,warn about closed tor service
524,2020-06-19 03:56:19.000000000,2020-06-19 11:50:45.000000000,closed,0,fix lockAmount
523,2020-06-12 09:48:51.000000000,2020-06-12 14:05:34.000000000,closed,0,testnetify appimage
522,2020-06-11 20:59:31.000000000,2020-06-11 21:01:05.000000000,closed,0,new translations
521,2020-06-01 21:42:05.000000000,2020-06-01 21:46:29.000000000,closed,0,Fixed data insertion from URI
520,2020-05-20 17:20:27.000000000,1970-01-01 00:00:00.000000001,open,2,Obyte wallet not opening on mac . please help
519,2020-05-10 00:14:54.000000000,2020-05-10 02:01:56.000000000,closed,0,2 fixes sub wallets
518,2020-05-06 01:35:41.000000000,2020-05-06 02:19:56.000000000,closed,0,Added the ability to hide shared addresses
517,2020-05-05 13:29:30.000000000,1970-01-01 00:00:00.000000001,open,0,Add from address to chat
516,2020-04-29 14:15:19.000000000,2020-04-29 15:42:23.000000000,closed,0,Fix error when approving multisig wallet
515,2020-04-27 09:35:21.000000000,2020-05-05 21:36:27.000000000,closed,0,fix single_address and from_address
514,2020-04-16 13:11:57.000000000,2020-04-17 18:33:18.000000000,closed,0,Linux fixes
513,2020-04-14 23:08:46.000000000,2020-06-30 14:00:25.000000000,closed,3,Error when trying to run the Appimage on Linux
512,2020-04-12 08:30:58.000000000,2020-04-12 12:57:10.000000000,closed,0,fix trusted attestor checkmark
511,2020-04-03 12:55:30.000000000,1970-01-01 00:00:00.000000001,open,2,Password field populated on Linux
510,2020-03-30 15:21:53.000000000,2020-03-31 04:27:12.000000000,closed,0, first letter uppercase in linux menu
509,2020-03-20 16:12:36.000000000,2020-03-23 18:00:59.000000000,closed,0,appimage
508,2020-03-20 04:00:25.000000000,2020-03-28 03:31:17.000000000,closed,0,rocksdb missing from backup
507,2020-03-07 15:56:43.000000000,2020-03-11 17:23:53.000000000,closed,2,How can I get the initial coins of the testnet?
506,2020-03-03 13:37:20.000000000,2020-03-03 13:41:47.000000000,closed,1,Obyte URI requesting to send funds with custom asset broken?
