id,created_at,closed_at,state,comments,title
1694,2020-08-31 03:44:29.000000000,1970-01-01 00:00:00.000000001,open,0,Properly use HBU flags for staging buffers
1693,2020-08-31 03:40:13.000000000,1970-01-01 00:00:00.000000001,open,0,Main: clean-up/ refactor HBU flags
1692,2020-08-30 23:20:33.000000000,1970-01-01 00:00:00.000000001,open,0,Create shaderc plugin
1691,2020-08-30 22:31:01.000000000,2020-08-31 01:09:58.000000000,closed,0,Docs: make sure per-component docs are correctly picked up by doxygen
1690,2020-08-30 20:30:44.000000000,1970-01-01 00:00:00.000000001,open,0,Vulkan RenderSystem
1689,2020-08-29 19:43:58.000000000,2020-08-29 22:26:34.000000000,closed,0,Terrain: simplify - blendmap format is always PF_BYTE_RGBA
1688,2020-08-29 17:27:14.000000000,2020-08-29 18:51:55.000000000,closed,0,Bites: use new logo in GLX config dialog
1687,2020-08-29 03:25:58.000000000,2020-08-29 13:53:36.000000000,closed,0,Bites: use new logo in Win32 config dialog
1686,2020-08-28 10:30:33.000000000,1970-01-01 00:00:00.000000001,open,0,remove BINARYEN_TRAP_MODE=clamp in Samples/Emscripten/CMakeLists.txt
1685,2020-08-27 02:03:53.000000000,2020-08-27 03:38:29.000000000,closed,0,Uniterra
1684,2020-08-26 21:53:06.000000000,2020-08-26 23:52:02.000000000,closed,0,Docs: RTSS - add note about automatic shader re-generation
1683,2020-08-25 22:54:11.000000000,2020-08-26 01:14:42.000000000,closed,0,Main: BillboardSet - simplify per Billboard property handling
1682,2020-08-23 03:04:39.000000000,2020-08-23 14:17:10.000000000,closed,0, Tools: XMLConverter - createOrRetrieve Material
1681,2020-08-22 20:54:04.000000000,2020-08-23 00:44:21.000000000,closed,0,Devel
1680,2020-08-22 17:24:38.000000000,2020-08-22 20:02:45.000000000,closed,0,Main: deprecate Root::convertColourValue
1679,2020-08-19 20:18:24.000000000,2020-08-20 12:49:23.000000000,closed,0,Main: ParticleEmitter - use inherited Particle pos
1678,2020-08-19 20:17:28.000000000,2020-08-19 21:59:03.000000000,closed,0,Main: UnifiedShader - add texture1D alias for HLSL
