id,created_at,closed_at,state,comments,title
725,2020-08-28 06:01:38.000000000,1970-01-01 00:00:00.000000001,open,1,"Add ""Uphold"" API"
724,2020-08-26 15:58:39.000000000,1970-01-01 00:00:00.000000001,open,1,"Add ""PDF To JSON"" API"
723,2020-08-12 21:27:34.000000000,2020-08-13 13:13:56.000000000,closed,1,"Add ""Twitter API v2"" API"
722,2020-08-11 22:36:54.000000000,1970-01-01 00:00:00.000000001,open,1,"Add ""OPTIMADE"" Materials Science Databases API"
720,2020-08-05 02:15:05.000000000,2020-08-05 04:16:23.000000000,closed,1,Missing Schemas for AWS responses
719,2020-07-31 21:26:41.000000000,2020-08-13 13:15:21.000000000,closed,1,Some APIs missing from Twitter legacy
718,2020-07-29 14:41:42.000000000,2020-07-29 15:11:14.000000000,closed,1,"Add ""eDRV EV Charging"" API"
717,2020-07-17 18:13:59.000000000,2020-07-17 18:46:56.000000000,closed,3,"Add ""Google Pay Passes"" API"
716,2020-07-09 11:36:06.000000000,1970-01-01 00:00:00.000000001,open,6,"Add ""QingStor Object Storage"" API"
715,2020-07-09 03:00:11.000000000,2020-08-26 21:15:19.000000000,closed,7,"Add ""Probely"" API"
714,2020-07-08 17:16:38.000000000,2020-07-09 13:16:54.000000000,closed,3,"Add ""IdealSpot GeoData Location Intelligence"" API"
713,2020-07-07 23:30:08.000000000,2020-07-08 16:34:23.000000000,closed,3,"Add ""COVID-19 Tracking QR Code Signin Server API"" API"
712,2020-06-26 12:56:18.000000000,2020-06-26 13:21:03.000000000,closed,1,"Add ""Symanto's Psycholinguistic Text Analytics"" API"
711,2020-06-18 17:42:02.000000000,2020-06-18 17:45:56.000000000,closed,6,"Add ""Kubernetes"" API"
710,2020-06-17 13:18:15.000000000,2020-06-17 13:27:06.000000000,closed,2,"Add ""ExchangeRate-API.com"" API"
709,2020-06-15 21:53:15.000000000,2020-06-17 15:00:03.000000000,closed,1,Where is the openapi.yaml file for Google APIs Admin/Directory v1?
708,2020-06-10 02:09:00.000000000,2020-07-07 13:09:52.000000000,closed,2,"Add ""Google Search API"" API"
707,2020-06-09 06:35:23.000000000,2020-07-09 00:16:07.000000000,closed,1,"Add ""IdealSpot GeoData Location Intelligence"" API"
706,2020-05-29 00:19:40.000000000,2020-06-02 15:21:08.000000000,closed,1,"Add ""PDF Generator API"" API"
705,2020-05-26 10:21:50.000000000,1970-01-01 00:00:00.000000001,open,1,"Add ""Qliktag IoT Connected Smart Products"" API"
704,2020-05-25 07:11:46.000000000,2020-05-25 09:38:28.000000000,closed,0,"Add ""http://wwwdianelynch8.com/"" API"
703,2020-05-24 02:56:07.000000000,2020-06-02 15:18:26.000000000,closed,3,Add Updated ConfigCat API
702,2020-05-22 16:24:26.000000000,2020-06-02 15:26:52.000000000,closed,1,"Add ""SIGNL4 – Critical Mobile Alerting"" API"
701,2020-05-17 03:16:46.000000000,2020-07-07 13:10:18.000000000,closed,2,"Add ""rpayusr rpaywallet"" API"
700,2020-05-16 09:06:03.000000000,2020-07-07 13:10:41.000000000,closed,2,"Add ""Quicko API"" API"
699,2020-05-11 16:40:24.000000000,1970-01-01 00:00:00.000000001,open,3,"Add ""Stackexchange"" API"
698,2020-05-09 14:21:24.000000000,2020-08-25 11:35:00.000000000,closed,4,"Add ""Brainbi Price API"" API"
697,2020-05-07 18:01:42.000000000,2020-05-07 18:38:05.000000000,closed,0,"Add ""Ecomm-AdminApis"" API"
696,2020-05-07 11:41:59.000000000,2020-05-07 18:38:24.000000000,closed,1,"Add ""P4e-AdminApis57"" API"
695,2020-05-07 04:19:14.000000000,2020-07-09 13:14:34.000000000,closed,1,"Add ""Dataflow Kit API"" API"
694,2020-05-06 13:05:58.000000000,2020-05-06 13:10:51.000000000,closed,1,"Add ""P4e-OTPAdminApis"" API"
